Date,Close,Open,High,Low,Volume
3/17/1980,6.2,,6.52,6.2,129700.0
3/18/1980,6.4,,6.44,6.17,62800.0
3/19/1980,6.42,,6.48,6.36,65500.0
3/20/1980,6.33,,6.44,6.29,47500.0
3/21/1980,6.25,,6.36,6.22,33400.0
3/24/1980,6.06,,6.28,6.03,57900.0
3/25/1980,6.13,,6.2,6.01,72300.0
3/26/1980,6.14,,6.28,6.11,73200.0
3/27/1980,5.89,,6.07,5.76,153700.0
3/28/1980,6.17,,6.21,5.9,101300.0
3/31/1980,6.28,,6.28,6.14,59200.0
4/1/1980,6.4,,6.49,6.33,81600.0
4/2/1980,6.4,,6.49,6.37,49700.0
4/3/1980,6.28,,6.4,6.22,87500.0
4/7/1980,6.06,,6.22,6.05,117300.0
4/8/1980,6.03,,6.07,5.93,74100.0
4/9/1980,6.05,,6.09,6.03,56000.0
4/10/1980,6.03,,6.11,6.02,123700.0
4/11/1980,6.02,,6.07,6.01,70700.0
4/14/1980,5.95,,5.99,5.93,24200.0
4/15/1980,6.06,,6.09,5.94,26200.0
4/16/1980,5.87,,6.13,5.87,61600.0
4/17/1980,5.95,,6.03,5.87,56200.0
4/18/1980,5.89,,6.01,5.89,24800.0
4/21/1980,5.71,,5.89,5.63,82100.0
4/22/1980,5.91,,5.93,5.76,77600.0
4/23/1980,5.95,,6.06,5.9,68300.0
4/24/1980,6.14,,6.25,5.98,33100.0
4/25/1980,6.03,,6.14,5.99,48700.0
4/28/1980,5.9,,5.98,5.9,34800.0
4/29/1980,5.93,,5.93,5.87,33900.0
4/30/1980,5.93,,5.93,5.86,57900.0
5/1/1980,5.9,,5.93,5.89,61000.0
5/2/1980,5.91,,5.94,5.9,17600.0
5/5/1980,5.91,,5.93,5.87,42000.0
5/6/1980,5.86,,5.91,5.83,44500.0
5/7/1980,5.89,,5.9,5.83,51600.0
5/8/1980,5.78,,5.91,5.74,77200.0
5/9/1980,5.71,,5.78,5.71,22300.0
5/12/1980,5.76,,5.76,5.66,51100.0
5/13/1980,5.84,,5.87,5.79,19900.0
5/14/1980,5.91,,5.93,5.82,29300.0
5/15/1980,5.93,,5.94,5.87,33000.0
5/16/1980,5.94,,5.94,5.91,11500.0
5/19/1980,6.01,,6.01,5.91,29900.0
5/20/1980,6.06,,6.06,6.02,52000.0
5/21/1980,6.1,,6.14,6.05,29300.0
5/22/1980,6.33,,6.33,6.09,28100.0
5/23/1980,6.55,,6.57,6.38,78700.0
5/27/1980,6.5,,6.56,6.46,96400.0
5/28/1980,6.57,,6.6,6.48,24800.0
5/29/1980,6.44,,6.59,6.44,80300.0
5/30/1980,6.42,,6.46,6.36,78000.0
6/2/1980,6.36,,6.45,6.36,27600.0
6/3/1980,6.28,,6.37,6.28,24000.0
6/4/1980,6.46,,6.46,6.33,65500.0
6/5/1980,6.38,,6.55,6.38,44300.0
6/6/1980,6.46,,6.48,6.36,61000.0
6/9/1980,6.45,,6.49,6.44,42500.0
6/10/1980,6.52,,6.52,6.45,56700.0
6/11/1980,6.65,,6.67,6.49,45900.0
6/12/1980,6.73,,6.81,6.68,77500.0
6/13/1980,6.67,,6.79,6.61,82800.0
6/16/1980,6.57,,6.61,6.56,24700.0
6/17/1980,6.64,,6.68,6.6,66100.0
6/18/1980,6.5,,6.63,6.44,92100.0
6/19/1980,6.29,,6.52,6.29,65400.0
6/20/1980,6.38,,6.45,6.33,45200.0
6/23/1980,6.41,,6.45,6.37,27200.0
6/24/1980,6.44,,6.44,6.37,52800.0
6/25/1980,6.46,,6.48,6.44,79400.0
6/26/1980,6.38,,6.49,6.38,29200.0
6/27/1980,6.37,,6.42,6.3,31200.0
6/30/1980,6.33,,6.36,6.26,16000.0
7/1/1980,6.4,,6.42,6.32,73800.0
7/2/1980,6.42,,6.44,6.38,35700.0
7/3/1980,6.4,,6.41,6.37,32600.0
7/7/1980,6.4,,6.4,6.37,28100.0
7/8/1980,6.44,,6.44,6.4,59300.0
7/9/1980,6.44,,6.5,6.44,91300.0
7/10/1980,6.33,,6.44,6.33,49000.0
7/11/1980,6.38,,6.38,6.33,135200.0
7/14/1980,6.49,,6.49,6.38,116300.0
7/15/1980,6.55,,6.6,6.53,101600.0
7/16/1980,6.57,,6.6,6.53,62600.0
7/17/1980,6.73,,6.73,6.53,93300.0
7/18/1980,7.06,,7.06,6.9,204500.0
7/21/1980,7.19,,7.19,7.0,46100.0
7/22/1980,7.21,,7.3,7.19,71900.0
7/23/1980,7.23,,7.35,7.19,81600.0
7/24/1980,7.22,,7.23,7.15,44400.0
7/25/1980,7.18,,7.22,7.08,53500.0
7/28/1980,7.27,,7.29,7.08,55400.0
7/29/1980,7.35,,7.35,7.27,37300.0
7/30/1980,7.38,,7.41,7.35,72600.0
7/31/1980,7.43,,7.43,7.23,40700.0
8/1/1980,7.39,,7.45,7.38,49800.0
8/4/1980,7.33,,7.42,7.3,50700.0
8/5/1980,7.27,,7.33,7.23,43800.0
8/6/1980,7.39,,7.39,7.23,77000.0
8/7/1980,7.41,,7.42,7.33,59000.0
8/8/1980,7.49,,7.57,7.46,88800.0
8/11/1980,7.54,,7.54,7.5,40400.0
8/12/1980,7.41,,7.51,7.35,42800.0
8/13/1980,7.34,,7.42,7.3,28100.0
8/14/1980,7.46,,7.46,7.34,42000.0
8/15/1980,7.43,,7.46,7.37,27500.0
8/18/1980,7.39,,7.45,7.35,23900.0
8/19/1980,7.3,,7.35,7.3,95400.0
8/20/1980,7.3,,7.31,7.27,57500.0
8/21/1980,7.35,,7.37,7.31,36500.0
8/22/1980,7.41,,7.46,7.35,43900.0
8/25/1980,7.43,,7.43,7.35,7000.0
8/26/1980,7.49,,7.53,7.49,28100.0
8/27/1980,7.38,,7.45,7.38,24700.0
8/28/1980,7.3,,7.37,7.3,31600.0
8/29/1980,7.3,,7.33,7.29,25000.0
9/2/1980,7.45,,7.45,7.29,41300.0
9/3/1980,7.47,,7.47,7.43,45200.0
9/4/1980,7.45,,7.54,7.43,69200.0
9/5/1980,7.33,,7.37,7.3,24900.0
9/8/1980,7.25,,7.39,7.25,35600.0
9/9/1980,7.22,,7.22,7.06,127000.0
9/10/1980,7.22,,7.27,7.18,78000.0
9/11/1980,7.25,,7.26,7.22,26800.0
9/12/1980,7.33,,7.33,7.26,37100.0
9/15/1980,7.37,,7.37,7.31,21600.0
