Date,Close,Open,High,Low,Volume
2017-10-23,54.3,50.0,55.33,50.0,3345798.0
2017-10-24,53.45,53.83,54.5,53.17,216428.0
2017-10-25,52.1,53.33,53.37,51.52,140748.0
2017-10-26,52.09,51.75,53.0,51.04,87150.0
2017-10-27,52.17,52.0,52.49,51.7,31148.0
2017-10-30,52.24,52.17,52.7,51.95,46909.0
2017-10-31,51.81,52.03,52.43,51.37,23592.0
2017-11-01,51.98,51.68,52.33,51.29,93185.0
2017-11-02,52.1,52.0,52.5,51.67,28883.0
2017-11-03,53.08,51.77,54.0,51.77,94783.0
2017-11-06,53.42,52.67,53.97,52.67,48041.0
2017-11-07,53.57,53.67,53.95,53.0,51383.0
2017-11-08,52.87,53.4,53.95,50.37,24765.0
2017-11-09,53.34,52.87,53.72,51.93,26379.0
2017-11-10,53.22,52.73,53.67,52.73,17040.0
2017-11-13,52.43,52.95,53.37,52.3,12678.0
2017-11-14,51.43,52.5,52.79,51.35,10919.0
2017-11-15,50.38,51.83,51.83,50.3,12266.0
2017-11-16,50.28,51.1,51.1,49.67,105149.0
2017-11-17,50.46,50.5,50.83,50.17,10358.0
2017-11-20,50.14,50.79,51.6,50.0,17188.0
2017-11-21,50.52,50.17,50.73,50.17,8316.0
2017-11-22,51.93,50.2,52.63,50.2,21525.0
2017-11-23,51.89,52.22,52.43,51.24,38539.0
2017-11-24,51.65,51.53,52.13,51.38,23869.0
2017-11-27,51.77,51.33,52.33,51.25,9920.0
2017-11-28,51.56,52.16,52.16,51.27,6162.0
2017-11-29,50.89,51.57,51.77,50.39,8069.0
2017-11-30,51.13,50.83,51.73,50.7,6616.0
2017-12-01,51.01,51.17,51.83,50.83,11152.0
2017-12-04,50.23,51.01,51.28,50.13,9133.0
2017-12-05,50.18,50.17,50.88,49.8,6014.0
2017-12-06,50.46,50.33,50.75,50.13,5223.0
2017-12-07,50.93,50.11,51.5,50.11,5525.0
2017-12-08,51.67,50.67,51.77,50.67,14963.0
2017-12-11,51.86,51.2,52.12,51.0,27035.0
2017-12-12,53.58,53.23,53.95,52.37,344785.0
2017-12-13,53.45,54.5,55.0,53.17,52307.0
2017-12-14,52.9,53.5,54.33,52.51,12913.0
2017-12-15,52.51,53.3,53.77,51.87,10698.0
2017-12-18,53.0,51.67,53.47,51.23,17881.0
2017-12-19,52.68,53.03,53.07,52.37,8832.0
2017-12-20,52.95,52.37,54.3,51.64,16249.0
2017-12-21,52.92,53.33,53.97,52.73,16688.0
2017-12-22,53.45,53.0,54.13,52.87,122171.0
2017-12-26,53.37,53.2,54.16,52.87,19344.0
2017-12-27,52.83,52.94,53.83,52.67,31171.0
