Date,Close,Open,High,Low,Volume
12/6/1993,2.41,2.53,2.56,2.41,18600.0
12/7/1993,2.34,2.41,2.41,2.34,22000.0
12/8/1993,2.38,2.41,2.44,2.38,16200.0
12/9/1993,2.34,2.41,2.41,2.34,2700.0
12/10/1993,2.31,2.38,2.38,2.31,4000.0
12/13/1993,2.22,2.31,2.31,2.19,24100.0
12/14/1993,2.19,2.22,2.22,2.16,59000.0
12/15/1993,2.22,2.16,2.25,2.13,15200.0
12/16/1993,2.22,2.25,2.28,2.22,13000.0
12/17/1993,2.16,2.25,2.25,2.16,5800.0
12/20/1993,2.22,2.16,2.25,2.16,7400.0
12/21/1993,2.19,2.19,2.19,2.19,5200.0
12/22/1993,2.19,2.22,2.22,2.19,10200.0
12/23/1993,2.28,2.25,2.31,2.25,10700.0
12/27/1993,2.31,2.34,2.34,2.31,5500.0
12/28/1993,2.28,2.34,2.34,2.25,14700.0
12/29/1993,2.25,2.25,2.25,2.25,3000.0
12/30/1993,2.22,2.25,2.25,2.22,4400.0
12/31/1993,2.25,2.25,2.25,2.25,1800.0
1/3/1994,2.19,2.22,2.25,2.19,5600.0
1/4/1994,2.16,2.19,2.19,2.16,14400.0
1/5/1994,2.22,2.19,2.22,2.19,5800.0
1/6/1994,2.22,2.22,2.22,2.19,6800.0
1/7/1994,2.19,2.19,2.19,2.16,6300.0
1/10/1994,2.16,2.16,2.16,2.16,1300.0
1/11/1994,2.16,2.19,2.22,2.16,9900.0
1/12/1994,2.19,2.19,2.19,2.19,1000.0
1/13/1994,2.13,2.19,2.19,2.0,116600.0
1/14/1994,2.06,2.09,2.13,2.06,39300.0
1/17/1994,2.09,2.09,2.13,2.09,9900.0
1/18/1994,2.13,2.13,2.13,2.09,7500.0
1/19/1994,2.25,2.19,2.31,2.19,67800.0
1/20/1994,2.28,2.31,2.31,2.25,19500.0
1/21/1994,2.28,2.25,2.28,2.25,6600.0
1/24/1994,2.34,2.31,2.38,2.28,22600.0
1/25/1994,2.31,2.34,2.34,2.31,3000.0
1/26/1994,2.63,2.34,2.63,2.34,36000.0
1/27/1994,2.69,2.66,2.88,2.66,61800.0
1/28/1994,2.72,2.72,2.78,2.66,17300.0
1/31/1994,2.78,2.78,2.81,2.63,109600.0
2/1/1994,2.72,2.78,2.78,2.66,8300.0
2/2/1994,2.66,2.66,2.72,2.66,16300.0
2/3/1994,2.66,2.69,2.69,2.63,8800.0
2/4/1994,2.53,2.63,2.63,2.53,15000.0
2/7/1994,2.56,2.56,2.59,2.44,24300.0
2/8/1994,2.5,2.56,2.56,2.5,12800.0
2/9/1994,2.78,2.5,2.78,2.5,37500.0
2/10/1994,2.81,2.81,2.81,2.75,5400.0
2/11/1994,2.75,2.78,2.78,2.69,11100.0
2/14/1994,2.81,2.81,2.81,2.75,8600.0
2/15/1994,2.75,2.78,2.78,2.72,3600.0
2/16/1994,2.75,2.72,2.81,2.72,7700.0
2/17/1994,2.72,2.72,2.75,2.72,6400.0
2/18/1994,2.66,2.69,2.69,2.66,1000.0
2/22/1994,2.56,2.63,2.63,2.56,4500.0
2/23/1994,2.53,2.53,2.53,2.53,3700.0
2/24/1994,2.5,2.5,2.5,2.5,1000.0
2/25/1994,2.5,2.53,2.59,2.5,100300.0
