Date,Close,Open,High,Low,Volume
1980-03-17,0.33,0.33,0.33,0.33,56900.0
1980-03-18,0.32,0.32,0.33,0.32,88900.0
1980-03-19,0.33,0.33,0.34,0.33,96400.0
1980-03-20,0.33,0.33,0.33,0.33,58200.0
1980-03-21,0.32,0.32,0.32,0.32,63400.0
1980-03-24,0.31,0.31,0.32,0.31,46700.0
1980-03-25,0.31,0.31,0.32,0.31,59100.0
1980-03-26,0.31,0.31,0.32,0.31,84700.0
1980-03-27,0.3,0.3,0.3,0.3,140200.0
1980-03-28,0.31,0.31,0.32,0.31,104700.0
1980-03-31,0.32,0.32,0.33,0.32,46900.0
1980-04-01,0.32,0.32,0.33,0.32,42600.0
1980-04-02,0.33,0.33,0.33,0.33,65400.0
1980-04-03,0.32,0.32,0.32,0.32,36400.0
1980-04-07,0.31,0.31,0.32,0.31,70200.0
1980-04-08,0.31,0.31,0.32,0.31,152000.0
1980-04-09,0.31,0.31,0.31,0.31,60200.0
1980-04-10,0.3,0.3,0.31,0.3,77000.0
1980-04-11,0.3,0.3,0.31,0.3,49600.0
1980-04-14,0.31,0.31,0.31,0.31,41800.0
1980-04-15,0.3,0.3,0.31,0.3,55200.0
1980-04-16,0.29,0.29,0.3,0.29,56000.0
1980-04-17,0.29,0.29,0.29,0.29,92200.0
1980-04-18,0.29,0.29,0.3,0.29,97600.0
1980-04-21,0.29,0.29,0.29,0.29,47100.0
1980-04-22,0.3,0.3,0.31,0.3,106400.0
1980-04-23,0.32,0.32,0.32,0.32,77200.0
1980-04-24,0.32,0.32,0.33,0.32,46000.0
1980-04-25,0.32,0.32,0.32,0.32,37000.0
1980-04-28,0.31,0.31,0.32,0.31,36100.0
1980-04-29,0.32,0.32,0.32,0.32,32800.0
1980-04-30,0.32,0.32,0.32,0.32,36800.0
1980-05-01,0.32,0.32,0.33,0.32,36500.0
1980-05-02,0.33,0.33,0.33,0.33,28700.0
1980-05-05,0.33,0.33,0.33,0.33,18300.0
1980-05-06,0.33,0.33,0.33,0.33,36400.0
1980-05-07,0.33,0.33,0.33,0.33,33300.0
1980-05-08,0.32,0.32,0.33,0.32,38900.0
1980-05-09,0.33,0.33,0.33,0.33,86900.0
1980-05-12,0.33,0.33,0.33,0.33,44700.0
1980-05-13,0.33,0.33,0.34,0.33,38400.0
1980-05-14,0.34,0.34,0.34,0.34,24700.0
1980-05-15,0.34,0.34,0.35,0.34,42200.0
1980-05-16,0.35,0.35,0.35,0.35,25200.0
1980-05-19,0.35,0.35,0.35,0.35,45000.0
