Date,Close,Open,High,Low,Volume
3/12/1993,2.65,2.29,2.75,2.25,2381100.0
3/15/1993,2.61,2.69,2.71,2.58,548400.0
3/16/1993,2.55,2.58,2.63,2.52,327400.0
3/17/1993,2.46,2.52,2.56,2.42,264200.0
3/18/1993,2.54,2.52,2.54,2.46,61300.0
3/19/1993,2.52,2.48,2.54,2.48,45200.0
3/22/1993,2.38,2.5,2.54,2.38,145800.0
3/23/1993,2.54,2.42,2.54,2.33,166700.0
3/24/1993,2.48,2.5,2.54,2.42,84100.0
3/25/1993,2.38,2.48,2.48,2.38,86300.0
3/26/1993,2.38,2.42,2.42,2.38,110500.0
3/29/1993,2.36,2.42,2.46,2.33,43200.0
3/30/1993,2.38,2.42,2.42,2.33,54100.0
3/31/1993,2.31,2.38,2.38,2.31,138800.0
4/1/1993,2.31,2.31,2.38,2.29,26400.0
4/2/1993,2.21,2.31,2.31,2.15,151700.0
4/5/1993,2.25,2.23,2.29,2.15,120900.0
4/6/1993,2.25,2.33,2.33,2.25,90400.0
4/7/1993,2.17,2.21,2.27,2.17,101400.0
4/8/1993,2.13,2.15,2.23,2.1,82500.0
4/12/1993,2.1,2.08,2.13,2.06,102700.0
4/13/1993,2.04,2.08,2.13,2.02,167100.0
4/14/1993,2.13,2.08,2.13,2.04,251900.0
4/15/1993,2.06,2.13,2.13,2.06,34400.0
4/16/1993,2.06,2.06,2.13,2.06,15700.0
4/19/1993,2.04,2.1,2.1,2.04,52400.0
4/20/1993,2.04,2.04,2.08,2.04,17900.0
4/21/1993,2.02,2.08,2.08,2.0,49000.0
4/22/1993,2.13,2.06,2.13,2.02,31900.0
4/23/1993,2.15,2.15,2.15,2.06,9900.0
4/26/1993,2.06,2.15,2.15,2.06,15600.0
4/27/1993,2.29,2.1,2.29,2.04,86700.0
4/28/1993,2.27,2.29,2.29,2.23,29000.0
4/29/1993,2.23,2.23,2.23,2.19,26600.0
4/30/1993,2.29,2.21,2.35,2.21,99500.0
5/3/1993,2.42,2.29,2.42,2.29,41600.0
5/4/1993,2.42,2.42,2.42,2.35,20200.0
5/5/1993,2.54,2.35,2.63,2.35,101300.0
5/6/1993,2.48,2.54,2.58,2.44,49900.0
5/7/1993,2.52,2.48,2.58,2.48,39400.0
5/10/1993,2.58,2.52,2.65,2.52,29100.0
5/11/1993,2.56,2.63,2.63,2.56,32600.0
