Date,Close,Open,High,Low,Volume
1980-03-17,0.78,,0.8,0.78,1200.0
1980-03-18,0.78,,0.78,0.78,9100.0
1980-03-19,0.78,,0.78,0.78,3200.0
1980-03-20,0.78,,0.78,0.78,800.0
1980-03-21,0.78,,0.78,0.78,15400.0
1980-03-24,0.74,,0.78,0.74,11300.0
1980-03-25,0.74,,0.76,0.74,1800.0
1980-03-26,0.76,,0.76,0.75,3600.0
1980-03-27,0.76,,0.76,0.74,22700.0
1980-03-28,0.75,,0.75,0.75,700.0
1980-03-31,0.78,,0.78,0.76,2200.0
1980-04-01,0.78,,0.78,0.78,200.0
1980-04-02,0.78,,0.78,0.77,14600.0
1980-04-03,0.77,,0.78,0.76,3700.0
1980-04-07,0.75,,0.77,0.75,5300.0
1980-04-08,0.75,,0.76,0.74,1800.0
1980-04-09,0.76,,0.76,0.75,600.0
1980-04-10,0.76,,0.76,0.76,700.0
1980-04-11,0.77,,0.77,0.76,500.0
1980-04-14,0.77,,0.77,0.76,2800.0
1980-04-15,0.76,,0.76,0.76,2800.0
1980-04-16,0.76,,0.76,0.75,1800.0
1980-04-17,0.76,,0.76,0.76,1600.0
1980-04-18,0.76,,0.76,0.76,1400.0
1980-04-21,0.76,,0.77,0.76,2600.0
1980-04-22,0.77,,0.77,0.76,1800.0
1980-04-23,0.76,,0.77,0.76,10700.0
1980-04-24,0.75,,0.76,0.75,2300.0
1980-04-25,0.75,,0.76,0.75,2200.0
1980-04-28,0.76,,0.76,0.75,6000.0
1980-04-29,0.76,,0.76,0.75,4900.0
1980-04-30,0.76,,0.76,0.75,17900.0
1980-05-01,0.75,,0.76,0.75,200.0
1980-05-02,0.75,,0.76,0.75,2200.0
1980-05-05,0.75,,0.76,0.75,500.0
1980-05-06,0.75,,0.75,0.75,17800.0
1980-05-07,0.77,,0.77,0.75,9900.0
1980-05-08,0.78,,0.78,0.78,6200.0
1980-05-09,0.77,,0.79,0.77,5100.0
1980-05-12,0.76,,0.76,0.76,2200.0
1980-05-13,0.77,,0.77,0.75,1300.0
1980-05-14,0.79,,0.79,0.78,13100.0
1980-05-15,0.83,,0.83,0.79,3500.0
1980-05-16,0.81,,0.83,0.81,1600.0
1980-05-19,0.81,,0.82,0.81,4900.0
1980-05-20,0.8,,0.81,0.79,1100.0
1980-05-21,0.81,,0.81,0.81,18600.0
1980-05-22,0.8,,0.81,0.8,6800.0
1980-05-23,0.81,,0.81,0.81,2100.0
1980-05-27,0.82,,0.82,0.81,7200.0
1980-05-28,0.83,,0.83,0.82,2400.0
1980-05-29,0.82,,0.83,0.82,1700.0
1980-05-30,0.82,,0.82,0.82,1900.0
1980-06-02,0.82,,0.82,0.82,900.0
1980-06-03,0.82,,0.82,0.82,300.0
1980-06-04,0.81,,0.82,0.81,1600.0
1980-06-05,0.82,,0.82,0.81,1300.0
1980-06-06,0.83,,0.83,0.82,5900.0
1980-06-09,0.84,,0.84,0.83,3300.0
1980-06-10,0.83,,0.84,0.83,1900.0
1980-06-11,0.86,,0.86,0.84,2000.0
1980-06-12,0.86,,0.86,0.86,5500.0
1980-06-13,0.85,,0.86,0.85,2200.0
1980-06-16,0.88,,0.88,0.85,3100.0
1980-06-17,0.89,,0.9,0.88,3600.0
1980-06-18,0.85,,0.88,0.85,2300.0
1980-06-19,0.85,,0.85,0.84,300.0
1980-06-20,0.84,,0.84,0.84,1800.0
1980-06-23,0.84,,0.84,0.84,600.0
1980-06-24,0.87,,0.87,0.85,2500.0
1980-06-25,0.85,,0.87,0.85,5500.0
1980-06-26,0.86,,0.86,0.85,1000.0
1980-06-27,0.85,,0.85,0.85,2300.0
1980-06-30,0.85,,0.85,0.83,4400.0
1980-07-01,0.83,,0.85,0.83,2600.0
1980-07-02,0.85,,0.85,0.83,4600.0
1980-07-03,0.86,,0.86,0.85,1600.0
1980-07-07,0.86,,0.86,0.86,200.0
1980-07-08,0.87,,0.87,0.87,1000.0
1980-07-09,0.88,,0.88,0.88,5000.0
1980-07-10,0.88,,0.89,0.88,8100.0
1980-07-11,0.89,,0.89,0.88,1100.0
1980-07-14,0.91,,0.91,0.9,900.0
1980-07-15,0.91,,0.92,0.9,3600.0
1980-07-16,0.9,,0.9,0.9,14200.0
1980-07-17,0.91,,0.91,0.9,900.0
1980-07-18,0.92,,0.92,0.9,3400.0
1980-07-21,0.94,,0.94,0.93,1600.0
1980-07-22,0.96,,0.96,0.94,6300.0
1980-07-23,0.94,,0.94,0.93,9400.0
1980-07-24,0.96,,0.96,0.93,12600.0
1980-07-25,0.95,,0.95,0.94,1700.0
1980-07-28,0.95,,0.95,0.95,1500.0
1980-07-29,0.94,,0.94,0.94,1500.0
1980-07-30,0.91,,0.94,0.9,6900.0
1980-07-31,0.91,,0.92,0.91,6300.0
1980-08-01,0.88,,0.91,0.88,7300.0
1980-08-04,0.88,,0.88,0.88,500.0
1980-08-05,0.88,,0.9,0.88,29400.0
1980-08-06,0.88,,0.88,0.87,37300.0
1980-08-07,0.88,,0.88,0.88,3700.0
1980-08-08,0.88,,0.88,0.88,1700.0
1980-08-11,0.87,,0.88,0.86,6500.0
1980-08-12,0.85,,0.86,0.85,20000.0
1980-08-13,0.86,,0.86,0.85,1500.0
1980-08-14,0.87,,0.87,0.86,400.0
1980-08-15,0.86,,0.86,0.85,3000.0
1980-08-18,0.85,,0.86,0.85,5800.0
1980-08-19,0.83,,0.85,0.83,29300.0
1980-08-20,0.83,,0.84,0.83,2500.0
1980-08-21,0.83,,0.84,0.83,10500.0
1980-08-22,0.83,,0.84,0.83,2500.0
1980-08-25,0.83,,0.83,0.83,400.0
1980-08-26,0.86,,0.87,0.84,3100.0
1980-08-27,0.86,,0.86,0.86,8200.0
1980-08-28,0.86,,0.87,0.86,9000.0
1980-08-29,0.89,,0.89,0.86,4000.0
1980-09-02,0.91,,0.92,0.89,17900.0
1980-09-03,0.92,,0.93,0.92,11700.0
1980-09-04,0.94,,0.94,0.92,1700.0
1980-09-05,0.94,,0.94,0.93,5200.0
1980-09-08,0.93,,0.94,0.93,1700.0
1980-09-09,0.92,,0.93,0.92,1100.0
1980-09-10,0.96,,0.96,0.93,5300.0
1980-09-11,0.97,,0.97,0.96,1900.0
1980-09-12,0.97,,0.98,0.97,1600.0
1980-09-15,0.96,,0.97,0.96,1600.0
