Date,Close,Open,High,Low,Volume
2017-05-12,21.1,21.25,21.3,20.27,10933718.0
2017-05-15,22.02,21.01,22.3,21.01,3487278.0
2017-05-16,22.1,22.19,22.41,22.05,1289339.0
2017-05-17,22.1,22.15,22.51,21.67,1583699.0
2017-05-18,22.5,22.19,23.63,21.98,4075173.0
2017-05-19,22.72,22.56,23.49,22.32,1248618.0
2017-05-22,22.89,22.8,23.09,22.52,383071.0
2017-05-23,23.45,22.99,23.61,22.65,703985.0
2017-05-24,23.35,23.54,23.59,23.01,408791.0
2017-05-25,22.51,23.42,23.82,22.31,1080743.0
2017-05-26,23.03,22.55,23.24,22.36,721073.0
2017-05-30,22.95,23.0,23.29,22.59,843125.0
2017-05-31,22.93,22.97,23.18,22.67,484429.0
2017-06-01,22.93,22.91,23.43,22.81,486400.0
2017-06-02,22.65,22.89,23.1,22.6,546591.0
2017-06-05,22.63,22.61,22.91,21.92,422153.0
2017-06-06,22.29,21.83,22.71,21.83,1089496.0
2017-06-07,21.76,22.4,22.79,21.57,733543.0
2017-06-08,21.65,21.75,21.93,21.61,432553.0
2017-06-09,22.49,21.68,22.82,21.68,565863.0
2017-06-12,23.03,22.46,23.58,21.89,826169.0
2017-06-13,23.49,22.99,24.24,22.8,927265.0
2017-06-14,23.25,23.57,23.71,22.55,1988480.0
2017-06-15,22.99,23.08,24.55,22.77,1510315.0
2017-06-16,23.92,23.0,24.0,23.0,2465627.0
2017-06-19,23.92,24.06,24.21,23.54,460198.0
2017-06-20,22.62,23.72,23.72,22.21,1043702.0
2017-06-21,20.72,22.54,22.75,20.63,1275376.0
2017-06-22,21.06,20.72,21.07,19.91,1321878.0
2017-06-23,20.47,21.03,21.11,20.24,3690385.0
2017-06-26,20.5,20.42,21.05,20.08,790772.0
2017-06-27,21.29,20.56,21.63,20.42,1029076.0
2017-06-28,21.27,21.28,21.64,21.14,737567.0
2017-06-29,21.43,21.33,21.54,21.04,796188.0
2017-06-30,21.61,21.54,21.74,21.24,250831.0
2017-07-03,22.34,21.75,22.4,21.39,396507.0
2017-07-05,21.82,22.38,22.41,21.76,765815.0
2017-07-06,20.97,21.61,21.61,20.9,1184427.0
2017-07-07,20.67,20.99,21.22,20.58,953857.0
2017-07-10,21.34,20.63,21.48,20.55,826888.0
2017-07-11,21.73,21.23,21.8,21.02,656134.0
2017-07-12,22.13,21.78,22.34,21.73,1091807.0
2017-07-13,22.06,22.11,22.26,21.86,1577730.0
2017-07-14,22.08,22.13,22.29,21.99,211254.0
2017-07-17,22.97,22.06,23.12,21.92,1357054.0
2017-07-18,23.04,22.83,23.21,22.81,962684.0
2017-07-19,23.42,23.03,23.42,23.0,742424.0
2017-07-20,23.55,23.41,23.62,23.0,454431.0
2017-07-21,23.01,23.44,23.69,22.82,1163239.0
2017-07-24,23.14,22.93,23.15,22.71,724428.0
2017-07-25,23.45,23.28,23.56,22.99,1832279.0
2017-07-26,22.82,23.6,23.6,22.64,781210.0
2017-07-27,23.23,22.81,23.25,22.75,314159.0
2017-07-28,23.09,23.08,23.22,22.88,260792.0
2017-07-31,22.96,23.23,23.23,22.91,536924.0
2017-08-01,22.5,23.0,23.0,22.39,998199.0
2017-08-02,23.02,22.5,23.13,22.5,1444358.0
2017-08-03,23.26,23.83,24.0,22.96,2650329.0
2017-08-04,24.07,23.46,24.08,23.29,809595.0
2017-08-07,24.04,24.09,24.34,23.74,1039061.0
2017-08-08,24.13,24.06,24.29,23.73,626655.0
2017-08-09,23.6,24.04,24.06,23.48,296760.0
2017-08-10,22.66,23.39,23.39,22.52,1247866.0
2017-08-11,22.68,22.28,22.91,22.28,605297.0
2017-08-14,22.59,22.89,23.19,22.16,970281.0
2017-08-15,22.69,22.69,22.8,22.55,1061909.0
2017-08-16,22.75,22.8,22.87,22.59,536296.0
2017-08-17,22.0,22.6,22.81,21.98,417867.0
2017-08-18,21.97,21.91,22.18,21.76,506385.0
2017-08-21,22.39,22.66,22.9,22.14,714045.0
2017-08-22,22.78,22.52,22.85,22.4,245085.0
2017-08-23,22.96,22.58,23.07,22.58,612417.0
2017-08-24,22.7,22.98,22.98,22.64,230258.0
2017-08-25,22.98,22.82,23.04,22.71,572279.0
2017-08-28,22.95,23.07,23.07,22.75,355201.0
2017-08-29,23.06,22.81,23.18,22.68,262197.0
2017-08-30,23.3,22.95,23.31,22.89,368533.0
2017-08-31,23.49,23.47,23.83,23.29,382968.0
2017-09-01,23.7,23.7,23.95,23.67,465509.0
2017-09-05,23.12,23.78,23.87,22.94,450345.0
2017-09-06,23.35,23.32,23.49,22.92,400617.0
2017-09-07,23.61,23.43,23.68,23.18,247264.0
2017-09-08,23.76,23.53,23.93,23.5,404073.0
2017-09-11,23.89,23.95,24.4,23.84,386702.0
2017-09-12,24.53,24.06,25.05,23.87,655510.0
2017-09-13,24.67,24.58,24.8,24.52,331126.0
2017-09-14,24.97,24.68,25.07,24.57,480421.0
2017-09-15,25.09,25.0,25.16,24.76,517173.0
2017-09-18,25.78,25.17,26.0,25.17,703911.0
2017-09-19,25.82,25.89,26.18,25.58,421275.0
2017-09-20,25.98,25.86,26.04,25.63,561009.0
2017-09-21,25.85,26.03,26.09,25.78,432778.0
2017-09-22,26.28,25.88,26.3,25.7,269645.0
2017-09-25,26.4,26.32,26.66,26.26,485646.0
2017-09-26,26.31,26.51,26.74,26.2,660778.0
2017-09-27,27.07,26.4,27.08,26.21,557771.0
2017-09-28,27.33,27.05,27.49,27.05,694414.0
2017-09-29,27.52,27.42,27.65,27.33,298426.0
2017-10-02,27.55,27.46,27.84,27.22,473650.0
2017-10-03,27.63,27.95,27.95,27.57,400178.0
2017-10-04,26.89,27.5,27.6,26.81,665671.0
2017-10-05,26.79,26.92,27.17,26.74,417850.0
2017-10-06,26.6,26.61,26.84,26.5,414075.0
2017-10-09,26.78,26.6,26.85,26.23,372926.0
2017-10-10,26.9,26.85,27.29,26.78,257457.0
2017-10-11,26.86,26.88,26.99,26.77,273850.0
2017-10-12,26.89,26.7,26.98,26.6,269614.0
2017-10-13,26.96,27.11,27.26,26.53,379610.0
2017-10-16,26.92,27.0,27.1,26.82,399191.0
2017-10-17,26.99,26.9,27.22,26.78,545312.0
2017-10-18,26.75,26.92,27.31,26.61,566407.0
2017-10-19,26.36,26.47,26.66,26.1,495544.0
2017-10-20,26.58,26.49,26.81,26.4,796599.0
2017-10-23,26.42,26.58,26.68,26.2,467480.0
2017-10-24,26.6,26.53,26.75,26.42,608230.0
2017-10-25,26.62,26.44,26.77,26.27,527593.0
2017-10-26,29.1,28.48,29.47,27.59,2409042.0
2017-10-27,30.42,30.06,30.66,29.15,1433963.0
2017-10-30,29.12,30.43,30.43,28.8,1344872.0
2017-10-31,28.85,29.13,29.51,28.8,647636.0
2017-11-01,28.94,29.16,29.2,28.87,837516.0
2017-11-02,29.31,28.89,29.49,28.83,738298.0
2017-11-03,28.58,29.36,29.36,28.18,924938.0
2017-11-06,27.96,28.55,28.55,27.93,659072.0
2017-11-07,28.0,28.05,28.21,27.8,568285.0
2017-11-08,28.07,28.0,28.58,27.85,838462.0
2017-11-09,28.14,27.88,28.21,27.4,1079977.0
2017-11-10,28.76,28.21,28.84,28.18,792582.0
2017-11-13,29.41,28.57,29.51,28.1,883366.0
2017-11-14,28.66,28.56,28.88,28.17,1090128.0
2017-11-15,27.54,28.29,28.69,27.53,870389.0
2017-11-16,28.89,27.88,29.11,27.61,7596770.0
2017-11-17,30.05,29.0,30.23,28.72,2587960.0
2017-11-20,30.57,30.21,30.94,29.81,2904280.0
2017-11-21,30.73,30.81,31.09,30.22,1687016.0
2017-11-22,30.98,31.05,31.88,30.81,1223008.0
2017-11-24,31.14,31.13,31.52,30.99,391777.0
2017-11-27,31.46,31.33,31.58,31.22,1307896.0
2017-11-28,31.23,31.59,31.7,31.12,965734.0
2017-11-29,31.15,31.11,31.58,31.03,892760.0
2017-11-30,32.41,31.44,32.51,31.39,2112831.0
2017-12-01,32.08,32.55,32.75,31.57,2144255.0
2017-12-04,31.45,32.44,32.75,31.27,785757.0
2017-12-05,31.16,31.58,31.75,31.1,630861.0
2017-12-06,31.47,31.02,31.55,31.0,463569.0
2017-12-07,32.18,31.66,32.23,31.64,845778.0
2017-12-08,32.33,32.4,32.5,31.87,637629.0
2017-12-11,32.03,32.35,32.5,31.96,331144.0
2017-12-12,31.68,32.05,32.22,31.66,435102.0
2017-12-13,31.83,31.73,31.94,31.61,1003129.0
2017-12-14,31.69,31.83,31.99,31.66,467525.0
2017-12-15,32.61,31.96,32.9,31.9,1606723.0
2017-12-18,33.38,32.8,33.57,32.8,947555.0
2017-12-19,33.29,33.37,33.62,33.16,977527.0
2017-12-20,34.01,33.4,34.15,33.04,645041.0
2017-12-21,34.43,34.11,34.56,33.86,333750.0
2017-12-22,34.2,34.43,34.63,34.02,323506.0
2017-12-26,34.03,34.44,34.44,33.81,148721.0
2017-12-27,34.11,34.08,34.32,33.98,311229.0
2017-12-28,33.97,34.26,34.26,33.63,282562.0
2017-12-29,33.93,34.11,34.44,33.92,442326.0
2018-01-02,33.71,34.19,34.27,33.41,814733.0
2018-01-03,33.91,33.71,34.07,33.52,806622.0
2018-01-04,34.07,34.07,34.61,34.0,488403.0
2018-01-05,34.55,33.75,34.79,33.75,416899.0
2018-01-08,34.91,34.64,35.16,34.51,573602.0
2018-01-09,35.09,35.09,35.41,34.96,418782.0
2018-01-10,34.45,34.96,35.3,34.29,424927.0
2018-01-11,34.89,34.7,34.93,34.57,248055.0
2018-01-12,34.56,35.0,35.04,34.55,542063.0
2018-01-16,35.1,34.8,36.08,34.8,974677.0
2018-01-17,34.96,35.36,35.66,34.86,868371.0
2018-01-18,35.2,34.95,35.29,34.6,443061.0
2018-01-19,35.92,35.01,35.95,35.01,518520.0
2018-01-22,36.19,35.9,36.24,35.63,660619.0
2018-01-23,36.69,37.59,38.0,36.37,927869.0
2018-01-24,36.27,36.83,37.0,36.18,435951.0
2018-01-25,35.94,36.41,36.49,35.52,660419.0
2018-01-26,36.28,36.2,36.35,35.75,229456.0
2018-01-29,36.24,36.12,36.42,35.82,414472.0
2018-01-30,35.47,36.15,36.15,34.45,795818.0
2018-01-31,34.58,35.75,35.79,34.51,756159.0
2018-02-01,35.04,35.1,35.27,33.97,681044.0
2018-02-02,34.17,34.62,34.63,34.03,637037.0
2018-02-05,33.51,33.83,34.88,32.57,827465.0
2018-02-06,33.39,32.89,33.82,32.62,633843.0
2018-02-07,32.81,33.27,33.87,32.77,790844.0
