Date,Close,Open,High,Low,Volume
4/26/1999,7.69,7.77,7.77,7.69,19600.0
4/27/1999,7.61,7.72,7.72,7.61,14300.0
4/28/1999,7.46,7.61,7.61,7.46,52600.0
4/29/1999,7.33,7.49,7.49,7.31,51700.0
4/30/1999,7.3,7.35,7.54,7.3,40400.0
5/3/1999,6.98,7.33,7.33,6.95,62700.0
5/4/1999,7.41,6.98,7.41,6.98,219200.0
5/5/1999,7.33,7.38,7.38,7.3,88600.0
5/6/1999,7.53,7.35,7.54,7.35,57200.0
5/7/1999,7.46,7.51,7.51,7.41,79000.0
5/10/1999,7.16,7.35,7.38,7.1,159000.0
5/11/1999,7.43,7.12,7.43,7.05,92000.0
5/12/1999,7.64,7.41,7.8,7.38,2651200.0
5/13/1999,7.72,7.61,7.74,7.57,252500.0
5/14/1999,7.48,7.51,7.54,7.08,151800.0
5/17/1999,7.39,7.48,7.48,7.35,65300.0
5/18/1999,7.48,7.61,7.61,7.44,48300.0
5/19/1999,7.51,7.49,7.61,7.49,29300.0
5/20/1999,7.67,7.61,7.72,7.51,155600.0
5/21/1999,7.61,7.71,7.75,7.51,125400.0
5/24/1999,7.56,7.64,7.64,7.54,105600.0
5/25/1999,7.48,7.54,7.54,7.35,71600.0
5/26/1999,7.33,7.44,7.44,7.2,197200.0
5/27/1999,7.23,7.35,7.35,7.12,62500.0
5/28/1999,7.25,7.21,7.3,7.18,18900.0
6/1/1999,7.57,7.26,7.61,7.26,38000.0
6/2/1999,7.71,7.57,7.74,7.54,120300.0
6/3/1999,7.75,7.69,7.87,7.61,81400.0
6/4/1999,7.72,7.72,7.8,7.67,232300.0
6/7/1999,7.75,7.8,7.8,7.74,23100.0
6/8/1999,7.77,7.75,7.77,7.74,22500.0
6/9/1999,7.8,7.75,7.84,7.74,24000.0
6/10/1999,7.8,7.77,7.8,7.74,16900.0
6/11/1999,7.75,7.79,7.85,7.74,51300.0
6/14/1999,7.59,7.77,7.77,7.57,17200.0
6/15/1999,7.59,7.57,7.66,7.57,29500.0
