Date,Close,Open,High,Low,Volume
2000-06-13,2.01,2.0,2.03,1.99,5129000.0
2000-06-14,2.0,2.0,2.04,1.97,1428800.0
2000-06-15,2.03,2.06,2.06,2.0,622800.0
2000-06-16,2.03,2.01,2.06,2.0,115900.0
2000-06-19,2.0,2.03,2.06,2.0,302900.0
2000-06-20,2.08,2.01,2.18,1.75,261700.0
2000-06-21,2.44,2.22,2.47,2.14,520500.0
2000-06-22,2.19,2.46,2.47,2.12,190600.0
2000-06-23,2.31,2.26,2.36,2.22,136700.0
2000-06-26,2.22,2.33,2.36,2.17,101900.0
2000-06-27,2.11,2.22,2.32,2.0,136900.0
2000-06-28,2.14,2.14,2.19,2.03,184000.0
2000-06-29,2.0,2.19,2.19,2.0,185400.0
2000-06-30,2.1,2.07,2.14,2.03,191000.0
2000-07-03,2.14,2.17,2.17,2.11,32100.0
2000-07-05,2.22,2.17,2.22,2.11,138200.0
2000-07-06,2.17,2.22,2.24,2.1,129900.0
2000-07-07,2.28,2.23,2.58,2.13,793700.0
2000-07-10,2.79,2.46,2.94,2.32,630300.0
2000-07-11,2.83,3.01,3.17,2.64,1337000.0
2000-07-12,3.33,3.1,3.43,2.82,1094700.0
2000-07-13,3.72,4.0,4.03,3.58,1220200.0
2000-07-14,3.44,3.92,3.94,3.31,563800.0
2000-07-17,3.47,3.56,3.58,3.39,184400.0
2000-07-18,3.22,3.49,3.54,3.19,134300.0
2000-07-19,3.11,3.19,3.22,2.92,176200.0
2000-07-20,3.53,3.07,3.69,3.03,263200.0
2000-07-21,3.81,3.53,3.81,3.47,190600.0
2000-07-24,3.72,3.78,3.94,3.57,186200.0
2000-07-25,3.58,3.75,3.83,3.44,96700.0
2000-07-26,3.86,3.58,3.89,3.14,196500.0
2000-07-27,3.81,3.72,4.22,3.67,223200.0
2000-07-28,3.61,3.81,3.82,3.44,151500.0
2000-07-31,4.19,3.56,4.24,3.31,319600.0
2000-08-01,3.88,3.99,4.03,3.86,99200.0
2000-08-02,3.79,3.89,4.04,3.78,66200.0
2000-08-03,3.9,3.78,4.0,3.67,49100.0
2000-08-04,3.79,4.0,4.01,3.75,81500.0
2000-08-07,3.56,3.78,3.86,3.44,116000.0
2000-08-08,3.5,3.72,3.72,3.44,33000.0
2000-08-09,3.26,3.49,3.54,3.22,78900.0
2000-08-10,3.28,3.28,3.47,3.25,50200.0
2000-08-11,3.11,3.18,3.28,2.93,86300.0
2000-08-14,3.11,3.26,3.26,3.11,37300.0
2000-08-15,2.81,3.1,3.11,2.81,137000.0
2000-08-16,3.04,2.83,3.15,2.83,54100.0
2000-08-17,3.22,3.11,3.22,3.03,119400.0
2000-08-18,3.11,3.23,3.25,3.11,25900.0
2000-08-21,3.01,3.09,3.1,2.94,16400.0
2000-08-22,2.94,2.94,3.01,2.92,17900.0
2000-08-23,2.9,2.89,2.92,2.78,42500.0
2000-08-24,2.86,2.86,2.89,2.78,49200.0
2000-08-25,3.36,2.84,3.36,2.78,144300.0
2000-08-28,3.19,3.35,3.36,3.14,41100.0
2000-08-29,3.19,3.4,3.42,3.14,26800.0
2000-08-30,3.33,3.23,3.36,3.23,17500.0
2000-08-31,3.22,3.39,3.39,3.11,42700.0
2000-09-01,3.08,3.23,3.31,3.08,86200.0
2000-09-05,3.1,3.11,3.17,3.0,77400.0
2000-09-06,3.06,3.08,3.11,3.0,71000.0
2000-09-07,3.08,3.06,3.11,3.0,48300.0
2000-09-08,3.11,3.1,3.21,3.06,62400.0
2000-09-11,3.15,3.13,3.15,3.07,33500.0
2000-09-12,3.32,3.18,3.32,3.17,77800.0
2000-09-13,3.13,3.31,3.31,3.11,36900.0
2000-09-14,3.24,3.22,3.28,3.11,46000.0
2000-09-15,3.0,3.16,3.24,2.94,59500.0
2000-09-18,2.89,3.06,3.11,2.78,47500.0
2000-09-19,2.83,2.83,2.89,2.83,79700.0
2000-09-20,2.58,2.86,2.89,2.58,86200.0
2000-09-21,2.44,2.58,2.72,2.33,83200.0
2000-09-22,2.65,2.4,2.67,2.36,28300.0
2000-09-25,2.64,2.67,2.97,2.61,60900.0
2000-09-26,2.64,2.65,2.67,2.61,18400.0
2000-09-27,2.58,2.64,2.72,2.56,53000.0
2000-09-28,2.61,2.72,2.72,2.61,180500.0
2000-09-29,2.61,2.56,2.72,2.54,125900.0
2000-10-02,2.63,2.61,2.78,2.58,184600.0
2000-10-03,2.58,2.78,2.78,2.57,75900.0
2000-10-04,2.56,2.57,2.58,2.44,31800.0
2000-10-05,2.46,2.56,2.58,2.46,74300.0
2000-10-06,2.31,2.51,2.56,2.29,51300.0
