Date,Close,Open,High,Low,Volume
1980-03-17,0.68,,0.68,0.68,5000.0
1980-03-18,0.7,,0.7,0.68,5000.0
1980-03-19,0.68,,0.7,0.68,1200.0
1980-03-20,0.68,,0.68,0.68,4300.0
1980-03-21,0.69,,0.69,0.68,5500.0
1980-03-24,0.68,,0.69,0.68,900.0
1980-03-25,0.65,,0.67,0.64,6900.0
1980-03-26,0.65,,0.65,0.65,500.0
1980-03-27,0.65,,0.65,0.64,1100.0
1980-03-28,0.66,,0.67,0.66,4500.0
1980-03-31,0.68,,0.68,0.67,600.0
1980-04-01,0.7,,0.7,0.68,3000.0
1980-04-02,0.69,,0.7,0.69,9600.0
1980-04-03,0.68,,0.69,0.68,56800.0
1980-04-07,0.68,,0.68,0.68,1400.0
1980-04-08,0.68,,0.68,0.68,11500.0
1980-04-09,0.66,,0.67,0.66,2900.0
1980-04-10,0.7,,0.7,0.67,4400.0
1980-04-11,0.71,,0.71,0.71,1900.0
1980-04-14,0.7,,0.7,0.69,1400.0
1980-04-15,0.69,,0.71,0.69,4600.0
1980-04-16,0.68,,0.68,0.68,400.0
1980-04-17,0.66,,0.67,0.64,41200.0
1980-04-18,0.66,,0.66,0.66,1000.0
1980-04-21,0.65,,0.66,0.65,12100.0
1980-04-22,0.66,,0.66,0.65,4500.0
1980-04-23,0.66,,0.68,0.66,56300.0
1980-04-24,0.64,,0.66,0.64,9500.0
1980-04-25,0.66,,0.66,0.66,800.0
1980-04-28,0.68,,0.68,0.66,49400.0
1980-04-29,0.65,,0.66,0.65,1700.0
1980-04-30,0.64,,0.66,0.64,700.0
1980-05-01,0.63,,0.65,0.63,3900.0
1980-05-02,0.67,,0.67,0.64,4600.0
1980-05-05,0.66,,0.66,0.65,1000.0
1980-05-06,0.66,,0.66,0.66,1800.0
1980-05-07,0.66,,0.66,0.66,5400.0
1980-05-08,0.68,,0.68,0.66,3800.0
1980-05-09,0.68,,0.68,0.68,1200.0
1980-05-12,0.69,,0.7,0.69,600.0
1980-05-13,0.69,,0.7,0.68,1500.0
1980-05-14,0.69,,0.7,0.69,1300.0
1980-05-15,0.69,,0.69,0.68,3100.0
1980-05-16,0.68,,0.68,0.68,2400.0
1980-05-19,0.69,,0.7,0.68,27400.0
1980-05-20,0.69,,0.69,0.69,3100.0
1980-05-21,0.69,,0.69,0.69,6200.0
1980-05-22,0.69,,0.69,0.69,700.0
1980-05-23,0.69,,0.69,0.69,1200.0
1980-05-27,0.71,,0.71,0.7,800.0
1980-05-28,0.72,,0.72,0.71,2400.0
1980-05-29,0.72,,0.72,0.71,12000.0
1980-05-30,0.7,,0.71,0.7,30100.0
1980-06-02,0.7,,0.71,0.7,1500.0
1980-06-03,0.7,,0.7,0.7,2700.0
1980-06-04,0.71,,0.71,0.7,2100.0
1980-06-05,0.7,,0.71,0.7,49200.0
1980-06-06,0.73,,0.73,0.7,4100.0
1980-06-09,0.72,,0.73,0.72,2000.0
1980-06-10,0.72,,0.73,0.72,3400.0
1980-06-11,0.72,,0.73,0.72,4700.0
1980-06-12,0.72,,0.73,0.72,2600.0
1980-06-13,0.71,,0.73,0.71,1000.0
1980-06-16,0.71,,0.71,0.71,1000.0
1980-06-17,0.72,,0.72,0.71,15000.0
1980-06-18,0.74,,0.74,0.73,2300.0
1980-06-19,0.73,,0.74,0.73,2200.0
1980-06-20,0.72,,0.72,0.72,1000.0
1980-06-23,0.74,,0.74,0.73,4100.0
1980-06-24,0.73,,0.74,0.73,4200.0
1980-06-25,0.73,,0.73,0.72,21200.0
1980-06-26,0.73,,0.74,0.72,4100.0
1980-06-27,0.73,,0.73,0.73,3300.0
1980-06-30,0.73,,0.73,0.72,500.0
1980-07-01,0.72,,0.72,0.71,3200.0
1980-07-02,0.71,,0.71,0.71,1200.0
1980-07-03,0.72,,0.72,0.71,5200.0
1980-07-07,0.72,,0.72,0.71,1600.0
1980-07-08,0.72,,0.72,0.71,2300.0
1980-07-09,0.71,,0.71,0.71,500.0
1980-07-10,0.71,,0.72,0.71,2200.0
1980-07-11,0.71,,0.72,0.71,2400.0
1980-07-14,0.72,,0.72,0.7,6000.0
1980-07-15,0.73,,0.74,0.72,5500.0
1980-07-16,0.74,,0.75,0.73,2100.0
1980-07-17,0.74,,0.74,0.73,8500.0
1980-07-18,0.77,,0.77,0.75,4100.0
1980-07-21,0.78,,0.78,0.77,2300.0
1980-07-22,0.78,,0.78,0.78,1800.0
1980-07-23,0.79,,0.8,0.79,1700.0
1980-07-24,0.8,,0.8,0.79,1200.0
1980-07-25,0.8,,0.81,0.8,1900.0
1980-07-28,0.8,,0.81,0.79,2200.0
1980-07-29,0.81,,0.81,0.8,2800.0
1980-07-30,0.83,,0.84,0.81,1600.0
1980-07-31,0.82,,0.83,0.82,1100.0
1980-08-01,0.83,,0.83,0.82,700.0
1980-08-04,0.82,,0.83,0.82,1400.0
1980-08-05,0.83,,0.83,0.82,2500.0
1980-08-06,0.82,,0.83,0.82,32200.0
1980-08-07,0.83,,0.84,0.82,2300.0
1980-08-08,0.85,,0.85,0.84,3000.0
1980-08-11,0.85,,0.86,0.84,1200.0
1980-08-12,0.88,,0.89,0.85,4800.0
1980-08-13,0.87,,0.88,0.87,1600.0
1980-08-14,0.87,,0.87,0.86,3500.0
1980-08-15,0.85,,0.86,0.85,1700.0
1980-08-18,0.86,,0.87,0.86,4400.0
1980-08-19,0.87,,0.87,0.86,2600.0
1980-08-20,0.86,,0.86,0.84,59500.0
1980-08-21,0.84,,0.86,0.84,4500.0
1980-08-22,0.85,,0.85,0.84,5500.0
1980-08-25,0.84,,0.84,0.84,600.0
1980-08-26,0.83,,0.84,0.83,7600.0
1980-08-27,0.83,,0.83,0.83,300.0
1980-08-28,0.83,,0.83,0.83,200.0
1980-08-29,0.83,,0.83,0.83,700.0
1980-09-02,0.82,,0.82,0.8,3300.0
1980-09-03,0.84,,0.84,0.82,11900.0
1980-09-04,0.84,,0.84,0.83,2800.0
1980-09-05,0.85,,0.86,0.84,1000.0
1980-09-08,0.83,,0.84,0.83,3300.0
1980-09-09,0.84,,0.84,0.84,1000.0
1980-09-11,0.86,,0.86,0.84,1600.0
1980-09-12,0.86,,0.86,0.85,600.0
1980-09-15,0.86,,0.87,0.86,400.0
1980-09-16,0.87,,0.87,0.87,1500.0
1980-09-17,0.89,,0.89,0.86,8800.0
1980-09-18,0.9,,0.9,0.89,1900.0
1980-09-19,0.91,,0.91,0.9,3400.0
1980-09-22,0.9,,0.91,0.9,800.0
1980-09-23,0.87,,0.9,0.87,15700.0
1980-09-24,0.84,,0.86,0.84,600.0
1980-09-25,0.85,,0.86,0.84,6400.0
