Date,Close,Open,High,Low,Volume
1995-08-25,6.8,6.73,6.83,6.73,708200.0
1995-08-28,6.7,6.78,6.78,6.65,283700.0
1995-08-29,6.7,6.75,6.78,6.63,175800.0
1995-08-30,6.73,6.7,6.73,6.68,87300.0
1995-08-31,6.7,6.73,6.73,6.65,121300.0
1995-09-01,6.73,6.7,6.73,6.68,43400.0
1995-09-05,6.7,6.7,6.73,6.68,77100.0
1995-09-06,6.68,6.68,6.7,6.65,49400.0
1995-09-07,6.63,6.68,6.68,6.6,147600.0
1995-09-08,6.28,6.58,6.6,6.28,189200.0
1995-09-11,6.43,6.3,6.53,6.3,86800.0
1995-09-12,6.65,6.55,6.68,6.55,163500.0
1995-09-13,6.68,6.75,6.78,6.65,108500.0
1995-09-14,6.7,6.68,6.7,6.65,30900.0
1995-09-15,6.7,6.68,6.7,6.68,43700.0
1995-09-18,6.73,6.68,6.73,6.65,84500.0
1995-09-19,6.68,6.7,6.7,6.65,23300.0
1995-09-20,6.55,6.65,6.65,6.53,24900.0
1995-09-21,6.6,6.6,6.63,6.55,31400.0
1995-09-22,6.45,6.55,6.55,6.45,18900.0
1995-09-25,6.43,6.5,6.5,6.43,10600.0
1995-09-26,6.53,6.55,6.6,6.53,53300.0
1995-09-27,6.5,6.5,6.53,6.5,19000.0
1995-09-28,6.6,6.55,6.63,6.55,41000.0
1995-09-29,6.9,6.8,6.93,6.8,260600.0
1995-10-02,7.03,7.0,7.13,7.0,114000.0
1995-10-03,7.05,7.05,7.08,7.0,33000.0
1995-10-04,6.98,7.03,7.03,6.98,21700.0
1995-10-05,7.03,7.0,7.03,6.98,14100.0
1995-10-06,6.98,7.03,7.03,6.95,55400.0
1995-10-09,6.93,6.95,7.0,6.93,15400.0
1995-10-10,6.83,6.93,6.93,6.8,16000.0
1995-10-11,6.83,6.83,6.9,6.83,16100.0
1995-10-12,7.03,6.88,7.05,6.88,34000.0
1995-10-13,7.25,7.15,7.28,7.15,40200.0
1995-10-16,7.38,7.3,7.43,7.3,26000.0
1995-10-17,7.28,7.35,7.35,7.28,30900.0
1995-10-18,7.38,7.28,7.48,7.28,33800.0
1995-10-19,7.53,7.43,7.53,7.43,26100.0
1995-10-20,7.65,7.58,7.7,7.58,42500.0
1995-10-23,7.68,7.68,7.68,7.65,13200.0
1995-10-24,7.55,7.63,7.63,7.55,14300.0
1995-10-25,7.53,7.55,7.55,7.53,56900.0
1995-10-26,7.45,7.53,7.55,7.43,19200.0
1995-10-27,7.45,7.43,7.45,7.4,5000.0
1995-10-30,7.43,7.43,7.48,7.43,3700.0
1995-10-31,7.65,7.55,7.65,7.55,41600.0
1995-11-01,7.5,7.63,7.63,7.48,21400.0
1995-11-02,7.6,7.53,7.65,7.53,58200.0
1995-11-03,7.93,7.9,7.93,7.9,50500.0
1995-11-06,8.0,7.93,8.0,7.85,47000.0
1995-11-07,7.93,8.0,8.0,7.93,38400.0
1995-11-08,7.95,7.93,7.95,7.9,2900.0
1995-11-09,8.03,7.93,8.05,7.93,8300.0
1995-11-10,7.95,8.0,8.0,7.95,2200.0
1995-11-13,7.93,7.93,7.93,7.88,5800.0
1995-11-14,7.8,7.9,7.9,7.8,7100.0
1995-11-15,7.88,7.8,7.88,7.8,2300.0
1995-11-16,8.0,7.88,8.0,7.88,6200.0
1995-11-17,8.0,8.0,8.0,8.0,2900.0
1995-11-20,8.08,8.0,8.1,8.0,5000.0
1995-11-21,8.13,8.08,8.13,8.08,1300.0
1995-11-22,8.23,8.1,8.23,8.1,4300.0
1995-11-24,8.15,8.23,8.23,8.15,2400.0
1995-11-27,8.05,8.15,8.15,8.05,4200.0
1995-11-28,8.13,8.05,8.15,8.05,2400.0
1995-11-29,8.08,8.1,8.1,8.08,1300.0
1995-11-30,8.15,8.1,8.18,8.1,3200.0
1995-12-01,8.13,8.15,8.15,8.13,1700.0
1995-12-04,8.13,8.1,8.13,8.1,1300.0
1995-12-05,8.13,8.1,8.13,8.1,600.0
1995-12-06,8.05,8.1,8.1,8.05,3600.0
1995-12-07,8.18,8.1,8.2,8.1,20500.0
1995-12-08,8.1,8.13,8.13,8.1,1100.0
1995-12-11,8.08,8.08,8.08,8.08,500.0
1995-12-12,8.05,8.05,8.05,8.05,400.0
1995-12-13,8.03,8.1,8.1,8.03,1700.0
1995-12-14,7.98,8.0,8.0,7.98,3400.0
1995-12-15,7.95,7.95,7.95,7.95,1600.0
1995-12-18,7.9,7.9,7.9,7.9,800.0
1995-12-19,7.75,7.85,7.85,7.75,3100.0
1995-12-20,7.68,7.75,7.75,7.68,1300.0
1995-12-21,7.65,7.68,7.73,7.65,1400.0
1995-12-22,7.65,7.65,7.65,7.65,600.0
1995-12-26,7.63,7.63,7.63,7.63,300.0
1995-12-27,7.63,7.63,7.68,7.63,3900.0
1995-12-28,7.75,7.7,7.75,7.7,5600.0
1995-12-29,7.75,7.73,7.75,7.73,2100.0
1996-01-02,7.83,7.8,7.85,7.8,7700.0
1996-01-03,7.95,7.88,7.98,7.88,5000.0
1996-01-04,7.8,7.95,7.95,7.8,3900.0
1996-01-05,7.8,7.8,7.83,7.8,3100.0
1996-01-08,7.7,7.75,7.75,7.7,1700.0
1996-01-09,7.6,7.7,7.7,7.6,3500.0
1996-01-10,7.45,7.6,7.6,7.45,2900.0
1996-01-11,7.45,7.45,7.5,7.45,40800.0
1996-01-12,7.38,7.43,7.43,7.35,3700.0
1996-01-15,7.38,7.35,7.38,7.35,1600.0
1996-01-16,7.33,7.35,7.35,7.33,1300.0
1996-01-17,7.4,7.35,7.43,7.35,2000.0
1996-01-18,7.5,7.45,7.5,7.45,11700.0
1996-01-19,7.4,7.4,7.4,7.4,57000.0
1996-01-22,7.4,7.43,7.43,7.4,400.0
1996-01-23,7.2,7.35,7.35,7.2,3600.0
1996-01-24,7.25,7.25,7.3,7.25,3800.0
1996-01-25,7.15,7.3,7.3,7.15,8800.0
1996-01-26,7.1,7.1,7.1,7.08,4600.0
1996-01-29,7.25,7.15,7.25,7.1,9000.0
1996-01-30,7.2,7.25,7.25,7.2,3600.0
1996-01-31,7.5,7.25,7.55,7.25,34800.0
1996-02-01,7.7,7.55,7.7,7.55,4700.0
1996-02-02,7.65,7.7,7.75,7.65,13500.0
1996-02-05,7.8,7.7,7.83,7.7,4600.0
1996-02-06,7.95,7.85,7.95,7.85,4200.0
1996-02-07,8.0,8.0,8.0,8.0,800.0
1996-02-08,7.98,7.98,7.98,7.95,1700.0
1996-02-09,7.95,7.98,8.0,7.88,23900.0
1996-02-12,8.4,8.2,8.4,8.2,7900.0
1996-02-13,8.25,8.33,8.35,8.25,4700.0
1996-02-14,8.75,8.45,8.75,8.45,16400.0
1996-02-15,8.65,8.8,8.8,8.65,12000.0
1996-02-16,8.45,8.6,8.6,8.45,4000.0
1996-02-20,8.45,8.45,8.5,8.43,5200.0
1996-02-21,8.45,8.4,8.45,8.4,1100.0
1996-02-22,8.5,8.45,8.58,8.45,9300.0
1996-02-23,8.48,8.48,8.48,8.4,7300.0
1996-02-26,8.45,8.48,8.48,8.4,2200.0
1996-02-27,8.48,8.4,8.48,8.4,5500.0
1996-02-28,8.33,8.4,8.4,8.33,27700.0
1996-02-29,8.25,8.3,8.3,8.25,1500.0
1996-03-01,8.2,8.28,8.28,8.2,1600.0
1996-03-04,8.2,8.25,8.25,8.2,1200.0
1996-03-05,8.25,8.25,8.25,8.25,200.0
1996-03-06,8.28,8.28,8.28,8.28,1400.0
1996-03-07,8.23,8.23,8.23,8.2,2600.0
1996-03-08,8.15,8.2,8.2,8.15,1300.0
1996-03-11,8.0,8.1,8.1,8.0,6200.0
1996-03-12,7.85,7.95,7.95,7.85,3500.0
1996-03-13,7.8,7.83,7.83,7.8,1700.0
1996-03-14,7.8,7.78,7.8,7.78,400.0
1996-03-15,7.8,7.8,7.8,7.8,100.0
1996-03-18,7.85,7.83,7.9,7.83,1500.0
1996-03-19,8.0,7.9,8.0,7.9,3000.0
1996-03-20,8.15,8.05,8.15,8.05,2200.0
1996-03-21,8.15,8.18,8.23,8.15,3000.0
1996-03-22,8.05,8.1,8.1,8.05,1900.0
1996-03-25,8.0,8.0,8.0,7.95,1700.0
1996-03-26,8.05,7.95,8.1,7.95,7500.0
1996-03-27,8.03,8.05,8.05,7.98,1400.0
1996-03-28,8.0,8.0,8.03,8.0,600.0
1996-03-29,8.03,8.03,8.03,7.98,1700.0
1996-04-01,7.9,8.03,8.03,7.9,3700.0
1996-04-02,7.9,7.95,7.95,7.88,1900.0
1996-04-03,8.0,7.95,8.0,7.95,900.0
1996-04-04,7.95,8.05,8.05,7.95,5500.0
1996-04-08,7.93,7.95,7.95,7.9,1600.0
1996-04-09,7.85,7.93,7.93,7.85,2200.0
1996-04-10,7.8,7.85,7.85,7.8,1100.0
1996-04-11,7.6,7.73,7.73,7.6,6100.0
1996-04-12,7.5,7.6,7.6,7.45,26300.0
1996-04-15,7.48,7.55,7.58,7.48,2600.0
