Date,Close,Open,High,Low,Volume
1980-03-17,0.48,,0.49,0.48,11587.0
1980-03-18,0.48,,0.48,0.47,121670.0
1980-03-20,0.47,,0.47,0.47,55041.0
1980-03-21,0.47,,0.47,0.47,2896.0
1980-03-24,0.45,,0.47,0.45,211475.0
1980-03-25,0.43,,0.45,0.43,23175.0
1980-03-26,0.41,,0.43,0.41,43453.0
1980-03-27,0.37,,0.37,0.36,695262.0
1980-03-28,0.4,,0.4,0.38,49247.0
1980-03-31,0.41,,0.41,0.38,286795.0
1980-04-01,0.41,,0.41,0.4,104289.0
1980-04-03,0.4,,0.41,0.4,14484.0
1980-04-07,0.39,,0.4,0.39,75320.0
1980-04-08,0.39,,0.39,0.38,37660.0
1980-04-09,0.38,,0.39,0.38,46350.0
1980-04-10,0.39,,0.39,0.39,8690.0
1980-04-11,0.4,,0.41,0.4,57938.0
1980-04-14,0.4,,0.4,0.4,46350.0
1980-04-15,0.4,,0.4,0.4,11587.0
1980-04-16,0.43,,0.43,0.41,52144.0
1980-04-17,0.42,,0.42,0.42,2896.0
1980-04-18,0.41,,0.42,0.41,31866.0
1980-04-21,0.42,,0.42,0.41,75320.0
1980-04-22,0.44,,0.44,0.42,66629.0
1980-04-23,0.47,,0.47,0.44,46350.0
1980-04-24,0.44,,0.46,0.44,26072.0
1980-04-25,0.44,,0.44,0.44,17381.0
1980-04-28,0.44,,0.44,0.44,17381.0
1980-04-29,0.44,,0.44,0.44,11587.0
1980-04-30,0.46,,0.46,0.43,63732.0
1980-05-01,0.46,,0.46,0.46,8690.0
1980-05-02,0.45,,0.46,0.45,5793.0
1980-05-05,0.45,,0.45,0.44,57938.0
1980-05-06,0.45,,0.45,0.45,14484.0
1980-05-07,0.46,,0.46,0.45,46350.0
1980-05-08,0.44,,0.46,0.44,66629.0
1980-05-12,0.44,,0.44,0.44,2896.0
1980-05-13,0.46,,0.46,0.44,43453.0
1980-05-14,0.45,,0.46,0.45,40556.0
1980-05-15,0.45,,0.45,0.45,2896.0
1980-05-16,0.46,,0.46,0.45,28969.0
1980-05-19,0.46,,0.46,0.46,5793.0
1980-05-20,0.45,,0.46,0.45,28969.0
1980-05-21,0.44,,0.44,0.44,11587.0
1980-05-22,0.43,,0.44,0.43,78217.0
1980-05-23,0.44,,0.44,0.42,31866.0
1980-05-27,0.43,,0.44,0.43,37660.0
1980-05-28,0.42,,0.44,0.42,115877.0
1980-05-29,0.43,,0.43,0.42,136155.0
1980-05-30,0.45,,0.45,0.43,28969.0
1980-06-03,0.45,,0.45,0.44,55041.0
1980-06-04,0.48,,0.48,0.44,237547.0
1980-06-05,0.47,,0.48,0.47,46350.0
1980-06-06,0.47,,0.47,0.47,28969.0
1980-06-09,0.47,,0.48,0.46,75320.0
1980-06-10,0.47,,0.47,0.46,37660.0
1980-06-11,0.46,,0.46,0.45,37660.0
1980-06-12,0.45,,0.45,0.45,34763.0
1980-06-13,0.45,,0.45,0.45,34763.0
1980-06-16,0.45,,0.46,0.45,57938.0
1980-06-17,0.46,,0.47,0.44,46350.0
1980-06-18,0.5,,0.5,0.47,139052.0
1980-06-19,0.47,,0.51,0.47,84010.0
1980-06-20,0.46,,0.47,0.45,55041.0
1980-06-23,0.48,,0.48,0.46,49247.0
1980-06-24,0.47,,0.47,0.47,17381.0
1980-06-25,0.47,,0.48,0.47,49247.0
1980-06-26,0.5,,0.51,0.48,141949.0
1980-06-27,0.49,,0.5,0.49,40556.0
1980-06-30,0.5,,0.5,0.48,52144.0
1980-07-01,0.5,,0.5,0.5,46350.0
1980-07-02,0.49,,0.49,0.49,11587.0
1980-07-03,0.49,,0.5,0.48,52144.0
1980-07-07,0.49,,0.5,0.49,60835.0
1980-07-08,0.5,,0.51,0.5,52144.0
1980-07-09,0.5,,0.5,0.5,17381.0
1980-07-10,0.53,,0.53,0.5,147743.0
1980-07-11,0.55,,0.55,0.53,150640.0
1980-07-14,0.57,,0.57,0.55,60835.0
1980-07-15,0.54,,0.57,0.54,139052.0
1980-07-16,0.55,,0.57,0.55,599663.0
1980-07-17,0.57,,0.57,0.55,272311.0
1980-07-18,0.57,,0.58,0.56,196991.0
1980-07-21,0.56,,0.57,0.56,240444.0
1980-07-22,0.55,,0.57,0.54,144846.0
1980-07-23,0.51,,0.55,0.48,362115.0
1980-07-24,0.59,,0.59,0.52,422951.0
1980-07-25,0.63,,0.66,0.59,701056.0
1980-07-28,0.63,,0.63,0.6,385291.0
1980-07-29,0.65,,0.66,0.62,860387.0
