Date,Close,Open,High,Low,Volume
1985-11-20,0.38,0.38,0.38,0.38,298500.0
1985-11-21,0.35,0.35,0.37,0.35,364300.0
1985-11-22,0.36,0.36,0.37,0.36,23100.0
1985-11-25,0.35,0.35,0.36,0.35,34800.0
1985-11-26,0.35,0.35,0.36,0.35,28100.0
1985-11-27,0.35,0.35,0.36,0.35,16400.0
1985-11-29,0.35,0.35,0.36,0.35,18800.0
1985-12-02,0.34,0.34,0.35,0.34,12200.0
1985-12-03,0.34,0.34,0.35,0.34,45200.0
1985-12-04,0.34,0.34,0.35,0.34,13800.0
1985-12-05,0.34,0.34,0.35,0.34,13200.0
1985-12-06,0.34,0.34,0.35,0.34,16900.0
1985-12-09,0.34,0.34,0.35,0.34,31200.0
1985-12-10,0.34,0.34,0.35,0.34,10200.0
1985-12-11,0.34,0.34,0.35,0.34,27300.0
1985-12-12,0.35,0.35,0.36,0.35,16100.0
1985-12-13,0.35,0.35,0.37,0.35,38200.0
1985-12-16,0.35,0.35,0.37,0.35,21900.0
1985-12-17,0.35,0.35,0.37,0.35,3600.0
1985-12-18,0.35,0.35,0.36,0.35,21700.0
1985-12-19,0.35,0.35,0.35,0.35,8300.0
1985-12-20,0.35,0.35,0.35,0.35,24500.0
1985-12-23,0.34,0.34,0.35,0.34,10100.0
1985-12-24,0.34,0.34,0.35,0.34,3500.0
1985-12-26,0.34,0.34,0.35,0.34,1800.0
1985-12-27,0.34,0.34,0.35,0.34,4800.0
1985-12-30,0.34,0.34,0.35,0.34,2300.0
1985-12-31,0.34,0.34,0.35,0.34,12600.0
1986-01-02,0.34,0.34,0.35,0.34,3500.0
1986-01-03,0.34,0.34,0.35,0.34,2300.0
1986-01-06,0.34,0.34,0.35,0.34,2300.0
1986-01-07,0.34,0.34,0.35,0.34,4000.0
1986-01-08,0.34,0.34,0.35,0.34,7100.0
1986-01-09,0.34,0.34,0.35,0.34,25600.0
1986-01-10,0.34,0.34,0.35,0.34,36700.0
1986-01-13,0.34,0.34,0.35,0.34,2100.0
1986-01-14,0.34,0.34,0.35,0.34,4300.0
1986-01-15,0.35,0.35,0.35,0.35,6900.0
1986-01-16,0.34,0.34,0.35,0.34,4000.0
1986-01-17,0.34,0.34,0.35,0.34,30500.0
1986-01-20,0.34,0.34,0.35,0.34,1500.0
1986-01-21,0.34,0.34,0.35,0.34,5600.0
1986-01-22,0.34,0.34,0.35,0.34,4500.0
1986-01-23,0.34,0.34,0.35,0.34,5500.0
1986-01-24,0.35,0.35,0.35,0.35,24200.0
1986-01-27,0.35,0.35,0.35,0.35,3800.0
1986-01-28,0.34,0.34,0.35,0.34,11100.0
1986-01-29,0.34,0.34,0.35,0.34,16700.0
1986-01-30,0.34,0.34,0.35,0.34,4500.0
1986-01-31,0.34,0.34,0.35,0.34,6000.0
1986-02-03,0.34,0.34,0.35,0.34,4500.0
1986-02-04,0.34,0.34,0.35,0.34,8000.0
1986-02-05,0.34,0.34,0.35,0.34,3600.0
1986-02-06,0.34,0.34,0.35,0.34,14500.0
1986-02-07,0.34,0.34,0.34,0.34,5200.0
1986-02-10,0.34,0.34,0.35,0.34,4400.0
1986-02-11,0.34,0.34,0.35,0.34,10900.0
1986-02-12,0.35,0.35,0.35,0.34,16600.0
1986-02-13,0.35,0.35,0.35,0.34,9500.0
