Date,Close,Open,High,Low,Volume
1980-03-17,1.39,,1.4,1.38,39900.0
1980-03-18,1.41,,1.42,1.39,51700.0
1980-03-19,1.42,,1.42,1.41,38000.0
1980-03-20,1.43,,1.43,1.42,31600.0
1980-03-21,1.42,,1.43,1.42,36300.0
1980-03-24,1.39,,1.42,1.39,62300.0
1980-03-25,1.39,,1.39,1.38,50300.0
1980-03-26,1.41,,1.42,1.4,64600.0
1980-03-27,1.41,,1.41,1.39,36200.0
1980-03-28,1.44,,1.44,1.42,129500.0
1980-03-31,1.48,,1.48,1.44,109400.0
1980-04-01,1.49,,1.49,1.48,48200.0
1980-04-02,1.48,,1.49,1.48,97100.0
1980-04-03,1.5,,1.51,1.49,85600.0
1980-04-07,1.47,,1.5,1.47,66800.0
1980-04-08,1.48,,1.49,1.46,60100.0
1980-04-09,1.49,,1.49,1.48,25700.0
1980-04-10,1.49,,1.49,1.49,28500.0
1980-04-11,1.48,,1.49,1.48,34400.0
1980-04-14,1.46,,1.47,1.46,27700.0
1980-04-15,1.48,,1.48,1.46,55800.0
1980-04-16,1.49,,1.51,1.49,69500.0
1980-04-17,1.49,,1.5,1.48,50800.0
1980-04-18,1.49,,1.49,1.48,26700.0
1980-04-21,1.48,,1.49,1.48,24700.0
1980-04-22,1.51,,1.52,1.5,75000.0
1980-04-23,1.5,,1.51,1.5,34800.0
1980-04-24,1.54,,1.55,1.49,54600.0
1980-04-25,1.57,,1.57,1.52,59500.0
1980-04-28,1.57,,1.59,1.57,57100.0
1980-04-29,1.58,,1.58,1.57,27400.0
1980-04-30,1.58,,1.58,1.56,51600.0
1980-05-01,1.58,,1.59,1.57,65700.0
1980-05-02,1.58,,1.58,1.57,50700.0
1980-05-05,1.58,,1.58,1.57,50100.0
1980-05-06,1.6,,1.61,1.58,105600.0
1980-05-07,1.59,,1.61,1.58,72900.0
1980-05-08,1.6,,1.61,1.59,56500.0
1980-05-09,1.6,,1.61,1.6,12500.0
1980-05-12,1.61,,1.61,1.6,36800.0
1980-05-13,1.61,,1.61,1.6,30700.0
1980-05-14,1.62,,1.63,1.61,46900.0
1980-05-15,1.65,,1.66,1.62,100500.0
1980-05-16,1.65,,1.65,1.65,49000.0
1980-05-19,1.63,,1.65,1.63,40200.0
1980-05-20,1.64,,1.64,1.63,42300.0
1980-05-21,1.65,,1.65,1.64,81000.0
1980-05-22,1.66,,1.67,1.65,66200.0
1980-05-23,1.7,,1.71,1.67,139600.0
1980-05-27,1.68,,1.7,1.67,76100.0
1980-05-28,1.68,,1.68,1.67,43900.0
1980-05-29,1.67,,1.68,1.66,17400.0
1980-05-30,1.67,,1.67,1.65,34700.0
1980-06-02,1.65,,1.66,1.65,32600.0
1980-06-03,1.64,,1.65,1.64,69100.0
1980-06-04,1.65,,1.66,1.63,35800.0
1980-06-05,1.66,,1.67,1.66,44300.0
1980-06-06,1.68,,1.69,1.66,70900.0
1980-06-09,1.7,,1.71,1.68,70800.0
1980-06-10,1.71,,1.71,1.7,70300.0
1980-06-11,1.7,,1.72,1.7,70600.0
1980-06-12,1.7,,1.71,1.69,63300.0
1980-06-13,1.69,,1.7,1.68,51200.0
1980-06-16,1.69,,1.69,1.68,31800.0
1980-06-17,1.7,,1.71,1.69,35600.0
1980-06-18,1.7,,1.7,1.68,31700.0
1980-06-19,1.67,,1.7,1.67,27500.0
1980-06-20,1.66,,1.66,1.65,38400.0
1980-06-23,1.67,,1.67,1.66,38700.0
1980-06-24,1.65,,1.66,1.65,28200.0
1980-06-25,1.66,,1.67,1.65,21500.0
1980-06-26,1.66,,1.67,1.65,52400.0
1980-06-27,1.66,,1.67,1.65,24800.0
1980-06-30,1.64,,1.66,1.64,36300.0
1980-07-01,1.64,,1.64,1.63,35700.0
1980-07-02,1.64,,1.65,1.64,34500.0
1980-07-03,1.65,,1.65,1.64,78200.0
1980-07-07,1.68,,1.68,1.67,33300.0
1980-07-08,1.69,,1.7,1.69,52400.0
1980-07-09,1.68,,1.69,1.67,45500.0
1980-07-10,1.66,,1.68,1.65,33000.0
1980-07-11,1.66,,1.66,1.65,51400.0
1980-07-14,1.66,,1.67,1.66,40100.0
1980-07-15,1.67,,1.68,1.67,48500.0
1980-07-16,1.66,,1.67,1.66,46700.0
1980-07-17,1.65,,1.67,1.65,30700.0
1980-07-18,1.65,,1.66,1.64,119300.0
1980-07-21,1.66,,1.66,1.65,41700.0
1980-07-22,1.67,,1.68,1.66,58700.0
1980-07-23,1.68,,1.69,1.67,43700.0
1980-07-24,1.67,,1.68,1.66,108400.0
1980-07-25,1.65,,1.66,1.65,25500.0
1980-07-28,1.67,,1.67,1.65,32600.0
1980-07-29,1.68,,1.68,1.66,51400.0
1980-07-30,1.69,,1.7,1.68,86600.0
1980-07-31,1.69,,1.69,1.65,82900.0
1980-08-01,1.68,,1.69,1.67,37000.0
1980-08-04,1.69,,1.69,1.68,27200.0
1980-08-05,1.7,,1.71,1.68,33000.0
1980-08-06,1.73,,1.73,1.7,55000.0
1980-08-07,1.76,,1.76,1.74,103300.0
1980-08-08,1.78,,1.79,1.77,111100.0
1980-08-11,1.77,,1.78,1.76,48500.0
1980-08-12,1.75,,1.78,1.75,61800.0
1980-08-13,1.74,,1.76,1.74,45800.0
1980-08-14,1.73,,1.74,1.72,44900.0
1980-08-15,1.72,,1.73,1.72,58200.0
1980-08-18,1.67,,1.71,1.67,49800.0
1980-08-19,1.65,,1.68,1.65,44100.0
