Date,Close,Open,High,Low,Volume
2024-07-08,11.71,11.41,11.72,11.38,475251.0
2024-07-09,11.71,11.72,11.79,11.6,290492.0
2024-07-10,12.2,11.81,12.21,11.81,1222380.0
2024-07-11,12.53,12.56,12.56,12.12,1081048.0
2024-07-12,12.56,12.29,12.64,12.29,331807.0
2024-07-15,12.48,12.55,12.65,12.44,1359041.0
2024-07-16,12.75,12.55,12.8,12.52,332693.0
2024-07-17,12.4,12.7,12.84,12.4,530609.0
2024-07-18,12.22,12.48,12.48,12.12,796180.0
2024-07-19,12.12,11.81,12.21,11.81,325481.0
2024-07-22,12.25,12.1,12.31,12.05,818921.0
2024-07-23,12.46,12.28,12.46,12.23,195727.0
2024-07-24,12.21,12.53,12.7,12.21,353010.0
2024-07-25,11.81,11.88,11.94,11.55,1057140.0
2024-07-26,11.92,11.98,12.09,11.84,313039.0
2024-07-29,12.13,11.96,12.13,11.89,179140.0
2024-07-30,12.11,12.22,12.26,11.89,283959.0
2024-07-31,12.55,12.3,12.62,12.22,365137.0
2024-08-01,12.71,12.35,12.8,12.28,749528.0
2024-08-02,12.14,12.84,13.04,11.92,500885.0
2024-08-06,11.82,11.8,11.97,11.47,398310.0
2024-08-07,11.16,11.95,11.95,11.12,459932.0
2024-08-08,11.58,11.31,11.72,11.2,419579.0
2024-08-09,11.63,11.73,11.79,11.54,272950.0
2024-08-12,12.26,11.87,12.27,11.8,877508.0
2024-08-13,12.34,12.28,12.43,12.26,177390.0
2024-08-14,12.35,12.25,12.37,12.14,291653.0
2024-08-15,12.25,12.4,12.4,12.0,352667.0
2024-08-16,12.56,12.41,12.58,12.29,326961.0
2024-08-19,12.78,12.51,12.8,12.47,730292.0
2024-08-20,12.8,12.9,13.06,12.75,576647.0
2024-08-21,12.66,12.76,12.78,12.42,535369.0
2024-08-22,12.29,12.42,12.43,12.16,1284054.0
2024-08-23,12.37,12.39,12.53,12.28,379909.0
2024-08-26,12.21,12.43,12.43,12.19,996681.0
2024-08-27,12.04,11.94,12.1,11.94,1135257.0
2024-08-28,11.84,11.83,11.89,11.73,479186.0
2024-08-29,12.15,11.92,12.17,11.91,436423.0
2024-08-30,12.17,12.12,12.22,12.07,181341.0
2024-09-03,11.65,12.05,12.05,11.46,302815.0
2024-09-04,11.6,11.63,11.76,11.5,249602.0
2024-09-05,11.74,11.83,11.92,11.7,831541.0
2024-09-06,11.29,11.72,11.81,11.28,373600.0
2024-09-09,11.56,11.38,11.59,11.36,168600.0
2024-09-10,12.3,11.61,12.3,11.61,423911.0
2024-09-11,12.43,12.37,12.43,12.11,294640.0
2024-09-12,13.27,12.68,13.37,12.67,480106.0
2024-09-13,13.36,13.52,13.7,13.28,612433.0
2024-09-16,12.85,13.27,13.27,12.59,1716585.0
2024-09-17,12.76,12.68,12.9,12.62,456726.0
2024-09-18,12.53,12.82,13.07,12.45,789846.0
2024-09-19,12.66,12.79,12.79,12.52,1247680.0
2024-09-20,12.99,12.87,13.09,12.8,986010.0
2024-09-23,12.99,12.94,13.35,12.94,585147.0
2024-09-24,13.12,13.07,13.2,12.96,542019.0
2024-09-25,13.13,13.09,13.39,13.06,504352.0
2024-09-26,13.2,13.18,13.33,13.06,487717.0
2024-09-27,12.79,13.13,13.14,12.79,390813.0
2024-09-30,12.67,12.71,12.79,12.56,465757.0
2024-10-01,12.86,12.81,13.0,12.73,429274.0
2024-10-02,13.18,12.85,13.21,12.83,2471930.0
2024-10-03,12.91,13.08,13.14,12.8,1039804.0
2024-10-04,12.76,12.84,13.05,12.74,734321.0
2024-10-07,12.72,12.76,12.76,12.61,271022.0
2024-10-08,12.88,12.59,12.88,12.59,253476.0
2024-10-09,12.94,12.83,12.95,12.63,327638.0
2024-10-10,13.56,13.05,13.56,13.02,418940.0
2024-10-11,13.5,13.78,13.84,13.49,274406.0
2024-10-15,13.7,13.65,13.87,13.57,234597.0
2024-10-16,13.8,13.91,14.06,13.72,198384.0
2024-10-17,14.02,13.92,14.18,13.9,470792.0
2024-10-18,14.64,14.18,14.7,14.12,768450.0
2024-10-21,14.6,14.92,14.96,14.54,517060.0
2024-10-22,14.8,14.71,14.84,14.64,197964.0
2024-10-23,14.82,14.52,14.84,14.51,236700.0
2024-10-24,14.92,14.95,14.95,14.52,341552.0
2024-10-25,14.62,14.84,14.87,14.54,316026.0
2024-10-28,14.54,14.52,14.67,14.5,178675.0
2024-10-29,14.89,14.58,14.89,14.37,365916.0
2024-10-30,14.58,14.84,14.85,14.52,336100.0
2024-10-31,14.05,14.35,14.37,13.76,664729.0
2024-11-01,13.93,14.11,14.23,13.93,228753.0
2024-11-04,13.87,13.96,14.07,13.8,191087.0
2024-11-05,13.91,13.99,14.06,13.82,294819.0
2024-11-06,13.73,13.0,13.95,12.85,693649.0
2024-11-07,14.83,14.05,14.88,13.89,290800.0
2024-11-08,14.55,14.61,14.73,14.34,433500.0
2024-11-11,13.16,14.07,14.21,13.05,1090777.0
2024-11-12,13.24,12.97,13.26,12.93,637350.0
2024-11-13,13.0,13.42,13.49,12.91,180542.0
2024-11-14,13.2,12.87,13.35,12.87,338561.0
2024-11-15,13.04,13.23,13.27,12.95,164100.0
2024-11-18,13.66,13.51,13.73,13.47,378944.0
2024-11-19,13.95,13.8,13.97,13.72,455444.0
2024-11-20,13.95,13.92,14.02,13.77,138314.0
2024-11-21,14.07,14.12,14.12,13.85,366994.0
2024-11-22,14.28,14.11,14.38,14.05,347989.0
2024-11-25,13.71,13.72,13.89,13.65,344500.0
2024-11-26,14.01,13.81,14.04,13.75,167900.0
2024-11-27,13.75,14.13,14.25,13.7,441995.0
2024-11-28,13.85,13.78,13.87,13.77,81893.0
2024-11-29,13.69,13.86,14.05,13.49,395596.0
2024-12-02,13.39,13.62,13.66,13.38,361422.0
2024-12-03,13.98,13.61,14.11,13.56,571806.0
2024-12-04,13.98,13.93,14.24,13.9,329220.0
2024-12-05,13.91,13.94,14.15,13.8,154024.0
2024-12-06,13.83,13.87,13.98,13.7,109343.0
2024-12-09,14.05,14.24,14.3,14.03,183320.0
2024-12-10,14.28,14.32,14.43,14.19,460206.0
2024-12-11,14.95,14.44,14.96,14.36,318700.0
2024-12-12,14.3,14.77,14.77,14.29,386556.0
2024-12-13,13.9,14.1,14.25,13.8,220021.0
2024-12-16,13.9,13.92,13.97,13.69,348659.0
2024-12-17,13.7,13.7,13.81,13.57,701191.0
2024-12-18,13.02,13.61,13.69,13.0,1590445.0
2024-12-19,13.06,13.02,13.25,12.98,324502.0
2024-12-20,13.28,13.16,13.39,13.1,418020.0
2024-12-23,13.42,13.26,13.48,13.15,214200.0
2024-12-24,13.52,13.33,13.57,13.33,79015.0
