Date,Close,Open,High,Low,Volume
2018-01-02,15.34,15.68,15.68,15.33,1763934.0
2018-01-03,15.35,15.32,15.39,15.26,1202261.0
2018-01-04,15.42,15.35,15.53,15.35,1256891.0
2018-01-05,15.38,15.45,15.46,15.32,1036176.0
2018-01-08,15.41,15.4,15.46,15.33,1043874.0
2018-01-09,15.38,15.42,15.45,15.33,897508.0
2018-01-10,15.4,15.36,15.42,15.23,1007220.0
2018-01-11,15.4,15.39,15.48,15.36,950889.0
2018-01-12,15.33,15.42,15.42,15.32,853241.0
2018-01-16,15.28,15.38,15.4,15.27,1462279.0
2018-01-17,15.44,15.36,15.53,15.31,1051136.0
2018-01-18,15.35,15.43,15.45,15.27,1386152.0
2018-01-19,15.51,15.42,15.62,15.4,1117416.0
2018-01-22,15.58,15.51,15.58,15.5,613173.0
2018-01-23,15.57,15.57,15.66,15.48,705129.0
2018-01-24,15.45,15.57,15.57,15.43,1050467.0
2018-01-25,15.41,15.47,15.48,15.37,1098987.0
2018-01-26,15.4,15.37,15.44,15.33,1156170.0
2018-01-29,18.85,20.38,20.39,18.82,24777094.0
2018-01-30,19.16,18.83,19.24,18.81,5333570.0
2018-01-31,19.22,19.2,19.4,19.15,5963438.0
2018-02-01,19.34,19.18,19.41,19.18,5438173.0
2018-02-02,19.11,19.25,19.31,19.11,4400516.0
2018-02-05,19.05,19.07,19.2,19.0,3820583.0
2018-02-06,19.06,18.92,19.25,18.92,4319767.0
2018-02-07,19.0,19.06,19.18,19.0,2981774.0
2018-02-08,18.83,19.03,19.06,18.83,3423996.0
2018-02-09,18.79,18.86,18.97,18.72,3014584.0
2018-02-12,18.8,18.83,18.94,18.76,2754534.0
2018-02-13,18.67,18.72,18.83,18.66,2692599.0
2018-02-14,18.5,18.64,18.78,18.48,2768796.0
2018-02-15,18.6,18.52,18.71,18.48,2145552.0
2018-02-16,18.54,18.54,18.76,18.48,2677202.0
2018-02-20,18.69,18.53,18.75,18.46,2065725.0
2018-02-21,18.58,18.64,18.76,18.58,1608673.0
2018-02-22,18.49,18.56,18.63,18.43,2699231.0
2018-02-23,18.58,18.54,18.6,18.5,2055140.0
2018-02-26,18.67,18.53,18.7,18.53,2097060.0
2018-02-27,18.73,18.69,18.73,18.55,1966811.0
2018-02-28,18.72,18.76,18.77,18.57,1690322.0
2018-03-01,18.75,18.68,18.79,18.58,1810146.0
2018-03-02,18.72,18.66,18.75,18.52,2608436.0
2018-03-05,18.66,18.71,18.73,18.57,1554444.0
2018-03-06,18.7,18.63,18.73,18.57,2049469.0
2018-03-07,18.73,18.63,18.79,18.62,2355999.0
2018-03-08,18.89,18.56,18.92,18.52,3831418.0
2018-03-09,18.99,18.91,19.07,18.81,1537343.0
2018-03-12,18.93,19.02,19.1,18.92,3486283.0
2018-03-13,18.94,19.0,19.03,18.93,3976102.0
2018-03-14,18.97,18.93,19.02,18.89,2876720.0
2018-03-15,18.88,18.97,19.03,18.8,1408182.0
2018-03-16,18.93,18.92,19.0,18.81,1643926.0
2018-03-19,19.06,19.0,19.08,18.94,3177974.0
2018-03-20,19.06,19.01,19.08,18.93,1479883.0
2018-03-21,19.0,19.04,19.07,18.96,992925.0
2018-03-22,19.0,18.96,19.04,18.92,1581735.0
2018-03-23,18.99,18.99,19.04,18.96,1370546.0
2018-03-26,19.07,19.04,19.08,18.99,596216.0
2018-03-27,19.04,19.04,19.06,18.97,1217135.0
2018-03-28,19.06,19.07,19.15,19.02,1137444.0
2018-03-29,19.06,19.08,19.14,19.03,1417822.0
2018-04-02,19.01,19.07,19.12,18.96,1231489.0
2018-04-03,19.03,19.01,19.07,18.95,1233536.0
2018-04-04,19.07,19.02,19.1,18.97,1072159.0
