Date,Close,Open,High,Low,Volume
1980-03-17,1.94,,2.03,1.94,12200.0
1980-03-18,1.94,,2.03,1.94,4600.0
1980-03-19,1.94,,2.03,1.94,1000.0
1980-03-20,1.94,,2.03,1.94,600.0
1980-03-21,1.94,,2.03,1.94,200.0
1980-03-24,1.88,,1.97,1.88,5800.0
1980-03-25,1.88,,1.97,1.88,5900.0
1980-03-26,1.88,,1.97,1.88,2500.0
1980-03-27,1.84,,1.94,1.84,6600.0
1980-03-28,1.84,,1.94,1.84,1300.0
1980-03-31,1.84,,1.94,1.84,800.0
1980-04-01,1.84,,1.94,1.84,4400.0
1980-04-02,1.88,,1.97,1.88,3300.0
1980-04-03,1.88,,1.97,1.88,3000.0
1980-04-07,1.88,,1.97,1.88,5200.0
1980-04-08,1.84,,1.94,1.84,900.0
1980-04-09,1.91,,2.0,1.91,2800.0
1980-04-10,1.88,,1.97,1.88,100.0
1980-04-11,1.88,,1.97,1.88,6500.0
1980-04-14,1.88,,1.97,1.88,9400.0
1980-04-15,1.84,,1.94,1.84,1600.0
1980-04-16,1.84,,1.94,1.84,4900.0
1980-04-17,1.84,,1.94,1.84,800.0
1980-04-18,1.84,,1.94,1.84,600.0
1980-04-21,1.84,,1.94,1.84,2700.0
1980-04-22,1.84,,1.94,1.84,3300.0
1980-04-23,1.88,,1.97,1.88,3300.0
1980-04-24,1.88,,1.97,1.88,1200.0
1980-04-25,1.88,,1.97,1.88,1400.0
1980-04-28,1.88,,1.97,1.88,1200.0
1980-04-29,1.88,,1.97,1.88,300.0
1980-04-30,1.88,,1.97,1.88,400.0
1980-05-01,1.88,,1.97,1.88,2200.0
1980-05-02,1.91,,2.0,1.91,3900.0
1980-05-05,1.91,,2.0,1.91,13400.0
1980-05-06,1.97,,2.06,1.97,3500.0
1980-05-07,1.97,,2.06,1.97,16800.0
1980-05-08,1.97,,2.06,1.97,9100.0
1980-05-09,1.97,,2.06,1.97,2800.0
1980-05-12,1.94,,2.03,1.94,1100.0
1980-05-13,1.97,,2.06,1.97,1900.0
1980-05-14,1.97,,2.06,1.97,3300.0
1980-05-15,1.97,,2.06,1.97,400.0
1980-05-16,1.97,,2.06,1.97,4500.0
1980-05-19,1.97,,2.06,1.97,1300.0
1980-05-20,1.94,,2.03,1.94,3600.0
1980-05-21,1.94,,2.03,1.94,800.0
1980-05-22,2.0,,2.09,2.0,1700.0
1980-05-23,2.03,,2.13,2.03,1500.0
1980-05-27,2.03,,2.13,2.03,600.0
