Date,Close,Open,High,Low,Volume
10/20/2014,28.25,27.9,33.0,27.32,1333559.0
10/21/2014,28.31,28.49,29.49,28.3,697668.0
10/22/2014,28.75,28.47,28.91,28.0,768836.0
10/23/2014,29.25,28.75,29.89,28.6,1270749.0
10/24/2014,29.75,29.11,30.09,29.11,1540721.0
10/27/2014,30.1,29.85,30.29,29.37,766723.0
10/28/2014,30.65,30.3,31.29,29.94,536173.0
10/29/2014,30.0,30.65,31.0,29.94,596335.0
10/30/2014,30.25,30.15,30.69,29.75,415576.0
10/31/2014,31.5,30.25,31.98,30.25,29854340.0
11/3/2014,31.15,30.61,31.89,30.38,9243881.0
11/4/2014,30.16,30.75,30.83,30.08,6483846.0
11/5/2014,30.18,30.67,31.0,30.0,3958253.0
11/6/2014,30.05,30.2,30.46,29.88,2991591.0
11/7/2014,29.76,29.49,30.39,29.01,9563298.0
11/10/2014,29.78,29.03,30.23,28.56,5114209.0
11/11/2014,30.04,29.42,30.73,29.06,4535899.0
11/12/2014,30.83,30.4,31.23,30.0,4852125.0
11/13/2014,30.41,30.74,31.3,30.03,2432710.0
11/14/2014,30.7,30.29,30.91,30.22,1481271.0
11/17/2014,31.05,30.7,31.42,30.55,2389024.0
11/18/2014,31.0,30.59,31.14,30.21,3007685.0
11/19/2014,30.97,30.72,31.14,30.59,3013016.0
11/20/2014,31.41,30.77,31.5,30.65,2157563.0
11/21/2014,32.3,31.65,32.5,31.45,4703593.0
11/24/2014,33.0,32.88,33.04,32.34,2402554.0
11/25/2014,32.85,32.97,33.11,32.58,1798681.0
11/26/2014,34.2,33.0,34.98,33.0,1583374.0
11/28/2014,35.2,33.94,35.38,33.88,425327.0
12/1/2014,34.9,35.01,35.18,34.76,1484316.0
12/2/2014,34.78,34.73,34.94,34.3,1788961.0
12/3/2014,34.31,34.51,34.65,34.25,1150905.0
12/4/2014,34.14,33.89,34.3,33.71,1352422.0
12/5/2014,34.1,34.24,34.48,34.0,762054.0
12/8/2014,34.19,34.1,34.34,34.0,956916.0
12/9/2014,33.75,33.2,34.24,33.2,988773.0
