Date,Close,Open,High,Low,Volume
11/22/1991,4.44,4.44,4.47,4.42,1449500.0
11/25/1991,4.44,4.44,4.44,4.42,193100.0
11/26/1991,4.44,4.44,4.44,4.44,36700.0
11/27/1991,4.44,4.44,4.44,4.42,20800.0
11/29/1991,4.44,4.44,4.44,4.42,33700.0
12/2/1991,4.42,4.44,4.44,4.39,93400.0
12/3/1991,4.42,4.42,4.44,4.39,34400.0
12/4/1991,4.42,4.44,4.44,4.42,42100.0
12/5/1991,4.42,4.42,4.42,4.42,38600.0
12/6/1991,4.39,4.42,4.42,4.39,60100.0
12/9/1991,4.39,4.39,4.42,4.39,12100.0
12/10/1991,4.39,4.39,4.42,4.39,39500.0
12/11/1991,4.39,4.33,4.39,4.28,67300.0
12/12/1991,4.39,4.39,4.39,4.36,16200.0
12/13/1991,4.39,4.39,4.42,4.39,35100.0
12/16/1991,4.39,4.42,4.42,4.39,11000.0
12/17/1991,4.42,4.42,4.42,4.39,14100.0
12/18/1991,4.42,4.42,4.42,4.39,5400.0
12/19/1991,4.44,4.39,4.44,4.39,13800.0
12/20/1991,4.44,4.44,4.47,4.44,30600.0
12/23/1991,4.56,4.44,4.56,4.44,35300.0
12/24/1991,4.53,4.56,4.56,4.5,13900.0
12/26/1991,4.61,4.56,4.64,4.56,18600.0
12/27/1991,4.58,4.61,4.61,4.56,40700.0
12/30/1991,4.58,4.61,4.61,4.58,22600.0
12/31/1991,4.78,4.61,4.78,4.61,28000.0
1/2/1992,4.78,4.75,4.83,4.69,38500.0
1/3/1992,4.81,4.78,4.86,4.78,47800.0
1/6/1992,4.92,4.83,5.0,4.83,44000.0
1/7/1992,4.94,4.92,5.03,4.92,96500.0
1/8/1992,4.94,4.94,4.97,4.92,29300.0
1/9/1992,4.92,4.94,4.94,4.92,33200.0
1/10/1992,5.0,4.92,5.0,4.92,41000.0
1/13/1992,5.0,4.97,5.03,4.97,20600.0
1/14/1992,5.08,5.0,5.08,5.0,34000.0
1/15/1992,5.14,5.06,5.14,5.06,23600.0
1/16/1992,5.14,5.19,5.22,5.14,16300.0
1/17/1992,5.17,5.11,5.17,5.11,25800.0
1/20/1992,5.14,5.17,5.19,5.14,13400.0
1/21/1992,5.17,5.14,5.19,5.14,8400.0
1/22/1992,5.17,5.14,5.19,5.14,8000.0
1/23/1992,5.17,5.14,5.19,5.14,11300.0
1/24/1992,5.17,5.14,5.19,5.11,9800.0
1/27/1992,5.14,5.17,5.17,5.11,7900.0
1/28/1992,5.19,5.19,5.19,5.14,7000.0
1/29/1992,5.22,5.28,5.36,5.22,49500.0
1/30/1992,5.25,5.22,5.25,5.22,49900.0
1/31/1992,5.25,5.22,5.28,5.22,7300.0
2/3/1992,5.28,5.25,5.33,5.22,33000.0
2/4/1992,5.33,5.28,5.42,5.28,12400.0
2/5/1992,5.39,5.33,5.39,5.33,6800.0
2/6/1992,5.39,5.39,5.47,5.39,28700.0
2/7/1992,5.44,5.39,5.47,5.39,33900.0
2/10/1992,5.44,5.44,5.5,5.42,11000.0
2/11/1992,5.42,5.5,5.5,5.42,8400.0
2/12/1992,5.42,5.39,5.42,5.36,71400.0
2/13/1992,5.36,5.39,5.39,5.33,58600.0
2/14/1992,5.36,5.33,5.36,5.33,9200.0
2/18/1992,5.33,5.39,5.39,5.33,5800.0
2/19/1992,5.31,5.33,5.33,5.31,8100.0
2/20/1992,5.28,5.25,5.31,5.25,30800.0
