Date,Close,Open,High,Low,Volume
7/15/2010,10.2,10.5,11.08,10.2,8791384.0
7/16/2010,9.69,10.25,10.33,9.4,428375.0
7/19/2010,9.79,9.95,9.97,9.68,272583.0
7/20/2010,9.25,10.18,10.18,8.83,3116549.0
7/21/2010,8.8,9.26,9.29,8.64,746780.0
7/22/2010,9.3,8.8,9.35,8.8,2691658.0
7/23/2010,9.5,9.28,9.5,9.28,257356.0
7/26/2010,9.69,9.98,9.98,9.62,1613297.0
7/27/2010,9.85,9.9,10.18,9.65,1159849.0
7/28/2010,9.59,9.95,10.02,9.56,789168.0
7/29/2010,9.48,9.71,9.76,9.35,626299.0
7/30/2010,9.05,9.52,9.52,9.02,2072188.0
8/2/2010,9.44,9.49,9.84,9.19,1032966.0
8/3/2010,9.53,9.5,9.59,9.3,367207.0
8/4/2010,9.54,9.54,9.63,9.44,2207572.0
8/5/2010,9.9,9.6,9.97,9.6,3230876.0
8/6/2010,9.86,9.88,9.9,9.66,533671.0
8/9/2010,9.89,10.0,10.01,9.8,1148373.0
8/10/2010,9.83,9.93,9.94,9.8,832702.0
8/11/2010,9.82,9.81,9.85,9.57,667957.0
8/12/2010,10.06,9.8,10.14,9.71,797621.0
8/13/2010,10.16,10.11,10.18,9.98,1260180.0
8/16/2010,9.99,10.04,10.1,9.95,1044946.0
8/17/2010,10.39,10.0,10.5,9.99,1047710.0
8/18/2010,10.54,10.85,10.85,10.2,2044974.0
8/19/2010,10.42,10.55,10.7,10.3,1918634.0
8/20/2010,10.3,10.41,10.47,10.24,1029940.0
8/23/2010,10.11,10.34,10.39,10.11,2007992.0
8/24/2010,10.17,10.03,10.25,9.93,615729.0
8/25/2010,10.12,10.18,10.2,10.0,1014165.0
8/26/2010,10.06,10.04,10.16,10.02,274661.0
8/27/2010,10.23,10.1,10.26,10.0,595770.0
8/30/2010,10.04,10.18,10.21,9.96,518035.0
8/31/2010,10.02,10.0,10.08,9.92,1000345.0
9/1/2010,10.24,10.12,10.77,10.06,1323503.0
9/2/2010,10.21,10.17,10.29,10.05,1362812.0
9/3/2010,10.25,10.25,10.29,10.15,444527.0
9/7/2010,10.25,10.11,10.35,10.11,1210304.0
9/8/2010,10.25,10.24,10.74,9.77,1662172.0
9/9/2010,10.17,10.23,10.3,10.08,436253.0
