Date,Close,Open,High,Low,Volume
1980-10-08,0.93,0.93,0.95,0.93,120400.0
1980-10-09,0.94,0.94,0.95,0.94,49000.0
1980-10-10,1.02,1.02,1.05,1.02,76000.0
1980-10-13,1.1,1.1,1.11,1.1,28300.0
1980-10-14,1.03,1.03,1.05,1.03,26700.0
1980-10-15,1.06,1.06,1.09,1.06,17000.0
1980-10-16,1.04,1.04,1.06,1.04,23100.0
1980-10-17,1.05,1.05,1.06,1.05,19000.0
1980-10-20,1.08,1.08,1.1,1.08,8900.0
1980-10-21,1.03,1.03,1.05,1.03,16900.0
1980-10-22,1.05,1.05,1.06,1.05,5900.0
1980-10-23,1.03,1.03,1.06,1.03,7500.0
1980-10-24,1.06,1.06,1.08,1.06,4800.0
1980-10-27,1.04,1.04,1.06,1.04,5700.0
1980-10-28,1.02,1.02,1.04,1.02,7000.0
1980-10-29,1.03,1.03,1.05,1.03,6000.0
1980-10-30,0.99,0.99,1.01,0.99,6800.0
1980-10-31,1.0,1.0,1.02,1.0,5200.0
1980-11-03,1.01,1.01,1.03,1.01,3100.0
1980-11-05,1.01,1.01,1.04,1.01,4400.0
1980-11-06,0.97,0.97,1.0,0.97,3000.0
1980-11-07,0.95,0.95,0.97,0.95,5800.0
1980-11-10,0.99,0.99,1.01,0.99,4400.0
1980-11-11,1.07,1.07,1.08,1.07,5600.0
1980-11-12,1.11,1.11,1.15,1.11,3500.0
1980-11-13,1.12,1.12,1.15,1.12,3700.0
1980-11-14,1.16,1.16,1.18,1.16,7200.0
1980-11-17,1.22,1.22,1.25,1.22,4700.0
1980-11-18,1.26,1.26,1.28,1.26,8600.0
1980-11-19,1.26,1.26,1.28,1.26,2300.0
1980-11-20,1.21,1.21,1.23,1.21,5500.0
1980-11-21,1.21,1.21,1.23,1.21,2700.0
1980-11-24,1.2,1.2,1.23,1.2,2400.0
1980-11-25,1.29,1.29,1.31,1.29,2100.0
1980-11-26,1.28,1.28,1.31,1.28,2100.0
1980-11-28,1.28,1.28,1.31,1.28,2700.0
1980-12-01,1.26,1.26,1.27,1.26,3700.0
1980-12-02,1.25,1.25,1.27,1.25,2800.0
1980-12-03,1.25,1.25,1.27,1.25,3900.0
1980-12-04,1.25,1.25,1.27,1.25,3000.0
1980-12-05,1.23,1.23,1.26,1.23,3400.0
1980-12-08,1.09,1.09,1.16,1.09,4400.0
1980-12-09,1.09,1.09,1.16,1.09,2100.0
1980-12-10,1.11,1.11,1.17,1.11,10700.0
1980-12-11,1.09,1.09,1.16,1.09,5000.0
1980-12-12,1.09,1.09,1.16,1.09,2300.0
1980-12-15,1.08,1.08,1.14,1.08,3600.0
1980-12-16,1.08,1.08,1.15,1.08,1500.0
1980-12-17,1.08,1.08,1.14,1.08,400.0
1980-12-18,1.08,1.08,1.14,1.08,3800.0
1980-12-19,1.07,1.07,1.14,1.07,1100.0
1980-12-22,1.07,1.07,1.14,1.07,500.0
1980-12-23,1.07,1.07,1.14,1.07,44300.0
1980-12-24,1.07,1.07,1.14,1.07,2400.0
1980-12-26,1.07,1.07,1.14,1.07,1200.0
1980-12-29,1.07,1.07,1.14,1.07,1700.0
1980-12-30,1.07,1.07,1.14,1.07,1700.0
1980-12-31,1.07,1.07,1.12,1.07,3200.0
1981-01-02,1.07,1.07,1.12,1.07,700.0
1981-01-05,1.06,1.06,1.12,1.06,3600.0
1981-01-06,1.07,1.07,1.14,1.07,6000.0
1981-01-07,0.99,0.99,1.06,0.99,8200.0
1981-01-08,0.97,0.97,1.03,0.97,2300.0
1981-01-09,0.97,0.97,1.03,0.97,600.0
1981-01-12,1.01,1.01,1.07,1.01,3900.0
1981-01-13,1.01,1.01,1.06,1.01,1700.0
1981-01-14,0.99,0.99,1.06,0.99,1000.0
1981-01-15,0.99,0.99,1.06,0.99,1200.0
1981-01-16,0.9,0.9,0.93,0.9,3600.0
1981-01-19,0.99,0.99,1.02,0.99,5100.0
1981-01-20,0.95,0.95,1.01,0.95,6400.0
1981-01-21,0.99,0.99,1.04,0.99,2800.0
1981-01-22,0.94,0.94,0.99,0.94,2200.0
1981-01-23,0.95,0.95,1.01,0.95,1900.0
1981-01-26,0.94,0.94,0.99,0.94,1600.0
1981-01-27,0.94,0.94,0.99,0.94,300.0
1981-01-28,0.94,0.94,0.99,0.94,900.0
1981-01-29,0.94,0.94,0.99,0.94,11600.0
1981-01-30,0.94,0.94,0.99,0.94,27200.0
1981-02-02,0.9,0.9,0.95,0.9,600.0
1981-02-03,0.89,0.89,0.92,0.89,700.0
1981-02-04,0.89,0.89,0.94,0.89,7000.0
1981-02-05,0.9,0.9,0.95,0.9,1800.0
1981-02-06,0.9,0.9,0.95,0.9,400.0
1981-02-09,0.9,0.9,0.95,0.9,300.0
1981-02-10,0.9,0.9,0.95,0.9,900.0
1981-02-11,0.9,0.9,0.94,0.9,3600.0
1981-02-12,0.87,0.87,0.94,0.87,800.0
1981-02-13,0.77,0.77,0.82,0.77,30900.0
1981-02-17,0.8,0.8,0.85,0.8,4700.0
1981-02-18,0.82,0.82,0.88,0.82,4300.0
1981-02-19,0.89,0.89,0.95,0.89,2600.0
1981-02-20,0.95,0.95,1.01,0.95,6800.0
1981-02-23,0.84,0.84,0.9,0.84,6000.0
1981-02-24,0.85,0.85,0.9,0.85,4900.0
1981-02-25,0.83,0.83,0.85,0.83,1500.0
1981-02-26,0.9,0.9,0.94,0.9,2200.0
1981-02-27,0.92,0.92,0.95,0.92,1400.0
1981-03-02,0.9,0.9,0.95,0.9,2200.0
1981-03-03,0.87,0.87,0.94,0.87,1700.0
1981-03-04,0.87,0.87,0.92,0.87,900.0
1981-03-05,0.88,0.88,0.92,0.88,1600.0
1981-03-06,0.85,0.85,0.9,0.85,400.0
1981-03-09,0.82,0.82,0.87,0.82,1700.0
1981-03-10,0.82,0.82,0.87,0.82,1200.0
1981-03-11,0.84,0.84,0.89,0.84,3200.0
1981-03-12,0.84,0.84,0.89,0.84,3100.0
1981-03-13,0.93,0.93,0.99,0.93,17800.0
1981-03-16,0.99,0.99,1.02,0.99,7600.0
1981-03-17,1.02,1.02,1.06,1.02,10400.0
1981-03-18,1.06,1.06,1.11,1.06,6100.0
1981-03-19,1.12,1.12,1.16,1.12,4900.0
1981-03-20,1.19,1.19,1.21,1.19,8600.0
1981-03-23,1.16,1.16,1.2,1.16,12200.0
1981-03-24,1.06,1.06,1.12,1.06,9400.0
1981-03-25,1.15,1.15,1.2,1.15,5700.0
1981-03-26,1.14,1.14,1.19,1.14,3200.0
1981-03-27,1.15,1.15,1.21,1.15,3500.0
1981-03-30,1.16,1.16,1.22,1.16,2500.0
1981-03-31,1.14,1.14,1.17,1.14,5100.0
1981-04-01,1.12,1.12,1.19,1.12,4800.0
1981-04-02,1.12,1.12,1.16,1.12,6900.0
1981-04-03,1.14,1.14,1.2,1.14,1700.0
1981-04-06,1.14,1.14,1.17,1.14,2300.0
1981-04-07,1.14,1.14,1.17,1.14,4600.0
1981-04-08,1.11,1.11,1.14,1.11,5600.0
1981-04-09,1.11,1.11,1.14,1.11,4900.0
1981-04-10,1.09,1.09,1.14,1.09,4800.0
1981-04-13,1.11,1.11,1.16,1.11,4700.0
1981-04-14,1.12,1.12,1.17,1.12,1300.0
1981-04-15,1.16,1.16,1.19,1.16,4100.0
1981-04-16,1.16,1.16,1.21,1.16,1600.0
1981-04-20,1.14,1.14,1.19,1.14,2700.0
1981-04-21,1.12,1.12,1.17,1.12,3800.0
1981-04-22,1.11,1.11,1.16,1.11,2800.0
1981-04-23,1.19,1.19,1.24,1.19,3000.0
1981-04-24,1.19,1.19,1.24,1.19,3800.0
1981-04-27,1.19,1.19,1.21,1.19,2800.0
1981-04-28,1.14,1.14,1.17,1.14,9000.0
1981-04-29,1.14,1.14,1.16,1.14,2600.0
1981-04-30,1.14,1.14,1.16,1.14,14400.0
1981-05-01,1.12,1.12,1.19,1.12,20400.0
1981-05-04,1.11,1.11,1.16,1.11,900.0
1981-05-05,1.07,1.07,1.12,1.07,400.0
1981-05-06,1.09,1.09,1.12,1.09,5100.0
1981-05-07,1.09,1.09,1.14,1.09,900.0
1981-05-08,1.09,1.09,1.14,1.09,1600.0
1981-05-11,1.07,1.07,1.12,1.07,2900.0
1981-05-12,1.06,1.06,1.09,1.06,6400.0
1981-05-13,1.09,1.09,1.14,1.09,1800.0
1981-05-14,1.14,1.14,1.19,1.14,3400.0
1981-05-15,1.14,1.14,1.19,1.14,4300.0
1981-05-18,1.16,1.16,1.19,1.16,2100.0
1981-05-19,1.17,1.17,1.22,1.17,3400.0
1981-05-20,1.22,1.22,1.27,1.22,3200.0
1981-05-21,1.22,1.22,1.26,1.22,3100.0
1981-05-22,1.22,1.22,1.27,1.22,1200.0
1981-05-26,1.24,1.24,1.31,1.24,4000.0
1981-05-27,1.19,1.19,1.24,1.19,2300.0
1981-05-28,1.16,1.16,1.21,1.16,4200.0
1981-05-29,1.17,1.17,1.22,1.17,1200.0
1981-06-01,1.17,1.17,1.22,1.17,1400.0
