Date,Close,Open,High,Low,Volume
3/17/1980,2.46,,2.5,2.46,41100.0
3/18/1980,2.44,,2.44,2.44,23000.0
3/19/1980,2.42,,2.44,2.41,28200.0
3/20/1980,2.35,,2.42,2.34,31300.0
3/21/1980,2.36,,2.36,2.35,25200.0
3/24/1980,2.34,,2.36,2.33,24000.0
3/25/1980,2.36,,2.37,2.33,8700.0
3/26/1980,2.38,,2.4,2.35,25400.0
3/27/1980,2.38,,2.39,2.35,16500.0
3/28/1980,2.39,,2.39,2.36,19000.0
3/31/1980,2.37,,2.37,2.34,5500.0
4/1/1980,2.4,,2.41,2.37,17400.0
4/2/1980,2.39,,2.41,2.39,32400.0
4/3/1980,2.39,,2.39,2.36,12900.0
4/7/1980,2.33,,2.39,2.33,39500.0
4/8/1980,2.33,,2.34,2.33,7000.0
4/9/1980,2.3,,2.34,2.29,8200.0
4/10/1980,2.3,,2.31,2.3,31500.0
4/11/1980,2.22,,2.31,2.22,22800.0
4/14/1980,2.25,,2.26,2.22,39800.0
4/15/1980,2.25,,2.28,2.25,20600.0
4/16/1980,2.28,,2.3,2.26,21900.0
4/17/1980,2.29,,2.31,2.28,29300.0
4/18/1980,2.3,,2.33,2.29,23500.0
4/21/1980,2.24,,2.29,2.24,58700.0
4/22/1980,2.27,,2.27,2.25,40100.0
4/23/1980,2.25,,2.27,2.22,85400.0
4/24/1980,2.3,,2.33,2.23,56500.0
4/25/1980,2.3,,2.32,2.28,22200.0
4/28/1980,2.39,,2.4,2.32,17000.0
4/29/1980,2.49,,2.49,2.39,8300.0
4/30/1980,2.44,,2.49,2.44,6800.0
5/1/1980,2.43,,2.46,2.42,8100.0
5/2/1980,2.43,,2.44,2.41,3700.0
5/5/1980,2.41,,2.43,2.39,27100.0
5/6/1980,2.44,,2.46,2.39,16000.0
5/7/1980,2.43,,2.47,2.43,10800.0
5/8/1980,2.4,,2.42,2.39,18600.0
5/9/1980,2.41,,2.42,2.39,9800.0
5/12/1980,2.43,,2.44,2.41,16000.0
5/13/1980,2.47,,2.47,2.41,61000.0
5/14/1980,2.58,,2.58,2.48,19500.0
5/15/1980,2.64,,2.66,2.59,20900.0
5/16/1980,2.62,,2.64,2.61,10000.0
5/19/1980,2.61,,2.62,2.61,42800.0
5/20/1980,2.61,,2.64,2.61,10300.0
5/21/1980,2.62,,2.62,2.61,2800.0
5/22/1980,2.62,,2.64,2.62,12800.0
5/23/1980,2.64,,2.64,2.62,9600.0
5/27/1980,2.64,,2.65,2.62,16900.0
5/28/1980,2.63,,2.63,2.6,4400.0
5/29/1980,2.61,,2.64,2.61,5900.0
5/30/1980,2.61,,2.61,2.56,15300.0
6/2/1980,2.64,,2.64,2.59,58800.0
6/3/1980,2.64,,2.64,2.61,10200.0
6/4/1980,2.64,,2.65,2.62,37900.0
6/5/1980,2.64,,2.64,2.63,21000.0
6/6/1980,2.65,,2.65,2.64,13900.0
6/9/1980,2.58,,2.59,2.58,11200.0
6/10/1980,2.59,,2.59,2.57,16000.0
6/11/1980,2.61,,2.61,2.58,94100.0
6/12/1980,2.61,,2.61,2.59,90900.0
6/13/1980,2.59,,2.61,2.59,5000.0
6/16/1980,2.65,,2.65,2.61,22900.0
6/17/1980,2.69,,2.7,2.65,16500.0
6/18/1980,2.69,,2.69,2.67,6800.0
6/19/1980,2.69,,2.69,2.68,5000.0
6/20/1980,2.69,,2.7,2.69,12500.0
6/23/1980,2.69,,2.7,2.68,3500.0
6/24/1980,2.71,,2.72,2.67,21500.0
6/25/1980,2.73,,2.75,2.72,7000.0
6/26/1980,2.75,,2.75,2.73,48600.0
6/27/1980,2.75,,2.75,2.74,6100.0
6/30/1980,2.69,,2.75,2.69,31400.0
7/1/1980,2.75,,2.75,2.7,8900.0
7/2/1980,2.75,,2.76,2.71,75900.0
7/3/1980,2.83,,2.83,2.74,13600.0
7/7/1980,2.85,,2.86,2.84,14900.0
7/8/1980,2.87,,2.88,2.84,36100.0
7/9/1980,2.84,,2.89,2.84,45700.0
7/10/1980,2.8,,2.86,2.78,24500.0
7/11/1980,2.81,,2.82,2.8,11500.0
7/14/1980,2.8,,2.81,2.8,32700.0
7/15/1980,2.78,,2.8,2.77,17400.0
7/16/1980,2.7,,2.78,2.69,13500.0
7/17/1980,2.79,,2.79,2.72,17300.0
7/18/1980,2.83,,2.86,2.83,83200.0
7/21/1980,2.84,,2.89,2.84,8000.0
7/22/1980,2.84,,2.87,2.83,12900.0
7/23/1980,2.84,,2.84,2.81,31100.0
7/24/1980,2.82,,2.86,2.81,3100.0
7/25/1980,2.76,,2.81,2.75,4500.0
7/28/1980,2.76,,2.78,2.75,13000.0
7/29/1980,2.81,,2.81,2.78,14700.0
7/30/1980,2.86,,2.86,2.8,15300.0
7/31/1980,2.86,,2.88,2.84,16900.0
8/1/1980,2.88,,2.89,2.86,18100.0
8/4/1980,2.84,,2.87,2.83,31100.0
8/5/1980,2.83,,2.85,2.83,4100.0
8/6/1980,2.81,,2.81,2.78,34100.0
8/7/1980,2.88,,2.88,2.81,3100.0
8/8/1980,2.88,,2.9,2.86,13100.0
8/11/1980,2.9,,2.9,2.86,59800.0
8/12/1980,2.94,,2.98,2.9,52400.0
8/13/1980,3.0,,3.0,2.96,9500.0
8/14/1980,2.97,,2.98,2.95,9300.0
8/15/1980,3.03,,3.03,2.97,20300.0
8/18/1980,3.04,,3.07,3.03,22400.0
8/19/1980,3.0,,3.04,2.99,12000.0
8/20/1980,3.03,,3.06,3.0,31100.0
8/21/1980,3.03,,3.07,3.02,24200.0
8/22/1980,3.04,,3.05,3.03,14200.0
8/25/1980,3.09,,3.13,3.04,16700.0
8/26/1980,3.09,,3.1,3.09,14900.0
8/27/1980,3.11,,3.11,3.09,30600.0
8/28/1980,3.03,,3.11,3.03,8000.0
8/29/1980,3.06,,3.06,3.03,9000.0
9/2/1980,3.13,,3.14,3.04,30600.0
9/3/1980,3.12,,3.15,3.12,25500.0
9/4/1980,3.13,,3.15,3.12,33600.0
9/5/1980,3.11,,3.13,3.1,11100.0
9/8/1980,3.03,,3.08,3.01,17000.0
9/9/1980,3.03,,3.03,3.01,10400.0
9/10/1980,3.02,,3.03,3.0,31500.0
9/11/1980,2.96,,2.99,2.95,21100.0
9/12/1980,2.94,,2.96,2.94,62500.0
9/15/1980,2.98,,2.99,2.94,20600.0
9/16/1980,2.98,,3.0,2.97,7000.0
9/17/1980,3.02,,3.02,2.99,16600.0
9/18/1980,3.08,,3.08,3.01,52300.0
9/19/1980,3.17,,3.17,3.08,24900.0
9/22/1980,3.18,,3.18,3.14,48200.0
9/23/1980,3.18,,3.23,3.18,23200.0
9/24/1980,3.12,,3.15,3.11,19700.0
9/25/1980,3.06,,3.12,3.06,6400.0
9/26/1980,2.91,,3.07,2.91,9200.0
9/29/1980,2.92,,2.93,2.89,41500.0
9/30/1980,2.96,,2.97,2.92,23800.0
10/1/1980,2.94,,2.97,2.93,52300.0
10/2/1980,3.11,,3.11,2.94,102200.0
10/3/1980,3.24,,3.24,3.12,118200.0
10/6/1980,3.24,,3.24,3.22,49500.0
10/7/1980,3.22,,3.24,3.2,22600.0
10/8/1980,3.17,,3.21,3.17,10200.0
10/9/1980,3.14,,3.17,3.14,14100.0
10/10/1980,3.11,,3.15,3.1,8500.0
10/13/1980,3.11,,3.11,3.08,4700.0
10/14/1980,3.11,,3.14,3.1,6600.0
10/15/1980,3.11,,3.12,3.11,26100.0
10/16/1980,3.09,,3.11,3.08,8500.0
10/17/1980,3.03,,3.11,3.03,14500.0
10/20/1980,3.03,,3.06,3.02,209000.0
10/21/1980,3.05,,3.06,3.03,7600.0
10/22/1980,3.03,,3.03,3.02,18400.0
10/23/1980,2.99,,3.03,2.99,8300.0
10/24/1980,2.97,,3.0,2.92,17900.0
10/27/1980,2.94,,2.97,2.92,5800.0
10/28/1980,2.94,,2.94,2.92,1700.0
10/29/1980,2.92,,2.94,2.91,9400.0
10/30/1980,2.91,,2.92,2.89,4800.0
10/31/1980,2.88,,2.9,2.86,10000.0
11/3/1980,2.86,,2.88,2.86,4800.0
11/5/1980,2.93,,2.97,2.91,27800.0
11/6/1980,2.91,,2.94,2.89,10400.0
11/7/1980,2.94,,2.94,2.91,8100.0
11/10/1980,2.96,,2.97,2.95,32300.0
11/11/1980,2.97,,2.97,2.95,7200.0
11/12/1980,2.97,,3.02,2.97,25500.0
11/13/1980,3.01,,3.01,2.95,12000.0
11/14/1980,3.05,,3.06,3.0,41700.0
11/17/1980,3.04,,3.06,3.02,29600.0
11/18/1980,3.11,,3.11,3.06,6500.0
11/19/1980,3.06,,3.09,3.06,61100.0
11/20/1980,3.01,,3.06,3.01,2800.0
11/21/1980,3.05,,3.08,3.03,6100.0
11/24/1980,3.03,,3.05,3.02,5600.0
11/25/1980,2.98,,3.06,2.98,3400.0
11/26/1980,2.97,,2.97,2.94,4100.0
11/28/1980,2.89,,2.94,2.88,9600.0
12/1/1980,2.85,,2.9,2.85,11600.0
12/2/1980,2.86,,2.86,2.81,10000.0
12/3/1980,2.91,,2.91,2.85,2700.0
12/4/1980,2.92,,2.94,2.86,15200.0
12/5/1980,2.94,,2.95,2.9,13800.0
12/8/1980,2.91,,2.92,2.88,21100.0
12/9/1980,2.94,,2.94,2.92,5000.0
12/10/1980,3.01,,3.05,2.97,17500.0
12/11/1980,3.0,,3.02,3.0,4500.0
12/12/1980,3.03,,3.03,2.97,8500.0
12/15/1980,3.0,,3.03,3.0,7100.0
12/16/1980,3.01,,3.04,3.0,14900.0
12/17/1980,3.02,,3.03,3.0,24500.0
12/18/1980,2.98,,3.05,2.98,51100.0
12/19/1980,2.96,,2.98,2.94,7800.0
12/22/1980,2.9,,2.94,2.9,6600.0
12/23/1980,2.97,,2.98,2.92,21900.0
12/24/1980,3.01,,3.01,2.98,12900.0
12/26/1980,3.04,,3.05,3.03,2900.0
12/29/1980,3.08,,3.08,3.06,14000.0
12/30/1980,3.1,,3.16,3.07,9700.0
12/31/1980,3.14,,3.14,3.1,16200.0
1/2/1981,3.14,,3.17,3.14,2800.0
1/5/1981,3.18,,3.2,3.14,23100.0
1/6/1981,3.24,,3.25,3.18,11500.0
1/7/1981,3.22,,3.22,3.19,19900.0
1/8/1981,3.26,,3.28,3.24,10000.0
1/9/1981,3.34,,3.35,3.25,11600.0
1/12/1981,3.3,,3.4,3.3,19400.0
1/13/1981,3.28,,3.31,3.27,17400.0
1/14/1981,3.3,,3.31,3.29,30800.0
1/15/1981,3.27,,3.31,3.27,47400.0
1/16/1981,3.29,,3.31,3.28,34000.0
1/19/1981,3.27,,3.28,3.25,22500.0
1/20/1981,3.28,,3.3,3.26,15200.0
1/21/1981,3.36,,3.36,3.26,59500.0
1/22/1981,3.36,,3.38,3.36,9400.0
1/23/1981,3.39,,3.42,3.37,48500.0
1/26/1981,3.37,,3.43,3.36,18900.0
1/27/1981,3.43,,3.43,3.39,36100.0
1/28/1981,3.42,,3.47,3.4,7400.0
1/29/1981,3.46,,3.47,3.44,20100.0
1/30/1981,3.41,,3.45,3.41,7800.0
2/2/1981,3.36,,3.42,3.34,68000.0
2/3/1981,3.39,,3.39,3.34,47800.0
2/4/1981,3.36,,3.38,3.35,15100.0
2/5/1981,3.39,,3.39,3.35,19100.0
2/6/1981,3.4,,3.4,3.36,15500.0
2/9/1981,3.37,,3.39,3.36,9200.0
2/10/1981,3.36,,3.37,3.35,25000.0
2/11/1981,3.42,,3.42,3.36,58300.0
2/12/1981,3.47,,3.5,3.43,18700.0
2/13/1981,3.47,,3.48,3.46,85600.0
2/17/1981,3.55,,3.56,3.49,72900.0
