Date,Close,Open,High,Low,Volume
2011-02-11,31.05,31.7,32.14,30.75,50613513.0
2011-02-14,30.7,31.05,31.3,30.7,6276284.0
2011-02-15,30.94,30.9,31.15,30.73,4337802.0
2011-02-16,30.72,31.05,31.44,30.66,4627489.0
2011-02-17,30.55,30.68,31.09,30.51,3290633.0
2011-02-18,31.37,30.65,31.39,30.4,6936545.0
2011-02-22,30.72,31.14,31.43,30.71,2454261.0
2011-02-23,30.42,30.76,30.9,30.25,2671118.0
2011-02-24,30.46,30.55,30.65,30.3,1697998.0
2011-02-25,30.5,30.53,30.75,30.3,2225823.0
2011-02-28,30.5,30.57,30.79,30.42,2380311.0
2011-03-01,30.45,30.65,30.78,30.23,1907921.0
2011-03-02,30.57,30.57,30.69,30.26,2196962.0
2011-03-03,30.77,30.68,30.77,30.53,1901777.0
2011-03-04,30.85,30.8,30.94,30.66,892281.0
2011-03-07,30.9,30.94,31.04,30.7,1049574.0
2011-03-08,30.97,30.8,31.04,30.8,827311.0
2011-03-09,30.75,30.9,30.98,30.74,294086.0
2011-03-10,30.1,30.71,30.71,29.75,2715286.0
2011-03-11,30.1,30.1,30.48,29.97,1896844.0
2011-03-14,29.99,30.0,30.22,29.8,1967678.0
2011-03-15,29.88,29.81,30.2,29.6,1968393.0
2011-03-16,30.05,29.89,30.16,29.76,2062105.0
2011-03-17,30.15,30.2,30.41,30.06,1511338.0
2011-03-18,30.5,30.21,30.5,30.08,1906733.0
2011-03-21,30.82,30.53,31.0,30.4,1252929.0
2011-03-22,30.7,30.9,30.98,30.57,1014614.0
2011-03-23,30.02,30.53,30.67,29.95,2570690.0
2011-03-24,30.05,30.1,30.25,29.9,1411599.0
2011-03-25,29.52,30.01,30.09,29.5,2687019.0
2011-03-28,29.62,29.74,29.93,29.56,1552829.0
2011-03-29,29.79,29.75,29.88,29.54,1313702.0
2011-03-30,29.69,29.87,29.89,29.58,770023.0
2011-03-31,29.64,29.8,29.87,29.51,884315.0
2011-04-01,29.5,29.79,29.85,29.49,1869198.0
2011-04-04,29.44,29.44,29.7,29.25,1177852.0
2011-04-05,29.44,29.49,29.64,29.0,1021281.0
