Date,Close,Open,High,Low,Volume
1980-03-17,0.95,,1.0,0.94,17500.0
1980-03-18,0.98,,0.99,0.95,10200.0
1980-03-19,0.99,,1.0,0.97,14100.0
1980-03-20,0.95,,0.99,0.94,29600.0
1980-03-21,0.96,,0.96,0.95,16400.0
1980-03-24,0.95,,0.96,0.94,14500.0
1980-03-25,0.95,,0.96,0.95,33300.0
1980-03-26,0.97,,0.97,0.95,11100.0
1980-03-27,0.94,,0.95,0.88,41900.0
1980-03-28,0.93,,0.95,0.91,10400.0
1980-03-31,0.96,,0.96,0.95,12400.0
1980-04-01,0.97,,0.99,0.95,31400.0
1980-04-02,0.99,,0.99,0.96,6400.0
1980-04-03,1.01,,1.02,1.0,49300.0
1980-04-07,1.0,,1.02,1.0,29100.0
1980-04-08,1.03,,1.03,0.99,12200.0
1980-04-09,1.03,,1.04,1.02,22800.0
1980-04-10,1.03,,1.05,1.03,20800.0
1980-04-11,0.99,,1.03,0.99,12300.0
1980-04-14,0.97,,1.01,0.96,14200.0
1980-04-15,0.99,,0.99,0.97,5000.0
1980-04-16,0.95,,1.0,0.94,26100.0
1980-04-17,0.95,,0.95,0.94,24000.0
1980-04-18,0.95,,0.96,0.93,10200.0
1980-04-21,0.93,,0.96,0.93,8300.0
1980-04-22,0.95,,0.98,0.95,16800.0
1980-04-23,0.98,,0.98,0.96,6300.0
1980-04-24,0.95,,0.99,0.95,7600.0
1980-04-25,0.95,,0.97,0.95,6900.0
1980-04-28,0.98,,0.98,0.96,12700.0
1980-04-29,0.97,,0.98,0.97,7500.0
1980-04-30,1.02,,1.02,0.96,74600.0
1980-05-01,1.02,,1.05,1.0,13300.0
1980-05-02,1.0,,1.02,0.99,19400.0
1980-05-05,1.0,,1.01,0.98,11900.0
1980-05-06,1.02,,1.03,1.0,8600.0
1980-05-07,1.08,,1.08,1.02,91400.0
1980-05-08,1.05,,1.08,1.05,13400.0
1980-05-09,1.04,,1.05,1.02,7400.0
1980-05-12,1.05,,1.05,1.02,4900.0
1980-05-13,1.05,,1.05,1.02,10000.0
1980-05-14,1.07,,1.07,1.05,18000.0
1980-05-15,1.09,,1.1,1.07,42400.0
1980-05-16,1.12,,1.12,1.08,19000.0
1980-05-19,1.09,,1.12,1.08,21400.0
1980-05-20,1.07,,1.09,1.06,88900.0
1980-05-21,1.05,,1.07,1.05,69300.0
1980-05-22,1.12,,1.12,1.05,25700.0
1980-05-23,1.11,,1.12,1.1,7800.0
1980-05-27,1.12,,1.13,1.12,16900.0
1980-05-28,1.13,,1.13,1.12,35600.0
1980-05-29,1.14,,1.16,1.13,39000.0
1980-05-30,1.14,,1.15,1.13,18600.0
1980-06-02,1.16,,1.16,1.13,25400.0
1980-06-03,1.17,,1.19,1.17,26400.0
1980-06-04,1.22,,1.22,1.2,26900.0
1980-06-05,1.23,,1.27,1.23,36700.0
1980-06-06,1.23,,1.24,1.23,22600.0
1980-06-09,1.21,,1.23,1.21,14100.0
1980-06-10,1.21,,1.23,1.21,9200.0
1980-06-11,1.22,,1.24,1.2,15500.0
1980-06-12,1.23,,1.24,1.19,15200.0
1980-06-13,1.23,,1.24,1.22,10700.0
1980-06-16,1.22,,1.23,1.22,11900.0
1980-06-17,1.23,,1.24,1.23,8300.0
1980-06-18,1.25,,1.25,1.22,32700.0
1980-06-19,1.25,,1.26,1.24,63600.0
1980-06-20,1.23,,1.24,1.23,7100.0
1980-06-23,1.25,,1.26,1.23,37900.0
1980-06-24,1.25,,1.26,1.24,11200.0
1980-06-25,1.27,,1.27,1.25,9700.0
1980-06-26,1.28,,1.3,1.26,72600.0
1980-06-27,1.27,,1.28,1.27,20200.0
1980-06-30,1.26,,1.27,1.25,27900.0
1980-07-01,1.28,,1.28,1.25,18700.0
1980-07-02,1.3,,1.3,1.28,46900.0
1980-07-03,1.31,,1.33,1.3,94600.0
1980-07-07,1.39,,1.39,1.33,76100.0
1980-07-08,1.38,,1.41,1.37,38200.0
1980-07-09,1.39,,1.4,1.37,90100.0
1980-07-10,1.38,,1.41,1.38,27200.0
1980-07-11,1.38,,1.39,1.38,20500.0
1980-07-14,1.41,,1.41,1.38,48000.0
1980-07-15,1.43,,1.44,1.41,116600.0
1980-07-16,1.46,,1.47,1.44,23100.0
1980-07-17,1.46,,1.47,1.45,26800.0
1980-07-18,1.48,,1.48,1.45,19300.0
1980-07-21,1.48,,1.48,1.48,16800.0
1980-07-22,1.47,,1.48,1.47,20800.0
1980-07-23,1.43,,1.45,1.42,20300.0
1980-07-24,1.4,,1.41,1.39,15700.0
1980-07-25,1.41,,1.41,1.39,16300.0
1980-07-28,1.39,,1.4,1.38,20200.0
1980-07-29,1.4,,1.41,1.39,19000.0
1980-07-30,1.43,,1.44,1.4,14400.0
1980-07-31,1.44,,1.44,1.42,9600.0
1980-08-01,1.44,,1.44,1.41,18500.0
1980-08-04,1.41,,1.42,1.41,17200.0
1980-08-05,1.41,,1.42,1.4,38700.0
1980-08-06,1.41,,1.42,1.41,30800.0
1980-08-07,1.44,,1.44,1.41,12200.0
1980-08-08,1.41,,1.46,1.41,19400.0
1980-08-11,1.41,,1.42,1.41,7400.0
1980-08-12,1.42,,1.43,1.41,5400.0
1980-08-13,1.41,,1.42,1.41,9300.0
1980-08-14,1.44,,1.45,1.41,33700.0
1980-08-15,1.47,,1.47,1.44,40300.0
1980-08-18,1.44,,1.45,1.44,19100.0
1980-08-19,1.38,,1.42,1.38,34500.0
1980-08-20,1.31,,1.38,1.3,13200.0
1980-08-21,1.35,,1.35,1.31,19700.0
1980-08-22,1.36,,1.37,1.35,24800.0
1980-08-25,1.34,,1.38,1.34,8000.0
1980-08-26,1.37,,1.37,1.34,8500.0
1980-08-27,1.32,,1.35,1.32,16100.0
1980-08-28,1.34,,1.34,1.32,3700.0
1980-08-29,1.32,,1.34,1.32,5600.0
1980-09-02,1.32,,1.34,1.32,6500.0
1980-09-03,1.34,,1.34,1.31,27600.0
1980-09-04,1.33,,1.35,1.33,25200.0
1980-09-05,1.33,,1.34,1.32,12500.0
1980-09-08,1.3,,1.34,1.3,9100.0
1980-09-09,1.29,,1.3,1.29,20000.0
1980-09-10,1.34,,1.35,1.3,16600.0
1980-09-11,1.31,,1.34,1.31,21300.0
1980-09-12,1.33,,1.33,1.3,6800.0
1980-09-15,1.31,,1.33,1.3,38200.0
1980-09-16,1.37,,1.37,1.31,20900.0
1980-09-17,1.33,,1.36,1.33,9600.0
1980-09-18,1.31,,1.34,1.31,20900.0
1980-09-19,1.36,,1.36,1.32,14300.0
1980-09-22,1.34,,1.36,1.32,23500.0
1980-09-23,1.32,,1.35,1.31,15100.0
1980-09-24,1.34,,1.34,1.3,15600.0
1980-09-25,1.34,,1.34,1.34,24200.0
1980-09-26,1.32,,1.34,1.32,11400.0
1980-09-29,1.33,,1.33,1.31,6500.0
1980-09-30,1.34,,1.34,1.31,8200.0
1980-10-01,1.33,,1.34,1.33,13600.0
1980-10-02,1.34,,1.34,1.33,5600.0
1980-10-03,1.33,,1.34,1.33,13900.0
1980-10-06,1.31,,1.33,1.31,24900.0
1980-10-07,1.31,,1.33,1.3,52600.0
1980-10-08,1.3,,1.32,1.3,26100.0
1980-10-09,1.28,,1.31,1.28,66500.0
1980-10-10,1.28,,1.3,1.28,7100.0
1980-10-13,1.31,,1.31,1.28,15500.0
1980-10-14,1.37,,1.39,1.31,22800.0
1980-10-15,1.36,,1.38,1.36,15700.0
1980-10-16,1.34,,1.38,1.34,13000.0
1980-10-17,1.35,,1.37,1.34,15600.0
1980-10-20,1.36,,1.36,1.34,17000.0
1980-10-21,1.36,,1.37,1.35,12400.0
1980-10-22,1.38,,1.38,1.36,31600.0
1980-10-23,1.35,,1.38,1.35,20800.0
1980-10-24,1.35,,1.38,1.35,8200.0
1980-10-27,1.34,,1.34,1.32,10200.0
1980-10-28,1.31,,1.33,1.31,30200.0
1980-10-29,1.3,,1.33,1.3,28300.0
1980-10-30,1.29,,1.3,1.28,6900.0
1980-10-31,1.26,,1.27,1.25,14600.0
1980-11-03,1.26,,1.28,1.25,33000.0
1980-11-05,1.3,,1.36,1.3,12700.0
1980-11-06,1.3,,1.33,1.3,16400.0
1980-11-07,1.3,,1.31,1.3,4500.0
1980-11-10,1.3,,1.31,1.3,4500.0
1980-11-11,1.3,,1.34,1.3,7000.0
1980-11-12,1.32,,1.34,1.3,8800.0
1980-11-13,1.33,,1.34,1.32,9700.0
1980-11-14,1.35,,1.36,1.34,6900.0
1980-11-17,1.31,,1.34,1.31,16900.0
1980-11-18,1.34,,1.38,1.31,33700.0
1980-11-19,1.34,,1.4,1.34,30900.0
1980-11-20,1.34,,1.37,1.34,8600.0
1980-11-21,1.38,,1.39,1.36,23700.0
1980-11-24,1.37,,1.38,1.37,15800.0
1980-11-25,1.36,,1.38,1.36,5600.0
1980-11-26,1.38,,1.38,1.35,11600.0
1980-11-28,1.37,,1.38,1.36,8600.0
1980-12-01,1.35,,1.38,1.35,10900.0
1980-12-02,1.35,,1.36,1.34,12900.0
1980-12-03,1.35,,1.36,1.35,4900.0
1980-12-04,1.34,,1.37,1.34,16400.0
1980-12-05,1.32,,1.36,1.32,15100.0
1980-12-08,1.33,,1.33,1.31,8600.0
1980-12-09,1.3,,1.32,1.3,8900.0
1980-12-10,1.3,,1.32,1.3,26700.0
1980-12-11,1.27,,1.3,1.27,26600.0
1980-12-12,1.27,,1.28,1.27,11700.0
1980-12-15,1.27,,1.28,1.26,6100.0
1980-12-16,1.26,,1.29,1.26,10600.0
1980-12-17,1.25,,1.27,1.25,87600.0
1980-12-18,1.25,,1.29,1.25,18200.0
1980-12-19,1.24,,1.27,1.24,31400.0
1980-12-22,1.28,,1.3,1.25,12300.0
1980-12-23,1.33,,1.34,1.28,37700.0
1980-12-24,1.37,,1.37,1.34,32200.0
1980-12-26,1.38,,1.4,1.38,13200.0
1980-12-29,1.35,,1.38,1.35,7100.0
1980-12-30,1.35,,1.38,1.35,14900.0
1980-12-31,1.36,,1.38,1.36,8500.0
1981-01-02,1.36,,1.38,1.36,1400.0
