Date,Close,Open,High,Low,Volume
1980-03-17,0.67,,0.68,0.67,11600.0
1980-03-18,0.67,,0.67,0.66,9500.0
1980-03-19,0.69,,0.69,0.68,20800.0
1980-03-20,0.69,,0.69,0.68,8000.0
1980-03-21,0.68,,0.69,0.68,13000.0
1980-03-24,0.66,,0.68,0.66,37500.0
1980-03-25,0.65,,0.66,0.64,27400.0
1980-03-26,0.64,,0.65,0.64,15200.0
1980-03-27,0.6,,0.63,0.59,27100.0
1980-03-28,0.62,,0.62,0.6,8000.0
1980-03-31,0.63,,0.63,0.62,5200.0
1980-04-01,0.65,,0.65,0.63,9800.0
1980-04-02,0.69,,0.7,0.66,22200.0
1980-04-03,0.68,,0.69,0.68,5000.0
1980-04-07,0.68,,0.68,0.67,18400.0
1980-04-08,0.68,,0.68,0.68,5500.0
1980-04-09,0.69,,0.69,0.68,3500.0
1980-04-10,0.71,,0.71,0.7,3200.0
1980-04-11,0.71,,0.71,0.71,4400.0
1980-04-14,0.7,,0.71,0.7,2400.0
1980-04-15,0.7,,0.71,0.7,2500.0
1980-04-16,0.71,,0.71,0.7,10600.0
1980-04-17,0.71,,0.71,0.7,15900.0
1980-04-18,0.71,,0.71,0.7,8100.0
1980-04-21,0.7,,0.71,0.7,9800.0
1980-04-22,0.72,,0.72,0.71,32900.0
1980-04-23,0.73,,0.73,0.73,7200.0
1980-04-24,0.76,,0.77,0.73,20500.0
1980-04-25,0.75,,0.76,0.74,9900.0
1980-04-28,0.73,,0.75,0.73,10700.0
1980-04-29,0.73,,0.73,0.73,2300.0
1980-04-30,0.73,,0.73,0.72,10100.0
1980-05-01,0.72,,0.73,0.72,9300.0
1980-05-02,0.72,,0.73,0.72,6000.0
1980-05-05,0.73,,0.73,0.72,1400.0
1980-05-06,0.76,,0.76,0.73,39100.0
1980-05-07,0.79,,0.8,0.76,64600.0
1980-05-08,0.81,,0.84,0.8,47900.0
1980-05-09,0.79,,0.81,0.79,23600.0
1980-05-12,0.8,,0.81,0.78,12900.0
1980-05-13,0.76,,0.81,0.76,23900.0
1980-05-14,0.77,,0.78,0.75,62800.0
1980-05-15,0.78,,0.79,0.77,25100.0
1980-05-16,0.78,,0.78,0.77,7700.0
1980-05-19,0.78,,0.78,0.77,16500.0
1980-05-20,0.78,,0.78,0.77,25600.0
1980-05-21,0.77,,0.78,0.76,18700.0
1980-05-22,0.77,,0.77,0.77,6800.0
1980-05-23,0.78,,0.79,0.77,16800.0
1980-05-27,0.78,,0.79,0.78,13600.0
1980-05-28,0.79,,0.79,0.78,14700.0
1980-05-29,0.78,,0.79,0.78,28800.0
1980-05-30,0.79,,0.79,0.78,9200.0
1980-06-02,0.79,,0.79,0.79,7800.0
1980-06-03,0.8,,0.81,0.79,20300.0
1980-06-04,0.8,,0.81,0.8,23500.0
1980-06-05,0.8,,0.81,0.8,10200.0
1980-06-06,0.8,,0.8,0.8,22700.0
1980-06-09,0.8,,0.8,0.8,4300.0
1980-06-10,0.8,,0.8,0.8,6800.0
1980-06-11,0.8,,0.81,0.8,3100.0
1980-06-12,0.8,,0.81,0.8,7100.0
1980-06-13,0.8,,0.8,0.8,1100.0
1980-06-16,0.81,,0.81,0.8,6500.0
1980-06-17,0.81,,0.81,0.8,12500.0
1980-06-18,0.83,,0.83,0.81,10100.0
1980-06-19,0.82,,0.84,0.82,10300.0
1980-06-20,0.82,,0.82,0.82,33900.0
1980-06-23,0.82,,0.82,0.82,6800.0
1980-06-24,0.81,,0.82,0.81,7200.0
1980-06-25,0.83,,0.83,0.81,13600.0
1980-06-26,0.82,,0.83,0.82,7100.0
1980-06-27,0.81,,0.81,0.81,16000.0
1980-06-30,0.82,,0.83,0.82,13200.0
1980-07-01,0.83,,0.83,0.81,3800.0
1980-07-02,0.83,,0.83,0.83,6000.0
1980-07-03,0.85,,0.85,0.83,16900.0
1980-07-07,0.87,,0.87,0.85,27000.0
1980-07-08,0.86,,0.87,0.86,5500.0
1980-07-09,0.84,,0.86,0.84,23500.0
1980-07-10,0.83,,0.84,0.83,9000.0
1980-07-11,0.82,,0.83,0.82,7500.0
1980-07-14,0.82,,0.82,0.82,20600.0
1980-07-15,0.83,,0.84,0.83,20100.0
1980-07-16,0.84,,0.84,0.83,1400.0
1980-07-17,0.87,,0.87,0.84,25800.0
1980-07-18,0.86,,0.88,0.86,10800.0
1980-07-21,0.87,,0.87,0.85,7800.0
1980-07-22,0.86,,0.87,0.86,4800.0
1980-07-23,0.86,,0.86,0.86,35700.0
1980-07-24,0.86,,0.86,0.86,77400.0
1980-07-25,0.85,,0.86,0.85,17000.0
