Date,Close,Open,High,Low,Volume
2006-10-13,53.53,50.06,54.15,49.76,50545200.0
2006-10-16,53.32,55.36,55.62,53.24,9162700.0
2006-10-17,52.91,53.21,53.24,52.0,4304500.0
2006-10-18,52.03,53.71,53.71,51.79,3665500.0
2006-10-19,50.85,52.03,52.38,50.67,3659900.0
2006-10-20,52.56,51.23,52.71,50.79,3559900.0
2006-10-23,52.38,53.3,53.3,51.97,2848600.0
2006-10-24,52.71,52.41,53.24,52.18,2173300.0
2006-10-25,53.21,52.94,53.27,51.85,2999900.0
2006-10-26,56.86,53.68,58.68,53.21,11678400.0
2006-10-27,59.1,57.71,59.18,57.06,9606900.0
2006-10-30,59.86,59.68,62.13,59.24,4788700.0
2006-10-31,58.89,61.36,61.78,58.24,3264800.0
2006-11-01,58.15,59.48,60.16,58.15,2110100.0
2006-11-02,57.45,58.15,60.07,57.42,2029000.0
2006-11-03,58.45,57.83,58.8,57.71,1944100.0
2006-11-06,58.86,58.6,59.68,58.21,2080300.0
2006-11-07,58.77,58.89,59.33,58.18,1746700.0
2006-11-08,56.48,57.45,57.77,55.36,3831900.0
2006-11-09,59.48,56.77,59.48,56.24,2455300.0
2006-11-10,58.86,58.89,59.21,57.45,1890600.0
2006-11-13,58.54,58.77,58.77,58.07,821900.0
2006-11-14,58.71,58.65,59.07,58.01,1284100.0
2006-11-15,58.95,58.71,59.24,58.45,1462200.0
2006-11-16,59.13,58.77,59.13,58.45,923500.0
2006-11-17,58.21,58.89,58.89,57.83,1199900.0
2006-11-20,57.42,58.45,58.57,56.92,1054400.0
2006-11-21,56.71,57.12,57.27,55.95,3934300.0
2006-11-22,56.92,55.77,57.36,55.36,3628900.0
2006-11-24,56.45,56.0,56.53,55.89,349500.0
2006-11-27,55.65,55.95,56.24,54.33,2040900.0
2006-11-28,55.65,54.77,55.78,53.24,1933500.0
2006-11-29,56.06,56.39,56.5,55.65,1132500.0
2006-11-30,55.86,55.95,56.15,55.24,609100.0
2006-12-01,55.42,55.74,55.8,55.09,917500.0
2006-12-04,55.24,54.83,55.36,54.68,758400.0
2006-12-05,55.89,55.33,56.15,55.0,913800.0
2006-12-06,56.24,55.89,56.27,55.16,1435800.0
2006-12-07,56.56,56.53,56.68,55.65,901300.0
2006-12-08,56.98,56.12,57.27,56.09,1347400.0
2006-12-11,55.83,56.98,57.42,55.68,1235600.0
2006-12-12,58.07,55.95,58.36,55.21,2351700.0
2006-12-13,53.71,56.24,56.24,53.35,5658600.0
2006-12-14,52.88,53.06,54.0,51.97,4039400.0
2006-12-15,55.06,53.68,55.5,53.0,9455600.0
2006-12-18,53.53,54.77,54.91,53.38,1899000.0
2006-12-19,52.71,53.09,53.41,52.29,2259600.0
2006-12-20,52.85,52.71,53.5,52.41,1057700.0
2006-12-21,52.56,52.71,53.09,52.26,1159400.0
2006-12-22,52.56,52.71,52.82,52.35,1328200.0
2006-12-26,52.03,52.56,52.82,51.97,796200.0
2006-12-27,51.56,52.03,52.18,51.26,1147500.0
2006-12-28,52.26,52.71,52.71,51.56,1324600.0
2006-12-29,52.38,52.35,52.71,52.03,1177400.0
2007-01-03,53.53,52.62,53.59,52.38,1764300.0
2007-01-04,53.27,53.74,53.97,52.71,983100.0
2007-01-05,51.68,52.12,53.24,51.59,1129600.0
2007-01-08,52.0,51.68,52.03,51.03,1248200.0
2007-01-09,52.06,51.68,52.21,51.26,1981400.0
2007-01-10,52.35,52.32,52.91,51.82,1082500.0
2007-01-11,52.82,52.35,54.47,52.24,2122200.0
2007-01-12,52.26,52.77,54.12,52.15,1405600.0
2007-01-16,52.03,52.26,52.35,51.56,1245500.0
2007-01-17,52.97,51.85,53.24,51.82,1461900.0
2007-01-18,51.26,52.41,52.41,51.2,2037000.0
2007-01-19,52.06,51.18,52.06,50.0,2358400.0
2007-01-22,53.21,52.29,53.38,52.06,2356400.0
2007-01-23,53.74,53.06,54.15,52.41,1317200.0
2007-01-24,53.83,53.15,54.21,52.5,1830600.0
2007-01-25,54.0,53.94,54.15,53.41,1946800.0
2007-01-26,54.3,53.74,54.71,53.53,1746600.0
2007-01-29,54.5,54.27,54.68,53.94,1243300.0
2007-01-30,54.97,54.68,55.47,54.03,1192900.0
2007-01-31,54.62,55.5,55.71,54.36,2626700.0
2007-02-01,53.44,54.47,54.74,52.62,4144600.0
2007-02-02,54.3,53.47,54.38,53.35,1897100.0
