Date,Close,Open,High,Low,Volume
1995-05-01,27.65,27.11,27.65,27.11,70800.0
1995-05-02,27.92,27.65,27.92,27.11,155300.0
1995-05-03,27.92,27.92,27.92,27.38,155500.0
1995-05-04,27.92,27.92,27.92,27.65,381900.0
1995-05-05,27.92,27.65,27.92,27.65,339900.0
1995-05-08,27.92,27.92,27.92,27.65,192300.0
1995-05-09,27.38,27.92,27.92,27.38,196700.0
1995-05-10,27.11,27.65,27.65,27.11,245200.0
1995-05-11,27.38,27.38,27.38,27.11,163100.0
1995-05-12,27.65,27.11,27.65,27.11,191200.0
1995-05-15,27.65,27.38,27.65,27.38,77600.0
1995-05-16,27.65,27.38,27.65,27.11,144200.0
1995-05-17,27.11,27.11,27.38,27.11,199900.0
1995-05-18,26.85,27.11,27.11,26.58,374600.0
1995-05-19,26.04,26.58,26.58,26.04,234600.0
1995-05-22,26.04,26.31,26.58,26.04,542600.0
1995-05-23,25.77,26.31,26.31,25.77,3537100.0
1995-05-24,25.5,26.04,26.31,25.24,416300.0
1995-05-25,25.77,25.5,25.77,25.5,210700.0
1995-05-26,26.04,25.77,26.04,25.77,92600.0
1995-05-30,25.77,25.77,26.04,25.77,201600.0
1995-05-31,26.85,25.77,26.85,25.77,150400.0
1995-06-01,27.65,26.58,27.65,26.58,368100.0
1995-06-02,27.92,27.65,28.19,27.38,527400.0
1995-06-05,28.19,28.19,28.46,27.92,307900.0
1995-06-06,27.92,27.92,28.19,27.92,130500.0
1995-06-07,27.65,27.92,27.92,27.38,128400.0
1995-06-08,27.11,27.65,27.65,27.11,163100.0
1995-06-09,27.11,26.85,27.38,26.85,51100.0
1995-06-12,27.11,26.85,27.11,26.85,95100.0
1995-06-13,26.85,27.11,27.38,26.58,182800.0
1995-06-14,27.65,27.11,28.19,27.11,316800.0
1995-06-15,27.65,27.65,28.19,27.38,252300.0
1995-06-16,27.65,27.38,27.92,27.38,185400.0
1995-06-19,27.11,27.65,27.65,26.85,83200.0
1995-06-20,27.38,27.38,27.65,26.85,121900.0
1995-06-21,27.65,27.38,27.65,27.11,84700.0
1995-06-22,27.65,27.65,27.92,27.38,392300.0
1995-06-23,27.11,27.92,27.92,27.11,60700.0
1995-06-26,27.65,27.38,28.19,27.11,127900.0
1995-06-27,27.92,27.38,28.46,27.38,255700.0
1995-06-28,27.92,27.92,28.19,27.92,70900.0
1995-06-29,27.92,27.92,28.19,27.65,153600.0
1995-06-30,28.46,28.19,28.73,28.19,63800.0
1995-07-03,29.53,28.19,29.53,28.19,45400.0
1995-07-05,28.99,29.53,29.53,28.99,75600.0
1995-07-06,28.73,29.26,29.26,28.73,25000.0
1995-07-07,28.46,28.73,28.73,28.19,73100.0
1995-07-10,28.19,28.46,28.46,27.92,61700.0
1995-07-11,28.99,28.19,28.99,28.19,90000.0
1995-07-12,29.26,28.73,29.26,28.73,63900.0
1995-07-13,28.73,29.26,29.26,28.46,138700.0
1995-07-14,28.19,28.46,28.46,27.92,82300.0
1995-07-17,27.92,28.19,28.19,27.38,208200.0
1995-07-18,27.38,28.19,28.46,25.77,89900.0
1995-07-19,26.85,27.65,27.65,26.58,113700.0
1995-07-20,27.11,27.11,27.38,26.85,27000.0
