Date,Close,Open,High,Low,Volume
2018-01-29,147.19,146.37,147.86,146.32,
2018-01-30,156.31,148.95,157.7,148.33,
2018-01-31,159.38,157.36,160.23,157.02,
2018-02-01,157.68,158.87,160.67,157.07,
2018-02-02,155.9,157.18,158.74,155.77,
2018-02-05,148.2,154.27,156.15,146.24,
2018-02-06,148.64,144.68,149.3,143.03,
2018-02-07,152.79,148.44,153.88,147.37,
2018-02-08,149.84,154.44,155.3,149.8,
2018-02-09,153.02,151.01,154.72,148.82,
2018-02-12,152.79,153.78,154.5,150.61,
2018-02-13,153.02,151.88,153.28,151.07,
2018-02-14,154.97,152.26,155.28,151.73,
2018-02-15,156.23,155.98,156.93,153.9,
2018-02-16,156.66,155.79,157.23,154.51,
2018-02-20,157.01,156.31,158.5,155.75,
2018-02-21,158.17,157.21,161.04,156.61,
2018-02-22,157.99,158.39,159.92,157.64,
2018-02-23,158.8,158.36,158.81,157.17,
2018-02-26,159.54,159.46,160.83,158.62,
2018-02-27,159.02,159.27,161.0,159.0,
2018-02-28,156.15,159.88,159.91,156.11,
2018-03-01,152.87,156.4,156.4,150.74,
2018-03-02,153.86,151.59,154.36,150.05,
2018-03-05,154.26,153.0,154.34,151.2,
2018-03-06,154.67,154.64,154.96,153.78,
2018-03-07,155.76,152.97,156.26,152.51,
2018-03-08,155.74,156.21,156.29,153.74,
2018-03-09,157.72,156.5,157.78,155.57,
2018-03-12,158.02,158.14,159.58,157.55,
2018-03-13,158.1,158.52,159.5,157.6,
2018-03-14,157.58,159.06,159.68,156.62,
2018-03-15,158.18,157.75,158.46,156.79,
2018-03-16,156.51,158.13,158.41,155.24,
2018-03-19,156.43,156.05,156.66,154.76,
2018-03-20,158.82,156.95,158.9,156.38,
2018-03-21,159.81,159.14,161.04,158.73,
2018-03-22,154.57,158.42,160.89,154.26,
2018-03-23,157.19,154.63,159.71,154.63,
2018-03-26,162.07,158.83,162.37,158.83,
2018-03-27,160.35,162.88,164.58,159.44,
2018-03-28,159.78,160.42,161.3,158.75,
