Date,Close,Open,High,Low,Volume
2018-01-29,162.83,165.2,166.13,160.71,
2018-01-30,160.72,162.7,162.94,160.66,
2018-01-31,161.49,161.43,162.33,160.04,
2018-02-01,159.83,159.84,160.9,158.93,
2018-02-02,155.05,156.72,157.35,154.95,
2018-02-05,150.32,154.02,156.84,150.03,
2018-02-06,155.31,150.15,156.39,148.02,
2018-02-07,150.01,154.56,154.78,150.0,
2018-02-08,144.07,149.88,150.62,144.05,
2018-02-09,149.48,145.29,150.63,144.7,
2018-02-12,153.75,150.87,154.98,150.5,
2018-02-13,153.83,152.73,154.45,152.08,
2018-02-14,155.07,152.25,156.24,152.0,
2018-02-15,155.8,156.27,156.31,153.12,
2018-02-16,153.61,154.55,155.13,153.2,
2018-02-20,153.6,152.25,154.26,151.64,
2018-02-21,152.74,153.47,155.74,152.74,
2018-02-22,153.67,153.87,154.96,153.14,
2018-02-23,155.62,154.31,155.74,152.55,
2018-02-26,155.83,155.44,155.98,153.66,
2018-02-27,154.0,154.9,155.32,153.55,
2018-02-28,149.75,154.15,154.5,149.66,
2018-03-01,147.92,149.21,150.08,146.59,
2018-03-02,149.43,147.24,149.98,146.65,
2018-03-05,152.74,148.81,153.42,148.51,
2018-03-06,153.65,153.06,154.67,151.77,
2018-03-07,155.1,152.55,155.8,152.31,
2018-03-08,157.88,155.74,158.09,155.44,
2018-03-09,160.09,157.95,160.18,157.15,
2018-03-12,161.11,162.65,163.47,160.12,
2018-03-13,160.37,161.88,161.99,159.07,
2018-03-14,157.54,160.94,161.24,157.48,
2018-03-15,155.67,157.59,158.43,155.55,
2018-03-16,154.32,154.65,155.34,153.15,
2018-03-19,149.58,150.26,152.31,148.55,
2018-03-20,150.22,150.58,151.14,149.87,
2018-03-21,151.71,150.6,152.88,149.99,
2018-03-22,146.09,150.06,150.67,145.9,
2018-03-23,142.55,146.85,147.81,142.14,
2018-03-26,146.11,145.0,146.46,143.67,
2018-03-27,144.11,146.18,147.15,143.15,
2018-03-28,142.16,144.45,144.82,141.36,
2018-03-29,144.3,140.66,145.36,140.26,
2018-04-02,142.1,144.02,144.86,140.61,
2018-04-03,143.64,141.97,144.24,141.4,
2018-04-04,145.02,141.12,145.3,140.0,
2018-04-05,146.71,146.0,147.83,145.33,
2018-04-06,143.18,145.39,146.52,142.34,
2018-04-09,143.95,144.05,145.94,142.81,
2018-04-10,146.69,146.15,148.19,145.09,
2018-04-11,144.6,145.24,145.67,144.1,
2018-04-12,146.92,145.41,147.67,144.79,
2018-04-13,146.53,147.35,147.76,145.81,
2018-04-16,151.2,148.0,151.2,147.01,
2018-04-17,154.92,151.95,155.16,150.71,
2018-04-18,153.25,154.81,154.94,153.04,
2018-04-19,151.56,152.85,152.85,150.42,
2018-04-20,150.68,151.26,151.36,149.65,
2018-04-23,150.36,149.54,150.73,149.09,
2018-04-24,146.78,150.67,151.24,144.9,
2018-04-25,149.75,152.44,153.17,148.58,
2018-04-26,155.99,151.44,156.68,150.08,
2018-04-27,153.23,156.0,156.22,151.78,
2018-04-30,152.52,153.85,153.85,151.95,
2018-05-01,153.3,152.05,153.38,151.06,
2018-05-02,151.24,153.89,154.02,150.79,
2018-05-03,152.84,151.32,154.22,150.46,
2018-05-04,154.57,151.62,155.21,151.33,
2018-05-07,155.26,155.85,157.05,154.65,
2018-05-08,154.0,154.45,155.0,153.32,
2018-05-09,155.51,154.98,156.29,153.24,
2018-05-10,157.05,156.1,157.99,155.88,
2018-05-11,157.63,156.93,158.99,156.52,
2018-05-14,158.45,158.25,158.78,157.39,
2018-05-15,158.58,157.93,158.65,157.13,
2018-05-16,159.0,158.46,159.81,158.13,
2018-05-17,159.86,159.01,160.17,158.52,
2018-05-18,159.54,159.27,160.36,159.14,
2018-05-21,160.47,160.55,161.26,160.0,
2018-05-22,159.21,160.72,161.69,159.08,
2018-05-23,158.67,158.26,158.97,157.1,
2018-05-24,157.5,159.18,159.27,156.75,
2018-05-25,157.07,156.87,157.45,155.55,
2018-05-29,153.31,155.92,156.55,153.25,
2018-05-30,156.49,154.47,156.66,154.08,
2018-05-31,156.26,156.81,157.15,155.46,
2018-06-01,157.8,157.6,158.53,156.61,
2018-06-04,157.53,158.5,158.92,157.27,
2018-06-05,159.51,158.87,160.23,158.7,
2018-06-06,162.27,159.0,162.53,157.84,
2018-06-07,159.77,160.89,161.27,159.25,
2018-06-08,159.83,159.0,160.09,158.38,
2018-06-11,160.57,159.97,161.25,159.22,
2018-06-12,161.34,160.99,162.92,160.45,
2018-06-13,160.47,162.0,162.26,160.21,
2018-06-14,161.55,161.85,162.59,161.17,
2018-06-15,160.26,161.08,161.08,159.03,
2018-06-18,158.47,158.33,158.67,157.58,
2018-06-19,155.31,156.3,156.37,154.81,
2018-06-20,155.02,155.51,155.71,154.22,
2018-06-21,155.87,155.28,156.39,155.13,
2018-06-22,158.14,156.82,158.98,156.71,
2018-06-25,154.8,157.6,157.6,153.31,
2018-06-26,154.19,155.01,155.32,153.52,
2018-06-27,155.54,155.31,157.26,155.03,
2018-06-28,156.68,155.88,156.69,154.35,
2018-06-29,158.15,157.33,159.77,157.15,
2018-07-02,158.28,157.0,158.7,156.55,
2018-07-03,157.18,158.7,159.47,157.05,
2018-07-05,161.88,162.0,163.17,161.07,
2018-07-06,164.04,161.99,165.5,161.52,
2018-07-09,164.81,165.08,166.29,164.81,
2018-07-10,166.47,165.11,166.71,164.63,
2018-07-11,164.06,163.18,164.57,162.62,
2018-07-12,165.89,164.67,166.17,163.09,
2018-07-13,166.8,165.15,167.72,164.81,
2018-07-16,167.04,168.03,168.54,166.74,
2018-07-17,166.86,167.05,167.49,166.3,
2018-07-18,165.03,166.23,167.05,164.25,
2018-07-19,165.26,163.95,165.33,162.69,
2018-07-20,165.58,163.18,166.35,163.15,
2018-07-23,161.9,164.42,164.81,161.75,
2018-07-24,163.34,162.62,164.0,162.41,
2018-07-25,165.81,164.83,166.0,162.96,
2018-07-26,166.45,162.77,167.39,162.31,
2018-07-27,166.43,166.52,167.93,165.57,
2018-07-30,165.34,166.43,167.85,165.0,
2018-07-31,167.5,165.78,167.96,165.58,
2018-08-01,165.48,167.59,167.93,164.65,
2018-08-02,163.92,164.1,164.52,162.91,
2018-08-03,164.21,163.13,164.42,163.05,
2018-08-06,157.96,154.26,158.8,153.52,
2018-08-07,157.03,158.97,159.84,156.47,
2018-08-08,157.05,157.41,157.96,156.49,
2018-08-09,157.15,157.0,158.25,156.24,
2018-08-10,154.79,155.83,155.83,154.13,
2018-08-13,154.32,155.49,156.0,153.59,
2018-08-14,155.34,155.33,155.82,154.51,
2018-08-15,154.63,154.13,154.72,152.52,
2018-08-16,154.53,155.7,155.94,154.33,
2018-08-17,156.04,154.16,156.25,154.16,
2018-08-20,158.29,156.64,158.7,156.64,
2018-08-21,158.32,158.54,159.25,157.96,
2018-08-22,155.02,157.91,158.24,154.93,
2018-08-23,154.9,155.0,155.74,154.09,
2018-08-24,156.21,155.41,156.51,154.52,
2018-08-27,158.05,156.97,158.24,156.88,
2018-08-28,158.35,158.5,159.1,157.58,
2018-08-29,159.5,158.54,159.66,157.79,
2018-08-30,157.89,159.07,159.35,157.26,
2018-08-31,158.19,158.15,159.06,157.46,
2018-09-04,156.18,157.87,157.99,155.12,
2018-09-05,156.14,155.87,156.96,155.54,
2018-09-06,156.67,156.53,157.69,155.33,
2018-09-07,155.03,156.34,156.37,154.58,
2018-09-10,155.87,155.8,156.47,155.34,
2018-09-11,157.08,155.57,157.44,154.56,
2018-09-12,156.6,156.96,157.69,156.43,
2018-09-13,159.19,158.07,159.33,157.29,
2018-09-14,156.99,159.68,160.07,156.84,
2018-09-17,158.02,157.16,159.08,156.97,
2018-09-18,158.17,158.58,159.14,157.91,
2018-09-19,164.37,162.75,166.64,162.75,
2018-09-20,166.21,165.37,166.68,163.93,
2018-09-21,166.5,166.97,167.95,165.75,
2018-09-24,164.0,165.99,167.25,163.92,
2018-09-25,163.06,163.74,164.81,162.88,
2018-09-26,162.58,162.71,164.27,161.9,
2018-09-27,162.33,163.0,163.79,161.94,
2018-09-28,160.73,160.7,162.14,160.11,
2018-10-01,168.87,165.58,169.1,165.29,
2018-10-02,169.03,166.26,169.26,165.43,
2018-10-03,167.57,169.75,169.75,167.18,
2018-10-04,165.83,166.82,167.0,163.38,
2018-10-05,164.24,164.15,165.74,163.65,
2018-10-08,164.31,163.49,164.91,162.87,
2018-10-09,161.18,162.9,163.74,161.0,
2018-10-10,158.01,161.21,161.6,157.94,
2018-10-11,154.26,157.93,158.21,153.77,
2018-10-12,156.24,156.82,157.78,155.33,
2018-10-15,156.79,156.61,159.29,155.99,
2018-10-16,160.67,157.72,160.84,157.22,
2018-10-17,159.79,161.7,162.25,159.09,
2018-10-18,161.36,167.08,167.52,159.48,
2018-10-19,159.85,161.46,163.06,159.29,
2018-10-22,166.88,165.23,168.95,160.52,
2018-10-23,164.17,164.84,165.94,161.6,
2018-10-24,161.23,161.74,164.0,160.78,
2018-10-25,165.0,162.76,166.36,162.43,
2018-10-26,164.94,163.71,167.11,163.44,
2018-10-29,165.49,166.22,169.16,164.59,14032522.0
2018-10-30,164.5,166.11,167.67,162.74,
2018-10-31,165.47,161.74,165.6,161.31,16262721.0
2018-11-01,162.0,164.66,165.48,161.94,11423528.0
2018-11-02,159.84,160.66,161.81,155.44,5704720.0
2018-11-05,161.99,157.65,162.19,157.45,4477443.0
2018-11-06,165.53,161.83,166.35,161.67,2459460.0
2018-11-07,166.85,164.54,166.85,164.23,7626295.0
2018-11-08,165.3,164.5,166.15,162.93,3675822.0
2018-11-09,161.52,162.99,163.94,160.55,2660508.0
2018-11-12,159.22,160.06,162.3,158.91,1990839.0
2018-11-13,156.93,160.22,160.33,156.53,1981232.0
2018-11-14,153.36,158.19,158.24,153.0,2338763.0
2018-11-15,155.18,156.09,156.3,152.56,2756733.0
2018-11-16,158.08,153.74,158.46,153.4,2725605.0
2018-11-19,159.5,158.61,161.45,158.44,2464717.0
2018-11-20,157.87,157.49,160.19,157.24,2139724.0
2018-11-21,159.06,159.24,161.24,158.55,2070941.0
2018-11-23,156.19,156.86,158.01,156.02,963558.0
2018-11-26,157.32,157.04,158.22,156.88,2678195.0
2018-11-27,152.55,155.66,156.65,151.52,2525894.0
2018-11-28,156.29,153.53,156.48,151.7,1808830.0
2018-11-29,159.31,155.51,159.84,155.35,2901283.0
2018-11-30,159.05,157.02,160.61,156.94,3811727.0
2018-12-03,164.35,162.3,164.42,159.92,3177158.0
2018-12-04,160.83,163.95,164.29,160.45,2746072.0
2018-12-06,155.98,158.53,159.02,153.0,4785369.0
2018-12-07,152.72,156.22,158.52,152.36,2508918.0
2018-12-10,156.91,156.03,157.55,154.11,2540418.0
2018-12-11,157.46,161.16,162.46,156.65,2552869.0
2018-12-12,160.55,161.65,162.14,159.46,2402588.0
2018-12-13,158.09,160.4,161.3,157.3,2353979.0
2018-12-14,156.93,157.38,158.47,156.05,2360754.0
2018-12-17,157.33,157.19,159.44,155.59,2754378.0
2018-12-18,157.61,158.42,158.89,156.63,2147003.0
2018-12-19,155.83,157.4,158.5,155.21,2618675.0
2018-12-20,154.05,154.48,156.4,152.44,3398929.0
2018-12-21,153.11,156.01,157.48,153.03,5452061.0
2018-12-24,148.13,152.7,153.41,148.13,2086789.0
2018-12-26,152.74,148.75,152.77,145.95,2591492.0
2018-12-27,156.41,152.05,156.41,150.6,2866950.0
2018-12-28,156.31,157.1,158.56,155.04,1586143.0
2018-12-31,156.04,156.23,157.0,153.94,1710936.0
2019-01-02,157.2,153.53,158.16,153.52,1697750.0
2019-01-03,152.29,154.06,154.35,151.93,1763357.0
2019-01-04,156.63,153.83,157.62,153.36,1801275.0
2019-01-07,156.49,155.78,158.04,155.15,1695001.0
2019-01-08,158.15,156.09,158.56,155.2,2193118.0
2019-01-09,158.46,156.73,159.53,156.33,2099888.0
2019-01-10,161.85,158.7,161.98,158.35,2091882.0
2019-01-11,160.21,160.56,160.76,159.37,1380391.0
2019-01-14,158.02,158.37,159.5,157.7,1996170.0
2019-01-15,157.23,156.84,157.87,156.54,2110706.0
2019-01-16,157.24,157.53,158.42,157.08,1362617.0
2019-01-17,157.26,156.4,157.65,156.21,2079443.0
2019-01-18,160.79,158.76,161.45,158.01,2494756.0
2019-01-22,160.84,161.61,161.78,159.69,1692554.0
2019-01-23,158.93,160.57,161.09,157.46,1565029.0
2019-01-24,157.37,157.61,157.91,156.43,2490224.0
2019-01-25,158.84,158.69,160.11,158.64,1242664.0
2019-01-28,158.21,157.78,158.39,156.88,1418879.0
2019-01-29,161.22,159.57,162.0,159.35,1558358.0
2019-01-30,162.92,161.79,163.75,161.16,1107479.0
2019-01-31,163.01,161.18,163.42,159.63,1563022.0
2019-02-01,165.76,163.91,165.9,163.46,1324345.0
2019-02-04,163.5,165.48,165.69,163.22,2095929.0
2019-02-05,164.99,165.26,165.99,163.8,2323320.0
2019-02-06,163.42,163.95,164.62,163.04,1116384.0
2019-02-07,160.69,161.75,162.24,159.43,1331985.0
2019-02-08,161.22,160.07,161.61,159.08,1557942.0
2019-02-11,161.35,161.06,161.62,160.63,1095321.0
2019-02-12,167.53,164.13,167.55,163.89,1765452.0
2019-02-13,167.38,167.09,168.49,166.79,1599349.0
2019-02-14,166.5,166.65,167.6,165.93,1104141.0
2019-02-15,168.54,170.54,170.71,167.77,2573604.0
2019-02-19,167.86,168.0,168.78,167.56,2221223.0
2019-02-20,170.3,167.59,171.01,167.59,2574751.0
2019-02-21,171.4,170.98,172.3,170.54,1736555.0
2019-02-22,173.5,172.24,173.74,171.55,1075724.0
2019-02-25,174.62,173.89,175.01,173.39,1526810.0
2019-02-26,173.91,173.79,174.89,173.45,1739158.0
2019-02-27,174.5,173.4,175.12,172.63,1451801.0
2019-02-28,173.24,174.81,174.93,173.1,1698289.0
2019-03-01,168.38,176.36,176.73,167.86,3033462.0
2019-03-04,168.7,168.35,168.91,166.07,1738053.0
2019-03-05,168.44,168.35,169.94,168.35,1205906.0
2019-03-06,169.13,168.84,169.68,168.21,986917.0
2019-03-07,167.47,169.36,169.36,166.82,1450135.0
2019-03-08,169.46,168.75,169.52,167.76,1558439.0
2019-03-11,171.28,169.48,171.31,169.42,1188763.0
2019-03-12,172.32,171.78,172.9,171.39,1309211.0
2019-03-13,174.39,174.01,175.51,173.64,1538460.0
2019-03-14,174.21,174.25,174.44,173.17,1033242.0
2019-03-15,176.43,176.28,176.96,174.43,3661441.0
2019-03-18,174.55,174.75,174.95,173.43,1220440.0
2019-03-19,173.58,175.35,175.79,172.62,1251550.0
2019-03-20,176.63,175.35,176.87,174.36,1536410.0
2019-03-21,175.1,174.34,175.83,173.7,1146267.0
2019-03-22,169.86,172.1,172.76,169.19,1383973.0
2019-03-25,170.0,170.97,171.92,169.56,1349670.0
2019-03-26,170.98,170.89,171.3,169.69,1408088.0
2019-03-27,169.48,169.46,170.05,168.69,1821420.0
2019-03-28,173.7,170.96,173.85,170.73,1892495.0
2019-03-29,175.93,175.35,176.1,173.88,2158060.0
2019-04-01,176.58,176.84,178.18,176.0,1791905.0
2019-04-02,178.02,177.33,178.18,176.69,1179741.0
2019-04-03,182.74,181.15,184.53,180.63,2379572.0
2019-04-04,183.9,183.57,184.04,182.42,1471382.0
2019-04-05,184.62,184.59,185.43,183.98,1403446.0
2019-04-08,184.84,185.9,185.92,184.15,1138462.0
2019-04-09,182.9,185.05,185.05,182.75,1388180.0
2019-04-10,181.02,183.39,183.59,179.82,2443656.0
2019-04-11,179.85,181.68,181.81,179.77,1916444.0
2019-04-12,180.35,180.8,181.13,180.14,1914482.0
2019-04-15,180.14,180.14,180.43,179.14,1448029.0
2019-04-16,180.62,180.08,180.68,178.8,1749653.0
2019-04-17,179.91,180.64,181.86,179.4,1663290.0
2019-04-18,180.4,180.12,180.79,179.67,1547307.0
2019-04-22,178.9,179.85,180.8,178.83,1002056.0
2019-04-23,179.33,178.65,179.72,178.55,1796474.0
2019-04-24,177.62,179.01,179.51,177.51,1780230.0
2019-04-25,176.28,176.22,176.75,174.92,2229909.0
2019-04-26,178.26,175.44,178.26,175.37,1483885.0
2019-04-29,177.1,176.79,178.26,176.49,1195401.0
2019-04-30,180.26,177.87,180.56,177.39,1404200.0
2019-05-01,178.29,179.89,181.2,178.01,1018290.0
2019-05-02,180.49,177.93,180.49,177.27,1690968.0
2019-05-03,180.96,179.68,181.47,179.24,1248855.0
2019-05-06,178.63,177.83,179.33,177.81,1406991.0
2019-05-07,174.57,176.58,176.87,172.91,2049602.0
2019-05-08,176.54,174.43,177.53,174.24,1264624.0
