Date,Close,Open,High,Low,Volume
2003-10-03,1.88,1.78,1.9,1.75,3875783.0
2003-10-06,1.97,1.9,1.99,1.88,383524.0
2003-10-07,2.03,1.96,2.08,1.96,423823.0
2003-10-08,2.01,2.04,2.04,1.98,398875.0
2003-10-09,1.95,1.99,2.01,1.95,152750.0
2003-10-10,1.93,1.95,1.99,1.89,333450.0
2003-10-13,1.91,1.94,1.94,1.91,188969.0
2003-10-14,2.04,1.92,2.08,1.91,267425.0
2003-10-15,2.0,2.04,2.12,2.0,98100.0
2003-10-16,2.01,2.02,2.03,2.0,48300.0
2003-10-17,1.98,2.0,2.01,1.98,200200.0
2003-10-20,1.99,2.0,2.0,1.97,168500.0
2003-10-21,1.99,1.99,2.0,1.98,110600.0
2003-10-22,1.98,2.0,2.0,1.98,88800.0
2003-10-23,1.94,1.97,1.97,1.92,114800.0
2003-10-24,1.99,1.93,2.0,1.93,202000.0
2003-10-27,2.0,2.0,2.08,1.97,99900.0
2003-10-28,1.98,2.05,2.08,1.96,202270.0
2003-10-29,2.01,1.97,2.03,1.96,205620.0
2003-10-30,2.08,2.01,2.12,2.0,132500.0
2003-10-31,2.16,2.08,2.16,2.08,182245.0
2003-11-03,2.19,2.16,2.23,2.13,95290.0
2003-11-04,2.15,2.21,2.21,2.13,100404.0
2003-11-05,2.13,2.12,2.13,2.09,8028.0
2003-11-06,2.11,2.12,2.13,2.08,47949.0
2003-11-07,2.13,2.13,2.13,2.09,27242.0
2003-11-10,2.12,2.09,2.14,2.09,61706.0
2003-11-11,2.13,2.09,2.13,2.09,114450.0
2003-11-12,2.12,2.1,2.15,2.09,74802.0
2003-11-13,2.08,2.09,2.12,2.08,15082.0
2003-11-14,2.09,2.08,2.1,2.08,249304.0
2003-11-17,2.05,2.09,2.11,2.05,231852.0
2003-11-18,2.04,2.05,2.06,2.04,12120.0
2003-11-19,2.06,2.03,2.08,2.03,44266.0
2003-11-20,2.06,2.06,2.07,2.03,107770.0
2003-11-21,2.08,2.03,2.08,2.03,24875.0
2003-11-24,2.09,2.08,2.09,2.05,25950.0
2003-11-25,2.09,2.1,2.15,2.06,38650.0
2003-11-26,2.23,2.11,2.24,2.09,73725.0
2003-11-28,2.21,2.23,2.23,2.18,5105.0
