Date,Close,Open,High,Low,Volume
12/15/2004,46.56,41.9,49.45,41.65,26246300.0
12/16/2004,49.11,48.1,50.6,47.9,7778200.0
12/17/2004,53.0,49.11,53.25,48.11,4755800.0
12/20/2004,48.6,52.7,53.98,48.33,6098000.0
12/21/2004,47.38,48.6,49.18,45.6,3209500.0
12/22/2004,48.51,47.2,49.55,46.9,1837400.0
12/23/2004,48.5,48.61,49.35,48.3,633500.0
12/27/2004,47.65,48.51,49.01,46.91,800700.0
12/28/2004,48.1,47.45,48.3,46.5,1169600.0
12/29/2004,47.89,48.1,48.2,47.55,566500.0
12/30/2004,47.85,48.05,48.65,47.49,758300.0
12/31/2004,48.0,47.9,48.1,47.45,645400.0
1/3/2005,48.51,49.35,49.4,47.55,1055900.0
1/4/2005,49.46,48.51,49.6,48.3,1660100.0
1/5/2005,48.85,49.71,49.9,48.79,697400.0
1/6/2005,47.99,48.75,48.79,47.5,1015300.0
1/7/2005,45.55,47.85,47.86,45.31,2178900.0
1/10/2005,45.13,45.05,46.3,44.75,1247300.0
1/11/2005,44.72,44.5,45.83,43.27,1503300.0
1/12/2005,43.1,44.91,45.2,42.9,1658100.0
1/13/2005,42.5,42.65,43.0,41.41,2414800.0
1/14/2005,43.4,42.79,43.59,42.15,992800.0
1/18/2005,45.21,43.35,45.21,42.8,879800.0
1/19/2005,44.35,45.29,46.17,44.15,864600.0
1/20/2005,43.76,44.35,44.7,43.56,453600.0
1/21/2005,43.05,43.3,43.49,41.9,1626200.0
1/24/2005,42.05,44.63,44.76,41.5,1875100.0
1/25/2005,42.1,42.3,43.1,42.05,613900.0
1/26/2005,42.06,42.25,42.75,42.02,365500.0
1/27/2005,42.05,42.18,42.6,41.86,646000.0
1/28/2005,42.2,42.1,42.3,41.75,400200.0
1/31/2005,43.4,42.8,43.59,42.53,621800.0
2/1/2005,43.24,44.0,44.5,43.1,780400.0
2/2/2005,45.15,43.75,45.5,43.36,899300.0
2/3/2005,45.75,45.4,45.89,44.55,731000.0
2/4/2005,47.62,46.15,48.0,45.9,1227400.0
2/7/2005,48.95,48.05,49.49,48.0,1102400.0
2/8/2005,47.01,48.96,49.1,46.8,773600.0
2/9/2005,47.31,47.51,47.7,46.58,368600.0
2/10/2005,47.55,48.25,48.5,47.05,549600.0
2/11/2005,47.05,47.8,47.95,46.83,725700.0
2/14/2005,48.01,47.35,48.03,46.86,287200.0
2/15/2005,50.79,48.5,51.4,48.18,2193400.0
2/16/2005,49.72,50.9,50.9,49.65,820600.0
2/17/2005,50.15,50.5,51.29,49.55,709500.0
