Date,Close,Open,High,Low,Volume
2016-11-01,34.0,32.0,34.0,32.0,1100.0
2016-11-03,34.0,34.0,34.0,34.0,1070.0
2016-11-04,33.5,33.0,34.0,32.99,33778.0
2016-11-07,33.02,33.5,33.51,32.75,28979.0
2016-11-08,34.0,33.25,34.0,32.57,214072.0
2016-11-09,31.84,35.0,35.0,31.81,653083.0
2016-11-10,30.33,32.04,32.35,29.82,35019076.0
2016-11-11,29.89,29.8,30.09,28.85,6020148.0
2016-11-14,30.19,29.34,30.43,28.75,4481917.0
2016-11-15,30.43,29.64,30.7,29.62,3667256.0
2016-11-16,31.7,30.77,32.04,30.61,4342310.0
2016-11-17,32.51,31.4,33.07,30.64,5252133.0
2016-11-18,32.68,32.14,33.1,31.79,4253380.0
2016-11-21,31.74,32.26,32.5,31.29,5036677.0
2016-11-22,32.7,31.52,33.15,30.43,5601830.0
2016-11-23,33.02,32.7,33.47,32.5,3620409.0
2016-11-25,32.59,32.76,32.78,32.27,827809.0
2016-11-28,32.74,32.27,33.5,32.17,1929250.0
2016-11-29,33.19,33.05,33.36,32.72,2139479.0
2016-11-30,33.48,33.26,34.3,33.0,2764920.0
2016-12-01,32.51,33.04,33.26,32.19,2914939.0
2016-12-02,32.99,32.16,33.21,32.01,1213120.0
2016-12-05,33.65,32.87,33.76,32.75,2004735.0
2016-12-06,33.82,33.45,33.86,33.21,1622915.0
2016-12-07,34.75,34.07,34.98,34.0,3809431.0
2016-12-08,35.93,34.91,36.0,34.61,2602986.0
2016-12-09,36.38,35.82,36.51,35.6,1993074.0
2016-12-12,36.73,36.38,37.22,36.31,1258339.0
2016-12-13,36.58,36.97,37.09,35.67,1814756.0
2016-12-14,35.15,36.62,37.0,34.97,3886277.0
2016-12-15,34.38,35.06,35.26,34.15,1555074.0
2016-12-16,35.26,34.34,35.47,34.28,3783968.0
2016-12-19,34.48,35.31,35.84,34.27,1983266.0
2016-12-20,34.95,34.22,35.11,34.2,944998.0
2016-12-21,35.02,34.64,35.22,34.46,703934.0
2016-12-22,36.33,35.0,36.62,34.8,1438479.0
2016-12-23,36.85,36.41,37.07,35.97,888289.0
2016-12-27,37.34,36.65,37.49,36.61,822236.0
2016-12-28,37.23,37.25,37.66,37.01,534220.0
2016-12-29,37.77,37.37,37.96,37.14,658516.0
2016-12-30,37.85,37.74,38.52,37.68,773230.0
2017-01-03,37.49,37.71,38.6,37.36,2006963.0
2017-01-04,36.98,37.67,38.41,36.42,1712669.0
