Date,Close,Open,High,Low,Volume
2010-04-28,22.0,22.25,22.25,21.7,5244395.0
2010-04-29,23.0,22.0,23.25,21.9,8773506.0
2010-04-30,22.3,22.95,23.0,22.25,1644399.0
2010-05-03,22.8,22.75,22.95,22.65,3302650.0
2010-05-04,21.5,22.8,22.8,21.5,2276463.0
2010-05-05,20.59,22.0,22.0,20.0,7052946.0
2010-05-06,19.45,20.5,20.55,18.45,8029372.0
2010-05-07,18.6,19.5,19.55,17.9,3881474.0
2010-05-10,19.01,19.75,19.85,18.7,3861035.0
2010-05-11,18.9,18.75,19.28,18.75,2626838.0
2010-05-12,19.8,19.2,20.04,19.2,5714262.0
2010-05-13,19.65,19.85,20.1,19.6,2475870.0
2010-05-14,18.75,19.3,19.4,18.75,3083401.0
2010-05-17,18.85,19.0,19.2,18.7,10116940.0
2010-05-18,18.79,19.05,19.32,18.25,6219778.0
2010-05-19,17.7,18.9,18.93,17.55,6227670.0
2010-05-20,16.9,17.14,17.14,16.2,10248424.0
2010-05-21,16.55,16.35,17.12,16.25,4470502.0
2010-05-24,16.9,16.7,17.15,16.68,1711292.0
2010-05-25,16.57,16.79,16.79,16.2,4649522.0
2010-05-26,17.15,16.99,17.4,16.8,2079286.0
2010-05-27,17.9,17.65,18.0,17.65,3156080.0
2010-05-28,17.77,17.9,17.9,16.25,222111.0
2010-06-01,17.5,17.65,17.8,17.2,900720.0
2010-06-02,17.33,17.61,17.66,17.22,829884.0
2010-06-03,17.33,17.45,17.5,17.15,2173553.0
2010-06-04,17.05,17.05,17.1,16.75,3147113.0
2010-06-07,16.89,17.15,17.2,16.74,2826772.0
2010-06-08,16.75,17.03,17.03,16.5,2037651.0
2010-06-09,16.79,16.79,17.1,16.7,1410168.0
2010-06-10,16.97,16.97,17.07,16.85,1400980.0
2010-06-11,17.14,16.94,17.19,16.94,452409.0
2010-06-14,17.49,17.19,17.58,17.19,1008485.0
2010-06-15,17.97,17.48,18.0,17.35,1969269.0
2010-06-16,17.64,17.93,17.97,17.63,1041440.0
2010-06-17,17.3,17.68,17.75,17.14,1090525.0
2010-06-18,17.21,17.33,17.35,17.15,1373625.0
2010-06-21,17.1,17.45,17.53,17.09,514026.0
2010-06-22,16.84,17.09,17.1,16.8,1502897.0
2010-06-23,16.65,16.9,16.95,16.6,1125631.0
2010-06-24,16.8,16.69,16.92,16.35,2151603.0
2010-06-25,16.82,16.9,16.92,16.7,611909.0
2010-06-28,16.87,16.87,16.87,16.7,355895.0
2010-06-29,16.25,16.74,16.74,16.25,2560983.0
2010-06-30,16.15,16.27,16.5,16.15,1534029.0
2010-07-01,15.55,16.24,16.3,15.4,4006079.0
2010-07-02,15.48,15.58,15.69,15.4,231669.0
2010-07-06,15.06,15.5,15.59,14.9,833669.0
2010-07-07,15.0,15.05,15.15,14.86,2137181.0
2010-07-08,15.05,14.95,15.15,14.95,2422195.0
2010-07-09,15.8,15.1,16.02,15.0,1478679.0
2010-07-12,15.82,15.82,16.02,15.8,786066.0
2010-07-13,16.4,15.83,16.5,15.83,1647223.0
2010-07-14,16.4,16.4,16.45,16.25,1537147.0
