Date,Close,Open,High,Low,Volume
1/28/1994,21.63,21.0,22.5,20.75,719200.0
1/31/1994,21.38,21.5,21.63,21.13,86900.0
2/1/1994,21.25,21.25,21.38,21.13,56900.0
2/2/1994,21.25,21.25,21.5,21.25,43600.0
2/3/1994,21.5,21.25,21.5,21.25,42900.0
2/4/1994,21.13,21.25,21.5,21.13,56500.0
2/7/1994,21.38,21.13,21.5,21.13,40900.0
2/8/1994,22.0,21.5,22.25,21.5,205400.0
2/9/1994,22.25,22.13,22.75,22.13,76900.0
2/10/1994,23.0,22.25,23.0,22.25,42500.0
2/11/1994,23.5,22.88,23.88,22.88,49400.0
2/14/1994,23.88,23.25,24.5,23.25,97400.0
2/15/1994,23.13,23.75,24.0,23.13,62100.0
2/16/1994,23.38,23.13,23.63,23.13,26700.0
2/17/1994,24.13,23.63,24.13,23.63,8900.0
2/18/1994,24.25,24.13,24.38,24.0,27900.0
2/22/1994,23.75,24.0,24.13,23.75,25000.0
2/23/1994,23.38,24.0,24.0,23.25,48100.0
2/24/1994,23.25,23.25,23.88,23.0,48500.0
2/25/1994,22.88,23.0,23.0,22.75,36000.0
2/28/1994,22.63,23.13,23.13,22.5,14500.0
3/1/1994,23.0,22.63,23.25,22.5,74900.0
3/2/1994,23.5,23.25,23.75,23.0,21700.0
3/3/1994,23.0,23.5,23.5,23.0,8600.0
3/4/1994,23.0,23.25,23.25,22.75,5000.0
3/7/1994,22.88,22.75,23.13,22.75,13200.0
3/8/1994,22.63,22.75,22.75,22.25,9800.0
3/9/1994,22.5,22.63,22.63,22.5,38700.0
3/10/1994,22.5,22.38,22.5,22.25,28800.0
3/11/1994,22.0,22.13,22.13,22.0,5800.0
3/14/1994,23.25,22.0,23.75,22.0,59900.0
3/15/1994,22.88,23.5,23.5,22.88,4400.0
3/16/1994,23.38,23.0,23.5,23.0,10800.0
3/17/1994,23.5,23.25,23.5,23.25,18900.0
3/18/1994,23.25,23.63,23.63,23.25,7400.0
3/21/1994,23.25,23.25,23.25,23.13,4100.0
3/22/1994,23.25,23.13,23.63,23.13,33600.0
3/23/1994,23.38,23.38,23.5,23.25,1900.0
3/24/1994,24.0,23.5,24.0,23.5,18400.0
3/25/1994,23.75,23.75,24.0,23.75,5300.0
3/28/1994,23.5,23.63,23.63,23.25,11500.0
3/29/1994,23.25,23.88,23.88,23.25,4200.0
3/30/1994,23.13,23.13,23.13,23.0,20600.0
3/31/1994,23.13,23.0,23.13,23.0,14200.0
4/4/1994,22.75,23.0,23.13,22.75,29900.0
4/5/1994,23.13,23.0,23.13,22.75,1500.0
4/6/1994,23.13,23.13,23.13,23.0,5100.0
4/7/1994,23.38,23.25,23.5,23.25,3800.0
4/8/1994,23.38,23.5,23.5,23.13,9900.0
4/11/1994,23.5,23.38,23.5,23.38,900.0
4/12/1994,23.25,23.25,23.25,23.25,1600.0
4/13/1994,23.25,23.5,23.5,23.25,7100.0
4/14/1994,23.38,23.38,23.38,23.25,1300.0
4/15/1994,23.75,23.38,23.75,23.25,10800.0
4/18/1994,23.38,23.5,23.63,23.38,9900.0
4/19/1994,23.13,23.25,23.38,23.13,40200.0
4/20/1994,22.88,23.13,23.13,22.88,22400.0
4/21/1994,23.38,23.13,23.38,23.13,4400.0
4/22/1994,24.0,23.25,24.0,23.13,72100.0
4/25/1994,24.0,24.25,24.38,24.0,19200.0
4/26/1994,24.0,23.88,24.0,23.88,1100.0
4/28/1994,24.38,24.0,24.5,24.0,4000.0
4/29/1994,24.38,24.38,24.63,24.38,6200.0
5/2/1994,24.63,24.63,24.63,24.38,5700.0
5/3/1994,24.5,24.5,24.75,24.5,2900.0
5/4/1994,24.75,24.63,24.75,24.13,10600.0
5/5/1994,25.5,25.0,25.75,25.0,19800.0
5/6/1994,25.25,25.25,25.25,25.13,8600.0
5/9/1994,25.13,25.38,25.38,25.13,10900.0
5/10/1994,25.38,25.38,25.5,25.13,19000.0
5/11/1994,25.63,25.38,25.75,25.38,5000.0
5/12/1994,25.5,25.75,25.75,25.5,10100.0
5/13/1994,25.75,25.5,25.75,25.5,9000.0
5/16/1994,25.63,25.63,25.75,25.63,4100.0
5/17/1994,25.75,25.75,25.75,25.63,4400.0
5/18/1994,25.25,25.75,25.75,25.25,35400.0
5/19/1994,25.25,25.38,25.38,25.25,22900.0
5/20/1994,25.25,25.38,25.38,25.25,2500.0
5/23/1994,24.5,25.0,25.0,24.5,18200.0
5/24/1994,24.13,24.38,24.38,24.0,32100.0
5/25/1994,24.63,24.25,24.63,24.25,14900.0
5/26/1994,25.0,24.75,25.0,24.75,15300.0
5/27/1994,24.88,25.0,25.0,24.75,2700.0
5/31/1994,25.0,24.88,25.0,24.75,15600.0
6/1/1994,25.0,25.0,25.0,24.88,4000.0
6/2/1994,25.0,24.88,25.0,24.88,10500.0
6/3/1994,24.88,25.0,25.0,24.88,14500.0
6/6/1994,24.88,25.0,25.0,24.5,21900.0
6/7/1994,24.88,24.63,24.88,24.63,15600.0
