Date,Close,Open,High,Low,Volume
1998-03-23,16.78,16.78,16.78,16.78,500.0
1998-03-24,17.42,17.02,17.42,17.02,54400.0
1998-03-25,17.69,17.66,17.69,17.48,13000.0
1998-03-26,17.6,17.57,17.6,17.39,35500.0
1998-03-27,17.19,17.54,17.54,16.96,395000.0
1998-03-30,16.75,16.96,17.16,16.67,179400.0
1998-03-31,16.7,16.84,16.99,16.55,300500.0
1998-04-01,16.26,16.32,16.38,15.73,468400.0
1998-04-02,17.02,16.26,17.07,16.26,487800.0
1998-04-03,17.28,16.96,17.37,16.67,357500.0
1998-04-06,16.78,17.22,17.34,16.78,194700.0
1998-04-07,16.46,16.9,16.9,16.08,706800.0
1998-04-08,16.4,16.46,16.55,16.11,280600.0
1998-04-09,16.08,16.43,16.81,16.08,331500.0
1998-04-13,16.14,15.85,16.14,15.73,586300.0
1998-04-14,16.87,16.2,16.9,16.2,735300.0
1998-04-15,17.34,17.37,17.37,17.02,278200.0
1998-04-16,16.4,17.31,17.31,16.35,197100.0
1998-04-17,16.03,16.4,16.46,15.94,367500.0
1998-04-20,15.59,16.0,16.03,15.59,269000.0
1998-04-21,14.8,15.65,15.82,14.8,384700.0
1998-04-22,15.06,14.8,15.15,14.8,568100.0
1998-04-23,14.98,14.86,14.98,14.69,455000.0
1998-04-24,15.15,14.92,15.21,14.92,402100.0
1998-04-27,15.15,15.06,15.21,14.92,401700.0
1998-04-28,15.53,15.18,15.73,15.15,142400.0
1998-04-29,15.44,15.65,15.65,15.33,442000.0
1998-04-30,14.92,15.41,15.5,14.92,927200.0
1998-05-01,15.56,14.92,15.62,14.92,438300.0
1998-05-04,15.97,15.97,16.05,15.85,215500.0
1998-05-05,15.97,15.97,15.97,15.85,106200.0
1998-05-06,15.38,15.97,16.08,15.38,346600.0
1998-05-07,14.92,15.15,15.33,14.86,405300.0
1998-05-08,15.03,14.92,15.27,14.92,283000.0
1998-05-11,14.74,15.03,15.12,14.69,491200.0
1998-05-12,14.22,14.71,14.83,14.22,589100.0
1998-05-13,15.36,14.34,15.5,14.34,1027800.0
1998-05-14,15.27,15.24,15.33,14.86,166000.0
1998-05-15,15.47,15.27,15.62,15.06,177400.0
1998-05-18,15.62,15.59,15.85,15.53,251300.0
1998-05-19,15.59,15.68,15.85,15.56,202200.0
1998-05-20,16.49,15.7,16.52,15.7,304100.0
1998-05-21,16.03,16.46,16.46,15.97,283100.0
1998-05-22,15.82,16.08,16.08,15.82,249500.0
1998-05-26,15.7,15.97,16.03,15.7,505200.0
1998-05-27,16.05,15.7,16.23,15.65,265700.0
1998-05-28,16.05,15.94,16.17,15.91,257400.0
1998-05-29,16.2,16.08,16.32,16.08,503400.0
1998-06-01,16.23,15.97,16.55,15.91,353600.0
1998-06-02,15.94,16.26,16.32,15.85,234000.0
1998-06-03,15.94,15.79,16.08,15.79,355000.0
1998-06-04,16.29,15.76,16.29,15.65,417400.0
1998-06-05,16.32,16.23,16.4,16.23,406200.0
1998-06-08,15.65,16.32,16.38,15.59,426600.0
1998-06-09,15.12,15.21,15.41,15.12,478500.0
1998-06-10,14.95,15.15,15.33,14.89,668700.0
1998-06-11,14.8,14.98,15.12,14.74,371600.0
1998-06-12,14.92,14.98,15.09,14.71,427200.0
1998-06-15,14.51,14.8,14.89,14.51,299300.0
1998-06-16,14.98,14.57,15.27,14.57,326500.0
1998-06-17,14.95,15.01,15.27,14.95,871100.0
1998-06-18,14.69,14.98,14.98,14.69,353200.0
1998-06-19,14.51,14.6,14.69,14.48,379800.0
1998-06-22,14.04,14.74,14.92,13.99,402100.0
1998-06-23,14.66,14.22,14.71,14.22,519100.0
1998-06-24,14.8,14.51,14.8,14.42,679900.0
1998-06-25,14.54,14.69,14.8,14.54,394900.0
1998-06-26,14.6,14.6,14.66,14.42,587500.0
1998-06-29,14.8,14.71,14.92,14.71,368600.0
1998-06-30,15.09,14.74,15.09,14.6,821000.0
1998-07-01,15.01,15.06,15.33,14.83,584500.0
1998-07-02,14.74,15.01,15.01,14.71,243500.0
1998-07-06,14.92,14.77,15.03,14.71,359400.0
1998-07-07,14.83,14.92,14.95,14.66,3923100.0
1998-07-08,15.36,14.95,15.38,14.95,802700.0
1998-07-09,15.27,15.36,15.36,15.27,675000.0
1998-07-10,15.27,15.27,15.36,15.21,688300.0
1998-07-13,15.18,15.21,15.3,15.03,520600.0
1998-07-14,15.12,15.12,15.21,15.03,790600.0
1998-07-15,14.74,15.12,15.15,14.69,1955500.0
1998-07-16,14.89,14.92,15.03,14.83,484800.0
1998-07-17,14.86,14.89,14.92,14.74,1495400.0
1998-07-20,15.06,14.86,15.06,14.8,903600.0
1998-07-21,14.8,15.06,15.18,14.8,601700.0
1998-07-22,15.7,14.86,15.7,14.83,1025300.0
1998-07-23,15.15,15.62,15.62,15.12,295600.0
1998-07-24,14.98,15.09,15.24,14.74,278300.0
1998-07-27,15.85,14.95,15.85,14.8,401900.0
1998-07-28,15.91,15.73,15.97,15.68,421600.0
1998-07-29,15.5,16.03,16.08,15.33,399100.0
1998-07-30,15.33,15.44,15.53,15.27,219900.0
1998-07-31,15.15,15.36,15.68,15.01,240200.0
1998-08-03,15.15,15.18,15.44,15.09,576200.0
1998-08-04,15.21,15.21,15.53,15.18,608100.0
1998-08-05,15.21,15.38,15.44,14.89,489700.0
1998-08-06,14.86,15.3,15.33,14.8,588500.0
1998-08-07,14.92,14.89,14.95,14.77,828500.0
1998-08-10,15.38,15.33,15.56,15.24,410700.0
1998-08-11,15.06,15.33,15.36,14.98,351200.0
1998-08-12,15.33,15.01,15.33,15.01,207400.0
1998-08-13,15.18,15.09,15.5,15.09,164200.0
1998-08-14,15.56,15.3,15.7,15.27,284500.0
1998-08-17,15.12,15.5,15.53,14.98,408800.0
1998-08-18,15.65,15.09,15.7,15.09,438500.0
1998-08-19,15.18,15.73,15.73,15.03,269200.0
1998-08-20,15.53,15.18,15.73,15.18,330600.0
1998-08-21,15.38,15.03,15.38,14.95,381900.0
1998-08-24,15.68,15.73,15.82,15.5,355500.0
1998-08-25,15.15,15.73,15.82,15.15,866000.0
1998-08-26,14.83,15.15,15.15,14.8,596000.0
1998-08-27,14.57,14.8,14.89,14.54,464700.0
1998-08-28,14.6,14.57,14.83,14.54,258800.0
1998-08-31,13.08,14.54,14.6,12.79,1055800.0
1998-09-01,12.59,13.05,13.29,12.27,817400.0
1998-09-02,12.53,12.7,12.79,12.53,1860000.0
1998-09-03,12.12,11.89,12.21,11.48,920100.0
1998-09-04,12.38,12.18,12.5,12.12,314600.0
1998-09-08,12.76,12.41,12.76,12.3,336300.0
1998-09-09,12.67,12.59,12.73,12.53,471500.0
1998-09-10,12.56,12.47,12.79,12.33,465700.0
1998-09-11,12.65,12.53,12.82,12.47,357500.0
1998-09-14,12.65,12.88,12.88,12.65,159800.0
1998-09-15,12.53,12.59,12.67,12.38,519600.0
1998-09-16,12.0,12.59,12.59,11.95,966600.0
1998-09-17,11.95,11.89,12.03,11.83,818800.0
1998-09-18,12.12,12.06,12.35,12.0,430400.0
1998-09-21,12.06,12.0,12.33,11.89,406700.0
1998-09-22,12.06,12.12,12.38,12.0,505200.0
1998-09-23,12.53,12.06,12.56,12.06,344900.0
1998-09-24,12.15,12.53,12.53,12.09,660400.0
1998-09-25,11.89,12.12,12.21,11.83,397000.0
1998-09-28,11.98,11.95,12.12,11.89,573400.0
1998-09-29,11.39,11.92,11.98,11.39,2702700.0
1998-09-30,11.13,11.36,11.57,11.13,1277100.0
1998-10-01,10.2,10.81,10.81,10.02,1147900.0
1998-10-02,10.4,10.23,10.66,10.23,761300.0
1998-10-05,10.37,10.52,10.66,10.37,1853600.0
1998-10-06,9.27,10.37,10.4,9.03,3564700.0
1998-10-07,9.73,9.32,9.76,9.24,1585900.0
1998-10-08,9.59,9.44,9.73,9.29,1348300.0
1998-10-09,9.41,9.64,9.91,9.32,1008900.0
1998-10-12,10.11,9.5,10.2,9.5,758400.0
1998-10-13,10.66,10.17,10.75,10.05,565500.0
1998-10-14,11.19,10.55,11.45,10.55,599000.0
1998-10-15,11.28,10.96,11.48,10.93,854600.0
1998-10-16,11.95,11.54,12.21,11.51,835000.0
1998-10-19,12.24,11.95,12.35,11.8,693000.0
1998-10-20,12.21,12.24,12.41,12.0,292600.0
1998-10-21,11.86,12.24,12.24,11.63,428800.0
1998-10-22,11.86,11.95,11.95,11.71,313800.0
1998-10-23,11.57,11.83,11.89,11.54,992000.0
1998-10-26,11.54,11.6,11.65,11.36,279800.0
1998-10-27,11.95,11.6,12.06,11.6,547200.0
1998-10-28,11.98,11.92,12.12,11.68,311500.0
1998-10-29,12.15,11.92,12.27,11.92,262100.0
1998-10-30,12.53,12.53,12.59,12.24,821700.0
1998-11-02,13.08,12.56,13.46,12.53,676100.0
1998-11-03,13.4,12.97,13.46,12.67,445100.0
1998-11-04,13.08,13.4,13.61,12.7,943900.0
1998-11-05,13.49,13.08,13.52,12.79,366300.0
1998-11-06,13.64,13.52,13.72,13.4,354000.0
1998-11-09,13.34,13.58,13.58,13.2,605300.0
1998-11-10,13.29,13.17,13.4,13.14,300400.0
1998-11-11,13.08,13.26,13.37,12.97,194300.0
1998-11-12,12.73,12.82,12.88,12.41,904200.0
1998-11-13,13.0,12.76,13.05,12.7,533100.0
1998-11-16,13.4,13.08,13.46,13.08,483500.0
1998-11-17,13.37,13.32,13.61,13.29,223400.0
1998-11-18,13.34,13.37,13.52,13.05,252100.0
1998-11-19,13.32,13.37,13.37,13.2,190300.0
1998-11-20,13.72,13.49,13.72,13.32,235000.0
1998-11-23,14.07,13.67,14.07,13.67,284800.0
1998-11-24,13.58,13.96,14.1,13.55,244600.0
1998-11-25,13.72,13.55,13.75,13.55,315700.0
1998-11-27,13.81,13.67,13.93,13.67,50400.0
1998-11-30,13.69,13.61,13.75,13.46,359800.0
1998-12-01,13.49,13.61,13.69,13.49,538100.0
1998-12-02,13.55,13.46,13.61,13.4,202400.0
1998-12-03,13.46,13.43,13.61,13.4,318200.0
1998-12-04,13.72,13.49,13.75,13.49,218900.0
1998-12-07,13.67,13.64,13.81,13.58,215500.0
1998-12-08,13.72,13.69,13.93,13.61,256100.0
1998-12-09,13.72,13.52,13.72,13.49,180300.0
1998-12-10,13.43,13.64,13.67,13.43,266400.0
1998-12-11,13.61,13.37,13.61,13.32,206200.0
1998-12-14,13.29,13.72,13.84,13.26,276400.0
1998-12-15,13.05,13.29,13.29,12.94,472600.0
1998-12-16,13.08,13.02,13.17,12.97,220800.0
1998-12-17,13.11,13.02,13.17,13.0,315900.0
1998-12-18,12.97,13.05,13.08,12.94,751100.0
1998-12-21,12.59,12.94,13.08,12.47,509700.0
1998-12-22,13.34,12.59,13.34,12.53,353200.0
1998-12-23,13.67,13.34,13.75,13.29,341500.0
1998-12-24,13.52,13.52,13.64,13.4,113600.0
1998-12-28,13.46,13.4,13.58,13.34,368000.0
1998-12-29,13.87,13.43,13.87,13.4,496600.0
1998-12-30,13.99,13.75,14.1,13.72,261400.0
1998-12-31,13.52,13.9,14.07,13.52,507100.0
1999-01-04,13.75,13.52,13.75,13.52,447700.0
1999-01-05,14.42,13.72,14.42,13.67,532300.0
1999-01-06,14.95,14.45,15.15,14.45,1128500.0
1999-01-07,15.18,14.57,15.21,14.51,830700.0
1999-01-08,15.85,15.3,16.05,15.21,877000.0
1999-01-11,15.85,15.85,16.26,15.7,1030600.0
1999-01-12,15.59,15.85,15.85,15.5,505300.0
1999-01-13,15.44,15.27,15.56,15.15,479800.0
1999-01-14,14.71,15.33,15.33,14.71,338700.0
1999-01-15,15.27,14.95,15.27,14.8,618000.0
1999-01-19,14.89,15.15,15.15,14.63,614800.0
1999-01-20,15.09,14.92,15.15,14.8,556700.0
1999-01-21,14.89,15.27,15.33,14.8,418100.0
1999-01-22,14.92,14.86,15.15,14.86,275400.0
1999-01-25,15.03,14.86,15.09,14.86,565700.0
1999-01-26,15.12,15.01,15.15,14.8,366400.0
1999-01-27,15.24,15.01,15.33,14.95,293000.0
1999-01-28,15.44,15.18,15.53,14.92,755100.0
1999-01-29,16.38,15.53,16.43,15.5,1403300.0
1999-02-01,16.03,16.26,16.29,15.62,829600.0
1999-02-02,15.73,15.82,16.03,15.5,522800.0
1999-02-03,16.64,15.62,16.75,15.62,936800.0
1999-02-04,16.96,16.55,17.13,16.55,1280800.0
1999-02-05,17.05,17.02,17.25,16.72,1095900.0
1999-02-08,17.25,17.25,17.63,17.05,1161300.0
1999-02-09,17.02,17.25,17.25,16.96,565400.0
1999-02-10,17.02,17.02,17.16,16.81,495500.0
1999-02-11,17.28,16.9,17.28,16.84,364800.0
1999-02-12,16.7,17.16,17.16,16.55,320100.0
1999-02-16,17.16,16.75,17.25,16.75,507600.0
1999-02-17,17.16,17.07,17.42,17.07,631600.0
1999-02-18,18.24,17.25,18.41,17.25,918800.0
1999-02-19,18.5,18.21,18.5,18.09,1146300.0
1999-02-22,18.41,18.5,18.62,18.36,461500.0
1999-02-23,17.83,18.15,18.15,17.66,1169700.0
1999-02-24,17.25,17.77,17.83,17.13,1014500.0
1999-02-25,16.93,17.02,17.16,16.7,568100.0
1999-02-26,16.78,17.02,17.05,16.67,430900.0
1999-03-01,16.58,16.61,16.67,16.49,597000.0
1999-03-02,16.43,16.64,16.78,16.4,336600.0
1999-03-03,16.55,16.32,16.55,16.17,452600.0
1999-03-04,16.49,16.49,16.67,16.35,601000.0
1999-03-05,17.05,16.67,17.1,16.58,373500.0
1999-03-08,16.93,17.02,17.31,16.64,307800.0
1999-03-09,16.81,16.84,17.22,16.72,399500.0
1999-03-10,16.96,16.78,17.13,16.75,255400.0
1999-03-11,17.72,17.19,17.77,17.13,451300.0
1999-03-12,17.98,17.74,18.18,17.69,375100.0
1999-03-15,17.83,17.95,18.12,17.72,507000.0
1999-03-16,18.04,17.74,18.18,17.69,324800.0
1999-03-17,18.09,18.15,18.18,17.89,429600.0
1999-03-18,17.22,17.95,18.01,17.22,320000.0
1999-03-19,17.42,17.1,17.51,16.99,533000.0
1999-03-22,17.42,17.25,17.6,17.16,289300.0
1999-03-23,16.46,17.31,17.37,16.4,433600.0
1999-03-24,16.61,16.46,16.72,16.46,282300.0
1999-03-25,16.4,16.61,16.78,16.4,525100.0
1999-03-26,16.32,16.35,16.55,16.26,698300.0
1999-03-29,16.26,16.4,16.49,16.2,304800.0
1999-03-30,16.03,16.14,16.23,15.97,244000.0
1999-03-31,15.68,16.03,16.2,15.65,253300.0
1999-04-01,16.08,15.76,16.11,15.68,605500.0
1999-04-05,15.97,16.11,16.26,15.62,471100.0
1999-04-06,15.73,15.85,15.91,15.38,927200.0
1999-04-07,16.08,15.73,16.26,15.73,401300.0
1999-04-08,16.4,16.11,16.49,16.11,455700.0
1999-04-09,16.84,16.49,16.87,16.38,436900.0
1999-04-12,16.55,16.75,16.78,16.32,553000.0
1999-04-13,16.23,16.32,16.35,16.05,494400.0
1999-04-14,16.32,16.2,16.72,16.05,224900.0
1999-04-15,17.31,16.67,17.37,16.46,782500.0
1999-04-16,18.41,17.69,18.62,17.37,1550600.0
1999-04-19,19.14,18.5,19.58,18.5,1253300.0
1999-04-20,18.18,18.82,19.23,17.95,620600.0
1999-04-21,17.72,18.18,18.71,17.6,973400.0
1999-04-22,18.24,18.18,18.59,17.98,812000.0
1999-04-23,19.08,18.41,19.23,18.24,522400.0
1999-04-26,19.81,19.06,19.84,18.88,597300.0
1999-04-27,20.48,19.76,20.75,19.73,1216700.0
1999-04-28,19.73,20.37,20.51,19.7,765300.0
1999-04-29,19.64,19.78,19.93,19.64,698900.0
1999-04-30,19.52,19.67,19.87,19.35,283000.0
1999-05-03,20.45,19.61,20.51,19.52,501800.0
1999-05-04,19.73,20.45,20.48,19.7,331700.0
1999-05-05,19.73,19.81,20.05,19.52,238100.0
1999-05-06,19.93,19.52,19.93,19.38,238700.0
1999-05-07,19.76,20.05,20.16,19.7,370500.0
1999-05-10,19.67,19.73,19.76,19.38,273100.0
1999-05-11,19.55,19.61,19.93,19.49,415300.0
1999-05-12,20.1,19.52,20.13,19.17,435100.0
1999-05-13,20.05,20.1,20.28,20.05,215700.0
1999-05-14,19.35,19.81,19.81,19.23,284600.0
1999-05-17,19.32,19.35,19.46,18.76,323700.0
1999-05-18,18.91,19.29,19.29,18.88,306500.0
1999-05-19,19.26,19.08,19.32,18.97,208000.0
1999-05-20,19.9,19.52,20.28,19.49,371200.0
1999-05-21,18.88,19.78,19.78,18.82,491700.0
1999-05-24,18.41,18.97,19.03,18.39,343000.0
1999-05-25,17.66,18.41,18.41,17.57,858400.0
1999-05-26,17.05,17.72,17.72,16.9,1189000.0
1999-05-27,17.28,17.05,17.42,16.93,754300.0
1999-05-28,17.74,17.34,17.86,17.34,286700.0
1999-06-01,17.07,17.72,17.72,17.05,378600.0
1999-06-02,17.34,17.05,17.37,17.02,412800.0
1999-06-03,17.28,17.31,17.31,16.9,566500.0
1999-06-04,17.8,17.39,17.83,17.39,254800.0
1999-06-07,17.42,17.86,17.86,17.34,175800.0
1999-06-08,17.25,17.25,17.39,17.19,308100.0
1999-06-09,17.07,17.22,17.42,17.05,333600.0
1999-06-10,16.87,16.93,17.02,16.72,369700.0
1999-06-11,17.54,16.84,17.86,16.84,368800.0
1999-06-14,17.98,17.72,18.18,17.6,319700.0
1999-06-15,18.07,17.89,18.33,17.89,203700.0
1999-06-16,18.36,18.09,18.41,17.86,336800.0
1999-06-17,18.07,18.47,18.47,17.48,398400.0
1999-06-18,17.92,18.18,18.3,17.92,501200.0
1999-06-21,17.48,17.92,17.95,17.19,304400.0
1999-06-22,17.48,17.6,17.6,17.34,270900.0
1999-06-23,17.37,17.42,17.51,17.16,607800.0
1999-06-24,16.78,17.31,17.31,16.72,779900.0
1999-06-25,16.46,16.78,16.78,16.35,582900.0
1999-06-28,16.58,16.55,16.72,16.49,299700.0
1999-06-29,16.99,16.52,16.99,16.4,394900.0
1999-06-30,17.42,16.78,17.42,16.49,565400.0
1999-07-01,16.9,17.31,17.31,16.87,323900.0
1999-07-02,16.78,16.9,16.9,16.49,507700.0
1999-07-06,17.13,16.72,17.28,16.72,320600.0
1999-07-07,16.46,17.16,17.19,16.11,869200.0
1999-07-08,16.08,16.46,16.46,15.76,623700.0
1999-07-09,17.57,17.19,17.66,16.87,1047200.0
1999-07-12,17.34,17.57,17.69,16.99,482800.0
1999-07-13,17.19,17.25,17.28,16.96,521500.0
1999-07-14,17.28,17.1,17.31,17.1,328900.0
