Date,Close,Open,High,Low,Volume
3/17/1980,2.4,,2.44,2.4,19900.0
3/18/1980,2.47,,2.47,2.4,4700.0
3/19/1980,2.46,,2.5,2.46,4500.0
3/20/1980,2.46,,2.5,2.46,59900.0
3/21/1980,2.4,,2.43,2.39,3200.0
3/24/1980,2.31,,2.39,2.31,27200.0
3/25/1980,2.38,,2.38,2.32,8600.0
3/26/1980,2.31,,2.36,2.31,23900.0
3/27/1980,2.17,,2.28,2.17,22100.0
3/28/1980,2.22,,2.25,2.2,13200.0
3/31/1980,2.24,,2.31,2.24,10100.0
4/1/1980,2.28,,2.29,2.24,17500.0
4/2/1980,2.31,,2.32,2.25,22400.0
4/3/1980,2.31,,2.31,2.29,4200.0
4/7/1980,2.31,,2.32,2.29,9100.0
4/8/1980,2.35,,2.35,2.29,5500.0
4/9/1980,2.35,,2.38,2.32,6100.0
4/10/1980,2.4,,2.4,2.35,1900.0
4/11/1980,2.47,,2.53,2.44,4300.0
4/14/1980,2.46,,2.51,2.44,83100.0
4/15/1980,2.44,,2.44,2.42,33300.0
4/16/1980,2.44,,2.49,2.43,42900.0
4/17/1980,2.38,,2.47,2.38,49000.0
4/18/1980,2.38,,2.38,2.36,22000.0
4/21/1980,2.38,,2.38,2.33,7600.0
4/22/1980,2.35,,2.38,2.35,39400.0
4/23/1980,2.35,,2.38,2.33,7600.0
4/24/1980,2.4,,2.4,2.33,6900.0
4/25/1980,2.39,,2.4,2.36,2400.0
4/28/1980,2.4,,2.4,2.38,8500.0
4/29/1980,2.44,,2.44,2.38,20400.0
4/30/1980,2.39,,2.44,2.38,10900.0
5/1/1980,2.4,,2.44,2.4,21600.0
5/2/1980,2.38,,2.43,2.38,16500.0
5/5/1980,2.44,,2.46,2.38,45500.0
5/6/1980,2.57,,2.6,2.44,18800.0
5/7/1980,2.64,,2.64,2.54,23400.0
5/8/1980,2.68,,2.69,2.65,6700.0
5/9/1980,2.75,,2.77,2.72,19100.0
5/12/1980,2.72,,2.75,2.71,9900.0
5/13/1980,2.72,,2.72,2.66,13200.0
5/14/1980,2.58,,2.71,2.58,22600.0
5/15/1980,2.58,,2.64,2.58,18400.0
5/16/1980,2.61,,2.61,2.55,48000.0
5/19/1980,2.64,,2.65,2.6,17800.0
5/20/1980,2.69,,2.72,2.64,9100.0
5/21/1980,2.76,,2.83,2.68,30700.0
5/22/1980,2.79,,2.8,2.75,3600.0
5/23/1980,2.82,,2.83,2.8,10700.0
5/27/1980,2.77,,2.84,2.77,5000.0
5/28/1980,2.83,,2.83,2.73,12200.0
5/29/1980,2.84,,2.88,2.83,16200.0
5/30/1980,2.9,,2.9,2.83,68200.0
6/2/1980,2.88,,2.93,2.88,16500.0
6/3/1980,2.88,,2.94,2.87,21600.0
6/4/1980,2.97,,2.97,2.87,15200.0
6/5/1980,3.12,,3.12,2.97,36200.0
6/6/1980,3.04,,3.13,3.04,55600.0
6/9/1980,3.05,,3.08,3.05,64300.0
6/10/1980,3.02,,3.08,3.02,7000.0
6/11/1980,3.04,,3.04,3.01,133400.0
6/12/1980,3.05,,3.05,2.99,64100.0
6/13/1980,2.99,,2.99,2.97,108900.0
6/16/1980,2.95,,2.99,2.94,26700.0
6/17/1980,2.91,,2.95,2.91,7900.0
6/18/1980,2.9,,2.9,2.82,14000.0
6/19/1980,2.91,,2.94,2.9,50300.0
6/20/1980,2.86,,2.91,2.86,15400.0
6/23/1980,2.88,,2.91,2.84,12800.0
6/24/1980,2.94,,2.94,2.88,3900.0
6/25/1980,2.94,,2.99,2.91,19100.0
6/26/1980,2.98,,2.98,2.95,27700.0
6/27/1980,2.98,,2.98,2.95,4600.0
6/30/1980,2.97,,2.97,2.91,4500.0
7/1/1980,3.06,,3.06,2.94,15700.0
7/2/1980,3.06,,3.06,3.02,86600.0
7/3/1980,3.05,,3.06,3.02,35400.0
7/7/1980,3.06,,3.06,3.02,3200.0
7/8/1980,3.06,,3.06,3.05,7400.0
7/9/1980,3.08,,3.09,3.01,53300.0
7/10/1980,3.08,,3.08,3.05,19900.0
7/11/1980,3.06,,3.08,3.05,12700.0
7/14/1980,3.1,,3.1,3.06,30600.0
7/15/1980,3.13,,3.15,3.13,22600.0
7/16/1980,3.16,,3.16,3.13,8200.0
7/17/1980,3.19,,3.19,3.15,8000.0
7/18/1980,3.24,,3.26,3.19,36900.0
7/21/1980,3.24,,3.26,3.2,15900.0
7/22/1980,3.38,,3.49,3.28,38800.0
7/23/1980,3.36,,3.41,3.36,26800.0
7/24/1980,3.34,,3.36,3.3,20100.0
7/25/1980,3.3,,3.32,3.28,9900.0
7/28/1980,3.31,,3.34,3.28,14000.0
7/29/1980,3.34,,3.35,3.28,20500.0
7/30/1980,3.43,,3.45,3.35,34400.0
7/31/1980,3.53,,3.53,3.45,52400.0
8/1/1980,3.56,,3.57,3.52,69100.0
8/4/1980,3.57,,3.61,3.53,26500.0
8/5/1980,3.47,,3.61,3.47,41700.0
8/6/1980,3.45,,3.46,3.41,3800.0
8/7/1980,3.38,,3.47,3.38,36500.0
8/8/1980,3.41,,3.42,3.39,7100.0
8/11/1980,3.42,,3.42,3.35,35500.0
8/12/1980,3.41,,3.42,3.41,43300.0
8/13/1980,3.34,,3.39,3.31,9900.0
8/14/1980,3.31,,3.32,3.3,4900.0
8/15/1980,3.3,,3.32,3.3,14500.0
8/18/1980,3.28,,3.28,3.19,42900.0
8/19/1980,3.19,,3.26,3.19,20200.0
8/20/1980,3.17,,3.2,3.15,43100.0
8/21/1980,3.2,,3.2,3.15,27000.0
8/22/1980,3.19,,3.26,3.19,19600.0
8/25/1980,3.15,,3.19,3.15,15000.0
8/26/1980,3.04,,3.15,3.04,18000.0
8/27/1980,3.08,,3.08,3.04,95900.0
8/28/1980,3.06,,3.09,3.02,4900.0
8/29/1980,3.12,,3.13,3.09,8300.0
9/2/1980,3.1,,3.17,3.1,12600.0
9/3/1980,3.13,,3.16,3.12,9800.0
9/4/1980,3.23,,3.23,3.16,15700.0
9/5/1980,3.27,,3.3,3.23,26100.0
9/8/1980,3.24,,3.24,3.23,10600.0
9/9/1980,3.28,,3.28,3.21,19100.0
9/10/1980,3.3,,3.3,3.28,42500.0
9/11/1980,3.39,,3.39,3.31,14100.0
9/12/1980,3.49,,3.5,3.42,33500.0
9/15/1980,3.49,,3.49,3.46,7000.0
9/16/1980,3.49,,3.49,3.46,59500.0
9/17/1980,3.61,,3.61,3.52,57300.0
9/18/1980,3.63,,3.64,3.58,38800.0
9/19/1980,3.68,,3.72,3.65,43700.0
9/22/1980,3.56,,3.68,3.56,19300.0
9/23/1980,3.49,,3.53,3.47,8200.0
9/24/1980,3.43,,3.45,3.41,15300.0
9/25/1980,3.42,,3.45,3.42,17000.0
9/26/1980,3.39,,3.42,3.39,25300.0
9/29/1980,3.23,,3.39,3.23,12400.0
9/30/1980,3.26,,3.26,3.12,16100.0
10/1/1980,3.31,,3.31,3.23,41400.0
10/2/1980,3.38,,3.39,3.35,19200.0
10/3/1980,3.5,,3.5,3.35,18500.0
10/6/1980,3.54,,3.54,3.49,43000.0
10/7/1980,3.5,,3.57,3.5,22500.0
10/8/1980,3.47,,3.49,3.45,19800.0
10/9/1980,3.49,,3.49,3.42,21500.0
10/10/1980,3.52,,3.52,3.45,20100.0
10/13/1980,3.5,,3.52,3.49,4200.0
10/14/1980,3.47,,3.49,3.41,9600.0
10/15/1980,3.46,,3.5,3.42,8800.0
10/16/1980,3.5,,3.54,3.5,33000.0
10/17/1980,3.47,,3.5,3.43,9500.0
10/20/1980,3.45,,3.46,3.38,7500.0
10/21/1980,3.32,,3.43,3.32,2800.0
10/22/1980,3.34,,3.34,3.27,20200.0
10/23/1980,3.34,,3.35,3.32,18600.0
10/24/1980,3.35,,3.35,3.3,23500.0
10/27/1980,3.35,,3.35,3.32,7500.0
10/28/1980,3.36,,3.38,3.32,17000.0
10/29/1980,3.49,,3.49,3.35,23600.0
10/30/1980,3.43,,3.46,3.41,45900.0
10/31/1980,3.43,,3.43,3.41,20800.0
