Date,Close,Open,High,Low,Volume
3/17/1980,0.91,,0.93,0.91,118501.0
3/18/1980,0.93,,0.93,0.91,293101.0
3/19/1980,0.94,,0.94,0.92,89901.0
3/20/1980,0.93,,0.94,0.92,62501.0
3/21/1980,0.92,,0.93,0.92,48901.0
3/24/1980,0.9,,0.92,0.9,51101.0
3/25/1980,0.91,,0.92,0.9,56000.0
3/26/1980,0.92,,0.94,0.92,80301.0
3/27/1980,0.93,,0.93,0.92,28501.0
3/28/1980,0.98,,0.99,0.97,107901.0
3/31/1980,1.02,,1.02,0.98,51301.0
4/1/1980,1.02,,1.02,1.02,45901.0
4/2/1980,1.02,,1.03,1.0,55701.0
4/3/1980,1.04,,1.04,1.02,39501.0
4/7/1980,1.02,,1.03,1.02,94601.0
4/8/1980,1.02,,1.02,1.01,40800.0
4/9/1980,1.02,,1.03,1.02,55901.0
4/10/1980,1.02,,1.03,1.02,101701.0
4/11/1980,1.01,,1.02,1.01,68201.0
4/14/1980,1.0,,1.01,1.0,32501.0
4/15/1980,1.0,,1.0,0.99,56901.0
4/16/1980,1.0,,1.01,1.0,77801.0
4/17/1980,1.0,,1.0,0.99,31501.0
4/18/1980,1.0,,1.01,0.99,35801.0
4/21/1980,0.99,,1.0,0.99,58901.0
4/22/1980,1.04,,1.04,1.01,126101.0
4/23/1980,1.06,,1.09,1.06,129001.0
4/24/1980,1.06,,1.07,1.06,115200.0
4/25/1980,1.04,,1.04,1.03,115901.0
4/28/1980,1.02,,1.04,1.02,5901.0
4/29/1980,1.02,,1.03,1.02,42400.0
4/30/1980,1.05,,1.06,1.02,221600.0
5/1/1980,1.06,,1.06,1.05,83101.0
5/2/1980,1.08,,1.09,1.06,38501.0
5/5/1980,1.11,,1.11,1.07,86101.0
5/6/1980,1.1,,1.11,1.09,229901.0
5/7/1980,1.11,,1.11,1.09,100601.0
5/8/1980,1.09,,1.11,1.08,95101.0
5/9/1980,1.09,,1.09,1.08,18101.0
5/12/1980,1.1,,1.1,1.07,46601.0
5/13/1980,1.13,,1.14,1.1,191901.0
5/14/1980,1.15,,1.16,1.14,151200.0
5/15/1980,1.15,,1.16,1.15,101301.0
5/16/1980,1.15,,1.16,1.15,82800.0
5/19/1980,1.16,,1.17,1.15,59101.0
5/20/1980,1.17,,1.17,1.15,92000.0
5/21/1980,1.17,,1.17,1.16,134800.0
5/22/1980,1.16,,1.17,1.16,91301.0
5/23/1980,1.18,,1.18,1.17,138501.0
5/27/1980,1.16,,1.18,1.16,130800.0
5/28/1980,1.17,,1.17,1.16,49901.0
5/29/1980,1.15,,1.17,1.15,215401.0
5/30/1980,1.16,,1.16,1.13,60101.0
6/2/1980,1.15,,1.16,1.14,123901.0
6/3/1980,1.15,,1.15,1.14,66701.0
6/4/1980,1.17,,1.17,1.14,72601.0
6/5/1980,1.16,,1.18,1.16,142400.0
6/6/1980,1.16,,1.16,1.15,75200.0
6/9/1980,1.18,,1.19,1.18,53101.0
6/10/1980,1.19,,1.19,1.17,51701.0
6/11/1980,1.21,,1.22,1.19,131001.0
6/12/1980,1.22,,1.23,1.21,55101.0
6/13/1980,1.22,,1.23,1.22,79501.0
6/16/1980,1.24,,1.25,1.23,105600.0
6/17/1980,1.25,,1.27,1.25,195901.0
6/18/1980,1.23,,1.25,1.22,266101.0
6/19/1980,1.19,,1.23,1.19,35001.0
6/20/1980,1.21,,1.21,1.19,29901.0
6/23/1980,1.22,,1.22,1.21,81301.0
6/24/1980,1.22,,1.23,1.21,32501.0
6/25/1980,1.24,,1.24,1.22,67501.0
6/26/1980,1.21,,1.24,1.21,80101.0
6/27/1980,1.21,,1.22,1.2,77001.0
6/30/1980,1.19,,1.21,1.19,35101.0
7/1/1980,1.2,,1.2,1.19,28901.0
7/2/1980,1.19,,1.2,1.19,171001.0
7/3/1980,1.19,,1.19,1.18,16201.0
7/7/1980,1.2,,1.2,1.18,134301.0
7/8/1980,1.21,,1.21,1.19,96301.0
7/9/1980,1.2,,1.22,1.2,62501.0
7/10/1980,1.18,,1.19,1.18,48400.0
7/11/1980,1.19,,1.2,1.18,30901.0
7/14/1980,1.21,,1.22,1.18,48301.0
7/15/1980,1.23,,1.24,1.23,126800.0
7/16/1980,1.22,,1.23,1.21,155001.0
7/17/1980,1.21,,1.21,1.2,75001.0
7/18/1980,1.19,,1.21,1.19,187600.0
7/21/1980,1.17,,1.19,1.15,93600.0
7/22/1980,1.17,,1.18,1.17,56400.0
7/23/1980,1.19,,1.19,1.16,84800.0
7/24/1980,1.14,,1.17,1.13,159901.0
7/25/1980,1.12,,1.15,1.1,110601.0
7/28/1980,1.12,,1.12,1.11,120901.0
7/29/1980,1.18,,1.19,1.12,87101.0
7/30/1980,1.18,,1.19,1.15,103001.0
7/31/1980,1.15,,1.17,1.15,121901.0
8/1/1980,1.13,,1.15,1.12,97501.0
8/4/1980,1.13,,1.14,1.12,211701.0
8/5/1980,1.13,,1.15,1.12,114601.0
8/6/1980,1.13,,1.13,1.11,136000.0
8/7/1980,1.17,,1.17,1.14,202800.0
8/8/1980,1.21,,1.22,1.19,326400.0
8/11/1980,1.26,,1.27,1.22,119501.0
8/12/1980,1.26,,1.28,1.26,178501.0
8/13/1980,1.23,,1.25,1.23,240901.0
8/14/1980,1.27,,1.27,1.23,166000.0
8/15/1980,1.24,,1.28,1.24,88501.0
8/18/1980,1.22,,1.25,1.21,39600.0
8/19/1980,1.18,,1.22,1.18,83200.0
8/20/1980,1.19,,1.2,1.18,84800.0
8/21/1980,1.2,,1.21,1.19,69001.0
8/22/1980,1.22,,1.23,1.21,105001.0
8/25/1980,1.23,,1.23,1.21,44800.0
8/26/1980,1.22,,1.23,1.22,22501.0
8/27/1980,1.2,,1.22,1.19,78400.0
8/28/1980,1.18,,1.19,1.18,68601.0
8/29/1980,1.18,,1.18,1.17,56901.0
9/2/1980,1.2,,1.2,1.16,43801.0
9/3/1980,1.22,,1.22,1.2,19600.0
9/4/1980,1.17,,1.23,1.16,88000.0
9/5/1980,1.17,,1.19,1.16,95200.0
9/8/1980,1.16,,1.18,1.15,76000.0
9/9/1980,1.15,,1.16,1.14,46601.0
9/10/1980,1.16,,1.17,1.15,74400.0
9/11/1980,1.15,,1.16,1.15,78901.0
9/12/1980,1.16,,1.16,1.15,48201.0
9/15/1980,1.18,,1.18,1.16,73101.0
9/16/1980,1.22,,1.23,1.18,100101.0
9/17/1980,1.24,,1.24,1.22,59901.0
9/18/1980,1.22,,1.26,1.22,84400.0
9/19/1980,1.23,,1.24,1.21,85101.0
9/22/1980,1.24,,1.24,1.21,107901.0
9/23/1980,1.23,,1.26,1.23,92701.0
9/24/1980,1.23,,1.23,1.22,65401.0
9/25/1980,1.2,,1.22,1.2,43801.0
9/26/1980,1.18,,1.19,1.18,61600.0
9/29/1980,1.18,,1.18,1.16,23101.0
9/30/1980,1.19,,1.19,1.18,28000.0
10/1/1980,1.19,,1.19,1.18,84000.0
10/2/1980,1.17,,1.19,1.15,140400.0
10/3/1980,1.19,,1.19,1.16,103600.0
10/6/1980,1.18,,1.2,1.18,40701.0
10/7/1980,1.17,,1.19,1.16,142301.0
10/8/1980,1.17,,1.18,1.16,65401.0
10/9/1980,1.16,,1.18,1.16,32201.0
10/10/1980,1.14,,1.16,1.14,67600.0
10/13/1980,1.15,,1.16,1.14,58501.0
10/14/1980,1.15,,1.17,1.15,205501.0
10/15/1980,1.16,,1.16,1.15,78501.0
10/16/1980,1.15,,1.17,1.14,161401.0
10/17/1980,1.14,,1.15,1.14,61301.0
10/20/1980,1.14,,1.14,1.13,64301.0
10/21/1980,1.13,,1.15,1.12,99701.0
10/22/1980,1.13,,1.13,1.12,35301.0
10/23/1980,1.1,,1.13,1.1,108101.0
10/24/1980,1.09,,1.09,1.08,133901.0
10/27/1980,1.1,,1.11,1.09,73801.0
10/28/1980,1.1,,1.1,1.08,110201.0
10/29/1980,1.09,,1.11,1.09,51501.0
10/30/1980,1.08,,1.09,1.07,75901.0
10/31/1980,1.09,,1.09,1.08,46501.0
11/3/1980,1.11,,1.12,1.1,66901.0
11/5/1980,1.13,,1.15,1.12,132701.0
11/6/1980,1.09,,1.12,1.09,82501.0
11/7/1980,1.1,,1.1,1.09,79401.0
11/10/1980,1.09,,1.11,1.09,92000.0
11/11/1980,1.09,,1.09,1.08,72901.0
11/12/1980,1.09,,1.09,1.07,197801.0
11/13/1980,1.09,,1.1,1.08,200901.0
11/14/1980,1.08,,1.09,1.07,251301.0
11/17/1980,1.08,,1.08,1.08,96901.0
11/18/1980,1.1,,1.1,1.08,179301.0
11/19/1980,1.12,,1.13,1.1,251001.0
11/20/1980,1.15,,1.18,1.11,382701.0
11/21/1980,1.16,,1.17,1.15,181401.0
11/24/1980,1.16,,1.16,1.14,95801.0
11/25/1980,1.16,,1.17,1.15,143200.0
11/26/1980,1.14,,1.16,1.14,140800.0
11/28/1980,1.13,,1.14,1.12,76701.0
12/1/1980,1.1,,1.14,1.09,166101.0
12/2/1980,1.11,,1.11,1.08,134901.0
12/3/1980,1.11,,1.12,1.1,116201.0
12/4/1980,1.13,,1.13,1.11,105801.0
12/5/1980,1.15,,1.15,1.12,51001.0
12/8/1980,1.12,,1.14,1.12,80301.0
12/9/1980,1.12,,1.13,1.11,153001.0
12/10/1980,1.11,,1.15,1.11,91701.0
12/11/1980,1.12,,1.13,1.1,82101.0
12/12/1980,1.13,,1.14,1.12,87001.0
12/15/1980,1.13,,1.14,1.11,39301.0
12/16/1980,1.12,,1.13,1.11,220400.0
12/17/1980,1.11,,1.12,1.11,231701.0
12/18/1980,1.1,,1.11,1.1,139401.0
12/19/1980,1.11,,1.11,1.1,33600.0
12/22/1980,1.14,,1.14,1.1,78201.0
12/23/1980,1.14,,1.15,1.13,58000.0
12/24/1980,1.15,,1.15,1.13,57001.0
12/26/1980,1.15,,1.15,1.14,31501.0
12/29/1980,1.13,,1.15,1.13,92000.0
12/30/1980,1.16,,1.17,1.13,37501.0
12/31/1980,1.2,,1.2,1.16,41501.0
1/2/1981,1.23,,1.23,1.19,73801.0
1/5/1981,1.23,,1.24,1.22,117301.0
1/6/1981,1.28,,1.29,1.23,389401.0
1/7/1981,1.28,,1.28,1.23,206201.0
1/8/1981,1.34,,1.35,1.28,468601.0
1/9/1981,1.34,,1.35,1.33,302201.0
1/12/1981,1.36,,1.39,1.34,151501.0
1/13/1981,1.35,,1.36,1.33,53200.0
1/14/1981,1.32,,1.36,1.32,51501.0
1/15/1981,1.3,,1.32,1.3,119801.0
1/16/1981,1.29,,1.3,1.28,81001.0
1/19/1981,1.31,,1.31,1.3,129901.0
1/20/1981,1.29,,1.31,1.28,86201.0
1/21/1981,1.32,,1.32,1.28,102501.0
1/22/1981,1.32,,1.32,1.31,70101.0
1/23/1981,1.32,,1.33,1.32,75301.0
1/26/1981,1.33,,1.33,1.31,48501.0
1/27/1981,1.33,,1.35,1.33,74601.0
1/28/1981,1.32,,1.34,1.31,36400.0
1/29/1981,1.32,,1.33,1.31,22301.0
1/30/1981,1.32,,1.33,1.32,87701.0
2/2/1981,1.31,,1.32,1.29,118301.0
2/3/1981,1.31,,1.31,1.29,32201.0
2/4/1981,1.34,,1.35,1.31,199101.0
2/5/1981,1.36,,1.36,1.34,101200.0
