Date,Close,Open,High,Low,Volume
2000-09-18,12.25,12.5,12.5,11.75,134400.0
2000-09-19,12.06,12.31,12.38,12.0,337700.0
2000-09-20,12.38,12.06,12.38,12.0,647000.0
2000-09-21,12.28,12.38,12.38,12.16,63500.0
2000-09-22,12.25,12.25,12.25,12.19,28200.0
2000-09-25,12.56,12.25,12.63,12.25,189000.0
2000-09-26,12.78,12.56,12.78,12.5,163200.0
2000-09-27,13.69,12.91,13.69,12.91,1619600.0
2000-09-28,13.5,13.81,13.81,13.5,509200.0
2000-09-29,13.16,13.44,13.44,13.03,210000.0
2000-10-02,14.0,13.28,14.0,13.28,1163100.0
2000-10-03,13.78,14.25,14.44,13.69,774200.0
2000-10-04,13.69,14.06,14.06,13.5,653300.0
2000-10-05,13.44,13.69,13.75,13.28,636900.0
2000-10-06,12.84,13.41,13.56,12.84,447000.0
2000-10-09,12.19,12.97,12.97,12.19,501600.0
2000-10-10,11.91,12.22,12.56,11.5,585700.0
2000-10-11,12.03,11.81,12.03,11.44,577500.0
2000-10-12,12.47,12.06,12.5,11.94,572200.0
2000-10-13,12.72,12.47,12.81,12.47,312700.0
2000-10-16,13.0,12.69,13.13,12.56,382300.0
2000-10-17,12.28,13.0,13.0,12.13,423500.0
2000-10-18,11.63,12.25,12.28,11.31,484400.0
2000-10-19,12.03,11.75,12.56,11.75,705000.0
2000-10-20,12.03,12.0,12.19,11.97,205400.0
2000-10-23,12.25,12.06,12.28,12.03,392800.0
2000-10-24,12.75,12.38,12.81,12.34,249800.0
2000-10-25,12.72,12.72,12.84,12.56,345300.0
2000-10-26,12.94,12.66,13.0,12.66,379000.0
2000-10-27,13.19,12.91,13.22,12.91,256900.0
2000-10-30,13.31,13.19,13.44,13.19,462700.0
2000-10-31,13.16,13.28,13.31,12.91,560100.0
2000-11-01,13.0,13.19,13.22,12.91,301500.0
2000-11-02,12.88,12.91,13.0,12.75,224300.0
2000-11-03,12.88,12.69,13.06,12.69,209300.0
2000-11-06,12.88,12.91,13.06,12.81,262300.0
2000-11-07,12.91,13.0,13.06,12.81,333100.0
2000-11-08,12.84,12.69,12.94,12.69,157700.0
2000-11-09,12.94,12.66,12.97,12.66,131500.0
2000-11-10,12.88,12.94,13.09,12.78,250800.0
2000-11-13,12.88,12.88,12.97,12.78,354400.0
2000-11-14,12.97,12.88,13.09,12.88,268400.0
2000-11-15,12.78,12.88,12.88,12.72,251600.0
2000-11-16,12.69,12.78,12.84,12.66,291000.0
2000-11-17,12.91,12.81,12.97,12.72,449000.0
2000-11-20,12.88,12.84,12.97,12.66,230900.0
2000-11-21,12.81,12.75,12.94,12.66,289600.0
2000-11-22,12.69,12.78,12.81,12.66,150600.0
2000-11-24,12.72,12.69,12.81,12.69,76100.0
2000-11-27,12.66,12.75,12.94,12.66,257000.0
2000-11-28,12.72,12.66,13.0,12.66,284500.0
2000-11-29,12.81,12.63,12.88,12.63,223800.0
2000-11-30,12.97,12.88,13.16,12.63,253200.0
2000-12-01,13.09,12.91,13.09,12.81,207700.0
2000-12-04,13.16,13.09,13.25,12.97,196200.0
2000-12-05,13.31,13.09,13.5,13.09,142800.0
2000-12-06,13.28,13.25,13.69,13.25,133300.0
2000-12-07,13.16,13.31,13.41,13.16,109400.0
2000-12-08,13.53,13.16,13.69,13.13,208600.0
2000-12-11,13.41,13.5,13.56,13.41,237500.0
2000-12-12,13.38,13.44,13.5,13.25,240400.0
2000-12-13,13.38,13.41,13.47,13.34,255800.0
2000-12-14,13.5,13.38,13.72,13.34,236900.0
2000-12-15,12.81,13.0,13.03,12.72,458100.0
2000-12-18,12.72,12.66,12.91,12.44,184900.0
2000-12-19,13.03,12.84,13.09,12.72,99100.0
2000-12-20,12.25,13.03,13.13,11.94,256600.0
2000-12-21,12.41,12.38,12.47,12.22,254600.0
2000-12-22,12.25,12.28,12.31,12.06,184500.0
2000-12-26,12.44,12.25,12.53,12.16,145400.0
2000-12-27,12.75,12.56,12.94,12.5,230000.0
2000-12-28,12.81,12.63,12.81,12.31,380200.0
2000-12-29,12.84,12.69,13.13,12.69,294100.0
2001-01-02,13.19,12.78,13.22,12.78,211400.0
2001-01-03,14.28,12.94,14.28,12.94,1436200.0
2001-01-04,14.0,14.22,14.47,13.94,528600.0
2001-01-05,13.75,14.0,14.03,13.53,471100.0
2001-01-08,13.56,13.63,13.66,13.44,307000.0
2001-01-09,13.56,13.59,13.81,13.53,497100.0
2001-01-10,13.72,13.56,13.81,13.53,666000.0
2001-01-11,13.84,13.84,14.0,13.78,301500.0
2001-01-12,13.88,13.94,13.94,13.75,130800.0
2001-01-16,14.0,13.81,14.0,13.81,181900.0
2001-01-17,14.09,13.88,14.13,13.88,228600.0
2001-01-18,13.75,14.0,14.03,13.69,570100.0
2001-01-19,13.13,13.38,13.56,12.94,458300.0
2001-01-22,13.75,13.13,13.88,13.13,504400.0
2001-01-23,13.81,13.75,14.13,13.75,261600.0
2001-01-24,13.78,13.81,13.91,13.78,188900.0
2001-01-25,13.84,13.78,13.94,13.75,157000.0
2001-01-26,13.94,13.91,13.97,13.75,171700.0
2001-01-29,14.03,14.0,14.12,14.0,322500.0
2001-01-30,14.24,14.08,14.6,14.06,310800.0
2001-01-31,14.0,14.13,14.31,13.99,324600.0
2001-02-01,13.99,14.05,14.17,13.9,154900.0
2001-02-02,13.63,13.9,13.95,13.61,148000.0
2001-02-05,13.68,13.68,13.71,13.6,410000.0
2001-02-06,13.92,13.67,14.08,13.67,240500.0
2001-02-07,13.78,13.75,13.9,13.75,397000.0
2001-02-08,13.79,13.83,13.95,13.76,240200.0
2001-02-09,14.02,13.8,14.13,13.78,1066900.0
2001-02-12,13.97,14.04,14.08,13.92,153400.0
2001-02-13,14.18,13.97,14.35,13.97,295900.0
2001-02-14,14.0,14.15,14.2,14.0,113700.0
2001-02-15,14.0,14.0,14.1,13.95,321300.0
2001-02-16,14.0,14.0,14.05,13.93,446600.0
2001-02-20,14.04,14.0,14.08,13.95,871600.0
2001-02-21,13.91,14.04,14.04,13.83,217600.0
2001-02-22,14.06,13.84,14.1,13.83,400900.0
2001-02-23,13.54,14.0,14.03,13.43,339000.0
2001-02-26,13.58,13.54,13.63,13.43,216100.0
2001-02-27,13.75,13.61,13.81,13.53,255900.0
2001-02-28,13.48,13.75,13.75,13.4,308400.0
2001-03-01,13.64,13.61,13.65,13.3,721100.0
