Date,Close,Open,High,Low,Volume
2001-06-13,20.45,20.61,20.94,20.34,69567200.0
2001-06-14,19.73,20.28,20.28,19.3,31980100.0
2001-06-15,20.02,19.63,20.12,19.6,14369300.0
2001-06-18,19.84,19.67,20.02,19.67,4019900.0
2001-06-19,19.89,20.02,20.09,19.77,5690400.0
2001-06-20,19.82,19.89,20.01,19.75,3791600.0
2001-06-21,19.63,19.86,19.86,19.63,6027200.0
2001-06-22,19.63,19.63,19.64,19.47,4847700.0
2001-06-25,19.73,19.63,19.73,19.53,2420300.0
2001-06-26,19.65,19.63,19.68,19.5,3333300.0
2001-06-27,19.59,19.6,19.63,19.5,3182300.0
2001-06-28,19.9,19.62,19.92,19.61,2778100.0
2001-06-29,20.28,19.96,20.28,19.84,5777800.0
2001-07-02,19.94,20.09,20.09,19.9,3167600.0
2001-07-03,19.99,19.93,20.05,19.9,608700.0
2001-07-05,20.24,20.12,20.3,20.04,2085500.0
2001-07-06,20.05,20.27,20.27,19.96,945300.0
2001-07-09,19.88,20.02,20.11,19.79,2295300.0
2001-07-10,19.86,19.92,20.18,19.81,3301400.0
2001-07-11,19.82,19.86,19.86,19.63,2023000.0
2001-07-12,20.22,20.05,20.22,19.76,1912500.0
2001-07-13,20.11,20.22,20.27,19.93,995400.0
2001-07-16,20.09,20.11,20.29,20.05,1198100.0
2001-07-17,20.58,20.21,20.58,20.18,3792700.0
2001-07-18,20.6,20.58,20.61,20.15,5645100.0
2001-07-19,20.49,20.77,20.77,19.75,3326000.0
2001-07-20,20.41,20.45,20.51,20.29,1390900.0
2001-07-23,20.28,20.35,20.41,20.23,1756000.0
2001-07-24,20.33,20.4,20.41,20.22,1146500.0
2001-07-25,20.09,20.28,20.28,19.96,860600.0
2001-07-26,20.36,20.25,20.41,20.03,1904200.0
2001-07-27,20.22,20.41,20.41,20.16,1541800.0
2001-07-30,20.02,20.34,20.35,19.96,1233900.0
2001-07-31,20.25,19.96,20.39,19.96,2020200.0
2001-08-01,20.14,20.22,20.29,20.01,2302200.0
2001-08-02,20.25,20.09,20.39,20.05,2700000.0
2001-08-03,20.09,20.19,20.27,19.96,456800.0
2001-08-06,19.86,20.09,20.18,19.79,847600.0
2001-08-07,19.96,19.92,19.98,19.81,991400.0
2001-08-08,19.63,20.09,20.09,19.63,1517200.0
2001-08-09,19.87,19.66,19.87,19.63,752900.0
2001-08-10,20.15,19.79,20.36,19.73,1119700.0
2001-08-13,20.35,20.26,20.41,20.23,1748600.0
2001-08-14,20.35,20.41,20.45,20.28,1365300.0
2001-08-15,20.27,20.35,20.41,20.26,2106500.0
2001-08-16,20.38,20.27,20.46,20.25,1351200.0
2001-08-17,20.51,20.38,20.51,20.22,1164200.0
2001-08-20,20.75,20.54,20.78,20.46,2020900.0
2001-08-21,20.99,20.9,21.0,20.77,2699600.0
