Date,Close,Open,High,Low,Volume
4/5/2000,13.81,12.92,14.04,12.75,65621300.0
4/6/2000,13.87,13.7,13.92,13.59,15204800.0
4/7/2000,13.65,13.7,13.87,13.48,13486200.0
4/10/2000,13.76,13.76,13.81,13.59,5637200.0
4/11/2000,13.48,13.65,13.7,13.42,5425900.0
4/12/2000,14.43,13.59,14.93,13.48,10846600.0
4/13/2000,15.15,14.48,15.37,14.2,10626100.0
4/14/2000,14.15,15.09,15.15,14.09,9750300.0
4/17/2000,14.37,14.26,14.65,14.26,3522200.0
4/18/2000,14.37,14.43,14.54,13.81,5422400.0
4/19/2000,14.26,14.43,14.43,14.04,5348800.0
4/20/2000,13.76,14.04,14.2,13.7,6912000.0
4/24/2000,14.2,13.81,14.26,13.76,3114800.0
4/25/2000,14.26,14.2,14.43,14.15,7407400.0
4/26/2000,14.31,14.2,14.31,14.15,5941700.0
4/27/2000,14.2,14.2,14.26,13.81,2484900.0
4/28/2000,14.76,14.2,15.04,13.7,6218800.0
5/1/2000,16.04,15.26,16.04,15.04,5887100.0
5/2/2000,15.87,15.71,15.98,15.48,3132600.0
5/3/2000,15.6,15.82,15.87,15.37,1981800.0
5/4/2000,15.6,15.48,15.6,14.43,3429800.0
5/5/2000,15.65,15.37,15.87,15.21,1821500.0
5/8/2000,16.04,15.93,16.54,15.87,2897500.0
5/9/2000,15.26,16.21,16.37,14.93,4234300.0
5/10/2000,15.65,15.15,15.87,15.15,3283500.0
5/11/2000,16.04,15.71,16.32,15.48,2997400.0
5/12/2000,16.43,16.15,16.54,16.1,1927200.0
5/15/2000,16.88,16.93,17.15,16.6,2696800.0
5/16/2000,16.99,16.93,17.43,16.76,4982700.0
5/17/2000,16.99,16.99,17.54,16.37,1577200.0
5/18/2000,16.86,16.93,17.04,16.65,2858600.0
5/19/2000,16.21,16.49,16.49,15.93,3832600.0
5/22/2000,16.26,16.26,16.37,15.48,1712700.0
5/23/2000,16.82,16.26,16.93,16.26,2093900.0
5/24/2000,17.27,16.82,17.38,16.6,1573100.0
5/25/2000,17.1,17.21,17.27,16.71,1732700.0
5/26/2000,17.6,17.04,17.66,16.88,2644600.0
5/30/2000,17.71,17.77,17.93,17.38,3229000.0
5/31/2000,18.27,17.71,18.27,17.27,3549600.0
6/1/2000,17.82,18.21,18.27,17.77,2878400.0
6/2/2000,18.71,18.71,18.77,18.16,3446100.0
6/5/2000,18.32,18.27,18.6,18.16,2376300.0
6/6/2000,18.21,18.6,18.6,18.16,2953900.0
6/7/2000,18.44,18.27,18.44,18.1,922400.0
6/8/2000,18.21,18.32,18.38,18.05,965300.0
6/9/2000,18.71,18.27,18.71,18.27,1196800.0
6/12/2000,18.21,18.49,18.55,17.54,1072600.0
6/13/2000,18.55,18.44,18.55,17.99,974900.0
6/14/2000,17.82,18.32,18.38,17.66,2310400.0
6/15/2000,17.82,17.82,18.05,17.71,2504400.0
6/16/2000,17.88,17.99,18.05,17.6,3202100.0
6/19/2000,17.82,17.82,17.93,17.6,1275500.0
6/20/2000,16.76,17.71,17.88,16.54,2922100.0
6/21/2000,16.49,16.76,17.04,16.15,2443500.0
6/22/2000,17.1,16.65,17.38,16.49,1963300.0
6/23/2000,17.21,16.93,17.38,16.71,2161600.0
6/26/2000,17.1,17.82,17.93,17.04,1691700.0
6/27/2000,17.71,17.32,18.27,17.1,2042300.0
6/28/2000,17.49,18.05,18.21,17.27,3522900.0
6/29/2000,18.99,17.71,19.22,17.49,4914700.0
6/30/2000,18.68,19.38,19.55,16.93,4415400.0
7/3/2000,19.05,18.49,19.16,18.44,822000.0
