Date,Close,Open,High,Low,Volume
1980-03-17,2.47,,2.49,2.47,63900.0
1980-03-18,2.43,,2.45,2.41,7200.0
1980-03-19,2.4,,2.44,2.39,8800.0
1980-03-20,2.4,,2.43,2.38,8300.0
1980-03-21,2.39,,2.41,2.38,25600.0
1980-03-24,2.38,,2.42,2.38,3600.0
1980-03-25,2.27,,2.3,2.26,11000.0
1980-03-26,2.29,,2.31,2.28,8600.0
1980-03-27,2.24,,2.27,2.23,3700.0
1980-03-28,2.25,,2.25,2.24,8200.0
1980-03-31,2.25,,2.26,2.22,31600.0
1980-04-01,2.24,,2.25,2.24,31800.0
1980-04-02,2.25,,2.25,2.24,43700.0
1980-04-03,2.26,,2.27,2.25,37600.0
1980-04-07,2.27,,2.28,2.25,5500.0
1980-04-08,2.32,,2.32,2.27,14600.0
1980-04-09,2.35,,2.35,2.33,10800.0
1980-04-10,2.42,,2.44,2.38,9400.0
1980-04-11,2.5,,2.5,2.43,3600.0
1980-04-14,2.4,,2.47,2.4,8900.0
1980-04-15,2.37,,2.39,2.35,20400.0
1980-04-16,2.35,,2.37,2.34,33300.0
1980-04-17,2.36,,2.37,2.35,12900.0
1980-04-18,2.32,,2.36,2.32,21000.0
1980-04-21,2.31,,2.32,2.31,4300.0
1980-04-22,2.36,,2.36,2.3,14200.0
1980-04-23,2.34,,2.37,2.34,11100.0
1980-04-24,2.33,,2.33,2.31,12900.0
1980-04-25,2.34,,2.34,2.33,13900.0
1980-04-28,2.33,,2.36,2.32,11500.0
1980-04-29,2.36,,2.36,2.33,9800.0
1980-04-30,2.36,,2.36,2.34,21000.0
1980-05-01,2.36,,2.36,2.35,6500.0
1980-05-02,2.33,,2.35,2.33,10900.0
1980-05-05,2.35,,2.35,2.33,7700.0
1980-05-06,2.34,,2.35,2.33,10900.0
1980-05-07,2.35,,2.35,2.33,20100.0
1980-05-08,2.33,,2.35,2.33,4700.0
1980-05-09,2.34,,2.34,2.33,43000.0
1980-05-12,2.33,,2.33,2.32,27600.0
1980-05-13,2.33,,2.34,2.32,7400.0
1980-05-14,2.34,,2.35,2.33,39500.0
1980-05-15,2.34,,2.34,2.33,22100.0
1980-05-16,2.4,,2.4,2.34,8300.0
1980-05-19,2.39,,2.4,2.38,22300.0
1980-05-20,2.38,,2.39,2.38,39200.0
1980-05-21,2.36,,2.38,2.34,17100.0
1980-05-22,2.36,,2.38,2.35,62700.0
1980-05-23,2.36,,2.37,2.35,100500.0
1980-05-27,2.39,,2.4,2.36,22500.0
1980-05-28,2.44,,2.44,2.4,13900.0
1980-05-29,2.45,,2.45,2.42,26600.0
1980-05-30,2.42,,2.43,2.41,30100.0
1980-06-02,2.39,,2.4,2.38,19700.0
1980-06-03,2.39,,2.39,2.37,33400.0
1980-06-04,2.47,,2.49,2.38,59000.0
1980-06-05,2.54,,2.54,2.47,33600.0
1980-06-06,2.5,,2.52,2.48,27600.0
1980-06-09,2.49,,2.52,2.49,8100.0
1980-06-10,2.47,,2.5,2.47,13600.0
1980-06-11,2.48,,2.48,2.46,19900.0
1980-06-12,2.49,,2.49,2.44,24500.0
1980-06-13,2.48,,2.49,2.48,19200.0
1980-06-16,2.5,,2.5,2.48,12300.0
1980-06-17,2.51,,2.51,2.49,17100.0
1980-06-18,2.52,,2.52,2.49,45800.0
1980-06-19,2.53,,2.54,2.52,9600.0
1980-06-20,2.54,,2.54,2.53,6800.0
1980-06-23,2.52,,2.54,2.52,22200.0
1980-06-24,2.53,,2.53,2.52,16900.0
1980-06-25,2.57,,2.57,2.52,17300.0
1980-06-26,2.58,,2.6,2.57,13000.0
1980-06-27,2.55,,2.57,2.55,33200.0
1980-06-30,2.56,,2.57,2.56,5900.0
1980-07-01,2.55,,2.56,2.55,41600.0
1980-07-02,2.54,,2.56,2.54,13300.0
1980-07-03,2.6,,2.6,2.56,16200.0
1980-07-07,2.64,,2.64,2.59,16200.0
1980-07-08,2.61,,2.64,2.59,19400.0
1980-07-09,2.65,,2.65,2.6,54900.0
1980-07-10,2.65,,2.66,2.63,19800.0
1980-07-11,2.64,,2.65,2.63,73800.0
1980-07-14,2.68,,2.68,2.64,20900.0
1980-07-15,2.74,,2.75,2.69,26300.0
1980-07-16,2.76,,2.77,2.72,13500.0
1980-07-17,2.81,,2.81,2.75,21200.0
1980-07-18,2.8,,2.81,2.79,35000.0
1980-07-21,2.78,,2.8,2.77,32700.0
1980-07-22,2.8,,2.8,2.79,7400.0
1980-07-23,2.81,,2.82,2.78,38600.0
1980-07-24,2.79,,2.81,2.79,18800.0
1980-07-25,2.76,,2.77,2.76,39100.0
1980-07-28,2.75,,2.76,2.75,14300.0
1980-07-29,2.75,,2.75,2.72,33100.0
1980-07-30,2.77,,2.77,2.75,13900.0
1980-07-31,2.8,,2.81,2.75,48400.0
1980-08-01,2.81,,2.81,2.79,4800.0
1980-08-04,2.79,,2.8,2.79,11400.0
1980-08-05,2.81,,2.81,2.79,12000.0
1980-08-06,2.81,,2.81,2.8,8700.0
1980-08-07,2.81,,2.83,2.8,28500.0
1980-08-08,2.85,,2.85,2.82,21100.0
1980-08-11,2.82,,2.84,2.81,11400.0
1980-08-12,2.84,,2.84,2.82,15200.0
1980-08-13,2.84,,2.85,2.83,19000.0
1980-08-14,2.85,,2.85,2.84,2200.0
1980-08-15,2.84,,2.88,2.84,38400.0
1980-08-18,2.84,,2.84,2.83,6800.0
1980-08-19,2.85,,2.86,2.83,15000.0
1980-08-20,2.85,,2.86,2.84,19100.0
1980-08-21,2.86,,2.86,2.85,6200.0
