Date,Close,Open,High,Low,Volume
12/9/1985,0.08,0.08,0.11,0.08,406400.0
12/10/1985,0.08,0.08,0.11,0.08,61400.0
12/11/1985,0.08,0.08,0.11,0.08,850200.0
12/12/1985,0.08,0.08,0.11,0.08,706900.0
12/13/1985,0.08,0.08,0.11,0.08,345800.0
12/16/1985,0.08,0.08,0.11,0.08,740600.0
12/17/1985,0.08,0.08,0.11,0.08,812000.0
12/18/1985,0.08,0.08,0.11,0.08,681600.0
12/19/1985,0.08,0.08,0.11,0.08,681800.0
12/20/1985,0.08,0.08,0.11,0.08,704500.0
12/23/1985,0.08,0.08,0.13,0.08,371600.0
12/24/1985,0.08,0.08,0.11,0.08,813000.0
12/26/1985,0.08,0.08,0.11,0.08,339600.0
12/27/1985,0.08,0.08,0.11,0.08,457600.0
12/30/1985,0.08,0.08,0.11,0.08,465600.0
12/31/1985,0.08,0.08,0.11,0.08,83700.0
1/2/1986,0.08,0.08,0.11,0.08,592700.0
1/3/1986,0.1,0.1,0.13,0.1,437200.0
1/6/1986,0.1,0.1,0.13,0.1,804500.0
1/7/1986,0.11,0.11,0.15,0.11,510500.0
1/8/1986,0.11,0.11,0.15,0.11,472600.0
1/9/1986,0.11,0.11,0.15,0.11,862300.0
1/10/1986,0.11,0.11,0.15,0.11,415800.0
1/13/1986,0.11,0.11,0.15,0.11,670100.0
1/14/1986,0.11,0.11,0.15,0.11,255500.0
1/15/1986,0.11,0.11,0.15,0.11,922300.0
1/16/1986,0.11,0.11,0.15,0.11,567300.0
1/17/1986,0.11,0.11,0.15,0.11,576400.0
1/20/1986,0.11,0.11,0.15,0.11,598100.0
1/21/1986,0.11,0.11,0.15,0.11,653000.0
1/22/1986,0.11,0.11,0.15,0.11,858600.0
1/23/1986,0.1,0.1,0.13,0.1,759800.0
1/24/1986,0.1,0.1,0.13,0.1,793700.0
1/27/1986,0.11,0.11,0.13,0.11,249700.0
1/28/1986,0.11,0.11,0.13,0.11,227400.0
1/29/1986,0.11,0.11,0.13,0.11,433500.0
1/30/1986,0.11,0.11,0.15,0.11,601500.0
1/31/1986,0.11,0.11,0.13,0.11,414300.0
2/3/1986,0.1,0.1,0.13,0.1,430400.0
2/4/1986,0.11,0.11,0.15,0.11,329300.0
2/5/1986,0.11,0.11,0.15,0.11,464800.0
2/6/1986,0.11,0.11,0.13,0.11,490600.0
