Date,Close,Open,High,Low,Volume
2003-07-02,13.33,14.0,14.16,13.33,5422000.0
2003-07-03,13.73,13.57,13.77,13.43,289600.0
2003-07-07,14.33,13.73,14.33,13.73,825300.0
2003-07-08,14.63,14.8,15.07,14.6,636900.0
2003-07-09,15.0,14.63,15.0,14.4,302800.0
2003-07-10,15.0,15.0,15.33,14.87,325600.0
2003-07-11,14.67,14.9,15.17,14.6,113400.0
2003-07-14,15.05,14.67,15.13,14.67,285600.0
2003-07-15,15.33,15.0,15.43,14.93,133300.0
2003-07-16,15.31,15.4,15.4,15.27,187500.0
2003-07-17,15.47,15.3,15.47,15.13,136300.0
2003-07-18,15.7,15.5,15.7,15.42,119700.0
2003-07-21,15.93,15.73,15.93,15.67,59200.0
2003-07-22,16.17,15.93,16.17,15.83,112600.0
2003-07-23,16.47,16.33,16.66,16.07,136100.0
2003-07-24,16.07,16.87,16.87,15.83,106100.0
2003-07-25,16.03,16.23,16.23,15.9,45600.0
2003-07-28,16.09,16.07,16.09,15.6,93600.0
2003-07-29,16.0,16.09,16.09,15.9,20000.0
2003-07-30,16.67,16.0,16.73,15.93,48000.0
2003-07-31,15.8,16.83,16.83,15.8,63400.0
2003-08-01,15.59,15.73,15.8,15.41,113400.0
2003-08-04,15.33,15.53,15.53,15.0,149600.0
2003-08-05,15.27,15.2,15.37,15.07,93900.0
2003-08-06,14.7,15.27,15.3,14.5,187500.0
2003-08-07,14.97,14.67,14.97,14.63,122500.0
2003-08-08,15.3,14.97,15.33,14.97,23300.0
2003-08-11,14.87,15.27,15.27,14.48,365200.0
2003-08-12,14.4,15.13,15.47,14.03,299300.0
2003-08-13,14.33,14.57,14.69,14.2,230600.0
2003-08-14,14.23,14.3,14.33,14.23,90700.0
2003-08-15,14.37,14.27,14.47,14.26,63500.0
2003-08-18,14.87,14.4,15.13,14.4,139700.0
2003-08-19,15.43,15.03,15.5,14.67,146400.0
2003-08-20,15.73,15.5,15.73,15.47,29800.0
2003-08-21,15.87,15.83,16.07,15.73,107800.0
2003-08-22,15.97,16.1,16.13,15.83,110200.0
2003-08-25,16.0,15.97,16.1,15.97,94100.0
