Date,Close,Open,High,Low,Volume
2004-10-25,15.0,15.0,15.18,14.8,574800.0
2004-10-26,15.16,15.05,15.17,14.81,797200.0
2004-10-27,15.0,15.14,15.16,14.9,845500.0
2004-10-28,14.96,15.03,15.05,14.84,1046100.0
2004-10-29,15.04,14.93,15.05,14.83,997600.0
2004-11-01,15.12,15.4,15.42,15.05,832200.0
2004-11-02,15.08,15.1,15.2,15.0,688000.0
2004-11-03,15.48,15.28,15.51,15.22,931700.0
2004-11-04,15.86,15.65,16.17,15.5,643200.0
2004-11-05,16.25,16.1,16.25,15.85,1418000.0
2004-11-08,16.64,16.42,16.64,16.27,925300.0
2004-11-09,16.43,16.73,16.74,16.24,1092900.0
2004-11-10,16.23,16.65,16.7,16.0,1219100.0
2004-11-11,16.25,16.3,16.3,16.1,655400.0
2004-11-12,16.25,16.35,16.35,16.12,1124900.0
2004-11-15,16.18,16.25,16.3,16.0,513900.0
2004-11-16,15.92,16.1,16.1,15.62,714100.0
2004-11-17,16.27,15.92,16.33,15.9,884400.0
2004-11-18,16.35,16.2,16.49,16.11,695000.0
2004-11-19,16.28,16.35,16.36,16.15,584400.0
2004-11-22,16.22,16.34,16.35,15.96,1163500.0
2004-11-23,16.25,16.3,16.37,16.15,1034000.0
2004-11-24,17.23,16.25,17.23,16.25,1456800.0
2004-11-26,17.48,17.2,17.48,17.12,301700.0
2004-11-29,17.3,17.5,17.5,16.89,706500.0
2004-11-30,17.38,17.3,17.56,17.27,1198000.0
2004-12-01,18.19,17.5,18.22,17.46,1608300.0
2004-12-02,18.2,18.23,18.58,18.15,1589400.0
2004-12-03,18.35,18.38,18.47,18.25,792000.0
2004-12-06,18.23,18.48,18.49,18.13,2090100.0
2004-12-07,17.62,18.23,18.28,17.25,1085700.0
2004-12-08,17.4,17.55,17.6,17.07,621200.0
2004-12-09,17.61,17.65,17.65,17.15,2300300.0
2004-12-10,17.42,17.45,17.65,17.36,700900.0
2004-12-13,18.18,17.38,18.19,17.38,732800.0
2004-12-14,18.2,18.1,18.37,17.98,880400.0
2004-12-15,18.24,18.2,18.37,17.6,776000.0
2004-12-16,18.11,18.3,18.3,18.0,705000.0
2004-12-17,17.15,17.6,17.7,17.0,1817300.0
2004-12-20,16.09,17.15,17.15,15.91,1994200.0
2004-12-21,16.47,16.13,16.65,16.09,912800.0
2004-12-22,16.35,16.3,16.47,16.28,424700.0
