Date,Close,Open,High,Low,Volume
6/23/2011,19.5,19.0,19.5,18.25,2548771.0
6/24/2011,18.63,19.38,19.58,18.42,837656.0
6/27/2011,18.83,18.35,18.98,18.3,447550.0
6/28/2011,19.35,19.17,20.0,18.85,2075851.0
6/29/2011,20.04,19.5,20.49,19.35,1847580.0
6/30/2011,20.7,20.34,21.0,20.09,1512896.0
7/1/2011,21.1,20.6,23.72,20.5,4167083.0
7/5/2011,21.11,21.11,21.5,20.83,5911474.0
7/6/2011,20.95,20.8,21.13,20.51,5491424.0
7/7/2011,20.89,21.1,21.63,20.85,8353799.0
7/8/2011,20.71,20.4,21.3,20.26,8208426.0
7/11/2011,20.05,20.4,20.4,19.76,4747509.0
7/12/2011,20.24,19.93,20.5,19.72,4005561.0
7/13/2011,19.98,20.26,20.62,19.62,5821370.0
7/14/2011,19.32,19.99,20.01,19.11,5766342.0
7/15/2011,19.58,19.5,19.74,19.05,4969386.0
7/18/2011,19.56,19.37,19.8,18.88,4155703.0
7/19/2011,19.87,19.63,19.97,19.57,3211494.0
7/20/2011,19.77,19.9,19.97,19.7,2724483.0
7/21/2011,20.05,19.77,20.12,19.56,3624802.0
7/22/2011,20.29,20.14,20.41,19.96,3322774.0
7/25/2011,20.69,20.63,21.06,20.33,4449530.0
7/26/2011,21.53,20.7,21.86,20.64,5662055.0
7/27/2011,21.03,21.51,21.65,20.99,3499153.0
7/28/2011,21.39,21.22,21.47,21.1,3327208.0
7/29/2011,21.9,21.18,22.31,20.99,5354774.0
8/1/2011,22.49,22.52,22.69,22.0,5760786.0
8/2/2011,21.17,22.27,22.45,21.13,5497710.0
8/3/2011,20.72,21.64,22.7,19.51,6706855.0
8/4/2011,19.21,20.36,20.36,18.62,7688965.0
8/5/2011,18.66,19.46,19.61,16.72,6174239.0
8/8/2011,16.17,17.62,18.0,14.74,8271429.0
8/9/2011,18.05,16.54,18.21,16.21,6027006.0
8/10/2011,17.56,17.78,18.42,17.06,4841237.0
8/11/2011,18.67,17.95,19.3,17.72,4378157.0
8/12/2011,18.71,18.8,19.56,18.45,2953384.0
8/15/2011,19.55,18.95,19.83,18.95,2682691.0
8/16/2011,19.43,19.18,19.72,19.06,3266193.0
8/17/2011,19.55,19.82,19.98,19.41,2813743.0
8/18/2011,18.31,19.06,19.25,17.71,3750762.0
8/19/2011,17.5,17.89,18.34,17.32,4939212.0
8/22/2011,16.29,17.91,18.0,16.18,5387032.0
8/23/2011,17.13,16.32,17.35,16.03,5179906.0
8/24/2011,17.92,17.2,18.02,16.86,3361654.0
8/25/2011,17.19,18.1,18.45,16.96,3187926.0
8/26/2011,17.44,17.2,18.38,17.04,2940200.0
8/29/2011,18.0,17.64,18.18,17.52,2087453.0
8/30/2011,18.02,17.95,18.19,17.38,2192574.0
8/31/2011,18.53,18.26,18.73,18.26,2865447.0
9/1/2011,18.51,18.72,19.11,18.46,2257671.0
9/2/2011,17.71,17.92,18.5,17.56,1797018.0
9/6/2011,17.5,17.12,17.7,16.65,2861899.0
9/7/2011,18.15,17.79,18.47,17.63,2606215.0
9/8/2011,18.87,18.08,19.08,17.79,2043264.0
9/9/2011,18.18,18.31,18.89,17.97,2944452.0
9/12/2011,18.33,17.67,18.44,17.45,1959598.0
9/13/2011,17.67,18.2,18.32,17.22,3573450.0
9/14/2011,17.52,17.62,17.66,17.23,3820347.0
9/15/2011,17.71,17.94,18.48,17.62,3040611.0
9/16/2011,17.55,17.77,17.84,17.43,3597660.0
9/19/2011,16.78,17.09,17.28,16.55,2548265.0
9/20/2011,16.85,16.79,17.12,16.75,1929567.0
9/21/2011,16.2,16.68,17.23,16.17,2006513.0
9/22/2011,14.74,15.58,15.7,14.42,5536792.0
9/23/2011,14.77,14.59,15.16,14.53,3383902.0
9/26/2011,15.05,14.95,15.18,14.75,3985429.0
9/27/2011,14.92,15.42,15.91,14.85,4706180.0
9/28/2011,14.49,14.99,15.32,14.46,4422155.0
9/29/2011,13.92,14.84,14.93,13.18,5258399.0
