Date,Close,Open,High,Low,Volume
1980-03-17,1.52,,1.55,1.51,32600.0
1980-03-18,1.57,,1.58,1.52,90900.0
1980-03-19,1.56,,1.58,1.56,108800.0
1980-03-20,1.56,,1.57,1.54,98900.0
1980-03-21,1.55,,1.56,1.55,57000.0
1980-03-24,1.53,,1.56,1.51,73700.0
1980-03-25,1.58,,1.58,1.52,44400.0
1980-03-26,1.56,,1.6,1.56,98200.0
1980-03-27,1.58,,1.58,1.54,74900.0
1980-03-28,1.62,,1.63,1.58,88400.0
1980-03-31,1.7,,1.71,1.61,97200.0
1980-04-01,1.7,,1.72,1.68,155200.0
1980-04-02,1.71,,1.73,1.68,89100.0
1980-04-03,1.71,,1.72,1.7,91800.0
1980-04-07,1.65,,1.71,1.65,110500.0
1980-04-08,1.65,,1.67,1.65,74200.0
1980-04-09,1.69,,1.69,1.65,61000.0
1980-04-10,1.69,,1.69,1.67,42800.0
1980-04-11,1.66,,1.7,1.66,52400.0
1980-04-14,1.64,,1.66,1.63,63300.0
1980-04-15,1.64,,1.65,1.63,36600.0
1980-04-16,1.65,,1.66,1.64,22900.0
1980-04-17,1.65,,1.65,1.63,63000.0
1980-04-18,1.61,,1.65,1.6,91900.0
1980-04-21,1.6,,1.61,1.59,75500.0
1980-04-22,1.69,,1.69,1.64,97500.0
1980-04-23,1.68,,1.71,1.67,63000.0
1980-04-24,1.7,,1.71,1.66,117300.0
1980-04-25,1.7,,1.71,1.68,45300.0
1980-04-28,1.71,,1.72,1.7,120400.0
1980-04-29,1.7,,1.72,1.7,61100.0
1980-04-30,1.7,,1.7,1.69,29400.0
1980-05-01,1.68,,1.7,1.67,34900.0
1980-05-02,1.68,,1.69,1.66,61700.0
1980-05-05,1.7,,1.7,1.68,32000.0
1980-05-06,1.75,,1.76,1.7,91600.0
1980-05-07,1.74,,1.77,1.73,133500.0
1980-05-08,1.75,,1.76,1.75,93200.0
1980-05-09,1.73,,1.75,1.73,136400.0
1980-05-12,1.73,,1.74,1.71,46300.0
1980-05-13,1.73,,1.75,1.72,45300.0
1980-05-14,1.75,,1.75,1.73,72000.0
1980-05-15,1.75,,1.77,1.75,131600.0
1980-05-16,1.77,,1.77,1.75,62200.0
1980-05-19,1.76,,1.77,1.75,40600.0
1980-05-20,1.76,,1.76,1.75,46400.0
1980-05-21,1.8,,1.81,1.76,124200.0
1980-05-22,1.78,,1.82,1.78,70900.0
1980-05-23,1.78,,1.81,1.78,94100.0
1980-05-27,1.79,,1.8,1.77,76100.0
1980-05-28,1.8,,1.8,1.78,49900.0
1980-05-29,1.79,,1.8,1.78,65900.0
1980-05-30,1.8,,1.8,1.77,52000.0
1980-06-02,1.78,,1.78,1.77,82800.0
1980-06-03,1.76,,1.77,1.75,56100.0
1980-06-04,1.79,,1.8,1.76,63500.0
1980-06-05,1.78,,1.8,1.77,71400.0
1980-06-06,1.81,,1.81,1.76,105800.0
1980-06-09,1.8,,1.81,1.8,31900.0
