Date,Close,Open,High,Low,Volume
2018-12-07,18.6,22.0,22.75,18.51,12975052.0
2018-12-10,18.8,18.9,19.44,18.0,4233345.0
2018-12-11,18.01,20.55,20.66,17.99,3435271.0
2018-12-12,18.68,18.55,19.48,18.02,2590873.0
2018-12-13,18.76,19.25,19.29,18.68,1606673.0
2018-12-14,18.32,18.75,18.88,18.25,746412.0
2018-12-17,17.0,18.33,18.47,16.9,1580831.0
2018-12-18,17.0,17.1,17.25,16.25,1621904.0
2018-12-19,16.18,16.86,17.37,16.0,941528.0
2018-12-20,15.5,16.0,16.14,14.75,2365203.0
2018-12-21,14.47,15.4,15.5,13.95,2063235.0
2018-12-24,14.03,14.32,14.32,13.75,665427.0
2018-12-26,13.52,14.15,14.31,13.03,1817977.0
2018-12-27,14.65,13.49,14.95,13.27,1769545.0
2018-12-28,14.15,14.72,14.85,13.82,929098.0
2018-12-31,15.27,14.24,15.3,14.21,991360.0
2019-01-02,15.33,14.93,15.45,14.51,2316027.0
2019-01-03,15.5,15.49,16.08,15.2,1588921.0
2019-01-04,16.96,16.0,17.5,15.89,1652033.0
2019-01-07,16.27,17.54,17.94,16.18,1583814.0
2019-01-08,16.95,17.35,17.47,16.05,1892177.0
2019-01-09,16.33,17.2,17.25,16.15,1187350.0
2019-01-10,16.48,16.36,16.51,16.0,487284.0
2019-01-11,17.0,16.6,17.06,16.53,580570.0
2019-01-14,16.74,17.0,17.06,16.72,612922.0
2019-01-15,16.59,17.0,17.0,16.41,468080.0
2019-01-16,16.26,16.8,16.95,16.26,270667.0
2019-01-17,16.31,16.05,16.53,16.05,315667.0
2019-01-18,16.69,16.46,16.8,16.25,629965.0
2019-01-22,15.56,16.62,16.63,15.35,636838.0
2019-01-23,14.79,15.59,15.92,14.76,651797.0
2019-01-24,14.64,14.9,15.2,14.64,451908.0
2019-01-25,14.91,14.8,14.92,14.4,942270.0
2019-01-28,14.45,14.84,14.84,14.45,656508.0
2019-01-29,14.63,14.46,14.88,14.45,592755.0
2019-01-30,15.13,14.72,15.55,14.65,758899.0
2019-01-31,16.6,15.24,17.48,15.24,2256558.0
2019-02-01,16.22,16.8,17.01,15.9,617271.0
2019-02-04,16.27,16.22,16.49,15.95,297787.0
2019-02-05,17.18,16.29,17.49,16.21,652466.0
2019-02-06,18.14,17.25,18.39,17.11,1016165.0
2019-02-07,17.05,17.95,18.07,17.04,527364.0
2019-02-08,17.99,17.1,18.15,17.1,685755.0
2019-02-11,18.17,17.99,18.65,17.75,585462.0
2019-02-12,18.69,18.21,18.76,17.6,750211.0
2019-02-13,18.53,18.99,19.22,18.3,1333533.0
2019-02-14,19.66,18.64,19.96,18.63,1091396.0
2019-02-15,21.44,19.94,21.47,19.7,2087409.0
2019-02-19,20.83,21.51,21.51,20.05,1204705.0
2019-02-20,19.92,21.12,21.24,19.13,1160160.0
2019-02-21,19.34,19.74,19.98,18.88,822625.0
2019-02-22,19.88,19.35,20.04,19.35,567612.0
2019-02-25,21.65,20.54,22.3,19.83,1917872.0
2019-02-26,23.7,21.6,24.4,21.56,2522800.0
2019-02-27,22.1,23.37,23.83,21.53,1553011.0
2019-02-28,22.6,22.45,23.03,22.05,511289.0
2019-03-01,22.27,23.09,23.39,21.64,867388.0
2019-03-04,21.12,22.47,22.8,20.52,1134144.0
2019-03-05,21.37,21.18,21.49,20.29,1086443.0
2019-03-06,20.65,21.4,22.05,20.06,1061369.0
2019-03-07,20.59,20.42,21.16,19.61,1018084.0
2019-03-08,20.93,20.37,21.08,19.9,631133.0
2019-03-11,20.43,20.99,20.99,19.97,915642.0
2019-03-12,19.26,20.52,20.89,19.12,1627932.0
2019-03-13,19.97,19.3,20.26,19.23,756588.0
2019-03-14,20.82,19.92,21.0,19.92,883581.0
2019-03-15,21.82,20.99,22.19,20.89,2686871.0
2019-03-18,22.18,21.74,22.22,21.22,1245672.0
2019-03-19,20.35,22.47,22.6,20.18,976101.0
2019-03-20,20.0,20.41,20.98,19.9,985298.0
2019-03-21,19.34,20.0,20.25,19.21,860506.0
2019-03-22,19.0,19.38,19.7,18.75,579495.0
2019-03-25,19.4,19.0,19.59,18.21,671669.0
2019-03-26,19.9,19.61,19.94,19.24,393884.0
2019-03-27,19.27,20.08,20.08,18.89,602641.0
2019-03-28,19.66,19.3,19.74,19.0,453586.0
2019-03-29,20.35,19.87,20.8,19.47,660854.0
2019-04-01,20.59,20.54,20.92,20.04,547566.0
2019-04-02,19.7,20.68,20.68,19.54,546568.0
2019-04-03,21.33,19.92,21.67,19.81,909317.0
2019-04-04,23.08,21.12,23.18,21.04,1705896.0
2019-04-05,25.96,23.8,26.23,22.66,1978459.0
