Date,Close,Open,High,Low,Volume
1986-03-13,0.1,0.1,0.1,0.09,3582600.0
1986-03-14,0.1,0.1,0.1,0.1,1070000.0
1986-03-17,0.1,0.1,0.1,0.1,462400.0
1986-03-18,0.1,0.1,0.1,0.1,230800.0
1986-03-19,0.1,0.1,0.1,0.1,166300.0
1986-03-20,0.1,0.1,0.1,0.09,202900.0
1986-03-21,0.09,0.09,0.1,0.09,208300.0
1986-03-24,0.09,0.09,0.09,0.09,226700.0
1986-03-25,0.09,0.09,0.09,0.09,111400.0
1986-03-26,0.09,0.09,0.1,0.09,79000.0
1986-03-27,0.1,0.1,0.1,0.09,58500.0
1986-03-31,0.1,0.1,0.1,0.09,44700.0
1986-04-01,0.09,0.09,0.1,0.09,38500.0
1986-04-02,0.1,0.1,0.1,0.09,93800.0
1986-04-03,0.1,0.1,0.1,0.1,80000.0
1986-04-04,0.1,0.1,0.1,0.1,92300.0
1986-04-07,0.09,0.09,0.1,0.09,57500.0
1986-04-08,0.1,0.1,0.1,0.09,35600.0
1986-04-09,0.1,0.1,0.1,0.1,42200.0
1986-04-10,0.1,0.1,0.1,0.1,48200.0
1986-04-11,0.1,0.1,0.1,0.1,59800.0
1986-04-14,0.1,0.1,0.1,0.1,42200.0
1986-04-15,0.1,0.1,0.1,0.1,32300.0
1986-04-16,0.1,0.1,0.11,0.1,110800.0
1986-04-17,0.11,0.11,0.11,0.1,76400.0
1986-04-18,0.1,0.1,0.11,0.1,75100.0
1986-04-21,0.1,0.1,0.1,0.1,79600.0
1986-04-22,0.1,0.1,0.1,0.1,54000.0
1986-04-23,0.1,0.1,0.1,0.1,54200.0
1986-04-24,0.11,0.11,0.11,0.1,216100.0
1986-04-25,0.12,0.12,0.12,0.11,296700.0
1986-04-28,0.12,0.12,0.12,0.12,100300.0
1986-04-29,0.11,0.12,0.12,0.11,105300.0
1986-04-30,0.11,0.12,0.12,0.11,104300.0
1986-05-01,0.11,0.11,0.11,0.11,188700.0
1986-05-02,0.11,0.11,0.11,0.11,70300.0
1986-05-05,0.11,0.11,0.11,0.11,11300.0
1986-05-06,0.11,0.11,0.11,0.11,33800.0
1986-05-07,0.11,0.11,0.11,0.11,17900.0
