Date,Close,Open,High,Low,Volume
3/17/1980,9.4,,9.75,9.38,115500.0
3/18/1980,9.27,,9.38,9.07,107200.0
3/19/1980,9.22,,9.33,9.16,41700.0
3/20/1980,9.14,,9.2,9.05,83400.0
3/21/1980,8.94,,9.07,8.94,69300.0
3/24/1980,8.55,,8.88,8.55,61900.0
3/25/1980,8.66,,8.75,8.51,79700.0
3/26/1980,8.7,,8.9,8.7,96000.0
3/27/1980,8.48,,8.53,8.2,60300.0
3/28/1980,9.03,,9.05,8.53,45100.0
3/31/1980,9.07,,9.27,9.05,85200.0
4/1/1980,8.88,,9.01,8.79,49300.0
4/2/1980,8.85,,8.9,8.7,28700.0
4/3/1980,8.9,,8.96,8.83,27200.0
4/7/1980,8.11,,8.83,8.11,85100.0
4/8/1980,8.4,,8.46,8.11,75100.0
4/9/1980,8.48,,8.59,8.44,121400.0
4/10/1980,8.57,,8.57,8.48,38300.0
4/11/1980,8.42,,8.57,8.42,106400.0
4/14/1980,8.27,,8.38,8.22,21000.0
4/15/1980,8.24,,8.35,8.24,28000.0
4/16/1980,7.96,,8.31,7.92,60100.0
4/17/1980,7.83,,7.96,7.81,74800.0
4/18/1980,7.48,,7.87,7.4,88200.0
4/21/1980,7.2,,7.4,7.16,57900.0
4/22/1980,7.57,,7.61,7.4,117900.0
4/23/1980,7.83,,8.01,7.66,276000.0
4/24/1980,8.05,,8.05,7.77,97500.0
4/25/1980,8.07,,8.07,7.87,30600.0
4/28/1980,8.38,,8.59,8.07,78100.0
4/29/1980,8.29,,8.35,8.27,49300.0
4/30/1980,8.33,,8.35,8.27,26500.0
5/1/1980,8.05,,8.33,8.05,68200.0
5/2/1980,8.03,,8.05,7.98,41700.0
5/5/1980,8.05,,8.05,7.9,74500.0
5/6/1980,8.01,,8.2,7.98,59200.0
5/7/1980,8.07,,8.14,7.85,61400.0
5/8/1980,7.83,,8.14,7.83,29000.0
5/9/1980,7.74,,7.87,7.7,69400.0
5/12/1980,7.79,,7.79,7.66,37900.0
5/13/1980,8.05,,8.09,7.83,120600.0
5/14/1980,7.92,,8.07,7.87,21100.0
5/15/1980,8.07,,8.18,7.94,32100.0
5/16/1980,8.03,,8.07,8.01,60400.0
5/19/1980,8.05,,8.09,8.01,78900.0
5/20/1980,8.16,,8.2,8.11,48400.0
5/21/1980,8.09,,8.16,8.09,20100.0
5/22/1980,8.2,,8.2,8.09,50700.0
5/23/1980,8.18,,8.27,8.14,180100.0
5/27/1980,8.18,,8.24,8.11,50600.0
5/28/1980,8.35,,8.38,8.09,267300.0
5/29/1980,8.11,,8.4,8.11,102500.0
5/30/1980,8.24,,8.24,8.03,55000.0
6/2/1980,8.29,,8.42,8.22,18300.0
6/3/1980,8.16,,8.44,8.16,44800.0
6/4/1980,8.42,,8.42,8.11,81100.0
6/5/1980,8.24,,8.46,8.24,69800.0
6/6/1980,8.16,,8.29,8.16,71800.0
6/9/1980,8.07,,8.14,8.01,44700.0
6/10/1980,8.27,,8.35,7.96,66200.0
6/11/1980,8.44,,8.53,8.27,59700.0
6/12/1980,8.48,,8.48,8.35,64000.0
6/13/1980,8.55,,8.55,8.44,29800.0
6/16/1980,8.51,,8.55,8.46,29200.0
6/17/1980,8.44,,8.51,8.42,44000.0
6/18/1980,8.4,,8.46,8.35,51000.0
6/19/1980,8.2,,8.44,8.2,27000.0
6/20/1980,8.24,,8.24,8.07,58800.0
6/23/1980,8.24,,8.29,8.2,7900.0
6/24/1980,8.33,,8.35,8.22,57600.0
6/25/1980,8.53,,8.53,8.35,29800.0
6/26/1980,8.55,,8.64,8.53,55500.0
6/27/1980,8.51,,8.51,8.38,82400.0
6/30/1980,8.38,,8.53,8.38,46500.0
7/1/1980,8.55,,8.61,8.42,39400.0
7/2/1980,8.68,,8.75,8.57,57300.0
7/3/1980,8.92,,8.92,8.61,259200.0
7/7/1980,9.01,,9.09,8.96,76300.0
7/8/1980,8.96,,9.09,8.94,76800.0
7/9/1980,9.01,,9.18,8.96,44800.0
7/10/1980,9.14,,9.18,8.98,47300.0
7/11/1980,9.22,,9.27,9.09,72400.0
7/14/1980,9.4,,9.4,9.18,122600.0
7/15/1980,9.18,,9.42,9.18,74300.0
7/16/1980,9.18,,9.29,9.14,63900.0
7/17/1980,9.42,,9.42,9.18,67800.0
7/18/1980,9.77,,9.79,9.57,145000.0
7/21/1980,9.62,,9.75,9.48,129900.0
7/22/1980,9.59,,9.66,9.55,107800.0
7/23/1980,9.35,,9.53,9.31,128700.0
7/24/1980,9.22,,9.4,9.18,74500.0
7/25/1980,9.27,,9.31,9.18,29100.0
7/28/1980,9.29,,9.38,9.22,105100.0
7/29/1980,9.4,,9.4,9.33,104100.0
7/30/1980,9.46,,9.57,9.4,340100.0
7/31/1980,9.44,,9.66,9.22,163200.0
8/1/1980,9.2,,9.38,9.16,130000.0
8/4/1980,9.09,,9.18,9.05,161400.0
8/5/1980,9.09,,9.18,9.07,128300.0
8/6/1980,9.27,,9.27,9.07,121900.0
8/7/1980,9.31,,9.35,9.27,239600.0
8/8/1980,9.57,,9.68,9.46,306100.0
8/11/1980,9.88,,9.9,9.51,114100.0
8/12/1980,10.14,,10.4,10.01,139000.0
8/13/1980,9.81,,10.09,9.79,226400.0
8/14/1980,10.22,,10.27,9.79,138100.0
8/15/1980,10.35,,10.4,10.22,99400.0
8/18/1980,10.01,,10.38,10.01,172900.0
8/19/1980,9.88,,10.09,9.83,64300.0
8/20/1980,10.2,,10.22,9.96,86100.0
8/21/1980,10.33,,10.35,10.2,57100.0
8/22/1980,10.7,,10.92,10.44,324100.0
8/25/1980,10.44,,10.7,10.38,67100.0
8/26/1980,10.57,,10.75,10.4,106800.0
8/27/1980,10.42,,10.62,10.42,123900.0
8/28/1980,10.03,,10.38,10.01,82500.0
8/29/1980,9.92,,10.01,9.88,164800.0
9/2/1980,9.9,,9.92,9.83,100400.0
9/3/1980,10.14,,10.18,9.88,124800.0
9/4/1980,10.27,,10.51,10.2,138700.0
9/5/1980,10.4,,10.51,10.29,54200.0
9/8/1980,9.92,,10.42,9.92,50000.0
9/9/1980,10.12,,10.18,9.75,85700.0
9/10/1980,10.35,,10.42,10.18,141100.0
9/11/1980,10.35,,10.42,10.31,49100.0
9/12/1980,10.22,,10.35,10.09,92300.0
9/15/1980,10.35,,10.4,9.99,43000.0
9/16/1980,10.68,,10.75,10.42,141900.0
9/17/1980,11.01,,11.05,10.79,61500.0
9/18/1980,11.2,,11.44,11.12,178900.0
9/19/1980,11.68,,11.68,11.16,138800.0
9/22/1980,12.05,,12.18,11.31,133700.0
9/23/1980,11.62,,12.12,11.49,93200.0
