Date,Close,Open,High,Low,Volume
2000-07-07,22.13,22.31,22.75,21.88,1294200.0
2000-07-10,21.44,22.19,22.25,21.38,2797100.0
2000-07-11,20.69,21.31,21.38,20.06,7227200.0
2000-07-12,21.13,20.75,21.38,20.0,6325200.0
2000-07-13,20.81,21.19,21.56,20.56,1987000.0
2000-07-14,22.94,20.75,23.5,20.56,4402100.0
2000-07-17,21.88,22.69,22.75,21.81,3042400.0
2000-07-18,21.5,21.88,22.13,21.25,2271800.0
2000-07-19,20.94,21.44,22.0,20.75,1409100.0
2000-07-20,21.31,21.06,22.0,21.0,2679700.0
2000-07-21,20.81,21.09,21.25,20.63,2592900.0
2000-07-24,20.75,21.13,21.25,20.63,2635600.0
2000-07-25,21.94,21.19,22.63,20.75,4370600.0
2000-07-26,21.56,22.0,22.88,20.88,5523900.0
2000-07-27,20.75,21.5,21.69,20.19,7225300.0
2000-07-28,20.5,20.75,20.94,20.38,4448900.0
2000-07-31,21.06,21.0,21.38,20.31,2051600.0
2000-08-01,21.06,20.81,21.25,20.81,1393900.0
2000-08-02,21.31,21.22,21.63,21.0,1712000.0
2000-08-03,22.06,20.88,22.06,20.5,1979500.0
2000-08-04,21.75,22.19,22.19,21.31,2079200.0
2000-08-07,22.19,21.75,22.19,21.5,3895100.0
2000-08-08,22.44,21.94,22.5,21.5,1572300.0
2000-08-09,23.25,22.94,23.31,22.75,4651400.0
2000-08-10,23.5,23.19,24.19,23.0,2755700.0
2000-08-11,23.88,23.56,24.13,23.5,2747500.0
2000-08-14,24.63,24.06,24.63,23.88,2042900.0
2000-08-15,24.88,24.75,24.88,24.13,1909500.0
2000-08-16,24.38,24.75,24.81,24.0,3257100.0
2000-08-17,25.06,24.13,25.19,24.13,1613900.0
2000-08-18,24.94,25.03,25.13,24.5,1246700.0
2000-08-21,24.56,25.0,25.25,24.13,1616000.0
2000-08-22,24.14,24.75,24.81,24.0,1697200.0
2000-08-23,24.81,24.13,25.0,23.75,1740200.0
2000-08-24,24.94,24.75,25.06,24.25,1984400.0
2000-08-25,24.06,24.88,25.38,24.06,2023300.0
2000-08-28,24.06,24.06,24.69,23.88,1679300.0
2000-08-29,24.44,23.94,24.44,23.25,2095800.0
2000-08-30,24.5,24.06,24.63,23.69,2131300.0
2000-08-31,24.06,24.59,25.5,24.0,1798400.0
2000-09-01,25.44,24.48,25.94,24.44,1420100.0
2000-09-05,24.88,25.41,25.44,24.44,1055200.0
2000-09-06,23.13,24.75,25.0,22.56,3743100.0
2000-09-07,22.63,23.38,23.44,21.69,2636100.0
