Date,Close,Open,High,Low,Volume
1997-11-14,14.88,14.06,15.25,14.0,2233500.0
1997-11-17,15.25,15.75,15.75,15.0,515000.0
1997-11-18,15.0,15.44,15.5,15.0,257300.0
1997-11-19,15.63,15.0,15.63,14.75,270100.0
1997-11-20,16.38,15.5,16.38,15.5,185500.0
1997-11-21,17.13,16.63,17.5,16.25,133100.0
1997-11-24,17.0,16.63,17.13,16.38,160200.0
1997-11-25,17.75,17.25,18.06,17.19,384800.0
1997-11-26,17.94,17.5,17.94,17.5,72500.0
1997-11-28,17.88,17.81,18.0,17.81,24800.0
1997-12-01,17.81,17.75,18.0,17.75,90200.0
1997-12-02,17.81,18.0,18.0,17.75,194200.0
1997-12-03,17.88,17.69,17.88,17.69,77600.0
1997-12-04,17.69,17.75,17.94,17.69,79500.0
1997-12-05,18.13,17.94,18.13,17.69,120300.0
1997-12-08,18.13,18.38,18.38,17.88,56700.0
1997-12-09,18.5,18.06,18.75,17.88,170000.0
1997-12-10,18.06,18.5,18.5,17.81,28000.0
1997-12-11,18.06,18.13,18.25,17.75,19500.0
1997-12-12,17.75,17.75,18.0,17.63,89600.0
1997-12-15,18.13,17.94,18.63,17.75,186100.0
1997-12-16,18.06,18.13,18.13,17.31,89700.0
1997-12-17,18.25,18.06,18.38,18.0,84900.0
1997-12-18,18.44,18.0,18.44,17.88,20000.0
1997-12-19,18.25,18.31,18.44,17.88,49600.0
1997-12-22,18.13,18.5,18.5,18.13,7400.0
1997-12-23,17.63,18.38,18.38,17.63,169900.0
1997-12-24,17.56,17.5,17.63,17.5,32600.0
1997-12-26,17.56,17.56,17.69,17.56,600.0
1997-12-29,17.5,17.63,17.63,17.38,49200.0
1997-12-30,17.25,17.5,17.5,17.25,46700.0
1997-12-31,17.25,17.38,17.38,17.0,87500.0
1998-01-02,17.0,17.38,17.38,16.88,131200.0
1998-01-05,16.75,17.13,17.13,16.63,67800.0
1998-01-06,16.69,16.63,16.69,16.5,24100.0
1998-01-07,16.56,16.63,16.69,16.38,90200.0
1998-01-08,17.25,16.56,17.63,16.56,65100.0
1998-01-09,16.88,17.13,17.5,16.75,132000.0
1998-01-12,17.0,16.63,17.0,16.38,37000.0
1998-01-13,18.75,17.25,18.75,17.0,148700.0
1998-01-14,18.25,18.75,18.75,18.25,97500.0
1998-01-15,18.0,18.0,18.25,18.0,32100.0
1998-01-16,17.75,18.0,18.19,17.75,13000.0
1998-01-20,18.0,17.25,18.0,17.0,105400.0
1998-01-21,18.13,18.0,18.25,18.0,109500.0
1998-01-22,17.75,18.0,18.0,17.63,47400.0
1998-01-23,18.13,17.75,18.13,17.75,53300.0
1998-01-26,17.88,18.25,18.25,17.88,5000.0
1998-01-27,17.63,17.94,18.0,17.63,12200.0
1998-01-28,17.75,17.63,17.75,17.5,39700.0
1998-01-29,17.63,17.75,17.75,17.5,130100.0
1998-01-30,17.88,17.75,18.0,17.75,19700.0
1998-02-02,19.0,18.0,19.19,18.0,45000.0
1998-02-03,18.81,19.25,19.25,18.75,46500.0
1998-02-04,19.0,18.81,19.25,18.75,47700.0
1998-02-05,19.0,19.13,19.19,18.88,14100.0
1998-02-06,19.38,19.25,19.5,19.06,27300.0
1998-02-09,19.25,19.5,19.5,18.88,14700.0
1998-02-10,20.13,19.38,20.69,19.38,83500.0
1998-02-11,20.0,20.25,20.38,19.5,90400.0
1998-02-12,19.94,20.0,20.25,19.94,22800.0
1998-02-13,20.06,19.94,20.13,19.94,34900.0
1998-02-17,20.56,20.25,20.56,20.25,23100.0
1998-02-18,20.19,20.31,20.5,20.13,31700.0
1998-02-19,20.13,20.44,20.44,20.13,24400.0
1998-02-20,19.88,20.0,20.25,19.5,59400.0
1998-02-23,20.0,20.0,20.5,20.0,132500.0
1998-02-24,19.5,20.0,20.0,19.5,14700.0
1998-02-25,19.5,19.63,19.75,19.38,19700.0
1998-02-26,19.38,19.5,19.75,19.38,3200.0
1998-02-27,19.5,19.25,19.5,19.0,132400.0
1998-03-02,20.13,19.75,20.5,19.75,47100.0
1998-03-03,20.13,20.13,20.25,20.06,41200.0
1998-03-04,20.25,20.13,20.5,20.13,15700.0
1998-03-05,20.44,20.25,20.75,20.25,27600.0
1998-03-06,20.38,20.69,20.75,20.38,5500.0
1998-03-09,21.38,20.5,21.38,20.5,15800.0
1998-03-10,21.75,21.38,21.88,21.38,18400.0
1998-03-11,22.38,21.94,22.88,21.75,54800.0
1998-03-12,22.25,22.38,22.38,22.0,23500.0
1998-03-13,22.13,22.5,22.63,22.0,39100.0
1998-03-16,21.75,22.25,22.25,21.63,33600.0
1998-03-17,21.5,21.75,21.75,21.13,16600.0
1998-03-18,21.88,21.5,21.88,21.38,27600.0
1998-03-19,21.88,21.94,22.0,21.69,73700.0
1998-03-20,21.5,21.75,21.88,21.38,3700.0
1998-03-23,21.38,21.38,21.38,21.25,1400.0
1998-03-24,21.0,21.25,21.63,20.88,45800.0
1998-03-25,20.81,21.0,21.13,20.75,5400.0
1998-03-26,20.88,20.69,20.88,20.63,3600.0
1998-03-27,21.13,21.0,21.25,20.88,46100.0
1998-03-30,21.69,21.13,21.88,21.13,99100.0
1998-03-31,22.19,21.56,22.25,21.56,54100.0
1998-04-01,22.13,22.13,22.25,21.75,133900.0
1998-04-02,22.0,21.88,22.13,21.88,175200.0
1998-04-03,21.5,21.25,21.88,21.25,77200.0
1998-04-06,21.5,21.38,21.63,21.25,88300.0
1998-04-07,21.75,21.75,21.88,21.5,17400.0
1998-04-08,21.5,21.75,21.75,21.38,2800.0
1998-04-09,21.38,21.5,21.5,21.13,22500.0
1998-04-13,21.5,21.38,21.5,21.19,49100.0
1998-04-14,21.63,21.38,21.63,21.38,15900.0
1998-04-15,21.63,21.44,21.88,21.44,20300.0
1998-04-16,21.44,21.38,21.5,21.38,3800.0
1998-04-17,21.88,21.69,21.88,21.56,8500.0
1998-04-20,21.63,21.69,21.88,21.63,15300.0
1998-04-21,21.94,21.88,21.94,21.63,27200.0
1998-04-22,21.56,21.75,21.75,21.56,11200.0
1998-04-23,21.5,21.44,21.75,21.44,10500.0
1998-04-24,21.13,21.5,21.94,21.13,58200.0
1998-04-27,20.56,20.88,20.88,20.5,34000.0
1998-04-28,20.19,20.63,20.63,20.13,252100.0
1998-04-29,20.25,20.25,20.25,19.5,112000.0
1998-04-30,20.13,20.38,20.5,19.88,30400.0
1998-05-01,19.63,20.0,20.0,19.63,29600.0
1998-05-04,19.75,19.75,19.94,19.63,61000.0
1998-05-05,20.0,20.0,20.19,19.88,30600.0
1998-05-06,19.75,20.0,20.13,19.63,32800.0
1998-05-07,19.5,19.88,19.88,19.5,13100.0
1998-05-08,19.5,19.75,19.88,19.5,53300.0
1998-05-11,19.5,19.38,19.88,19.38,43400.0
1998-05-12,19.88,19.75,19.94,19.5,10300.0
1998-05-13,19.63,19.63,19.94,19.63,25800.0
1998-05-14,19.5,19.38,19.63,19.25,15900.0
1998-05-15,19.5,19.75,19.75,19.5,5400.0
1998-05-18,19.13,19.75,19.88,19.13,16300.0
1998-05-19,19.13,19.06,19.63,19.06,39400.0
1998-05-20,19.19,19.25,19.31,19.13,31800.0
1998-05-21,20.25,19.31,20.25,19.31,40300.0
1998-05-22,20.0,20.19,20.19,20.0,4400.0
1998-05-26,19.63,20.0,20.0,19.63,4100.0
1998-05-27,18.5,19.38,19.38,18.0,116300.0
1998-05-28,18.63,18.63,18.75,18.5,40800.0
1998-05-29,19.0,18.75,19.0,18.75,49000.0
1998-06-01,19.0,19.0,19.25,19.0,5200.0
1998-06-02,19.38,19.13,19.69,19.13,183800.0
1998-06-03,19.75,19.5,19.75,19.31,5500.0
1998-06-04,20.0,20.0,20.38,20.0,9900.0
1998-06-05,19.44,20.13,20.13,19.44,92400.0
1998-06-08,19.38,19.31,19.38,19.31,2100.0
1998-06-09,19.5,19.63,19.63,19.38,11200.0
