Date,Close,Open,High,Low,Volume
6/1/1984,1.41,1.41,1.43,1.41,734000.0
6/4/1984,1.41,1.41,1.43,1.41,406700.0
6/5/1984,1.4,1.4,1.41,1.4,208900.0
6/6/1984,1.48,1.48,1.5,1.48,189400.0
6/7/1984,1.64,1.64,1.65,1.64,207800.0
6/8/1984,1.74,1.74,1.76,1.74,222700.0
6/11/1984,1.63,1.63,1.65,1.63,121900.0
6/12/1984,1.61,1.61,1.63,1.61,67000.0
6/13/1984,1.69,1.69,1.7,1.69,133900.0
6/14/1984,1.64,1.64,1.66,1.64,68000.0
6/15/1984,1.69,1.69,1.7,1.69,70400.0
6/18/1984,1.74,1.74,1.75,1.74,48000.0
6/19/1984,1.86,1.86,1.88,1.86,158100.0
6/20/1984,2.06,2.06,2.08,2.06,227300.0
6/21/1984,2.04,2.04,2.06,2.04,203900.0
6/22/1984,2.26,2.26,2.28,2.26,119900.0
6/25/1984,2.24,2.24,2.25,2.24,157900.0
6/26/1984,2.3,2.3,2.31,2.3,104000.0
6/27/1984,2.24,2.24,2.25,2.24,104600.0
6/28/1984,2.35,2.35,2.36,2.35,56300.0
6/29/1984,2.54,2.54,2.56,2.54,101900.0
7/2/1984,2.48,2.48,2.5,2.48,94000.0
7/3/1984,2.53,2.53,2.55,2.53,33900.0
7/5/1984,2.65,2.65,2.66,2.65,142800.0
7/6/1984,2.63,2.63,2.64,2.63,72800.0
7/9/1984,2.58,2.58,2.6,2.58,96300.0
7/10/1984,2.51,2.51,2.53,2.51,193800.0
7/11/1984,2.4,2.4,2.41,2.4,98000.0
7/12/1984,2.34,2.34,2.34,2.34,102100.0
7/13/1984,2.36,2.36,2.38,2.36,22300.0
7/16/1984,2.26,2.26,2.29,2.26,47300.0
7/17/1984,2.34,2.34,2.35,2.34,35000.0
7/18/1984,2.33,2.33,2.35,2.33,15000.0
7/19/1984,2.09,2.09,2.1,2.09,76100.0
7/20/1984,1.9,1.9,1.94,1.9,72300.0
7/23/1984,1.96,1.96,1.98,1.96,58000.0
7/24/1984,1.93,1.93,1.95,1.93,32100.0
7/25/1984,2.06,2.06,2.09,2.06,64900.0
7/26/1984,2.15,2.15,2.16,2.15,67400.0
7/27/1984,2.13,2.13,2.14,2.13,33000.0
7/30/1984,2.11,2.11,2.14,2.11,15600.0
