Date,Close,Open,High,Low,Volume
3/17/1980,15.42,,15.62,14.97,138500.0
3/18/1980,15.82,,15.82,14.27,175800.0
3/19/1980,16.18,,16.28,15.52,108800.0
3/20/1980,16.22,,16.53,15.87,161900.0
3/21/1980,16.02,,16.28,15.52,61100.0
3/24/1980,14.92,,15.92,14.77,68500.0
3/25/1980,15.12,,15.17,14.57,84200.0
3/26/1980,14.82,,15.27,14.82,84000.0
3/27/1980,14.02,,14.67,13.07,162400.0
3/28/1980,15.02,,15.02,14.02,73900.0
3/31/1980,15.37,,15.82,15.22,111800.0
4/1/1980,14.97,,15.52,14.97,43400.0
4/2/1980,14.32,,14.42,14.12,111800.0
4/3/1980,13.82,,14.32,13.77,94000.0
4/7/1980,13.62,,13.77,13.52,50000.0
4/8/1980,14.52,,14.52,13.52,166500.0
4/9/1980,15.02,,15.22,14.92,55300.0
4/10/1980,14.82,,15.27,14.67,47000.0
4/11/1980,14.22,,14.82,14.12,59300.0
4/14/1980,14.12,,14.37,14.07,149000.0
4/15/1980,13.67,,14.07,13.67,28400.0
4/16/1980,13.12,,13.82,13.12,32300.0
4/17/1980,12.87,,13.07,12.82,46300.0
4/18/1980,12.87,,13.02,12.72,60800.0
4/21/1980,12.82,,13.17,12.82,34100.0
4/22/1980,13.72,,13.72,13.22,52400.0
4/23/1980,14.07,,14.22,13.57,47700.0
4/24/1980,14.32,,14.62,13.92,61100.0
4/25/1980,14.42,,14.92,14.22,86900.0
4/28/1980,14.02,,14.57,14.02,40500.0
4/29/1980,14.07,,14.22,14.07,33800.0
4/30/1980,14.17,,14.17,14.02,16800.0
5/1/1980,13.22,,14.17,13.22,42000.0
5/2/1980,13.57,,13.62,12.82,68800.0
5/5/1980,13.27,,13.47,13.12,22600.0
5/6/1980,13.12,,13.42,12.92,47700.0
5/7/1980,13.02,,13.42,13.02,40100.0
5/8/1980,12.92,,13.17,12.62,61500.0
5/9/1980,12.52,,12.82,12.32,29400.0
5/12/1980,12.52,,12.72,12.22,72400.0
5/13/1980,12.87,,12.97,12.47,128000.0
5/14/1980,13.37,,13.37,12.97,52000.0
5/15/1980,13.77,,13.92,13.32,31200.0
5/16/1980,14.22,,14.42,13.82,68000.0
5/19/1980,14.42,,15.12,14.12,71800.0
5/20/1980,14.42,,14.42,14.17,76700.0
5/21/1980,14.62,,14.82,14.32,77400.0
5/22/1980,14.62,,14.72,14.47,51900.0
5/23/1980,15.27,,15.42,14.82,85300.0
5/27/1980,15.62,,15.87,15.47,87400.0
5/28/1980,15.32,,15.52,15.22,22800.0
5/29/1980,15.12,,15.32,15.02,23900.0
5/30/1980,15.32,,15.37,14.62,54000.0
6/2/1980,15.47,,15.72,15.47,55500.0
6/3/1980,15.02,,15.42,14.97,39800.0
6/4/1980,15.72,,15.72,15.07,86200.0
6/5/1980,15.62,,15.92,15.52,112800.0
6/6/1980,16.12,,16.28,15.82,108900.0
