Date,Close,Open,High,Low,Volume
2002-05-23,1.2,1.16,1.24,1.15,7485000.0
2002-05-24,1.21,1.21,1.23,1.2,793200.0
2002-05-28,1.16,1.21,1.23,1.16,472100.0
2002-05-29,1.1,1.16,1.16,1.09,482700.0
2002-05-30,1.07,1.11,1.11,1.07,725300.0
2002-05-31,1.08,1.08,1.08,1.07,604600.0
2002-06-03,1.13,1.08,1.15,1.08,225100.0
2002-06-04,1.12,1.14,1.14,1.11,221800.0
2002-06-05,1.15,1.11,1.16,1.11,109400.0
2002-06-06,1.18,1.15,1.23,1.15,164700.0
2002-06-07,1.12,1.18,1.18,1.1,97800.0
2002-06-10,1.16,1.14,1.18,1.13,34600.0
2002-06-11,1.15,1.16,1.19,1.13,71700.0
2002-06-12,1.09,1.15,1.18,1.09,128500.0
2002-06-13,1.08,1.1,1.12,1.08,183400.0
2002-06-14,0.99,1.08,1.09,0.98,341700.0
2002-06-17,0.92,1.01,1.06,0.92,346800.0
2002-06-18,0.91,0.94,0.94,0.84,772000.0
2002-06-19,0.95,0.91,1.0,0.89,391600.0
2002-06-20,0.96,0.97,1.04,0.95,436500.0
2002-06-21,0.98,0.98,0.99,0.95,167600.0
2002-06-24,0.98,0.98,1.01,0.96,183400.0
2002-06-25,0.96,0.99,1.01,0.95,281500.0
2002-06-26,0.99,0.96,1.0,0.92,208900.0
2002-06-27,0.94,1.01,1.02,0.94,272700.0
2002-06-28,1.0,0.96,1.01,0.96,717500.0
2002-07-01,1.03,1.0,1.05,0.99,327500.0
2002-07-02,1.17,1.05,1.2,1.04,644300.0
2002-07-03,1.21,1.18,1.21,1.12,354100.0
2002-07-05,1.28,1.21,1.3,1.21,143100.0
2002-07-08,1.18,1.25,1.25,1.17,139500.0
2002-07-09,1.16,1.18,1.2,1.11,209700.0
2002-07-10,1.16,1.16,1.18,1.13,111000.0
2002-07-11,1.27,1.15,1.28,1.13,180700.0
2002-07-12,1.21,1.28,1.28,1.21,202700.0
2002-07-15,1.14,1.24,1.25,1.08,302800.0
2002-07-16,1.13,1.15,1.16,1.1,138700.0
2002-07-17,1.09,1.15,1.16,1.08,90300.0
2002-07-18,1.15,1.12,1.17,1.11,207100.0
2002-07-19,1.16,1.15,1.16,1.12,128000.0
2002-07-22,1.17,1.14,1.18,1.12,142430.0
2002-07-23,1.15,1.18,1.21,1.13,112700.0
2002-07-24,1.11,1.15,1.16,1.07,239913.0
2002-07-25,1.04,1.13,1.13,1.04,339783.0
2002-07-26,0.87,1.05,1.06,0.85,503402.0
2002-07-29,0.88,0.9,0.92,0.85,233020.0
2002-07-30,0.91,0.89,0.94,0.89,269800.0
2002-07-31,0.95,0.93,0.96,0.91,238100.0
2002-08-01,0.89,0.95,0.96,0.88,323500.0
2002-08-02,0.78,0.89,0.89,0.71,475487.0
2002-08-05,0.78,0.78,0.81,0.76,272000.0
2002-08-06,0.76,0.8,0.8,0.74,229800.0
2002-08-07,0.79,0.76,0.79,0.74,197000.0
2002-08-08,0.8,0.8,0.8,0.75,163100.0
2002-08-09,0.79,0.8,0.82,0.78,107300.0
2002-08-12,0.76,0.8,0.81,0.75,152200.0
2002-08-13,0.77,0.77,0.81,0.75,119800.0
2002-08-14,0.83,0.78,0.83,0.77,289163.0
2002-08-15,0.88,0.84,0.91,0.83,233100.0
2002-08-16,0.91,0.89,0.92,0.86,130600.0
2002-08-19,0.98,0.93,0.98,0.92,148200.0
2002-08-20,0.95,0.99,0.99,0.92,181535.0
2002-08-21,0.97,0.95,0.97,0.92,198550.0
2002-08-22,0.98,0.97,1.0,0.93,211757.0
2002-08-23,0.99,0.99,1.0,0.97,171900.0
2002-08-26,0.97,1.0,1.0,0.94,188900.0
2002-08-27,0.87,0.97,0.97,0.86,356000.0
2002-08-28,0.86,0.86,0.89,0.83,162500.0
2002-08-29,0.9,0.83,0.92,0.82,171100.0
2002-08-30,0.94,0.91,0.96,0.89,151700.0
2002-09-03,0.93,0.94,0.96,0.91,114120.0
2002-09-04,0.93,0.93,0.95,0.91,26700.0
2002-09-05,0.92,0.92,0.94,0.91,20400.0
2002-09-06,0.91,0.93,0.94,0.91,54500.0
2002-09-09,0.9,0.92,0.93,0.89,101482.0
2002-09-10,0.95,0.9,0.95,0.89,339100.0
