Date,Close,Open,High,Low,Volume
12/2/1980,0.18,,0.18,0.18,786800.0
12/3/1980,0.18,,0.18,0.18,196700.0
12/4/1980,0.18,,0.18,0.18,177300.0
12/5/1980,0.17,,0.18,0.17,59300.0
12/8/1980,0.16,,0.16,0.16,42300.0
12/9/1980,0.16,,0.16,0.16,45500.0
12/10/1980,0.15,,0.15,0.15,45900.0
12/11/1980,0.14,,0.14,0.14,42500.0
12/12/1980,0.15,,0.15,0.15,63700.0
12/15/1980,0.15,,0.15,0.15,51900.0
12/16/1980,0.15,,0.15,0.15,51800.0
12/17/1980,0.14,,0.15,0.14,36500.0
12/18/1980,0.15,,0.15,0.15,87900.0
12/19/1980,0.15,,0.15,0.15,78400.0
12/22/1980,0.15,,0.16,0.15,14500.0
12/23/1980,0.16,,0.16,0.16,44500.0
12/24/1980,0.16,,0.17,0.16,19100.0
12/26/1980,0.16,,0.17,0.16,11400.0
12/29/1980,0.16,,0.17,0.16,13600.0
12/30/1980,0.17,,0.17,0.17,34100.0
12/31/1980,0.16,,0.17,0.16,22800.0
1/2/1981,0.17,,0.17,0.17,12300.0
1/5/1981,0.17,,0.18,0.17,45500.0
1/6/1981,0.18,,0.18,0.18,54300.0
1/7/1981,0.17,,0.17,0.17,68800.0
1/8/1981,0.16,,0.16,0.16,25800.0
1/9/1981,0.16,,0.16,0.16,19300.0
1/12/1981,0.16,,0.17,0.16,26200.0
1/13/1981,0.17,,0.17,0.17,34900.0
1/14/1981,0.17,,0.18,0.17,61900.0
1/15/1981,0.17,,0.17,0.17,19700.0
1/16/1981,0.17,,0.18,0.17,26000.0
1/19/1981,0.17,,0.17,0.17,31500.0
1/20/1981,0.17,,0.17,0.17,27400.0
1/21/1981,0.16,,0.17,0.16,7700.0
1/22/1981,0.16,,0.16,0.16,10300.0
1/23/1981,0.16,,0.16,0.16,10800.0
1/26/1981,0.16,,0.16,0.16,8800.0
1/27/1981,0.16,,0.16,0.16,6700.0
1/28/1981,0.16,,0.16,0.16,9100.0
1/29/1981,0.16,,0.16,0.16,19700.0
1/30/1981,0.15,,0.15,0.15,6500.0
2/2/1981,0.15,,0.15,0.15,16100.0
2/3/1981,0.15,,0.15,0.15,8900.0
2/4/1981,0.15,,0.15,0.15,16100.0
2/5/1981,0.15,,0.15,0.15,30300.0
2/6/1981,0.15,,0.15,0.15,9500.0
2/9/1981,0.15,,0.15,0.15,8900.0
2/10/1981,0.15,,0.15,0.15,17000.0
2/11/1981,0.14,,0.15,0.14,9800.0
2/12/1981,0.14,,0.15,0.14,1700.0
2/13/1981,0.14,,0.15,0.14,7200.0
2/17/1981,0.14,,0.14,0.14,6300.0
2/18/1981,0.14,,0.15,0.14,17200.0
2/19/1981,0.15,,0.15,0.15,14700.0
2/20/1981,0.15,,0.15,0.15,12000.0
2/23/1981,0.15,,0.15,0.15,4200.0
2/24/1981,0.15,,0.15,0.15,15700.0
2/25/1981,0.15,,0.15,0.15,4200.0
2/26/1981,0.15,,0.15,0.15,6600.0
2/27/1981,0.15,,0.16,0.15,5900.0
3/2/1981,0.15,,0.16,0.15,7000.0
3/3/1981,0.15,,0.16,0.15,29700.0
3/4/1981,0.15,,0.16,0.15,19600.0
3/5/1981,0.15,,0.16,0.15,5400.0
3/6/1981,0.15,,0.15,0.15,12800.0
3/9/1981,0.15,,0.15,0.15,7600.0
3/10/1981,0.14,,0.14,0.14,11200.0
3/11/1981,0.14,,0.14,0.14,14300.0
3/12/1981,0.14,,0.14,0.14,30500.0
3/13/1981,0.14,,0.15,0.14,5700.0
3/16/1981,0.14,,0.14,0.14,7200.0
3/17/1981,0.14,,0.14,0.14,6500.0
3/18/1981,0.14,,0.14,0.14,15800.0
3/19/1981,0.13,,0.14,0.13,27800.0
3/20/1981,0.14,,0.14,0.14,13500.0
3/23/1981,0.14,,0.14,0.14,21000.0
3/24/1981,0.14,,0.14,0.14,25500.0
3/25/1981,0.14,,0.14,0.14,9700.0
3/26/1981,0.14,,0.14,0.14,26400.0
3/27/1981,0.14,,0.14,0.14,10900.0
3/30/1981,0.14,,0.15,0.14,24500.0
3/31/1981,0.15,,0.15,0.15,30900.0
4/1/1981,0.16,,0.16,0.16,23800.0
4/2/1981,0.16,,0.16,0.16,38400.0
4/3/1981,0.16,,0.16,0.16,10700.0
4/6/1981,0.16,,0.16,0.16,21500.0
4/7/1981,0.16,,0.16,0.16,11200.0
4/8/1981,0.16,,0.16,0.16,12600.0
4/9/1981,0.17,,0.17,0.17,44200.0
4/10/1981,0.17,,0.17,0.17,38000.0
4/13/1981,0.16,,0.17,0.16,64300.0
4/14/1981,0.16,,0.16,0.16,25200.0
4/15/1981,0.17,,0.17,0.17,25600.0
4/16/1981,0.17,,0.18,0.17,81600.0
4/20/1981,0.17,,0.18,0.17,63900.0
4/21/1981,0.17,,0.18,0.17,18900.0
4/22/1981,0.18,,0.18,0.18,34800.0
4/23/1981,0.18,,0.18,0.18,44800.0
4/24/1981,0.17,,0.17,0.17,19500.0
4/27/1981,0.17,,0.17,0.17,16500.0
4/28/1981,0.17,,0.17,0.17,11900.0
4/29/1981,0.16,,0.17,0.16,10000.0
4/30/1981,0.16,,0.17,0.16,7100.0
5/1/1981,0.16,,0.16,0.16,4700.0
5/4/1981,0.16,,0.16,0.16,25900.0
5/5/1981,0.16,,0.16,0.16,9100.0
5/6/1981,0.16,,0.16,0.16,5300.0
5/7/1981,0.16,,0.17,0.16,4200.0
5/8/1981,0.16,,0.16,0.16,3400.0
5/11/1981,0.16,,0.16,0.16,10500.0
5/12/1981,0.16,,0.17,0.16,13900.0
5/13/1981,0.16,,0.17,0.16,12400.0
5/14/1981,0.16,,0.17,0.16,6000.0
5/15/1981,0.16,,0.16,0.16,7200.0
5/18/1981,0.16,,0.16,0.16,28100.0
5/19/1981,0.16,,0.16,0.16,5600.0
5/20/1981,0.16,,0.16,0.16,13000.0
5/21/1981,0.16,,0.17,0.16,14400.0
5/22/1981,0.16,,0.17,0.16,4600.0
5/26/1981,0.16,,0.17,0.16,37600.0
5/27/1981,0.17,,0.17,0.17,30800.0
5/28/1981,0.18,,0.18,0.18,71100.0
5/29/1981,0.18,,0.18,0.18,28900.0
6/1/1981,0.18,,0.19,0.18,25800.0
6/2/1981,0.19,,0.19,0.19,45700.0
6/3/1981,0.18,,0.19,0.18,60100.0
6/4/1981,0.18,,0.19,0.18,22700.0
6/5/1981,0.19,,0.19,0.19,47500.0
6/8/1981,0.18,,0.19,0.18,14500.0
6/9/1981,0.18,,0.19,0.18,9100.0
6/10/1981,0.19,,0.19,0.19,19700.0
6/11/1981,0.19,,0.19,0.19,30500.0
6/12/1981,0.19,,0.19,0.19,67900.0
6/15/1981,0.19,,0.19,0.19,32100.0
6/16/1981,0.19,,0.2,0.19,130500.0
6/17/1981,0.19,,0.19,0.19,31800.0
6/18/1981,0.18,,0.18,0.18,54100.0
6/19/1981,0.18,,0.19,0.18,18200.0
6/22/1981,0.18,,0.19,0.18,13800.0
6/23/1981,0.19,,0.19,0.19,41700.0
6/24/1981,0.19,,0.19,0.19,12200.0
6/25/1981,0.19,,0.19,0.19,28400.0
6/26/1981,0.19,,0.19,0.19,23000.0
6/29/1981,0.19,,0.19,0.19,8500.0
6/30/1981,0.18,,0.19,0.18,8000.0
7/1/1981,0.18,,0.19,0.18,13500.0
7/2/1981,0.19,,0.19,0.19,8900.0
7/6/1981,0.18,,0.19,0.18,10600.0
7/7/1981,0.17,,0.17,0.17,11400.0
7/8/1981,0.17,,0.17,0.17,4800.0
7/9/1981,0.17,,0.17,0.17,11100.0
7/10/1981,0.17,,0.17,0.17,6200.0
7/13/1981,0.17,,0.17,0.17,14400.0
7/14/1981,0.17,,0.17,0.17,7000.0
7/15/1981,0.17,,0.18,0.17,4200.0
7/16/1981,0.17,,0.18,0.17,3500.0
7/17/1981,0.17,,0.18,0.17,1500.0
7/20/1981,0.17,,0.17,0.17,26600.0
7/21/1981,0.16,,0.17,0.16,6700.0
7/22/1981,0.16,,0.16,0.16,9000.0
7/23/1981,0.17,,0.17,0.17,20000.0
7/24/1981,0.17,,0.17,0.17,15900.0
7/27/1981,0.17,,0.17,0.17,11200.0
7/28/1981,0.17,,0.18,0.17,6100.0
7/29/1981,0.17,,0.17,0.17,14800.0
7/30/1981,0.17,,0.17,0.17,19300.0
7/31/1981,0.17,,0.17,0.17,4100.0
8/3/1981,0.16,,0.17,0.16,11100.0
8/4/1981,0.16,,0.17,0.16,8600.0
8/5/1981,0.16,,0.16,0.16,16900.0
8/6/1981,0.16,,0.16,0.16,10300.0
8/7/1981,0.15,,0.16,0.15,7800.0
8/11/1981,0.16,,0.17,0.16,9700.0
8/12/1981,0.16,,0.17,0.16,21600.0
8/13/1981,0.16,,0.17,0.16,4600.0
8/14/1981,0.16,,0.17,0.16,5500.0
8/17/1981,0.16,,0.17,0.16,17800.0
8/18/1981,0.15,,0.16,0.15,10100.0
8/19/1981,0.15,,0.16,0.15,6900.0
8/20/1981,0.15,,0.16,0.15,6900.0
8/21/1981,0.16,,0.16,0.16,4900.0
8/24/1981,0.15,,0.15,0.15,8500.0
8/25/1981,0.15,,0.15,0.15,2800.0
8/26/1981,0.15,,0.15,0.15,4800.0
8/27/1981,0.15,,0.15,0.15,30000.0
8/28/1981,0.15,,0.15,0.15,4000.0
8/31/1981,0.15,,0.15,0.15,8400.0
9/1/1981,0.15,,0.15,0.15,12500.0
9/2/1981,0.15,,0.15,0.15,8200.0
9/3/1981,0.15,,0.15,0.15,5500.0
9/4/1981,0.15,,0.15,0.15,9200.0
9/8/1981,0.14,,0.15,0.14,9900.0
9/9/1981,0.15,,0.15,0.15,1400.0
9/10/1981,0.15,,0.15,0.15,14900.0
9/11/1981,0.15,,0.16,0.15,5000.0
9/14/1981,0.16,,0.16,0.16,3100.0
9/15/1981,0.17,,0.17,0.17,23400.0
9/16/1981,0.16,,0.16,0.16,14700.0
9/17/1981,0.15,,0.16,0.15,12900.0
9/18/1981,0.15,,0.16,0.15,2500.0
9/21/1981,0.16,,0.16,0.16,7300.0
9/22/1981,0.15,,0.16,0.15,7700.0
9/23/1981,0.15,,0.15,0.15,14200.0
9/24/1981,0.15,,0.15,0.15,12600.0
9/25/1981,0.15,,0.15,0.15,18400.0
9/28/1981,0.14,,0.15,0.14,27600.0
9/29/1981,0.15,,0.15,0.15,5300.0
9/30/1981,0.15,,0.15,0.15,10200.0
10/1/1981,0.15,,0.15,0.15,1700.0
10/2/1981,0.15,,0.16,0.15,7000.0
10/5/1981,0.16,,0.16,0.16,10300.0
10/6/1981,0.15,,0.16,0.15,11400.0
10/7/1981,0.15,,0.16,0.15,3200.0
10/8/1981,0.16,,0.16,0.16,9500.0
10/9/1981,0.15,,0.15,0.15,8500.0
10/12/1981,0.15,,0.16,0.15,18000.0
10/13/1981,0.17,,0.17,0.17,54500.0
10/14/1981,0.18,,0.18,0.18,133500.0
10/15/1981,0.18,,0.18,0.18,33300.0
10/16/1981,0.18,,0.18,0.18,31500.0
10/19/1981,0.18,,0.19,0.18,19500.0
10/20/1981,0.19,,0.19,0.19,249700.0
10/21/1981,0.19,,0.19,0.19,38400.0
10/22/1981,0.19,,0.19,0.19,56500.0
10/23/1981,0.19,,0.19,0.19,30200.0
10/26/1981,0.19,,0.19,0.19,25400.0
10/27/1981,0.19,,0.2,0.19,19400.0
10/28/1981,0.21,,0.21,0.21,45200.0
10/29/1981,0.21,,0.21,0.21,83200.0
10/30/1981,0.21,,0.21,0.21,54600.0
11/2/1981,0.2,,0.21,0.2,28900.0
11/3/1981,0.2,,0.21,0.2,17900.0
11/4/1981,0.2,,0.21,0.2,51600.0
11/5/1981,0.2,,0.21,0.2,41200.0
11/6/1981,0.2,,0.2,0.2,7100.0
11/9/1981,0.2,,0.2,0.2,18800.0
11/10/1981,0.2,,0.21,0.2,16600.0
11/11/1981,0.21,,0.21,0.21,39400.0
11/12/1981,0.21,,0.21,0.21,68400.0
11/13/1981,0.21,,0.21,0.21,46700.0
11/16/1981,0.21,,0.21,0.21,32400.0
11/17/1981,0.21,,0.21,0.21,24100.0
11/18/1981,0.2,,0.21,0.2,21800.0
11/19/1981,0.21,,0.21,0.21,8200.0
11/20/1981,0.21,,0.21,0.21,23600.0
11/23/1981,0.21,,0.21,0.21,11700.0
11/24/1981,0.21,,0.21,0.21,16100.0
11/25/1981,0.21,,0.21,0.21,26400.0
11/27/1981,0.21,,0.22,0.21,15900.0
11/30/1981,0.22,,0.22,0.22,12500.0
12/1/1981,0.22,,0.23,0.22,26500.0
12/2/1981,0.22,,0.22,0.22,41700.0
12/3/1981,0.22,,0.22,0.22,28800.0
12/4/1981,0.22,,0.22,0.22,11300.0
12/7/1981,0.22,,0.22,0.22,16600.0
12/8/1981,0.22,,0.22,0.22,15000.0
12/9/1981,0.21,,0.22,0.21,11100.0
12/10/1981,0.21,,0.22,0.21,7200.0
12/11/1981,0.21,,0.22,0.21,13000.0
12/14/1981,0.21,,0.22,0.21,15200.0
12/15/1981,0.21,,0.22,0.21,11400.0
12/16/1981,0.21,,0.22,0.21,19300.0
12/17/1981,0.21,,0.22,0.21,16500.0
12/18/1981,0.22,,0.22,0.22,16000.0
12/21/1981,0.22,,0.22,0.22,7600.0
12/22/1981,0.21,,0.22,0.21,8700.0
12/23/1981,0.21,,0.22,0.21,18900.0
12/24/1981,0.21,,0.22,0.21,30900.0
12/28/1981,0.21,,0.22,0.21,8000.0
12/29/1981,0.21,,0.22,0.21,13500.0
12/30/1981,0.22,,0.23,0.22,34700.0
12/31/1981,0.22,,0.22,0.22,38000.0
1/4/1982,0.22,,0.22,0.22,35400.0
1/5/1982,0.21,,0.22,0.21,21700.0
1/6/1982,0.21,,0.21,0.21,25100.0
1/7/1982,0.21,,0.22,0.21,43800.0
1/8/1982,0.22,,0.22,0.22,30900.0
1/11/1982,0.22,,0.23,0.22,64800.0
1/12/1982,0.23,,0.23,0.23,12900.0
1/13/1982,0.22,,0.23,0.22,21500.0
1/14/1982,0.22,,0.23,0.22,32900.0
1/15/1982,0.22,,0.23,0.22,40600.0
1/18/1982,0.23,,0.23,0.23,52200.0
1/19/1982,0.22,,0.23,0.22,49600.0
1/20/1982,0.22,,0.22,0.22,26600.0
1/21/1982,0.22,,0.22,0.22,26600.0
1/22/1982,0.22,,0.22,0.22,26800.0
1/25/1982,0.21,,0.22,0.21,24800.0
1/26/1982,0.22,,0.22,0.22,6500.0
1/27/1982,0.22,,0.22,0.22,12800.0
1/28/1982,0.22,,0.22,0.22,27400.0
1/29/1982,0.23,,0.23,0.23,49400.0
2/1/1982,0.23,,0.23,0.23,16500.0
2/2/1982,0.23,,0.23,0.23,18900.0
2/3/1982,0.23,,0.23,0.23,48300.0
2/4/1982,0.23,,0.24,0.23,59200.0
2/5/1982,0.24,,0.24,0.24,81300.0
2/8/1982,0.23,,0.23,0.23,21100.0
2/9/1982,0.22,,0.23,0.22,34700.0
2/10/1982,0.22,,0.23,0.22,35500.0
2/11/1982,0.22,,0.23,0.22,8500.0
2/12/1982,0.22,,0.23,0.22,4700.0
2/16/1982,0.22,,0.22,0.22,18900.0
2/17/1982,0.22,,0.22,0.22,20400.0
2/18/1982,0.22,,0.22,0.22,26800.0
2/19/1982,0.22,,0.22,0.22,11600.0
2/22/1982,0.22,,0.23,0.22,37300.0
2/23/1982,0.22,,0.22,0.22,28600.0
2/24/1982,0.22,,0.22,0.22,9300.0
2/25/1982,0.22,,0.22,0.22,20400.0
2/26/1982,0.22,,0.22,0.22,19400.0
3/1/1982,0.22,,0.22,0.22,181800.0
3/2/1982,0.22,,0.23,0.22,9000.0
3/3/1982,0.22,,0.23,0.22,9400.0
3/4/1982,0.22,,0.22,0.22,7500.0
3/5/1982,0.22,,0.22,0.22,5700.0
3/8/1982,0.22,,0.22,0.22,37900.0
3/9/1982,0.2,,0.2,0.2,57600.0
3/10/1982,0.21,,0.21,0.21,48200.0
3/11/1982,0.2,,0.21,0.2,8900.0
3/12/1982,0.2,,0.2,0.2,16000.0
3/15/1982,0.2,,0.2,0.2,22300.0
3/16/1982,0.2,,0.2,0.2,15700.0
3/17/1982,0.19,,0.2,0.19,10700.0
3/18/1982,0.2,,0.21,0.2,23300.0
3/19/1982,0.21,,0.21,0.21,25300.0
3/22/1982,0.22,,0.22,0.22,10700.0
3/23/1982,0.22,,0.22,0.22,32700.0
3/24/1982,0.23,,0.23,0.23,17600.0
3/25/1982,0.23,,0.23,0.23,22300.0
3/26/1982,0.23,,0.23,0.23,5600.0
