Date,Close,Open,High,Low,Volume
3/17/1980,7.01,,7.58,7.01,50900.0
3/18/1980,7.11,,7.18,6.95,34200.0
3/19/1980,7.48,,7.52,7.33,31400.0
3/20/1980,7.39,,7.54,7.39,23500.0
3/21/1980,7.2,,7.39,7.2,12900.0
3/24/1980,7.07,,7.22,7.03,32800.0
3/25/1980,6.99,,7.13,6.95,36700.0
3/26/1980,7.03,,7.14,7.03,35700.0
3/27/1980,6.5,,6.86,6.24,46700.0
3/28/1980,6.69,,6.86,6.69,25200.0
3/31/1980,6.77,,6.88,6.73,23000.0
4/1/1980,6.67,,6.78,6.63,14900.0
4/2/1980,6.77,,6.77,6.65,50800.0
4/3/1980,6.73,,6.77,6.73,3400.0
4/7/1980,6.5,,6.75,6.5,11800.0
4/8/1980,6.35,,6.5,6.35,9000.0
4/9/1980,6.73,,6.73,6.41,48200.0
4/10/1980,6.88,,6.88,6.77,78700.0
4/11/1980,6.95,,7.03,6.88,61700.0
4/14/1980,6.54,,6.95,6.54,29700.0
4/15/1980,6.5,,6.61,6.5,57900.0
4/16/1980,6.1,,6.58,6.1,43300.0
4/17/1980,6.03,,6.03,5.9,91700.0
4/18/1980,6.1,,6.1,6.03,24600.0
4/21/1980,5.93,,6.07,5.9,22600.0
4/22/1980,6.14,,6.24,5.97,43100.0
4/23/1980,6.24,,6.26,6.18,20300.0
4/24/1980,6.24,,6.29,6.22,6800.0
4/25/1980,6.43,,6.44,6.27,23100.0
4/28/1980,6.52,,6.56,6.43,57600.0
4/29/1980,6.46,,6.58,6.43,11800.0
4/30/1980,6.35,,6.5,6.35,3900.0
5/1/1980,6.27,,6.41,6.27,10100.0
5/2/1980,5.99,,6.27,5.9,26500.0
5/5/1980,6.12,,6.2,5.99,23500.0
5/6/1980,6.05,,6.18,6.05,25300.0
5/7/1980,6.05,,6.09,5.99,17900.0
5/8/1980,5.75,,6.12,5.67,31000.0
5/9/1980,5.73,,5.75,5.71,17500.0
5/12/1980,5.73,,5.73,5.61,16700.0
5/13/1980,5.75,,5.8,5.71,34700.0
5/14/1980,5.95,,5.95,5.75,63700.0
5/15/1980,6.03,,6.09,5.97,59400.0
5/16/1980,6.07,,6.09,6.01,13900.0
5/19/1980,6.01,,6.1,6.01,13000.0
5/20/1980,6.12,,6.12,5.97,28200.0
5/21/1980,6.2,,6.2,6.16,18300.0
5/22/1980,6.46,,6.5,6.43,27200.0
5/23/1980,6.61,,6.73,6.54,70800.0
