Date,Close,Open,High,Low,Volume
2012-06-29,24.6,23.75,24.75,22.83,10922574.0
2012-07-02,24.77,24.75,25.2,24.1,656652.0
2012-07-03,25.31,24.85,25.32,24.6,401048.0
2012-07-05,25.96,25.5,26.26,25.14,540959.0
2012-07-06,25.84,25.75,26.12,25.1,355017.0
2012-07-09,25.27,25.96,26.3,25.18,152336.0
2012-07-10,25.05,25.22,25.69,25.05,303969.0
2012-07-11,23.74,25.02,25.35,23.49,296479.0
2012-07-12,24.08,23.3,24.47,22.62,325426.0
2012-07-13,24.18,24.69,24.92,23.98,89055.0
2012-07-16,24.38,24.08,24.56,23.8,118051.0
2012-07-17,24.27,24.48,24.48,23.93,227454.0
2012-07-18,24.23,24.43,24.69,24.0,103725.0
2012-07-19,24.0,24.67,24.67,23.9,254456.0
2012-07-20,25.23,24.04,25.23,23.9,260839.0
2012-07-23,24.35,25.01,25.01,23.91,603333.0
2012-07-24,24.84,24.83,25.96,24.6,291458.0
2012-07-25,24.93,25.06,25.47,24.84,110704.0
2012-07-26,24.42,24.93,25.35,24.0,157915.0
2012-07-27,25.33,24.48,25.44,24.32,100051.0
2012-07-30,25.39,25.25,25.45,25.05,84203.0
2012-07-31,27.0,25.44,27.56,25.41,283931.0
2012-08-01,27.71,27.32,27.98,26.76,111834.0
2012-08-02,29.08,27.5,29.3,27.0,556879.0
2012-08-03,28.67,29.43,31.43,28.58,430928.0
2012-08-06,28.02,29.0,29.16,27.23,583736.0
2012-08-07,28.0,28.3,28.75,27.79,197951.0
2012-08-08,27.57,27.91,27.91,27.01,296624.0
2012-08-09,29.51,27.48,30.02,27.3,135433.0
2012-08-10,31.65,29.37,32.0,29.37,221263.0
2012-08-13,32.43,32.03,32.55,31.72,214803.0
2012-08-14,32.28,32.65,33.96,32.2,553200.0
2012-08-15,29.68,32.11,32.11,29.47,467714.0
2012-08-16,29.75,30.06,30.57,29.6,300501.0
2012-08-17,29.6,30.0,30.04,29.44,389247.0
2012-08-20,29.89,29.55,29.95,29.55,277662.0
2012-08-21,30.26,30.19,30.61,29.95,196645.0
2012-08-22,29.85,30.27,30.52,29.83,617755.0
2012-08-23,29.03,29.93,30.67,28.81,292194.0
2012-08-24,29.7,28.79,29.94,28.79,145544.0
2012-08-27,29.27,29.7,31.31,29.13,259951.0
2012-08-28,29.32,29.27,29.7,29.05,152466.0
2012-08-29,29.49,29.39,29.79,29.25,116549.0
2012-08-30,29.78,29.24,31.0,29.03,186469.0
2012-08-31,31.1,30.24,31.5,29.92,285934.0
2012-09-04,33.67,31.11,33.84,31.11,332776.0
2012-09-05,34.19,33.66,34.33,33.01,331630.0
2012-09-06,36.06,34.2,36.08,34.11,396188.0
2012-09-07,36.55,36.5,37.31,35.62,410974.0
2012-09-10,34.39,37.0,37.0,34.24,457263.0
2012-09-11,33.01,34.8,35.17,32.84,288458.0
2012-09-12,35.05,33.54,35.44,33.26,350491.0
2012-09-13,37.51,35.13,38.32,34.71,460486.0
2012-09-14,39.06,37.88,39.33,37.72,724049.0
2012-09-17,38.19,39.0,39.77,38.03,812252.0
2012-09-18,36.8,38.65,38.65,36.38,677909.0
2012-09-19,38.65,36.88,38.73,36.84,406231.0
2012-09-20,38.0,38.5,38.63,37.18,739402.0
2012-09-21,39.63,38.48,39.83,38.1,353590.0
2012-09-24,40.37,39.9,40.7,38.58,378688.0
2012-09-25,39.99,40.9,41.77,39.61,605401.0
2012-09-26,38.08,39.85,39.85,36.77,853831.0
2012-09-27,40.04,38.4,40.33,38.4,478750.0
2012-09-28,38.68,39.99,39.99,36.16,1582523.0
2012-10-01,36.48,37.98,38.14,34.62,903815.0
2012-10-02,36.5,36.07,36.75,35.59,586650.0
2012-10-03,37.03,36.53,37.68,36.52,283021.0
2012-10-04,37.15,36.7,37.2,36.7,145658.0
2012-10-05,37.0,37.2,37.45,36.5,449418.0
2012-10-08,36.53,36.6,36.66,35.97,251337.0
2012-10-09,36.0,36.61,36.8,35.78,505221.0
2012-10-10,34.78,35.95,36.06,34.62,445937.0
2012-10-11,34.5,35.01,35.29,34.36,267280.0
2012-10-12,33.32,34.83,34.83,32.89,597628.0
2012-10-15,34.51,32.88,34.91,32.8,754758.0
2012-10-16,34.31,34.64,34.64,33.7,503221.0
2012-10-17,34.77,34.33,35.46,34.02,684487.0
2012-10-18,34.79,34.77,34.88,34.5,261446.0
2012-10-19,34.35,34.8,35.48,33.9,534525.0
2012-10-22,33.44,34.45,34.5,32.54,721130.0
2012-10-23,34.56,33.32,34.86,32.61,440020.0
2012-10-24,35.65,34.56,35.77,34.04,604560.0
2012-10-25,31.39,35.65,37.59,30.71,1953835.0
2012-10-26,31.89,31.68,32.98,31.39,601641.0
2012-10-31,30.65,32.11,32.74,30.12,568824.0
2012-11-01,31.04,31.33,31.64,29.55,788599.0
2012-11-02,32.14,31.23,32.73,30.61,450138.0
2012-11-05,32.28,32.15,32.58,31.16,345074.0
2012-11-06,32.95,32.41,33.53,32.18,462278.0
2012-11-07,31.25,32.53,32.73,31.0,532631.0
2012-11-08,30.9,30.87,31.59,30.68,287928.0
2012-11-09,30.07,30.91,31.55,29.71,410199.0
2012-11-12,29.66,30.0,30.99,29.52,537269.0
2012-11-13,29.48,30.49,30.49,28.38,550938.0
2012-11-14,28.71,30.39,30.6,28.15,502838.0
2012-11-15,31.79,28.34,31.98,28.28,7050802.0
2012-11-16,30.35,33.43,34.5,29.45,1798551.0
2012-11-19,31.06,30.52,31.44,28.82,1238532.0
2012-11-20,31.67,30.93,33.75,30.71,981112.0
2012-11-21,31.18,31.03,32.17,29.88,1658445.0
2012-11-23,30.77,31.18,31.2,30.51,186608.0
2012-11-26,30.5,28.61,30.86,28.61,790776.0
2012-11-27,30.3,30.53,30.8,29.2,1097389.0
2012-11-28,31.21,30.52,31.38,29.98,446605.0
2012-11-29,32.3,31.55,32.82,31.11,715710.0
2012-11-30,32.63,32.23,33.02,31.08,2460351.0
2012-12-03,32.04,31.38,32.65,31.16,1012190.0
2012-12-04,30.19,31.98,32.39,29.75,1278964.0
2012-12-05,29.41,30.49,30.49,28.52,1314772.0
2012-12-06,29.47,29.39,29.65,29.09,651405.0
2012-12-07,29.3,29.5,29.62,28.87,373809.0
2012-12-10,29.45,29.42,29.75,29.25,190922.0
2012-12-11,29.83,29.66,30.24,29.38,471831.0
2012-12-12,30.63,30.03,31.28,29.41,834547.0
2012-12-13,30.33,30.35,30.96,29.82,410263.0
2012-12-14,30.54,30.29,30.94,30.02,373921.0
2012-12-17,31.1,30.5,31.13,30.0,382731.0
2012-12-18,32.63,31.01,33.0,31.01,833913.0
2012-12-19,32.43,32.85,32.85,31.96,439369.0
2012-12-20,32.83,32.28,32.85,32.25,343868.0
2012-12-21,32.49,32.48,32.74,32.23,622505.0
2012-12-24,31.66,32.24,32.57,30.9,677656.0
2012-12-26,29.95,30.84,30.94,29.39,3430340.0
2012-12-27,29.52,29.49,29.99,29.25,1234870.0
2012-12-28,29.05,29.16,29.48,28.9,1106997.0
2012-12-31,30.03,28.94,30.25,28.9,1247381.0
2013-01-02,30.2,30.75,30.75,29.18,1525475.0
2013-01-03,29.69,30.1,30.4,29.41,863018.0
2013-01-04,29.02,29.8,29.84,28.96,1034356.0
2013-01-07,27.36,28.54,29.1,27.02,2516970.0
2013-01-08,26.2,27.36,27.61,25.61,2827068.0
2013-01-09,26.37,26.35,26.67,25.54,1430339.0
2013-01-10,26.46,26.45,26.62,26.15,691111.0
2013-01-11,27.46,26.6,27.5,26.46,1133736.0
2013-01-14,26.07,27.22,27.28,25.94,1047069.0
2013-01-15,27.22,26.04,27.48,25.59,1239007.0
2013-01-16,27.34,27.23,27.48,26.85,797919.0
2013-01-17,27.6,27.42,27.78,27.25,953013.0
2013-01-18,27.4,27.53,27.75,27.16,391963.0
2013-01-22,27.62,27.16,27.72,26.83,905695.0
2013-01-23,27.93,27.56,28.01,27.45,601574.0
2013-01-24,29.52,27.64,29.59,27.0,1730080.0
2013-01-25,31.1,29.54,31.5,29.39,1529790.0
2013-01-28,31.25,30.88,31.47,30.72,944851.0
2013-01-29,30.2,30.88,31.23,29.9,1110993.0
2013-01-30,28.97,30.07,30.5,28.57,2502562.0
2013-01-31,27.72,27.75,30.5,27.65,3540636.0
2013-02-01,28.07,26.33,28.84,25.71,8243387.0
2013-02-04,28.96,28.0,29.15,27.7,1650242.0
2013-02-05,29.78,28.9,29.92,28.61,1909688.0
2013-02-06,29.72,29.36,29.79,29.36,757322.0
2013-02-07,29.42,29.42,29.45,28.58,1065994.0
2013-02-08,29.83,29.35,29.83,29.24,1021258.0
2013-02-11,29.55,29.75,29.75,29.15,721366.0
2013-02-12,29.25,29.5,29.75,29.04,679215.0
2013-02-13,29.78,29.05,29.89,28.7,2704707.0
2013-02-14,32.88,30.63,33.21,30.4,5687739.0
2013-02-15,33.86,33.0,34.12,32.34,3513390.0
2013-02-19,33.46,33.66,34.33,32.86,3227865.0
2013-02-20,32.96,33.4,33.92,32.84,1475926.0
2013-02-21,31.54,32.13,32.9,31.14,2572411.0
2013-02-22,33.48,31.45,33.86,31.11,2128899.0
2013-02-25,32.17,33.48,33.75,32.0,1357574.0
2013-02-26,31.25,31.88,32.11,30.89,2125433.0
2013-02-27,32.2,31.59,33.63,31.26,1950699.0
2013-02-28,32.47,32.14,32.55,31.78,937468.0
2013-03-01,32.79,32.06,33.01,31.69,1562298.0
2013-03-04,33.68,32.49,33.78,32.48,1298654.0
2013-03-05,36.57,33.65,36.82,33.33,3713928.0
2013-03-06,36.95,36.41,37.47,35.72,2400679.0
2013-03-07,36.77,36.82,37.0,36.45,572119.0
2013-03-08,36.66,36.95,36.95,36.33,610778.0
2013-03-11,37.0,36.91,37.14,35.72,1185091.0
2013-03-12,37.83,37.0,38.22,37.0,1856652.0
2013-03-13,37.61,37.88,38.18,37.01,996665.0
2013-03-14,37.45,37.83,37.87,36.57,1129556.0
2013-03-15,37.1,37.58,37.75,37.09,1552013.0
2013-03-18,35.63,36.64,36.64,35.4,1541037.0
2013-03-19,34.46,35.77,36.03,34.39,1187341.0
2013-03-20,34.76,35.36,35.44,34.44,877906.0
2013-03-21,36.0,34.6,36.17,34.44,1497838.0
2013-03-22,36.27,36.31,36.49,35.83,723317.0
2013-03-25,36.05,36.38,36.51,35.74,472902.0
2013-03-26,36.14,36.35,36.39,35.68,583549.0
2013-03-27,36.21,36.12,36.69,35.93,608468.0
2013-03-28,36.2,36.74,37.24,35.92,744062.0
2013-04-01,35.23,36.2,36.5,34.78,1391364.0
2013-04-02,35.71,36.04,36.06,35.32,839655.0
2013-04-03,34.53,35.64,35.81,33.95,1100532.0
2013-04-04,35.05,34.45,35.14,34.15,721345.0
2013-04-05,35.17,34.28,35.2,34.28,543711.0
2013-04-08,35.55,35.24,35.59,35.07,716381.0
2013-04-09,35.76,35.51,36.13,35.29,601101.0
2013-04-10,35.85,35.69,35.97,35.25,764896.0
2013-04-11,34.99,35.67,35.8,34.86,866955.0
2013-04-12,35.19,35.05,35.57,34.76,1170675.0
2013-04-15,34.94,34.98,35.54,34.64,740371.0
2013-04-16,36.35,35.04,36.94,34.95,1439244.0
2013-04-17,35.63,35.83,36.09,34.98,693618.0
2013-04-18,36.07,35.81,36.51,35.46,1248032.0
2013-04-19,36.29,36.31,37.85,36.11,1629144.0
2013-04-22,36.67,36.27,36.87,35.99,903247.0
2013-04-23,37.33,37.0,38.38,36.85,1935375.0
2013-04-24,37.62,37.51,38.21,37.42,1159899.0
2013-04-25,43.39,40.46,43.99,39.76,6030135.0
2013-04-26,42.51,43.1,43.3,41.85,2807833.0
2013-04-29,42.09,42.4,43.01,42.07,1030090.0
2013-04-30,40.96,41.96,41.97,40.27,1780145.0
2013-05-01,38.8,40.75,40.77,38.65,2944545.0
2013-05-02,39.14,39.71,40.17,38.7,1312634.0
2013-05-03,40.95,39.73,41.0,38.69,1527196.0
2013-05-06,40.4,41.0,41.0,39.95,723593.0
2013-05-07,39.52,40.58,40.58,39.01,1846599.0
2013-05-08,39.58,39.62,40.25,39.29,1441400.0
2013-05-09,38.85,39.26,39.6,38.52,1895091.0
2013-05-10,38.99,38.54,40.22,38.31,2530160.0
