Date,Close,Open,High,Low,Volume
2003-12-02,9.63,9.5,9.63,9.5,85000.0
2003-12-03,9.75,9.75,9.75,9.75,150000.0
2003-12-04,10.13,10.13,10.13,10.13,25000.0
2003-12-08,10.9,10.5,10.9,10.5,477000.0
2003-12-09,11.06,10.9,11.38,10.9,1507100.0
2003-12-10,11.25,11.25,11.25,11.25,1497250.0
2003-12-11,11.45,11.38,11.5,11.31,1101600.0
2003-12-12,11.48,11.5,11.53,11.46,354500.0
2003-12-15,11.2,11.45,11.45,11.2,643500.0
2003-12-16,10.98,11.18,11.18,10.9,442800.0
2003-12-17,10.73,10.95,10.95,10.7,575400.0
2003-12-18,10.78,10.73,10.78,10.73,1212600.0
2003-12-19,10.9,10.78,10.9,10.78,710900.0
2003-12-22,10.83,10.83,10.9,10.83,2600.0
2003-12-23,10.9,10.85,10.93,10.85,66900.0
2003-12-24,10.93,10.9,10.93,10.9,10100.0
2003-12-26,10.93,10.93,10.93,10.93,500.0
2003-12-29,10.9,10.9,10.9,10.9,547.0
2003-12-30,10.95,10.93,10.95,10.93,15800.0
2003-12-31,10.95,10.95,11.0,10.95,7028.0
2004-01-02,11.23,11.0,11.23,10.98,278742.0
2004-01-05,11.2,11.23,11.25,11.15,67998.0
2004-01-06,11.23,11.2,11.25,11.2,80245.0
2004-01-07,11.13,11.2,11.2,11.0,141656.0
2004-01-08,11.13,11.18,11.18,11.1,192555.0
2004-01-09,10.58,11.15,11.15,10.58,1728018.0
2004-01-12,10.6,10.63,10.63,10.6,8841.0
2004-01-13,10.5,10.63,10.68,10.48,534781.0
2004-01-14,10.5,10.53,10.55,10.5,104250.0
2004-01-15,10.43,10.5,10.5,10.38,27053.0
2004-01-16,10.4,10.38,10.45,10.38,246900.0
2004-01-20,10.5,10.5,10.53,10.49,428205.0
2004-01-21,10.5,10.53,10.58,10.5,484785.0
2004-01-22,10.75,10.55,10.8,10.55,431772.0
2004-01-23,10.6,10.75,10.75,10.55,374117.0
2004-01-26,10.43,10.6,10.6,10.43,145761.0
2004-01-27,10.37,10.43,10.43,10.35,497282.0
2004-01-28,10.25,10.38,10.38,10.23,49927.0
2004-01-29,10.0,10.25,10.25,9.88,584406.0
2004-01-30,10.0,10.0,10.13,10.0,170509.0
2004-02-02,10.08,10.0,10.18,10.0,40337.0
2004-02-03,10.15,10.0,10.16,10.0,689584.0
2004-02-04,10.13,10.13,10.15,10.13,287600.0
2004-02-05,10.03,10.14,10.14,10.01,324424.0
2004-02-06,10.03,10.08,10.08,10.0,243233.0
2004-02-09,10.0,10.03,10.03,10.0,303614.0
2004-02-10,10.02,10.0,10.05,10.0,272240.0
2004-02-11,10.0,10.04,10.04,10.0,507790.0
2004-02-12,10.0,10.01,10.03,10.0,94234.0
2004-02-13,10.02,10.01,10.02,10.0,463662.0
2004-02-17,9.9,10.02,10.02,9.9,138020.0
2004-02-18,9.76,9.88,9.93,9.75,221364.0
2004-02-19,9.77,9.77,9.78,9.75,340326.0
