Date,Close,Open,High,Low,Volume
3/17/1980,0.81,0.81,0.83,0.81,6400.0
3/18/1980,0.79,0.79,0.81,0.79,13700.0
3/19/1980,0.79,0.79,0.81,0.79,2000.0
3/20/1980,0.79,0.79,0.81,0.79,2700.0
3/21/1980,0.79,0.79,0.81,0.79,5500.0
3/24/1980,0.79,0.79,0.81,0.79,6400.0
3/25/1980,0.79,0.79,0.81,0.79,1800.0
3/26/1980,0.79,0.79,0.81,0.79,800.0
3/27/1980,0.77,0.77,0.79,0.77,2500.0
3/28/1980,0.79,0.79,0.81,0.79,2900.0
3/31/1980,0.8,0.8,0.82,0.8,3100.0
4/1/1980,0.8,0.8,0.82,0.8,1900.0
4/2/1980,0.81,0.81,0.83,0.81,1900.0
4/3/1980,0.81,0.81,0.83,0.81,800.0
4/7/1980,0.81,0.81,0.83,0.81,2500.0
4/8/1980,0.81,0.81,0.83,0.81,1000.0
4/9/1980,0.81,0.81,0.83,0.81,3700.0
4/10/1980,0.8,0.8,0.82,0.8,8200.0
4/11/1980,0.8,0.8,0.82,0.8,3500.0
4/14/1980,0.8,0.8,0.82,0.8,5100.0
4/15/1980,0.8,0.8,0.82,0.8,200.0
4/16/1980,0.8,0.8,0.82,0.8,6700.0
4/17/1980,0.81,0.81,0.83,0.81,7300.0
4/18/1980,0.81,0.81,0.83,0.81,2100.0
4/21/1980,0.81,0.81,0.83,0.81,1000.0
4/22/1980,0.81,0.81,0.83,0.81,300.0
4/23/1980,0.82,0.82,0.84,0.82,5900.0
4/24/1980,0.83,0.83,0.85,0.83,2100.0
4/25/1980,0.85,0.85,0.87,0.85,2500.0
4/28/1980,0.85,0.85,0.88,0.85,2200.0
4/29/1980,0.86,0.86,0.88,0.86,2600.0
4/30/1980,0.87,0.87,0.89,0.87,800.0
5/1/1980,0.88,0.88,0.9,0.88,3400.0
5/2/1980,0.87,0.87,0.89,0.87,2200.0
5/5/1980,0.92,0.92,0.94,0.92,21900.0
5/6/1980,0.93,0.93,0.95,0.93,4000.0
5/7/1980,0.93,0.93,0.95,0.93,2000.0
5/8/1980,0.96,0.96,0.98,0.96,9100.0
5/9/1980,0.96,0.96,0.98,0.96,1200.0
5/12/1980,0.96,0.96,0.98,0.96,600.0
5/13/1980,0.96,0.96,0.98,0.96,4300.0
5/14/1980,0.96,0.96,0.98,0.96,400.0
5/15/1980,0.96,0.96,0.98,0.96,2000.0
5/16/1980,0.94,0.94,0.97,0.94,11300.0
5/19/1980,0.94,0.94,0.97,0.94,200.0
5/20/1980,0.94,0.94,0.96,0.94,6000.0
5/21/1980,0.93,0.93,0.95,0.93,800.0
5/22/1980,0.93,0.93,0.95,0.93,37700.0
5/23/1980,0.94,0.94,0.97,0.94,11600.0
5/27/1980,0.94,0.94,0.97,0.94,6000.0
5/28/1980,0.94,0.94,0.97,0.94,2300.0
5/29/1980,0.93,0.93,0.95,0.93,1200.0
5/30/1980,0.92,0.92,0.94,0.92,13900.0
6/2/1980,0.92,0.92,0.94,0.92,2500.0
6/3/1980,0.92,0.92,0.94,0.92,1300.0
6/4/1980,0.91,0.91,0.93,0.91,1700.0
6/5/1980,0.92,0.92,0.94,0.92,2300.0
6/6/1980,0.92,0.92,0.94,0.92,9700.0
6/9/1980,0.92,0.92,0.94,0.92,700.0
6/10/1980,0.92,0.92,0.94,0.92,1800.0
6/11/1980,0.92,0.92,0.94,0.92,200.0
6/13/1980,0.93,0.93,0.95,0.93,2700.0
6/16/1980,0.93,0.93,0.95,0.93,2900.0
6/17/1980,0.93,0.93,0.95,0.93,800.0
6/18/1980,0.92,0.92,0.94,0.92,700.0
6/19/1980,0.92,0.92,0.94,0.92,1900.0
6/20/1980,0.92,0.92,0.94,0.92,13700.0
6/23/1980,0.92,0.92,0.94,0.92,5900.0
6/24/1980,0.91,0.91,0.93,0.91,3800.0
6/25/1980,0.92,0.92,0.94,0.92,18500.0
6/26/1980,0.92,0.92,0.94,0.92,1900.0
6/27/1980,0.92,0.92,0.94,0.92,7000.0
6/30/1980,0.92,0.92,0.94,0.92,1700.0
7/1/1980,0.91,0.91,0.93,0.91,400.0
7/2/1980,0.92,0.92,0.94,0.92,2100.0
7/3/1980,0.92,0.92,0.94,0.92,1000.0
7/7/1980,0.92,0.92,0.94,0.92,700.0
7/8/1980,0.93,0.93,0.94,0.93,2100.0
7/9/1980,0.94,0.94,0.96,0.94,2200.0
7/10/1980,0.95,0.95,0.97,0.95,1900.0
7/11/1980,0.95,0.95,0.97,0.95,2400.0
7/14/1980,0.95,0.95,0.97,0.95,700.0
7/15/1980,0.97,0.97,0.98,0.97,9100.0
7/16/1980,0.98,0.98,0.99,0.98,5200.0
7/17/1980,0.99,0.99,0.99,0.99,1300.0
7/18/1980,0.99,0.99,1.01,0.99,1800.0
7/21/1980,0.99,0.99,1.01,0.99,300.0
7/22/1980,1.0,1.0,1.01,1.0,2200.0
7/23/1980,0.99,0.99,0.99,0.99,1800.0
7/24/1980,0.99,0.99,0.99,0.99,500.0
7/25/1980,0.98,0.98,0.99,0.98,900.0
7/28/1980,0.97,0.97,0.99,0.97,1100.0
7/29/1980,0.99,0.99,0.99,0.99,2500.0
7/30/1980,0.98,0.98,0.99,0.98,900.0
8/4/1980,0.98,0.98,0.99,0.98,2100.0
8/5/1980,0.97,0.97,0.98,0.97,1200.0
8/7/1980,0.97,0.97,0.98,0.97,500.0
8/8/1980,0.97,0.97,0.98,0.97,1700.0
8/11/1980,0.97,0.97,0.98,0.97,300.0
8/12/1980,0.97,0.97,0.99,0.97,700.0
8/13/1980,0.97,0.97,0.98,0.97,600.0
8/14/1980,0.97,0.97,0.99,0.97,2200.0
8/15/1980,0.98,0.98,0.99,0.98,2100.0
8/18/1980,0.98,0.98,0.99,0.98,300.0
8/19/1980,0.97,0.97,0.99,0.97,6700.0
8/20/1980,0.97,0.97,0.98,0.97,300.0
8/21/1980,0.97,0.97,0.99,0.97,400.0
8/22/1980,0.97,0.97,0.99,0.97,300.0
8/25/1980,0.97,0.97,0.99,0.97,2700.0
8/26/1980,0.99,0.99,0.99,0.99,7500.0
8/27/1980,0.98,0.98,0.99,0.98,2800.0
8/28/1980,0.97,0.97,0.99,0.97,1900.0
8/29/1980,0.97,0.97,0.98,0.97,1700.0
9/2/1980,0.97,0.97,0.99,0.97,100.0
9/3/1980,0.98,0.98,0.99,0.98,2100.0
9/4/1980,0.98,0.98,0.99,0.98,1400.0
9/5/1980,0.98,0.98,0.99,0.98,1100.0
9/8/1980,0.97,0.97,0.99,0.97,1100.0
9/9/1980,0.97,0.97,0.99,0.97,700.0
9/10/1980,0.97,0.97,0.99,0.97,600.0
9/11/1980,0.97,0.97,0.99,0.97,7200.0
9/12/1980,0.97,0.97,0.99,0.97,1800.0
9/15/1980,0.97,0.97,0.98,0.97,300.0
9/16/1980,0.97,0.97,0.98,0.97,1200.0
9/17/1980,0.97,0.97,0.98,0.97,700.0
9/18/1980,0.97,0.97,0.98,0.97,1900.0
9/19/1980,0.97,0.97,0.98,0.97,400.0
9/22/1980,0.96,0.96,0.97,0.96,3300.0
9/23/1980,0.96,0.96,0.97,0.96,200.0
9/24/1980,0.96,0.96,0.97,0.96,4600.0
9/25/1980,0.94,0.94,0.95,0.94,5400.0
9/26/1980,0.94,0.94,0.96,0.94,6000.0
9/30/1980,0.94,0.94,0.96,0.94,2200.0
10/1/1980,0.95,0.95,0.97,0.95,4800.0
10/2/1980,0.96,0.96,0.97,0.96,700.0
