Date,Close,Open,High,Low,Volume
6/25/1987,10.0,,10.13,9.88,39800.0
6/26/1987,10.0,,10.0,9.88,22800.0
6/29/1987,9.88,,10.0,9.5,23800.0
6/30/1987,9.63,,9.88,9.13,59400.0
7/1/1987,9.38,,9.38,9.25,25200.0
7/2/1987,9.25,,9.63,9.25,41600.0
7/6/1987,9.0,,9.38,8.88,55300.0
7/7/1987,9.13,,9.38,8.75,40600.0
7/8/1987,8.88,,9.25,8.88,16600.0
7/9/1987,9.25,,9.25,8.88,37200.0
7/10/1987,9.0,,9.38,8.75,55700.0
7/13/1987,8.75,,8.75,8.38,51900.0
7/14/1987,8.63,,8.88,8.63,21100.0
7/15/1987,8.88,,8.88,8.63,34900.0
7/16/1987,8.88,,8.88,8.75,38400.0
7/17/1987,8.63,,8.88,8.38,46400.0
7/20/1987,8.88,,8.88,8.63,15700.0
7/21/1987,8.5,,8.88,8.38,32500.0
7/22/1987,8.13,,8.75,8.0,72100.0
7/23/1987,8.5,,8.63,8.25,25100.0
7/24/1987,8.38,,8.63,8.38,20200.0
7/27/1987,8.13,,8.5,8.0,41700.0
7/28/1987,8.0,,8.13,8.0,16000.0
7/29/1987,7.88,,8.13,7.75,70000.0
7/30/1987,8.38,,8.38,7.88,45500.0
7/31/1987,8.88,,8.88,8.5,64600.0
8/3/1987,9.0,,9.13,8.75,55700.0
8/4/1987,9.0,,9.0,8.75,28200.0
8/5/1987,8.75,,8.88,8.63,23000.0
8/6/1987,8.63,,8.75,8.5,38900.0
8/7/1987,8.5,,8.63,8.38,24900.0
8/10/1987,8.38,,8.63,8.38,17800.0
8/11/1987,8.13,,8.38,8.13,25600.0
8/12/1987,8.13,,8.25,7.88,51800.0
8/13/1987,8.25,,8.25,7.88,68000.0
8/14/1987,8.25,,8.75,8.25,80200.0
8/17/1987,8.13,,8.38,8.13,19700.0
8/18/1987,8.25,,8.38,8.13,18200.0
8/19/1987,8.13,,8.25,8.13,16000.0
8/20/1987,8.25,,8.38,8.25,23400.0
8/21/1987,8.38,,8.5,8.25,17700.0
8/24/1987,8.38,,8.5,8.25,23300.0
8/25/1987,8.25,,8.63,8.13,28500.0
8/26/1987,8.13,,8.38,8.13,21300.0
8/27/1987,8.13,,8.38,8.0,43300.0
8/28/1987,8.25,,8.38,7.88,46400.0
8/31/1987,8.13,,8.25,8.0,12000.0
9/1/1987,8.0,,8.38,8.0,20200.0
9/2/1987,8.13,,8.38,8.0,24900.0
9/3/1987,8.0,,8.13,7.88,26200.0
9/4/1987,7.63,,8.0,7.63,22800.0
9/8/1987,7.0,,7.5,6.75,72800.0
9/9/1987,6.75,,7.13,6.5,59200.0
9/10/1987,6.75,,6.75,6.5,60200.0
9/11/1987,6.88,,6.88,6.63,40700.0
9/14/1987,6.5,,6.88,6.25,27500.0
9/15/1987,6.25,,6.63,6.13,28400.0
9/16/1987,5.88,,6.38,5.75,65200.0
9/17/1987,6.38,,6.5,5.88,58300.0
9/18/1987,7.0,,7.0,6.63,37500.0
9/21/1987,6.5,,7.25,6.5,51900.0
9/22/1987,6.5,,6.88,6.38,61500.0
9/23/1987,6.63,,6.75,6.5,32300.0
9/24/1987,6.38,,6.75,6.25,30500.0
9/25/1987,6.13,,6.5,6.0,56100.0
9/28/1987,6.13,,6.13,5.88,52500.0
9/29/1987,6.13,,6.13,5.88,35500.0
9/30/1987,6.25,,6.5,6.0,39400.0
10/1/1987,6.5,,6.75,6.25,55400.0
10/2/1987,6.75,,7.0,6.63,55500.0
10/5/1987,6.63,,6.88,6.63,62100.0
10/6/1987,6.75,,6.75,6.63,13700.0
10/7/1987,6.88,,7.0,6.63,37200.0
10/8/1987,6.75,,6.88,6.63,27800.0
10/9/1987,6.75,,7.0,6.75,28000.0
10/12/1987,6.5,,6.75,6.5,7700.0
10/13/1987,6.5,,6.63,6.25,20900.0
10/14/1987,6.13,,6.63,6.13,21500.0
10/15/1987,6.0,,6.13,5.88,45800.0
10/16/1987,5.75,,6.0,5.63,39600.0
10/19/1987,4.5,,5.88,4.13,154900.0
10/20/1987,4.38,,5.5,3.25,228700.0
10/21/1987,5.25,,5.5,4.75,110900.0
10/22/1987,4.88,,5.5,4.5,66600.0
10/23/1987,4.38,,4.75,4.25,49200.0
10/26/1987,4.13,,4.38,4.0,66400.0
10/27/1987,4.0,,4.5,3.88,91300.0
10/28/1987,3.88,,4.25,3.75,76600.0
10/29/1987,4.25,,4.25,3.88,80400.0
10/30/1987,4.5,,4.75,4.13,105500.0
11/2/1987,4.5,,4.88,4.25,45700.0
11/3/1987,4.13,,4.63,4.13,34600.0
11/4/1987,4.13,,4.25,4.0,29000.0
11/5/1987,4.13,,4.25,4.0,49100.0
11/6/1987,4.25,,4.5,4.13,44500.0
11/9/1987,4.25,,4.38,4.13,38600.0
11/10/1987,4.25,,4.38,4.13,31800.0
11/11/1987,4.5,,4.5,4.13,27100.0
11/12/1987,4.75,,5.0,4.63,37700.0
11/13/1987,4.88,,5.0,4.38,51700.0
11/16/1987,4.88,,5.0,4.75,20600.0
11/17/1987,4.63,,4.88,4.5,23600.0
11/18/1987,4.5,,4.88,4.5,33200.0
11/19/1987,4.13,,4.75,4.13,64000.0
11/20/1987,4.13,,4.25,4.13,19600.0
11/23/1987,4.0,,4.25,4.0,29200.0
11/24/1987,4.13,,4.13,3.88,44800.0
11/25/1987,4.38,,4.38,4.0,24900.0
11/27/1987,4.25,,4.25,4.0,36500.0
11/30/1987,4.0,,4.13,3.88,34100.0
12/1/1987,4.0,,4.13,3.88,21800.0
12/2/1987,4.13,,4.13,4.0,18600.0
12/3/1987,4.13,,4.25,3.88,23000.0
12/4/1987,4.0,,4.13,3.88,19500.0
12/7/1987,3.88,,4.13,3.88,21000.0
12/8/1987,4.0,,4.0,3.75,48100.0
12/9/1987,4.0,,4.0,3.75,18600.0
12/10/1987,3.88,,3.88,3.75,22300.0
12/11/1987,3.88,,3.88,3.75,26700.0
12/14/1987,3.63,,3.88,3.63,27100.0
12/15/1987,3.75,,3.75,3.5,74500.0
12/16/1987,3.63,,3.75,3.5,44800.0
12/17/1987,4.13,,4.13,3.63,73200.0
12/18/1987,4.13,,4.13,3.88,47400.0
12/21/1987,4.25,,4.25,3.88,58400.0
12/22/1987,4.0,,4.13,4.0,43800.0
12/23/1987,4.13,,4.13,3.88,32500.0
12/24/1987,4.0,,4.0,3.88,20600.0
12/28/1987,4.0,,4.0,3.75,114000.0
12/29/1987,3.75,,3.88,3.63,46600.0
12/30/1987,3.75,,3.75,3.5,89800.0
12/31/1987,3.75,,3.75,3.5,100400.0
1/4/1988,4.38,,4.38,3.88,52300.0
1/5/1988,4.38,,4.63,4.25,45700.0
1/6/1988,4.88,,4.88,4.5,84900.0
1/7/1988,5.0,,5.0,4.75,52800.0
1/8/1988,4.5,,5.13,4.5,61800.0
1/11/1988,4.5,,4.63,4.25,61500.0
1/12/1988,4.63,,4.88,4.38,55600.0
1/13/1988,4.88,,5.0,4.5,37500.0
1/14/1988,5.13,,5.13,4.88,40300.0
1/15/1988,5.13,,5.38,5.13,40900.0
1/18/1988,5.13,,5.25,5.13,18800.0
1/19/1988,5.13,,5.25,5.13,26300.0
1/20/1988,5.13,,5.13,4.88,43100.0
1/21/1988,5.0,,5.13,5.0,22900.0
1/22/1988,5.0,,5.13,4.88,25500.0
1/25/1988,5.0,,5.13,5.0,22400.0
1/26/1988,5.13,,5.25,5.0,25100.0
1/27/1988,5.25,,5.25,5.13,12100.0
1/28/1988,5.25,,5.38,5.13,7300.0
1/29/1988,5.75,,5.75,5.25,51500.0
2/1/1988,6.38,,6.38,5.75,111400.0
2/2/1988,7.0,,7.25,6.63,119400.0
2/3/1988,6.75,,7.0,6.63,81200.0
2/4/1988,6.5,,6.75,6.5,40900.0
2/5/1988,6.88,,6.88,6.5,23700.0
2/8/1988,6.63,,6.75,6.5,10800.0
2/9/1988,6.5,,6.63,6.38,24000.0
2/10/1988,6.63,,6.75,6.5,15900.0
2/11/1988,6.63,,6.88,6.63,26500.0
