Date,Close,Open,High,Low,Volume
2010-08-06,14.0,13.0,14.08,12.99,10678485.0
2010-08-09,14.0,14.0,14.0,13.7,1819535.0
2010-08-10,13.6,13.77,13.84,13.58,1579277.0
2010-08-11,12.75,13.25,13.38,12.45,2588211.0
2010-08-12,12.39,12.26,12.51,12.1,1780340.0
2010-08-13,12.0,12.25,12.53,11.85,957570.0
2010-08-16,11.78,11.79,12.23,11.69,551620.0
2010-08-17,12.22,11.86,12.3,11.75,1086654.0
2010-08-18,12.0,12.08,12.6,12.0,1010606.0
2010-08-19,11.55,11.95,12.1,11.31,745978.0
2010-08-20,11.15,11.45,11.5,11.03,450646.0
2010-08-23,10.98,11.28,11.5,10.46,761813.0
2010-08-24,10.68,10.76,11.3,10.5,746734.0
2010-08-25,10.75,10.5,11.13,10.23,1112174.0
2010-08-26,11.0,10.94,11.15,10.8,581369.0
2010-08-27,11.11,11.15,11.49,10.99,370888.0
2010-08-30,11.1,11.01,11.27,11.01,226858.0
2010-08-31,11.08,11.01,11.23,10.87,236017.0
2010-09-01,11.73,11.08,11.95,10.76,412770.0
2010-09-02,11.87,11.08,11.91,11.08,98504.0
2010-09-03,11.89,11.9,12.32,11.58,231399.0
2010-09-07,12.03,12.0,12.36,11.78,468400.0
2010-09-08,12.16,11.49,12.18,11.42,1483732.0
2010-09-09,11.9,12.21,12.63,11.51,235614.0
2010-09-10,11.98,11.98,12.13,11.81,362921.0
2010-09-13,11.94,12.09,12.24,11.84,303904.0
2010-09-14,12.24,11.85,12.25,11.85,250639.0
2010-09-15,12.47,12.52,12.92,12.35,561118.0
2010-09-16,12.02,12.46,12.64,12.01,323293.0
2010-09-17,12.08,12.01,12.25,11.82,252296.0
2010-09-20,12.69,12.21,12.97,12.1,404113.0
2010-09-21,12.51,12.61,12.85,12.36,178759.0
2010-09-22,12.18,12.4,12.6,12.01,184632.0
2010-09-23,12.0,12.0,12.49,11.89,320792.0
2010-09-24,12.22,12.1,12.37,11.82,146945.0
2010-09-27,12.25,12.17,12.39,12.02,186598.0
2010-09-28,12.61,12.21,12.62,12.11,168759.0
2010-09-29,12.55,12.63,12.88,12.49,238483.0
2010-09-30,12.39,12.62,12.95,12.26,196787.0
2010-10-01,12.36,12.47,12.77,12.26,170466.0
2010-10-04,12.35,12.38,12.71,12.25,140715.0
2010-10-05,12.35,12.43,12.69,12.22,256858.0
2010-10-06,12.47,12.32,12.49,12.13,90378.0
2010-10-07,11.85,12.5,12.5,11.61,252790.0
2010-10-08,11.98,11.8,12.11,11.72,251877.0
2010-10-11,12.05,11.95,12.15,11.91,63685.0
2010-10-12,12.3,12.01,12.3,11.91,59597.0
2010-10-13,12.07,12.31,12.33,12.02,222010.0
2010-10-14,12.15,12.07,12.23,12.0,223688.0
2010-10-15,11.94,12.35,12.35,11.86,396195.0
