Date,Close,Open,High,Low,Volume
1994-10-18,8.0,8.0,8.06,7.88,202600.0
1994-10-19,8.69,8.06,8.75,8.06,121100.0
1994-10-20,8.75,8.81,9.06,8.75,68600.0
1994-10-21,8.63,8.75,8.81,8.56,33300.0
1994-10-24,8.44,8.63,8.81,8.44,36700.0
1994-10-25,8.56,8.38,8.63,8.25,31600.0
1994-10-26,8.44,8.44,8.56,8.44,23100.0
1994-10-27,8.44,8.44,8.56,8.44,16900.0
1994-10-28,8.31,8.44,8.5,8.31,20000.0
1994-10-31,8.31,8.38,8.44,8.31,16400.0
1994-11-01,8.31,8.31,8.38,8.25,16500.0
1994-11-02,8.25,8.31,8.38,8.06,36600.0
1994-11-03,8.19,8.31,8.38,8.19,27400.0
1994-11-04,8.0,8.19,8.25,8.0,32800.0
1994-11-07,8.0,8.0,8.13,8.0,35600.0
1994-11-08,8.13,8.0,8.13,8.0,51500.0
1994-11-09,8.06,8.06,8.19,8.06,30000.0
1994-11-10,7.88,8.0,8.19,7.81,37100.0
1994-11-11,7.81,7.94,7.94,7.63,39200.0
1994-11-14,7.88,7.75,7.94,7.63,31900.0
1994-11-15,7.69,7.69,7.88,7.63,34100.0
1994-11-16,7.75,7.69,7.81,7.63,41600.0
1994-11-17,7.81,7.63,7.81,7.63,48200.0
1994-11-18,7.63,7.75,7.75,7.63,55200.0
1994-11-21,7.75,7.75,7.88,7.63,66300.0
1994-11-22,7.75,7.69,7.81,7.69,45100.0
1994-11-23,7.81,7.69,7.81,7.69,23500.0
1994-11-25,7.81,7.63,7.81,7.63,16400.0
1994-11-28,7.94,7.81,7.94,7.75,33200.0
1994-11-29,7.88,7.94,8.0,7.88,23300.0
1994-11-30,8.0,7.94,8.06,7.88,35200.0
1994-12-01,8.06,8.0,8.06,7.94,33300.0
1994-12-02,7.94,8.0,8.06,7.94,15300.0
1994-12-05,7.94,7.88,8.0,7.88,22100.0
1994-12-06,7.94,7.88,7.94,7.81,21000.0
1994-12-07,7.94,7.81,7.94,7.81,16500.0
1994-12-08,7.88,7.88,8.0,7.88,18700.0
1994-12-09,7.88,7.81,7.94,7.81,35200.0
1994-12-12,7.88,7.94,8.0,7.88,15500.0
1994-12-13,7.88,7.94,7.94,7.88,33600.0
1994-12-14,8.0,7.94,8.0,7.81,54700.0
1994-12-15,8.0,8.0,8.13,7.94,21400.0
1994-12-16,8.25,8.13,8.44,8.06,40400.0
1994-12-19,8.38,8.31,8.5,8.25,38300.0
1994-12-20,8.38,8.25,8.38,8.13,27900.0
1994-12-21,8.38,8.31,8.44,8.31,26700.0
1994-12-22,8.38,8.38,8.44,8.31,28800.0
1994-12-23,8.31,8.38,8.44,8.31,22000.0
1994-12-27,8.19,8.25,8.44,8.13,22800.0
1994-12-28,8.31,8.25,8.31,8.19,20400.0
1994-12-29,8.25,8.25,8.25,8.19,31600.0
1994-12-30,8.56,8.25,8.56,8.19,51500.0
1995-01-03,8.44,8.44,8.5,8.38,22900.0
1995-01-04,8.25,8.38,8.44,8.25,10600.0
1995-01-05,8.31,8.25,8.38,8.19,7800.0
1995-01-06,8.31,8.25,8.31,8.19,8000.0
1995-01-09,8.5,8.31,8.56,8.31,24000.0
1995-01-10,8.5,8.63,8.63,8.44,10000.0
1995-01-11,8.5,8.44,8.63,8.44,8100.0
1995-01-12,8.63,8.5,8.63,8.5,13100.0
1995-01-13,8.69,8.63,8.75,8.63,11500.0
1995-01-16,8.69,8.75,8.75,8.63,10200.0
1995-01-17,8.69,8.69,8.75,8.63,8400.0
1995-01-18,8.75,8.75,8.81,8.75,15300.0
1995-01-19,8.75,8.75,8.88,8.69,10600.0
1995-01-20,8.69,8.81,8.81,8.69,9800.0
1995-01-23,8.88,8.75,9.0,8.69,21200.0
1995-01-24,8.81,8.94,8.94,8.81,17000.0
1995-01-25,8.81,8.88,8.88,8.75,11000.0
1995-01-26,8.81,8.69,8.88,8.69,7000.0
1995-01-27,9.0,8.81,9.0,8.81,18900.0
1995-01-30,9.0,9.0,9.06,8.88,25600.0
1995-01-31,8.88,8.94,8.94,8.75,18400.0
1995-02-01,8.88,8.81,8.94,8.81,21200.0
1995-02-02,8.81,8.75,8.94,8.69,23500.0
1995-02-03,8.81,8.75,8.94,8.69,45800.0
1995-02-06,8.88,8.94,9.06,8.81,25600.0
1995-02-07,9.0,8.88,9.06,8.88,24400.0
1995-02-08,8.75,8.88,9.0,8.75,26800.0
1995-02-09,9.0,8.88,9.06,8.88,27600.0
1995-02-10,9.0,9.0,9.0,8.88,10300.0
1995-02-13,9.0,8.94,9.06,8.94,16700.0
1995-02-14,9.13,9.0,9.13,8.94,14300.0
1995-02-15,9.31,9.19,9.38,9.19,38700.0
1995-02-16,9.5,9.38,9.5,9.31,35700.0
1995-02-17,9.5,9.5,9.63,9.38,64000.0
1995-02-21,9.31,9.44,9.5,9.31,16200.0
1995-02-22,9.44,9.44,9.5,9.25,10600.0
1995-02-23,9.13,9.31,9.31,9.0,20900.0
1995-02-24,9.38,9.19,9.38,9.19,22400.0
1995-02-27,9.25,9.31,9.44,9.25,18700.0
1995-02-28,9.5,9.31,9.56,9.31,12000.0
1995-03-01,9.44,9.5,9.5,9.31,7200.0
1995-03-02,9.38,9.38,9.44,9.31,7200.0
1995-03-03,9.38,9.38,9.44,9.31,7800.0
1995-03-06,9.25,9.31,9.31,9.13,7600.0
1995-03-07,9.25,9.19,9.31,9.13,16000.0
1995-03-08,9.25,9.25,9.25,9.13,21000.0
1995-03-09,9.31,9.31,9.38,9.31,6300.0
1995-03-10,9.31,9.31,9.31,9.25,9400.0
1995-03-13,9.31,9.25,9.38,9.25,19700.0
1995-03-14,9.25,9.44,9.44,9.13,22200.0
1995-03-15,9.06,9.31,9.38,9.0,18000.0
1995-03-16,9.19,9.0,9.19,8.81,34200.0
1995-03-17,9.19,9.13,9.31,9.06,13700.0
1995-03-20,9.13,9.13,9.25,9.06,23100.0
1995-03-21,9.06,9.13,9.25,9.06,9300.0
1995-03-22,9.06,9.0,9.06,8.94,14400.0
1995-03-23,9.13,9.0,9.13,9.0,9400.0
1995-03-24,9.0,9.13,9.25,9.0,18200.0
1995-03-27,9.0,8.94,9.13,8.94,21800.0
1995-03-28,9.0,9.0,9.06,8.94,23300.0
1995-03-29,9.13,9.0,9.19,9.0,13100.0
1995-03-30,9.0,9.13,9.19,9.0,10900.0
1995-03-31,9.06,9.0,9.13,9.0,15300.0
1995-04-03,9.0,8.94,9.06,8.94,14000.0
1995-04-04,9.06,9.0,9.13,9.0,6000.0
1995-04-05,9.06,9.0,9.19,9.0,15200.0
1995-04-06,9.0,9.13,9.13,9.0,14700.0
1995-04-07,9.06,8.94,9.13,8.94,16600.0
1995-04-10,9.13,9.13,9.19,9.13,10900.0
1995-04-11,9.06,9.06,9.13,9.0,20300.0
1995-04-12,9.13,9.13,9.19,9.0,20400.0
1995-04-13,9.19,9.19,9.19,9.06,13400.0
1995-04-17,9.19,9.06,9.19,8.94,27400.0
1995-04-18,9.19,9.19,9.25,9.06,11900.0
1995-04-19,9.13,9.19,9.19,9.13,8200.0
1995-04-20,9.19,9.19,9.19,9.06,8200.0
1995-04-21,9.13,9.25,9.25,9.0,15400.0
1995-04-24,9.25,9.06,9.25,9.06,11300.0
1995-04-25,9.25,9.25,9.31,9.19,37500.0
1995-04-26,9.06,9.19,9.19,9.0,18700.0
1995-04-27,9.13,9.06,9.13,9.0,7500.0
1995-04-28,9.19,9.06,9.19,9.06,10600.0
1995-05-01,9.19,9.0,9.19,9.0,20700.0
1995-05-02,9.25,9.13,9.25,9.13,10600.0
1995-05-03,9.13,9.19,9.25,9.06,10900.0
1995-05-04,9.31,9.13,9.31,9.06,21300.0
1995-05-05,9.56,9.25,9.56,9.19,38100.0
1995-05-08,9.88,9.75,10.0,9.75,62900.0
1995-05-09,10.31,9.94,10.38,9.88,62300.0
1995-05-10,10.75,10.31,10.75,10.31,98300.0
1995-05-11,10.56,10.75,10.75,10.5,65300.0
1995-05-12,10.13,10.31,10.31,10.06,58100.0
1995-05-15,10.19,10.13,10.25,10.06,17400.0
1995-05-16,10.13,10.19,10.19,10.06,27700.0
1995-05-17,10.13,10.13,10.19,10.13,13800.0
1995-05-18,9.69,10.13,10.13,9.69,34900.0
1995-05-19,9.75,9.75,9.81,9.63,22500.0
1995-05-22,10.06,9.81,10.06,9.81,13000.0
1995-05-23,10.31,9.94,10.31,9.94,26400.0
1995-05-24,10.25,10.31,10.38,10.13,8300.0
1995-05-25,10.06,10.19,10.31,10.06,18300.0
1995-05-26,9.69,10.06,10.13,9.69,19300.0
1995-05-30,9.75,9.75,9.75,9.69,22100.0
1995-05-31,9.88,9.88,9.94,9.81,15500.0
1995-06-01,10.0,9.94,10.0,9.94,15400.0
1995-06-02,10.0,10.0,10.06,9.94,11300.0
1995-06-05,9.94,10.06,10.06,9.81,15300.0
1995-06-06,10.06,9.94,10.06,9.94,9400.0
1995-06-07,10.13,10.0,10.19,10.0,21100.0
1995-06-08,10.19,10.19,10.19,10.06,7500.0
1995-06-09,10.06,10.13,10.13,10.06,7600.0
1995-06-12,9.88,10.0,10.06,9.88,18300.0
1995-06-13,9.94,9.88,9.94,9.88,10600.0
1995-06-14,9.88,9.94,9.94,9.81,19800.0
1995-06-15,9.88,9.88,9.94,9.88,7000.0
1995-06-16,10.06,9.88,10.06,9.88,13900.0
1995-06-19,10.06,10.0,10.06,10.0,13600.0
1995-06-20,10.13,10.06,10.13,10.0,14200.0
1995-06-21,10.0,10.06,10.13,9.94,17800.0
1995-06-22,9.94,10.0,10.0,9.94,6200.0
1995-06-23,10.0,10.0,10.06,9.94,9900.0
1995-06-26,10.0,10.0,10.06,10.0,3400.0
1995-06-27,10.13,10.06,10.19,10.0,11200.0
1995-06-28,10.19,10.19,10.19,10.13,7800.0
1995-06-29,10.19,10.06,10.19,10.06,13600.0
1995-06-30,10.56,10.19,10.56,10.19,57500.0
1995-07-03,10.38,10.56,10.56,10.38,10300.0
1995-07-05,10.44,10.44,10.44,10.31,13300.0
1995-07-06,10.44,10.31,10.5,10.25,13800.0
1995-07-07,10.5,10.44,10.63,10.44,32100.0
