Date,Close,Open,High,Low,Volume
3/12/1986,0.06,,0.06,0.06,1213000.0
3/13/1986,0.06,,0.07,0.06,386800.0
3/14/1986,0.07,,0.07,0.07,178700.0
3/17/1986,0.07,,0.07,0.07,87400.0
3/18/1986,0.06,,0.06,0.06,99900.0
3/19/1986,0.06,,0.06,0.06,70200.0
3/20/1986,0.06,,0.06,0.06,55000.0
3/21/1986,0.06,,0.06,0.06,50200.0
3/24/1986,0.06,,0.06,0.06,64100.0
3/25/1986,0.06,,0.06,0.06,67000.0
3/26/1986,0.06,,0.06,0.06,72100.0
3/27/1986,0.06,,0.06,0.06,66500.0
3/31/1986,0.06,,0.06,0.06,30600.0
4/1/1986,0.06,,0.06,0.06,62800.0
4/2/1986,0.06,,0.06,0.06,40100.0
4/3/1986,0.06,,0.06,0.06,37000.0
4/4/1986,0.06,,0.06,0.06,33000.0
4/7/1986,0.06,,0.06,0.06,27900.0
4/8/1986,0.06,,0.06,0.06,46400.0
4/9/1986,0.06,,0.06,0.06,27700.0
4/10/1986,0.06,,0.06,0.06,29200.0
4/11/1986,0.06,,0.06,0.06,56500.0
4/14/1986,0.06,,0.06,0.06,144500.0
4/15/1986,0.06,,0.06,0.06,37200.0
4/16/1986,0.07,,0.07,0.06,69700.0
4/17/1986,0.07,,0.07,0.07,60900.0
4/18/1986,26.0,,26.5,24.0,85900.0
4/21/1986,0.09,,0.09,0.08,103600.0
4/22/1986,0.08,,0.09,0.08,118200.0
4/23/1986,0.08,,0.08,0.08,12800.0
4/24/1986,0.08,,0.08,0.08,33400.0
4/25/1986,0.08,,0.08,0.08,14400.0
4/28/1986,0.08,,0.09,0.08,142100.0
4/29/1986,0.08,,0.09,0.08,8700.0
4/30/1986,0.08,,0.08,0.08,30100.0
5/1/1986,0.08,,0.08,0.08,66600.0
5/2/1986,0.07,,0.08,0.07,32900.0
5/5/1986,0.08,,0.08,0.07,15300.0
5/6/1986,0.08,,0.08,0.07,22500.0
5/7/1986,0.08,,0.08,0.08,36600.0
5/8/1986,26.0,,26.5,25.5,65700.0
5/9/1986,0.08,,0.08,0.08,23500.0
5/12/1986,0.08,,0.08,0.08,35300.0
5/13/1986,0.08,,0.08,0.08,109700.0
5/14/1986,0.08,,0.08,0.08,8000.0
5/15/1986,0.08,,0.08,0.08,3000.0
5/16/1986,0.08,,0.08,0.08,12400.0
5/19/1986,0.08,,0.08,0.08,27800.0
5/20/1986,0.08,,0.08,0.08,13800.0
5/21/1986,0.08,,0.08,0.08,2800.0
5/22/1986,0.08,,0.08,0.08,35900.0
5/23/1986,0.08,,0.08,0.08,14300.0
5/27/1986,0.08,,0.08,0.07,7600.0
5/28/1986,0.08,,0.08,0.07,3800.0
5/29/1986,0.07,,0.07,0.07,15800.0
5/30/1986,0.07,,0.07,0.07,63600.0
6/2/1986,0.07,,0.07,0.07,27400.0
6/3/1986,23.38,,23.38,21.0,192000.0
6/4/1986,0.07,,0.07,0.07,69800.0
6/5/1986,0.08,,0.08,0.07,87900.0
6/6/1986,0.08,,0.08,0.08,13500.0
6/9/1986,0.08,,0.08,0.07,18900.0
6/10/1986,0.07,,0.08,0.07,55400.0
6/11/1986,0.08,,0.08,0.07,32300.0
6/12/1986,0.08,,0.08,0.08,39300.0
6/13/1986,0.08,,0.08,0.08,59400.0
6/16/1986,0.08,,0.08,0.08,16700.0
6/17/1986,0.08,,0.08,0.07,57200.0
6/18/1986,0.07,,0.08,0.07,25300.0
6/19/1986,0.08,,0.08,0.07,17600.0
6/20/1986,0.07,,0.08,0.07,66100.0
6/23/1986,0.08,,0.08,0.07,55900.0
6/24/1986,0.08,,0.08,0.07,33000.0
6/25/1986,0.08,,0.08,0.08,1800.0
6/26/1986,0.08,,0.08,0.07,17600.0
6/27/1986,0.07,,0.08,0.07,42900.0
6/30/1986,0.08,,0.08,0.07,23400.0
7/1/1986,0.08,,0.08,0.07,8500.0
7/2/1986,0.07,,0.08,0.07,3100.0
7/3/1986,0.07,,0.08,0.07,12600.0
7/7/1986,0.07,,0.08,0.07,31900.0
7/8/1986,0.07,,0.07,0.07,20400.0
7/9/1986,0.07,,0.07,0.07,10300.0
7/10/1986,0.07,,0.08,0.07,6800.0
7/11/1986,0.07,,0.08,0.07,17400.0
7/14/1986,0.07,,0.07,0.07,59000.0
7/15/1986,0.07,,0.07,0.07,95000.0
7/16/1986,0.05,,0.06,0.05,347300.0
7/17/1986,0.06,,0.06,0.06,407200.0
7/18/1986,0.06,,0.06,0.06,63000.0
7/21/1986,0.06,,0.06,0.06,27600.0
7/22/1986,0.06,,0.06,0.06,25000.0
7/23/1986,0.05,,0.06,0.05,24100.0
7/24/1986,0.05,,0.06,0.05,51900.0
7/25/1986,0.05,,0.05,0.05,26700.0
7/28/1986,0.05,,0.05,0.05,22300.0
7/29/1986,0.05,,0.05,0.05,88400.0
7/30/1986,0.05,,0.05,0.05,28400.0
7/31/1986,0.05,,0.05,0.05,9600.0
8/1/1986,0.05,,0.05,0.05,18300.0
8/4/1986,0.05,,0.05,0.04,38300.0
8/5/1986,0.04,,0.05,0.04,10200.0
8/6/1986,0.05,,0.05,0.04,8000.0
8/7/1986,0.05,,0.05,0.04,16700.0
