Date,Close,Open,High,Low,Volume
4/23/1993,2.41,2.44,2.44,2.34,2060600.0
4/26/1993,2.34,2.38,2.41,2.34,416800.0
4/27/1993,2.31,2.38,2.38,2.28,255800.0
4/28/1993,2.28,2.34,2.34,2.28,112200.0
4/29/1993,2.31,2.28,2.34,2.28,105600.0
4/30/1993,2.34,2.34,2.41,2.31,147600.0
5/3/1993,2.34,2.41,2.41,2.31,77900.0
5/4/1993,2.38,2.38,2.41,2.31,69400.0
5/5/1993,2.44,2.38,2.44,2.38,112600.0
5/6/1993,2.45,2.44,2.47,2.38,79400.0
5/7/1993,2.41,2.41,2.47,2.41,21300.0
5/10/1993,2.44,2.47,2.5,2.41,54800.0
5/11/1993,2.47,2.44,2.53,2.44,39100.0
5/12/1993,2.53,2.5,2.53,2.44,113400.0
5/13/1993,2.59,2.53,2.59,2.47,76000.0
5/14/1993,2.73,2.59,2.78,2.53,96800.0
5/17/1993,2.69,2.78,2.78,2.63,43700.0
5/18/1993,2.66,2.63,2.69,2.59,69400.0
5/19/1993,2.61,2.66,2.66,2.56,51100.0
5/20/1993,2.56,2.63,2.63,2.56,53500.0
5/21/1993,2.59,2.56,2.63,2.56,18000.0
5/24/1993,2.56,2.63,2.63,2.56,2100.0
5/25/1993,2.59,2.56,2.63,2.56,7800.0
5/26/1993,2.56,2.63,2.63,2.56,25800.0
5/27/1993,2.63,2.59,2.63,2.56,24600.0
5/28/1993,2.66,2.63,2.66,2.56,21900.0
6/1/1993,2.66,2.66,2.75,2.66,65700.0
6/2/1993,2.78,2.72,2.78,2.66,37800.0
6/3/1993,2.81,2.81,2.81,2.75,42700.0
6/4/1993,2.75,2.81,2.81,2.75,10800.0
6/7/1993,2.81,2.81,2.81,2.75,36000.0
6/8/1993,2.81,2.81,2.81,2.75,77100.0
6/9/1993,2.81,2.75,2.81,2.75,12100.0
6/10/1993,2.84,2.78,2.91,2.78,161900.0
6/11/1993,2.88,2.88,2.91,2.84,26700.0
6/14/1993,2.84,2.91,2.91,2.84,10100.0
6/15/1993,2.81,2.91,2.91,2.75,82900.0
6/16/1993,2.75,2.75,2.81,2.75,44200.0
6/17/1993,2.75,2.75,2.81,2.75,16900.0
6/18/1993,2.88,2.81,2.91,2.75,16600.0
6/21/1993,2.89,2.84,2.94,2.84,45700.0
6/22/1993,2.94,2.94,2.94,2.88,11500.0
6/23/1993,2.94,2.94,2.94,2.88,16500.0
6/24/1993,2.94,2.94,2.94,2.88,4900.0
6/25/1993,2.94,2.94,2.94,2.84,20900.0
6/28/1993,2.97,2.94,2.97,2.84,30600.0
6/29/1993,3.03,2.91,3.13,2.91,37700.0
6/30/1993,3.0,3.09,3.09,2.94,24300.0
7/1/1993,2.91,3.0,3.0,2.91,6200.0
7/2/1993,2.94,2.91,2.97,2.88,4700.0
7/6/1993,2.94,2.94,2.94,2.94,2300.0
7/7/1993,2.94,2.94,2.94,2.88,5500.0
7/8/1993,2.94,2.94,3.0,2.94,7800.0
7/9/1993,3.0,3.0,3.0,2.94,800.0
7/12/1993,3.0,3.0,3.0,2.94,6700.0
7/13/1993,2.97,2.94,3.0,2.94,5600.0
7/14/1993,3.0,3.0,3.0,3.0,500.0
7/15/1993,2.94,3.0,3.0,2.94,600.0
7/16/1993,2.94,3.0,3.0,2.94,3800.0
